accountid,request_datetime,pd_gen12,lgd_gen12,ecnl_gen12,pd_gen13,lgd_gen13,ecnl_gen13,intopenbktype__app,ENG-loan_to_value,strdealershiptrackertype__app,fltgrossmonthly__income_sum,miles_odometer__app,ENG-bk,tier_gen12,tier_gen13,approved_gen12,approved_gen13,declined_gen12,declined_gen13,approved_both,declined_both,approved_gen12_declined_gen13,declined_gen12_approved_gen13,funded
8555634,2025-01-17 01:59:23+00:00,0.156573374639437,0.6013965709155691,0.2222239498274133,0.5205605772220073,0.3900425741564863,0.4791762586039771,,1.348694682474469,Franchise,3594.32,80732,0,B,Decline,1,0,0,1,0,0,1,0,1
8413652,2024-12-12 07:35:32+00:00,0.1394557409118117,0.6774673171283805,0.2229650277026745,0.4026593177810606,0.2899966430839025,0.2755768470925901,13.0,1.1820652482269505,Franchise,6456.7,53239,1,B,C,1,1,0,0,1,0,0,0,1
8504999,2024-12-24 01:59:40+00:00,0.1306778113651111,0.723665449665599,0.2231781604099248,0.6096814734643015,0.4168812657969424,0.5998288911621534,,1.5830441416893732,Independent,3514.84,95777,0,B,Decline,1,0,0,1,0,0,1,0,1
8572429,2025-01-18 03:47:23+00:00,0.1343987610531664,0.7045045074983128,0.2234554977953808,0.4718641215009165,0.3904153872148606,0.4347663123522496,,1.5160673040152963,Independent,4166.65,92792,0,B,Decline,1,0,0,1,0,0,1,0,1
8467901,2024-12-27 07:05:19+00:00,0.1462140179299277,0.6516797798931127,0.2248719368915964,0.3618893903977922,0.2777564091262778,0.2372203502835807,,1.0128923560530554,Franchise,5739.51,11,0,B,B,1,1,0,0,1,0,0,0,1
8560056,2025-01-15 05:11:12+00:00,0.1451322190190962,0.6620844235665733,0.2267718845056625,0.4184702240087736,0.3900425741564863,0.3852020399773275,,1.3406344827586207,Franchise,4887.99,41440,0,B,Decline,1,0,0,1,0,0,1,0,1
8514939,2024-12-27 05:42:59+00:00,0.1524482257375182,0.6308488637118357,0.2269654243561011,0.5441317165346515,0.3904153872148606,0.50135225174396,,1.4861383799206456,Franchise,7344.22,89698,0,B,Decline,1,0,0,1,0,0,1,0,1
8488293,2024-12-20 01:12:14+00:00,0.1484474628060906,0.6485520104882214,0.2272111250732467,0.4910552993519934,0.3372811670434425,0.3908719424980054,,1.1380166900639526,Franchise,3823.33,93925,0,B,Decline,1,0,0,1,0,0,1,0,1
8543743,2025-01-13 23:53:08+00:00,0.1740194149874678,0.5545319502524928,0.2277384083565242,0.2025596968365452,0.3900425741564863,0.1864562971557813,,1.4324272540983607,Franchise,5484.01,22454,0,B,B,1,1,0,0,1,0,0,0,1
8539418,2025-01-09 07:19:13+00:00,0.1428332799654318,0.6771505325456854,0.2282583305614603,0.3939434849110564,0.2596410016840132,0.2413899592289064,13.0,1.1318463078848562,Franchise,4804.13,42224,1,B,B,1,1,0,0,1,0,0,0,1
8488996,2025-01-03 07:36:01+00:00,0.1395286694962068,0.6948935000971637,0.228819854603882,0.3904805162553652,0.3900425741564863,0.3594375006949433,,1.3129614656363544,Independent,6006.29,73528,0,B,Decline,1,0,0,1,0,0,1,0,1
8531537,2025-01-09 04:45:56+00:00,0.1454346984514224,0.6686310314177157,0.2294914797336177,0.5956887897793438,0.3900425741564863,0.5483318139496056,,1.3442581306017924,Independent,6345.73,47253,0,B,Decline,1,0,0,1,0,0,1,0,1
8515333,2024-12-27 05:00:44+00:00,0.1469706794215139,0.6642252554071293,0.2303870634996301,0.5666441162591311,0.3900425741564863,0.5215961781777596,,1.282787610619469,Independent,4559.98,58637,0,B,Decline,1,0,0,1,0,0,1,0,1
8526926,2024-12-31 01:12:48+00:00,0.1451328860919035,0.6754607168337249,0.2313544893308514,0.6180892548913738,0.3501845945669622,0.5108109909075823,,1.174073545966229,Independent,4700.68,71056,0,B,Decline,1,0,0,1,0,0,1,0,1
8503152,2024-12-27 00:34:35+00:00,0.1436934837546393,0.6851605118311316,0.2323493180676598,0.4567249307791568,0.4168812657969424,0.4493441587435965,,1.5933816705336423,Independent,3804.53,76867,0,B,Decline,1,0,0,1,0,0,1,0,1
8481521,2024-12-24 00:25:30+00:00,0.1461695760747783,0.6747225866956804,0.2327524381383097,0.2897196794115531,0.3334630498245493,0.2280015066222105,7.0,1.419298789947254,Franchise,5768.78,62270,1,B,B,1,1,0,0,1,0,0,0,1
8429530,2024-12-03 06:10:31+00:00,0.156485411819293,0.6329933437564588,0.2337679688207778,0.4850851750236732,0.3501845945669622,0.400891678616817,,1.2196819209039549,Franchise,4781.88,60902,0,B,Decline,1,0,0,1,0,0,1,0,1
8415855,2024-12-12 00:09:14+00:00,0.1524721911556437,0.651143278083435,0.2343037319829339,0.5345668199889082,0.3501845945669622,0.441785073699168,,1.143791713473865,Franchise,3813.33,80178,0,B,Decline,1,0,0,1,0,0,1,0,1
8560358,2025-01-17 00:47:32+00:00,0.1497982650347642,0.6641896663994551,0.2348069248463509,0.5042399091652482,0.3372811670434425,0.401366675078197,,1.1131633136094674,Independent,4169.95,52141,0,B,Decline,1,0,0,1,0,0,1,0,1
8426969,2024-12-03 03:30:23+00:00,0.1465616508693469,0.679558840452694,0.23504954662627,0.3592918977908811,0.3900425741564863,0.3307283625835017,,1.4598322357019065,Independent,4630.54,76733,0,B,D,1,1,0,0,1,0,0,0,1
8573009,2025-01-21 03:47:14+00:00,0.1665268779627342,0.5990373144853343,0.2354237204840389,0.4356298059846217,0.3501845945669622,0.3600199988964216,,1.2442969863013698,Independent,6357.06,44243,0,B,Decline,1,0,0,1,0,0,1,0,1
8527883,2025-01-01 05:55:49+00:00,0.1631774037830988,0.6145973727670738,0.236680632637705,0.4053219999896877,0.2777564091262778,0.2656906484865599,,0.99801665799063,Franchise,4641.34,17882,0,B,C,1,1,0,0,1,0,0,0,1
8522172,2024-12-31 03:35:41+00:00,0.1513165611579968,0.6629801118394072,0.2367548947096525,0.3999732754406986,0.3900425741564863,0.3681755900341917,,1.2672126126126126,Franchise,6373.54,60688,0,B,Decline,1,0,0,1,0,0,1,0,1
8577725,2025-01-19 01:45:09+00:00,0.1720665234453466,0.584585065772277,0.2373865470241917,0.4091440511906937,0.3501845945669622,0.3381312270982461,,1.152597363236854,Independent,6646.29,51159,0,B,D,1,1,0,0,1,0,0,0,1
8380286,2024-12-05 05:43:41+00:00,0.1479135108801937,0.6810950248173454,0.2377538490184882,0.5287139094978471,0.3372811670434425,0.4208475768489824,,1.1392785234899327,Independent,4506.67,58794,0,B,Decline,1,0,0,1,0,0,1,0,1
8470565,2025-01-10 21:58:40+00:00,0.1500986914488858,0.6734863930439247,0.2385710460786745,0.6911978092401383,0.3900425741564863,0.6362479117309402,,1.3720525152017689,Franchise,6624.8,39762,0,B,Decline,1,0,0,1,0,0,1,0,1
8425690,2024-12-05 04:06:39+00:00,0.1596053647239713,0.6339709412807607,0.2387969854057358,0.3440533690952778,0.3904153872148606,0.3170040011902681,,1.518836563071298,Independent,4866.66,86497,0,B,C,1,1,0,0,1,0,0,0,1
8524383,2025-01-03 22:42:54+00:00,0.1601953860570298,0.6322731039366127,0.2390378721895011,0.5016558650245392,0.3904153872148606,0.4622158383495006,,1.474923984272608,Franchise,4878.93,83985,0,B,Decline,1,0,0,1,0,0,1,0,1
8488561,2024-12-18 07:33:13+00:00,0.1666061709482827,0.6097244937956928,0.2397379172574456,0.3955722184280924,0.3372811670434425,0.3148689803760817,,1.1224457142857145,Independent,5313.02,57203,0,B,C,1,1,0,0,1,0,0,0,1
8407192,2024-12-12 02:31:32+00:00,0.142087083304615,0.7167003210861871,0.2403279054148171,0.3543756663978689,0.2596410016840132,0.2171446690705184,7.0,1.1178977346278318,Franchise,7187.75,97419,1,B,B,1,1,0,0,1,0,0,0,1
8523284,2025-01-07 02:12:23+00:00,0.1592305038130581,0.6422881432741365,0.2413616005661988,0.5480752851787193,0.3900425741564863,0.5045035603478729,,1.402049073348995,Franchise,4672.85,65888,0,B,Decline,1,0,0,1,0,0,1,0,1
8527093,2025-01-03 05:50:15+00:00,0.1558671010312181,0.6575648916972543,0.2418828508446686,0.6110634110090701,0.3501845945669622,0.5050045830998423,,1.146029457187711,Franchise,10385.02,94607,0,B,Decline,1,0,0,1,0,0,1,0,1
8528557,2025-01-04 03:02:19+00:00,0.1492705111227865,0.6881383082624333,0.2424162665141072,0.4375178563866324,0.3900425741564863,0.4027353946289491,,1.3236384858044163,Franchise,7680.85,62886,0,B,Decline,1,0,0,1,0,0,1,0,1
8529736,2025-01-20 22:54:41+00:00,0.1623644886598237,0.6337236213136639,0.2428303396739377,0.3723703646235037,0.3900425741564863,0.3427670975153243,,1.2558864551156042,Franchise,6941.03,27074,0,B,D,1,1,0,0,1,0,0,0,1
8509526,2024-12-24 05:20:47+00:00,0.1561232707758709,0.6598047457485401,0.2431056649521014,0.6779066940402769,0.2899966430839025,0.463953970806056,7.0,1.175035367762128,Independent,3978.0,63331,1,B,Decline,1,0,0,1,0,0,1,0,1
8461793,2024-12-10 05:44:38+00:00,0.162231322280341,0.6361575176980521,0.2435630336483733,0.3790548245816205,0.3900425741564863,0.3489201460819515,,1.2824761829777185,Franchise,5206.97,61355,0,B,D,1,1,0,0,1,0,0,0,1
8422204,2024-12-12 02:18:56+00:00,0.1620210799011322,0.6370022055305041,0.2435703731651144,0.2677337946872405,0.3334630498245493,0.2106992134133163,7.0,1.416927395411606,Franchise,6341.34,50469,1,B,B,1,1,0,0,1,0,0,0,1
8467650,2024-12-10 07:22:23+00:00,0.1635358910268302,0.6330219140779666,0.2443114545094696,0.5055545843794365,0.3900425741564863,0.4653632350644044,,1.3136849519743865,Independent,8468.01,43776,0,B,Decline,1,0,0,1,0,0,1,0,1
8534073,2025-01-08 03:37:18+00:00,0.1782382444539578,0.5836217628167072,0.2454959754937947,0.3317683058919904,0.3501845945669622,0.2741851532659328,,1.216986937811798,Franchise,7454.88,13,0,B,C,1,1,0,0,1,0,0,0,1
8472961,2024-12-18 05:16:13+00:00,0.152578185215907,0.6822769363282092,0.2456773611527199,0.6292064088809174,0.3900425741564863,0.5791847982537852,,1.4014525506376594,Franchise,3679.71,58662,0,B,Decline,1,0,0,1,0,0,1,0,1
8534031,2025-01-03 04:22:24+00:00,0.1522784374828697,0.6854009287531901,0.2463174066524307,0.4069611916319722,0.3900425741564863,0.3746079702075843,,1.4513059033989266,Independent,9048.57,73351,0,B,Decline,1,0,0,1,0,0,1,0,1
8464237,2025-01-03 05:23:08+00:00,0.1558183885872787,0.6726540124105099,0.2473559997257523,0.3879292637297593,0.3501845945669622,0.3205985705780835,,1.1611927687168402,Independent,5146.92,82385,0,B,C,1,1,0,0,1,0,0,0,1
8415715,2024-11-27 04:48:08+00:00,0.1542799183379749,0.6850672417918967,0.2494333987624342,0.3308796448571884,0.3900425741564863,0.304574870261953,,1.4406769230769232,Independent,4075.25,72776,0,B,C,1,1,0,0,1,0,0,0,1
8517765,2025-01-10 02:42:34+00:00,0.1634292763745503,0.6470996033029205,0.2495818469877294,0.1985075966911724,0.2899966430839025,0.1358570265343399,7.0,1.1907411590928838,Franchise,7367.46,23258,1,B,B,1,1,0,0,1,0,0,0,1
8483889,2025-01-15 01:07:48+00:00,0.1650521953908322,0.6411904459847728,0.249758542225256,0.4748576778062514,0.3372811670434425,0.3779789021300742,,1.1331824268788635,Franchise,8899.0,12,0,B,Decline,1,0,0,1,0,0,1,0,1
8536548,2025-01-04 06:38:44+00:00,0.1546715580906991,0.6848371488739545,0.2499825960971549,0.4893905828953173,0.3900425741564863,0.4504842640202215,,1.3141710843373495,Independent,4862.1,86931,0,B,Decline,1,0,0,1,0,0,1,0,1
8430962,2024-12-03 05:49:31+00:00,0.1788431159625883,0.5975686972710814,0.252215672859129,0.485860344223469,0.3501845945669622,0.401532306073022,,1.2030133918770582,Franchise,5916.82,17706,0,B,Decline,1,0,0,1,0,0,1,0,1
8389066,2024-11-27 03:19:34+00:00,0.1497085976257763,0.7177081316721231,0.2535751038375091,0.3985359696197242,0.4162304395202057,0.3914834122466528,7.0,1.600594919168591,Franchise,4016.45,86226,1,B,Decline,1,0,0,1,0,0,1,0,1
8466577,2024-12-17 06:45:36+00:00,0.1736561232774516,0.6188674985985066,0.2536295082845117,0.4187602441034178,0.3501845945669622,0.3460783916729973,,1.204977908689249,Franchise,4598.22,45803,0,B,D,1,1,0,0,1,0,0,0,1
8470396,2024-12-10 05:29:44+00:00,0.1732551629685802,0.6208930531072401,0.2538721079610839,0.4609144150617264,0.2777564091262778,0.3021317615073181,,0.8437971563981043,Franchise,4057.66,63207,0,B,C,1,1,0,0,1,0,0,0,1
8576156,2025-01-18 07:49:19+00:00,0.1492418078163265,0.7225159780833201,0.2544778341589931,0.4596141971793324,0.3167253092355163,0.343548619004352,7.0,1.27,Franchise,3702.4,0,1,B,D,1,1,0,0,1,0,0,0,1
8431663,2024-12-28 06:26:51+00:00,0.1670084166980723,0.6486397872346755,0.2556547971413129,0.3661816738438879,0.3900425741564863,0.3370704047130022,,1.434749835418038,Franchise,7451.86,35777,0,B,D,1,1,0,0,1,0,0,0,1
8483841,2024-12-18 07:11:21+00:00,0.1627525783390775,0.6670027060071136,0.2561931279818467,0.4603682103645471,0.3904153872148606,0.4241742061416934,,1.538496551724138,Independent,5026.67,84378,0,B,Decline,1,0,0,1,0,0,1,0,1
8371432,2024-12-14 01:18:12+00:00,0.1621879439000833,0.6704191391967745,0.2566120081007092,0.5804212277378197,0.3501845945669622,0.4796807906596873,,1.1976596041909198,Franchise,5892.91,32606,0,B,Decline,1,0,0,1,0,0,1,0,1
8473614,2024-12-13 07:04:38+00:00,0.1683702744154556,0.6458354925912788,0.2566252179110097,0.4716003064125826,0.3900425741564863,0.4341083060673174,,1.2806162464985995,Independent,6213.57,85768,0,B,Decline,1,0,0,1,0,0,1,0,1
8484744,2024-12-24 06:34:47+00:00,0.1532713220525507,0.7097240250499061,0.2567216014839819,0.5593322228416239,0.3900425741564863,0.5148655768137267,,1.3034925064599483,Independent,7049.71,68740,0,B,Decline,1,0,0,1,0,0,1,0,1
8542907,2025-01-18 03:51:47+00:00,0.1713004781204576,0.6350899707078991,0.2567472688909784,0.1691956980093776,0.3900425741564863,0.1557447203871634,,1.259470472440945,Independent,7705.48,58900,0,B,B,1,1,0,0,1,0,0,0,1
8427274,2024-12-05 04:43:04+00:00,0.1773143866336568,0.6137382007996722,0.2568260858031136,0.6266224125845955,0.3372811670434425,0.4987811351245793,,1.099143181907263,Independent,10133.79,70719,0,B,Decline,1,0,0,1,0,0,1,0,1
8545531,2025-01-14 06:17:09+00:00,0.1752700730226191,0.6224063554007159,0.2574505293715487,0.5325117996317771,0.3904153872148606,0.4906458890613451,,1.4808265119120343,Franchise,6408.86,64819,0,B,Decline,1,0,0,1,0,0,1,0,1
8571362,2025-01-18 22:18:47+00:00,0.1535702587022983,0.7124894851071517,0.2582245791393513,0.2965034036373415,0.2596410016840132,0.1816832801065599,13.0,1.0779651941097723,Franchise,5479.0,73834,1,B,B,1,1,0,0,1,0,0,0,1
8430099,2024-12-18 23:04:42+00:00,0.1693049616107404,0.6488815958712398,0.2592669418821951,0.4353425260591436,0.3372811670434425,0.346525491196769,,1.08,Independent,6491.35,90037,0,B,D,1,1,0,0,1,0,0,0,1
8389479,2024-11-28 02:18:04+00:00,0.1673638923234965,0.6589152507307895,0.2602575457337375,0.6238253655757118,0.3904153872148606,0.5747804111074366,,1.5571842253521126,Franchise,3867.96,75942,0,B,Decline,1,0,0,1,0,0,1,0,1
8519209,2025-01-08 23:32:02+00:00,0.1676415893694833,0.6589576961480353,0.2607061686024429,0.4734723215165291,0.3908634532012824,0.4367487427363011,7.0,1.5015066666666663,Franchise,3608.37,75902,1,B,Decline,1,0,0,1,0,0,1,0,1
8461180,2024-12-10 02:41:43+00:00,0.1689924629272847,0.6546105425544344,0.2610732249128784,0.5811005178160862,0.3372811670434425,0.4625464555317976,,1.0983627695800229,Franchise,6308.46,64857,0,B,Decline,1,0,0,1,0,0,1,0,1
8481183,2024-12-24 00:41:48+00:00,0.1748086840581602,0.6338683801001289,0.2615014458436597,0.6489329497664236,0.3900425741564863,0.5973430885091842,,1.4064015473887816,Franchise,5238.04,67785,0,B,Decline,1,0,0,1,0,0,1,0,1
8554466,2025-01-18 05:49:30+00:00,0.1688474342767015,0.6577594349234733,0.2621039433811667,0.4476511390179132,0.3904153872148606,0.4124569469533706,,1.4607606825684665,Independent,9545.51,90291,0,B,Decline,1,0,0,1,0,0,1,0,1
8462519,2024-12-07 01:53:35+00:00,0.170575133477191,0.6520443108742242,0.2624852070505767,0.5700322125734644,0.3372811670434425,0.4537362665855556,,1.1363919443545778,Independent,7256.17,87989,0,B,Decline,1,0,0,1,0,0,1,0,1
8419793,2024-12-21 07:19:28+00:00,0.1644457428850889,0.6767686887219837,0.2626484822766797,0.4253788727453556,0.3900425741564863,0.3915614544210237,,1.356163878650411,Franchise,4583.32,53584,0,B,Decline,1,0,0,1,0,0,1,0,1
8431624,2025-01-11 06:31:50+00:00,0.1737629940708165,0.6414093987531184,0.2630295934239097,0.3452184761888928,0.3904153872148606,0.3180775079298252,,1.4777230304693934,Independent,5373.33,61557,0,B,C,1,1,0,0,1,0,0,0,1
8510639,2024-12-21 02:13:03+00:00,0.1481832140060373,0.7544346717368317,0.2638351484207062,0.5118846021372552,0.3372811670434425,0.4074517249609951,,1.0556004801920769,Independent,5591.07,67862,0,B,Decline,1,0,0,1,0,0,1,0,1
8403159,2024-12-05 01:55:16+00:00,0.1626716497715916,0.6880022023792319,0.2641275498057427,0.4691170206889369,0.3501845945669622,0.3876950267188232,,1.2017816323245332,Franchise,6868.18,32246,0,B,Decline,1,0,0,1,0,0,1,0,1
8410195,2024-12-05 00:00:21+00:00,0.1806195284674038,0.6204771541781459,0.2644858867893898,0.2097579019126321,0.3900425741564863,0.1930822483475337,,1.4131004714381925,Franchise,7329.6,74888,0,B,B,1,1,0,0,1,0,0,0,1
8516437,2025-01-10 06:00:10+00:00,0.1729624053761739,0.6568959923429768,0.2681392137655596,0.2638108831714065,0.3900425741564863,0.2428380432719047,,1.376972976277819,Franchise,5742.59,60406,0,C,B,1,1,0,0,1,0,0,0,1
8512710,2025-01-09 03:29:48+00:00,0.1654027387990941,0.6890716201745202,0.2689794263652036,0.4313393718701372,0.3501845945669622,0.3564742312195046,,1.1414776366077886,Independent,5266.16,37607,0,C,Decline,1,0,0,1,0,0,1,0,1
8518262,2025-01-03 23:45:06+00:00,0.1729655521185638,0.659006477364145,0.269005589328518,0.4307313497840992,0.2938038635922092,0.2986592619789793,7.0,1.2262238204378408,Franchise,3595.31,82064,1,C,C,1,1,0,0,1,0,0,0,1
8426739,2024-12-10 04:21:08+00:00,0.175918044641303,0.6501324756712901,0.2699132799518507,0.7159378865592476,0.3372811670434425,0.5698747835459924,,1.0901365979381443,Independent,4656.18,64945,0,C,Decline,1,0,0,1,0,0,1,0,1
8569778,2025-01-21 05:38:50+00:00,0.1901853588505839,0.6044192607427982,0.2712859978413539,0.3648474640646597,0.3900425741564863,0.3358422639774606,,1.3592016736401673,Franchise,5990.4,74862,0,C,D,1,1,0,0,1,0,0,0,1
8525423,2024-12-31 04:59:33+00:00,0.1936310812533277,0.59421835424259,0.2715395761408548,0.5938694869229219,0.4168812657969424,0.5842724296867958,,1.5940916854923135,Franchise,8034.0,46558,0,C,Decline,1,0,0,1,0,0,1,0,1
8478063,2024-12-17 05:33:08+00:00,0.1932600683997414,0.597908675142567,0.272702416633449,0.5008073762415888,0.3501845945669622,0.4138850660925195,,1.1879819978046104,Franchise,7135.36,6823,0,C,Decline,1,0,0,1,0,0,1,0,1
8515424,2024-12-30 22:53:48+00:00,0.159877777658164,0.7271469482365167,0.2743609459513299,0.3376717834409017,0.4162304395202057,0.3316962886110206,7.0,1.591710182767624,Franchise,5026.67,62911,1,C,D,1,1,0,0,1,0,0,0,1
8410156,2024-12-03 07:15:28+00:00,0.1761768103551849,0.6608497686941857,0.2747663143191079,0.3117154010002476,0.3167253092355163,0.2329984499896522,13.0,1.2708069620253164,Franchise,6338.85,46512,1,C,B,1,1,0,0,1,0,0,0,1
8470411,2024-12-11 04:26:39+00:00,0.1740670979935584,0.6689094654213201,0.2747869055404957,0.4577779573780338,0.3904153872148606,0.4217875980320883,,1.4729613466334164,Independent,4877.46,90582,0,C,Decline,1,0,0,1,0,0,1,0,1
8469418,2024-12-12 01:45:49+00:00,0.178870236636063,0.655305984633954,0.2766267782355884,0.4613853128632231,0.3900425741564863,0.4247053996529149,,1.35383618513324,Franchise,5644.7,61449,0,C,Decline,1,0,0,1,0,0,1,0,1
8424174,2024-12-07 03:12:24+00:00,0.166478476659374,0.7047822412758709,0.2769013344138797,0.608099924944674,0.3900425741564863,0.5597562697646968,,1.379608347826087,Franchise,5762.23,63549,0,C,Decline,1,0,0,1,0,0,1,0,1
8409659,2024-12-04 21:20:35+00:00,0.1774060059287633,0.6634777495126895,0.2777836526502157,0.5491639218313488,0.2777564091262778,0.3599797655210073,,0.9984866578599736,Franchise,4828.32,79413,0,C,Decline,1,0,0,1,0,0,1,0,1
8527783,2025-01-15 22:52:11+00:00,0.19168688729815,0.6142435935181012,0.2778721642629833,0.3516221469744339,0.3900425741564863,0.323668353313759,,1.413123313387305,Franchise,4506.67,54405,0,C,D,1,1,0,0,1,0,0,0,1
8488111,2024-12-19 02:00:02+00:00,0.1821247663557673,0.6468853837362069,0.2780406845177254,0.2703303584760066,0.3900425741564863,0.2488392233866006,,1.3943029556650246,Independent,6513.96,75214,0,C,B,1,1,0,0,1,0,0,0,1
8484716,2025-01-08 05:42:26+00:00,0.176412727189254,0.6693050626264618,0.2786544781500403,0.6398982100420996,0.3372811670434425,0.5093484515699418,,1.0850903097314746,Independent,3651.29,53687,0,C,Decline,1,0,0,1,0,0,1,0,1
8481697,2024-12-24 05:42:27+00:00,0.1701240865773036,0.6956080877722934,0.2792816696933891,0.3027647768182068,0.1728983438422631,0.1235401672261113,7.0,0.99499265442404,Independent,5068.36,54319,1,C,A,1,1,0,0,1,0,0,0,1
8537756,2025-01-08 23:00:47+00:00,0.1921691639749012,0.616163825417204,0.2794421417967226,0.5942658781226992,0.4168812657969424,0.5846624151204647,,1.5874644671919875,Franchise,6087.27,40708,0,C,Decline,1,0,0,1,0,0,1,0,1
8560901,2025-01-16 05:28:45+00:00,0.1775465002535754,0.6692830204963007,0.280436104805094,0.5769898212654353,0.3372811670434425,0.4592744086810802,,1.0584367335160871,Independent,4203.33,87579,0,C,Decline,1,0,0,1,0,0,1,0,1
8501529,2024-12-31 02:00:13+00:00,0.1884562263141515,0.6320543016278598,0.2811103816845746,0.3387536307385765,0.2777564091262778,0.2220547412437492,,0.8942327767713374,Franchise,12045.35,8,0,C,B,1,1,0,0,1,0,0,0,1
8483102,2024-12-14 02:01:51+00:00,0.1908395917090393,0.6298652537493443,0.2836796177430753,0.5543137538407122,0.3501845945669622,0.4581046436777777,,1.2044793103448277,Independent,5250.01,25576,0,C,Decline,1,0,0,1,0,0,1,0,1
8485080,2025-01-11 06:48:47+00:00,0.1976057749310046,0.6097154170927211,0.2843405584574914,0.5986794057297132,0.3900425741564863,0.5510846773524911,,1.3695548780487805,Independent,4333.33,75597,0,C,Decline,1,0,0,1,0,0,1,0,1
