iter	Passed	Remaining
582	6303	4508
583	6314	4498
584	6327	4488
585	6338	4477
586	6347	4466
587	6357	4454
588	6367	4443
589	6377	4431
590	6387	4420
591	6398	4409
592	6409	4399
593	6420	4388
594	6430	4377
595	6440	4365
596	6450	4354
597	6460	4342
598	6470	4331
599	6480	4320
600	6490	4309
601	6500	4297
602	6509	4285
603	6520	4275
604	6531	4264
605	6543	4254
606	6555	4244
607	6567	4234
608	6578	4223
609	6589	4213
610	6601	4202
611	6611	4191
612	6623	4181
613	6635	4171
614	6647	4161
615	6659	4151
616	6670	4140
617	6681	4129
618	6693	4119
619	6704	4109
620	6716	4099
621	6727	4088
622	6739	4078
623	6750	4067
624	6762	4057
625	6772	4046
626	6782	4035
627	6793	4023
628	6803	4012
629	6813	4001
630	6824	3990
631	6834	3979
632	6845	3968
633	6856	3958
634	6868	3948
635	6880	3938
636	6892	3927
637	6904	3917
638	6915	3906
639	6924	3895
640	6935	3884
641	6945	3873
642	6956	3862
643	6968	3851
644	6979	3841
645	6991	3831
646	7001	3820
647	7013	3809
648	7023	3798
649	7033	3787
650	7045	3777
651	7057	3766
652	7068	3756
653	7079	3745
654	7089	3734
655	7100	3723
656	7112	3713
657	7124	3702
658	7135	3692
659	7146	3681
660	7158	3671
661	7170	3661
662	7182	3650
663	7193	3639
664	7203	3628
665	7213	3617
666	7223	3606
667	7233	3595
668	7244	3584
669	7256	3573
670	7267	3563
671	7279	3552
672	7289	3541
673	7300	3531
674	7311	3520
675	7320	3508
676	7331	3497
677	7340	3486
678	7350	3474
679	7360	3463
680	7369	3452
681	7379	3441
682	7389	3429
683	7399	3418
684	7410	3407
685	7419	3396
686	7430	3385
687	7441	3374
688	7454	3364
689	7465	3354
690	7478	3344
691	7489	3333
692	7500	3322
693	7512	3312
694	7525	3302
695	7537	3292
696	7548	3281
697	7558	3270
698	7569	3259
699	7580	3248
700	7590	3237
701	7600	3226
702	7610	3215
703	7621	3204
704	7632	3193
705	7642	3182
706	7652	3171
707	7664	3160
708	7674	3149
709	7684	3138
710	7694	3127
711	7704	3116
712	7714	3105
713	7725	3094
714	7736	3083
715	7745	3072
716	7755	3060
717	7765	3049
718	7774	3038
719	7784	3027
720	7795	3016
721	7804	3005
722	7814	2993
723	7823	2982
724	7833	2971
725	7843	2960
726	7853	2949
727	7863	2938
728	7873	2926
729	7887	2917
730	7899	2907
731	7912	2896
732	7923	2886
733	7935	2875
734	7945	2864
735	7954	2853
736	7964	2842
737	7973	2830
738	7983	2819
739	7992	2808
740	8002	2797
741	8012	2786
742	8023	2775
743	8032	2763
744	8042	2752
745	8052	2741
746	8063	2731
747	8075	2720
748	8086	2709
749	8097	2699
750	8109	2688
751	8120	2677
752	8131	2667
753	8140	2656
754	8151	2645
755	8161	2634
756	8171	2623
757	8182	2612
758	8193	2601
759	8204	2590
760	8214	2579
761	8223	2568
762	8234	2557
763	8245	2546
764	8254	2535
765	8264	2524
766	8274	2513
767	8284	2502
768	8295	2491
769	8304	2480
770	8314	2469
771	8325	2458
772	8336	2448
773	8347	2437
774	8356	2426
775	8366	2415
776	8377	2404
777	8387	2393
778	8397	2382
779	8408	2371
780	8420	2361
781	8430	2350
782	8440	2339
783	8452	2328
784	8464	2318
785	8477	2308
786	8490	2298
787	8503	2287
788	8515	2277
789	8527	2266
790	8539	2256
791	8551	2245
792	8563	2235
793	8574	2224
794	8586	2214
795	8599	2203
796	8611	2193
797	8622	2182
798	8634	2172
799	8645	2161
800	8656	2150
801	8667	2139
802	8679	2129
803	8690	2118
804	8703	2108
805	8714	2097
806	8726	2086
807	8736	2075
808	8746	2065
809	8756	2054
810	8767	2043
811	8777	2032
812	8786	2021
813	8797	2010
814	8806	1999
815	8816	1987
816	8826	1976
817	8835	1965
818	8845	1954
819	8855	1943
820	8866	1933
821	8877	1922
822	8887	1911
823	8897	1900
824	8907	1889
825	8917	1878
826	8926	1867
827	8937	1856
828	8947	1845
829	8959	1834
830	8971	1824
831	8983	1814
832	8994	1803
833	9006	1792
834	9018	1782
835	9029	1771
836	9040	1760
837	9052	1749
838	9062	1739
839	9072	1728
840	9082	1717
841	9092	1706
842	9104	1695
843	9116	1685
844	9128	1674
845	9138	1663
846	9148	1652
847	9159	1641
848	9168	1630
849	9178	1619
850	9188	1608
851	9198	1597
852	9210	1587
853	9220	1576
854	9230	1565
855	9242	1554
856	9254	1544
857	9265	1533
858	9275	1522
859	9284	1511
860	9294	1500
861	9304	1489
862	9314	1478
863	9323	1467
864	9333	1456
865	9343	1445
866	9354	1435
867	9364	1424
868	9376	1413
869	9386	1402
870	9395	1391
871	9405	1380
872	9415	1369
873	9424	1358
874	9434	1347
875	9443	1336
876	9453	1325
877	9463	1314
878	9473	1304
879	9483	1293
880	9494	1282
881	9503	1271
882	9514	1260
883	9524	1249
884	9535	1239
885	9545	1228
886	9555	1217
887	9565	1206
888	9575	1195
889	9585	1184
890	9596	1173
891	9606	1163
892	9616	1152
893	9627	1141
894	9639	1130
895	9651	1120
896	9661	1109
897	9672	1098
898	9682	1087
899	9693	1077
900	9703	1066
901	9714	1055
902	9726	1044
903	9737	1034
904	9748	1023
905	9760	1012
906	9770	1001
907	9781	991
908	9793	980
909	9805	969
910	9818	959
911	9831	948
912	9842	937
913	9851	926
914	9861	916
915	9873	905
916	9885	894
917	9895	883
918	9905	873
919	9914	862
920	9924	851
921	9933	840
922	9943	829
923	9952	818
