indicator,mean_train_actual,mean_prod_actual,min_date,max_date,days_delinquent,days_total
DQ30_8,0.09200641820436146,0.33902759526938236,2021-10,2022-02,30,240
DQ30_9,0.10517103055940485,0.36662286465177396,2021-10,2022-02,30,270
DQ30_10,0.11789803807162133,0.3902759526938239,2021-10,2022-02,30,300
DQ30_11,0.13179199183137627,0.4126149802890933,2021-10,2022-02,30,330
DQ30_12,0.14564947852089563,0.4244415243101183,2021-10,2022-02,30,360
DQ30_13,0.15939756399970825,0.43626806833114323,2021-10,2022-02,30,390
DQ30_14,0.17289037998687184,0.44940867279894875,2021-10,2022-02,30,420
DQ30_15,0.18499744730508352,0.4704336399474376,2021-10,2022-02,30,450
DQ30_16,0.19845379622201154,0.4940867279894875,2021-10,2022-02,30,480
DQ30_17,0.2116184085770549,0.5098554533508541,2021-10,2022-02,30,510
DQ30_18,0.2243089490190358,0.5282522996057819,2021-10,2022-02,30,540
DQ30_19,0.23689008825030997,0.5413929040735874,2021-10,2022-02,30,570
DQ30_20,0.24954416162205528,0.557161629434954,2021-10,2022-02,30,600
DQ30_21,0.26146889358908904,0.5873850197109067,2021-10,2022-02,30,630
DQ30_22,0.2722996134490555,0.607095926412615,2021-10,2022-02,30,660
DQ30_23,0.28229159069360366,0.6149802890932983,2021-10,2022-02,30,690
DQ30_24,0.2928305739916855,0.6320630749014454,2021-10,2022-02,30,720
DQ60_3,0.002224491284370214,0.04993429697766097,2021-10,2022-02,60,90
DQ60_4,0.0064911385019327545,0.06964520367936924,2021-10,2022-02,60,120
DQ60_5,0.01272700751221647,0.08147174770039421,2021-10,2022-02,60,150
DQ60_6,0.020968565385456932,0.09592641261498029,2021-10,2022-02,60,180
DQ60_7,0.02818904529210123,0.12483574244415244,2021-10,2022-02,60,210
DQ60_8,0.0364306031653417,0.1392904073587385,2021-10,2022-02,60,240
DQ60_9,0.043833418423163885,0.14848883048620237,2021-10,2022-02,60,270
DQ60_10,0.04879293997520239,0.15505913272010513,2021-10,2022-02,60,300
DQ60_11,0.05400773101888994,0.164257555847569,2021-10,2022-02,60,330
DQ60_12,0.062285755962365984,0.17871222076215507,2021-10,2022-02,60,360
DQ60_13,0.07081905039749106,0.19185282522996058,2021-10,2022-02,60,390
DQ60_14,0.07942527897308731,0.2233902759526938,2021-10,2022-02,60,420
DQ60_15,0.08835971118080374,0.2483574244415243,2021-10,2022-02,60,450
DQ60_16,0.09671067026475093,0.26938239159001315,2021-10,2022-02,60,480
DQ60_17,0.10641091094741449,0.2812089356110381,2021-10,2022-02,60,510
DQ60_18,0.11636642112172708,0.3035479632063075,2021-10,2022-02,60,540
DQ60_19,0.127415943403107,0.3180026281208936,2021-10,2022-02,60,570
DQ60_20,0.13715265115600614,0.33771353482260186,2021-10,2022-02,60,600
DQ60_21,0.146305885785136,0.3600525624178712,2021-10,2022-02,60,630
DQ60_22,0.15618846181897747,0.3771353482260184,2021-10,2022-02,60,660
DQ60_23,0.16483115746480928,0.3876478318002628,2021-10,2022-02,60,690
DQ60_24,0.1731456494785209,0.3968462549277267,2021-10,2022-02,60,720
DQ90_4,0.0015316169498942455,0.045992115637319315,2021-10,2022-02,90,120
DQ90_5,0.00441251549850485,0.05387647831800263,2021-10,2022-02,90,150
DQ90_6,0.009189701699365473,0.06701708278580815,2021-10,2022-02,90,180
DQ90_7,0.014915031726351105,0.08278580814717477,2021-10,2022-02,90,210
DQ90_8,0.02034862519145212,0.09855453350854139,2021-10,2022-02,90,240
DQ90_9,0.02607395521843775,0.1116951379763469,2021-10,2022-02,90,270
DQ90_10,0.03179928524542338,0.11695137976346912,2021-10,2022-02,90,300
DQ90_11,0.034971920355918604,0.12614980289093297,2021-10,2022-02,90,330
DQ90_12,0.03814455546641383,0.14323258869908015,2021-10,2022-02,90,360
DQ90_13,0.04507329881117351,0.15243101182654403,2021-10,2022-02,90,390
DQ90_14,0.051856173874990884,0.16557161629434955,2021-10,2022-02,90,420
DQ90_15,0.0598424622565823,0.17871222076215507,2021-10,2022-02,90,450
DQ90_16,0.06746407993581796,0.19973718791064388,2021-10,2022-02,90,480
DQ90_17,0.0741375537889286,0.20893561103810776,2021-10,2022-02,90,510
DQ90_18,0.08237911166216906,0.21944809461235218,2021-10,2022-02,90,540
DQ90_19,0.0914594121508278,0.22864651773981604,2021-10,2022-02,90,570
DQ90_20,0.09991977244548172,0.23390275952693823,2021-10,2022-02,90,600
DQ90_21,0.10845306688060681,0.25098554533508544,2021-10,2022-02,90,630
DQ90_22,0.1163299540514915,0.2680683311432326,2021-10,2022-02,90,660
DQ90_23,0.1251549850485012,0.27463863337713534,2021-10,2022-02,90,690
DQ90_24,0.1325213332360878,0.27726675427069647,2021-10,2022-02,90,720
