feature,reason,model,description,Change Reason/Comment
us02s__tu,Delinquent credit obligations,,Number of open unsecured installment trades,
re57s__tu,Delinquent credit obligations,,Total past due amount of open revolving trades verified in past 12 months,
rvlr77__tu,Delinquent credit obligations,,"Number of top five Bankcards that were never revolver, but transacted at least once in the past 24 months",
linkf193__tu,Excessive inquiries,,Age of newest inquiry (days),
se01s__tu,Excessive Account Balances,,Number of secured installment trades,
fi57s__tu,Delinquent credit obligations,,Total past due amount of open finance installment trades verified in past 12 months,
ret81__tu,Delinquent credit obligations,,Months since a Retail trade last exceeded 25% utilization,
rev322__tu,Excessive Account Balances,,Min Total Open-to-Buy for Revolving accounts over the past 6 months,
linkt001__tu,Length of residence,,Number of non-military addresses in last 7 years,
sourcenonderogprofileindex__ln,Delinquent credit obligations,,"Index summarizing the number and nature of the non-derogatory sources reporting the depth and breadth of the subject's reporting history, excluding property and derogatory court records",
at24s__tu,Delinquent credit obligations,,Number of currently open and satisfactory trades 6 months or older,
rvlr64__tu,"Insufficient credit file, Length of Credit",,Flag indicating that the consumer revolved at least four times on at least one of his top 5 bankcards in the past 6 months,
revs121__tu,Delinquent credit obligations,,Aggregate Revolving Spend for Month M = 21,
in21s__tu,Insufficient credit history,,Months since most recent installment trade opened,
re101s__tu,Delinquent credit obligations,,Total balance of all revolving trades verified in past 12 months,
in34s__tu,Excessive Account Balances,,Utilization for open installment trades verified in past 12 months,
linka053__tu,Excessive inquiries,,Number of days since the first (oldest) checking account inquiry,
g251c__tu,Delinquent credit obligations,,Number of 60 days past due or worse items in the past 24 months (excluding medical collection items),
addrcurrentavmratio60monthprior__ln,Insufficient property value,,"Ratio comparison for the current address on subject's file, indicating the difference in AVM values between the most recent AVM value and the value 60 months prior to the most recent value",
linkf189__tu,Excessive inquiries,,Age of newest inquiry STOREFRONT LENDER,
phoneinputproblems__ln,Unable to verify working phone number,,Indicates problems associated with the input phone based on information on file,
linka025__tu,Excessive inquiries,,"Number of other inquiries in the last 3 years. Inquiries that do not fall into the other specified categories (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)",
br36s__tu,Delinquent credit obligations,,Months since most recent bank revolving delinquency,
au31s__tu,Excessive Account Balances,,Percentage of open auto trades > 75% of credit line verified in past 12 months,
g218a__tu,Delinquent credit obligations,,Number of trades verified in the past 12 months that are currently 30 days past due,
g102s__tu,Excessive inquiries,,Months since most recent inquiry,
addrprevioustimenewest__ln,Length of residence,,Time (in months) since the subject was most recently reported at the most previous address on subject's file,
