iteration,learning_rate,flt_eval_metric_train,flt_eval_metric_valid,diff,best_iteration,target
59,0.5958,0.9747573555566847,0.7978435330609028,0.176913822495782,7,Default_2
60,0.6058,0.9753163270491388,0.7944135361790821,0.1809027908700566,7,Default_2
61,0.6159,0.9092010095363924,0.7825234273710469,0.1266775821653456,15,Default_2
62,0.626,0.7512830936531327,0.7365631103014786,0.0147199833516541,7,Default_2
63,0.6361,0.9170202584819688,0.5732525889091298,0.3437676695728391,9,Default_2
64,0.6462,0.770806866880092,0.9389165148605846,0.1681096479804925,6,Default_2
65,0.6563,0.7197160255433034,0.7543203190389444,0.0346042934956409,4,Default_2
66,0.6663,0.7791152158815657,0.941509526857368,0.1623943109758022,6,Default_2
67,0.6764,0.7942709656655995,0.752178622421348,0.0420923432442514,5,Default_2
68,0.6865,0.9739654792757084,0.6588137790688133,0.3151517002068952,9,Default_2
69,0.6966,0.672912749631587,0.6390461654604238,0.0338665841711631,4,Default_2
70,0.7067,0.5390729542490302,0.5085093463312162,0.0305636079178139,1,Default_2
71,0.7167,0.9999237766146654,0.6198283360412256,0.3800954405734398,23,Default_2
72,0.7268,0.6000580144655047,0.6215433344821361,0.0214853200166313,2,Default_2
73,0.7369,0.987668750105866,0.5409876421643444,0.4466811079415215,15,Default_2
74,0.747,0.6000580144655047,0.6215433344821361,0.0214853200166313,2,Default_2
75,0.7571,0.6000580144655047,0.6215433344821361,0.0214853200166313,2,Default_2
76,0.7671,1.0,0.4795266932532454,0.5204733067467546,129,Default_2
