target,iteration,learning_rate,flt_eval_metric_train,flt_eval_metric_valid,diff,best_iteration
DQ30_17,3,0.0312,0.8016126398250468,0.7423188070982294,0.0592938327268174,924
Default_24,5,0.0514,0.8113246922698195,0.7422899525889732,0.0690347396808462,535
DQ30_14,3,0.0312,0.8067658250059453,0.7422432077703331,0.0645226172356121,989
DQ90_18,5,0.0514,0.816645603793864,0.7421507484102041,0.0744948553836598,531
DQ30_15,4,0.0413,0.8030223009348447,0.7421187256301357,0.060903575304709,701
DQ60_14,2,0.0212,0.7988954966322157,0.7418053684521805,0.0570901281800352,975
DQ15_24,4,0.0413,0.8158073202192477,0.7415982500788993,0.0742090701403483,987
DQ30_16,3,0.0312,0.7897542688130187,0.7413494226877777,0.0484048461252409,713
DQ60_13,4,0.0413,0.8080398316917018,0.7413360898314867,0.0667037418602151,573
DQ30_13,6,0.0615,0.8177212932002755,0.7411562081132576,0.0765650850870179,615
DQ90_10,7,0.0716,0.832488135859856,0.7409473382499426,0.0915407976099134,345
DQ90_14,8,0.0816,0.8285135798019843,0.7408003060906019,0.0877132737113823,337
DQ15_23,5,0.0514,0.8047254822995358,0.7407694009996781,0.0639560812998576,653
DQ15_22,8,0.0816,0.8013037861082064,0.7407241417634933,0.060579644344713,393
Default_21,6,0.0615,0.8325694685389816,0.7398988061714461,0.0926706623675355,600
DQ15_21,4,0.0413,0.802770813657195,0.739659821162451,0.063110992494744,800
Default_22,4,0.0413,0.824906594986636,0.7394142125899723,0.0854923823966636,800
Default_23,3,0.0312,0.8102951779605333,0.7389240645235089,0.0713711134370244,849
DQ15_20,3,0.0312,0.7988966777219553,0.7382670117660561,0.0606296659558991,995
Default_20,7,0.0716,0.8079027932281557,0.7379509626892603,0.0699518305388954,323
DQ30_12,3,0.0312,0.8047782092775817,0.7370245075493391,0.0677537017282425,926
Default_19,3,0.0312,0.7870034171581431,0.7369685858217044,0.0500348313364387,462
DQ15_19,5,0.0514,0.8119156523331711,0.7367999161207414,0.0751157362124297,808
DQ90_9,8,0.0816,0.7953235318708807,0.7367362504559826,0.0585872814148981,155
DQ30_11,3,0.0312,0.8026841180345304,0.736175326697811,0.0665087913367193,854
DQ15_18,6,0.0615,0.8121998326792517,0.7358567050925355,0.0763431275867161,694
DQ15_17,5,0.0514,0.7977661720070156,0.7357495661460419,0.0620166058609736,615
DQ30_10,8,0.0816,0.8648842870741636,0.7345308110717388,0.1303534760024248,829
DQ90_11,3,0.0312,0.8408384369628193,0.7344881291155501,0.1063503078472692,897
DQ1_12,3,0.0312,0.7973216169567354,0.7344207515960778,0.0629008653606576,936
DQ15_16,5,0.0514,0.8117627020595193,0.7339507410284304,0.0778119610310889,849
Default_18,7,0.0716,0.8048778277162489,0.7338828528386887,0.0709949748775602,274
DQ90_13,10,0.1018,0.8416187470643715,0.733248455345441,0.1083702917189304,323
Default_17,2,0.0212,0.8000530614026107,0.7331878588375519,0.0668652025650587,803
DQ60_10,3,0.0312,0.8260133961963396,0.733144594531215,0.0928688016651245,847
DQ90_12,4,0.0413,0.8396793401035731,0.7331013436130092,0.1065779964905639,689
Default_15,2,0.0212,0.8157035340891674,0.7330341294800987,0.0826694046090686,940
