feature,dtype,propna,min,max,range,std,mean,median,mode,n_unique,prop_unique,prop_negative,prop_min,prop_max,prop_zero
bigaccountid__ln,float64,0.19562884183822812,1337511.0,3948724.0,2611213.0,707239.144509365,2498618.2450873363,2488098.0,1473184.0,13493,0.8183527413876759,0.0,0.00012130033964095099,0.00012130033964095099,0.0
bigdebtorid__ln,float64,0.19562884183822812,1756440.0,5078827.0,3322387.0,901680.7977361655,3238299.1222707424,3225213.5,1929747.0,13493,0.8183527413876759,0.0,0.00012130033964095099,0.00012130033964095099,0.0
linka046__tu,float64,0.16777246560640063,0.0,6.0,6.0,0.638540296828361,0.3156691482501905,0.0,0.0,7,0.0004103405826836274,0.0,0.755319772554077,0.0002344803329620728,0.755319772554077
linka054__tu,float64,0.16777246560640063,0.0,2.0,2.0,0.04121000068152398,0.0013482619145319186,0.0,0.0,3,0.0001758602497215546,0.0,0.9988275983351896,0.0001758602497215546,0.9988275983351896
linka015__tu,float64,0.16777246560640063,0.0,4.0,4.0,0.2931297001312249,0.0766750688785978,0.0,0.0,5,0.000293100416202591,0.0,0.9301834808605428,5.86200832405182e-05,0.9301834808605428
linka080__tu,float64,0.16777246560640063,1.0,99999.0,99998.0,10093.11581041771,98965.56011489536,99999.0,99999.0,137,0.008030951403950994,0.0,5.86200832405182e-05,0.9896242452664282,0.0
linka031__tu,float64,0.16777246560640063,0.0,33.0,33.0,0.35718622024451524,0.01828946597104168,0.0,0.0,10,0.000586200832405182,0.0,0.9896242452664282,5.86200832405182e-05,0.9896242452664282
linka059__tu,float64,0.16777246560640063,0.0,33.0,33.0,0.31665336474764477,0.014537780643648515,0.0,0.0,8,0.0004689606659241456,0.0,0.9914414678468844,5.86200832405182e-05,0.9914414678468844
linka058__tu,float64,0.16777246560640063,0.0,33.0,33.0,0.2911074138765383,0.009203353068761357,0.0,0.0,7,0.0004103405826836274,0.0,0.9949000527580749,5.86200832405182e-05,0.9949000527580749
linka057__tu,float64,0.16777246560640063,0.0,21.0,21.0,0.20479933890895152,0.005627527991089747,0.0,0.0,6,0.0003517204994431092,0.0,0.9969517556714931,5.86200832405182e-05,0.9969517556714931
linka056__tu,float64,0.16777246560640063,0.0,11.0,11.0,0.11530286947888248,0.0035758250776716104,0.0,0.0,6,0.0003517204994431092,0.0,0.9977138167536198,5.86200832405182e-05,0.9977138167536198
linka055__tu,float64,0.16777246560640063,0.0,10.0,10.0,0.09435837713685939,0.0026965238290638373,0.0,0.0,5,0.000293100416202591,0.0,0.998182777419544,5.86200832405182e-05,0.998182777419544
linka038__tu,float64,0.16777246560640063,0.0,3.0,3.0,0.1631150124891994,0.02315493288000469,0.0,0.0,4,0.0002344803329620728,0.0,0.9787795298669324,5.86200832405182e-05,0.9787795298669324
linka047__tu,float64,0.16777246560640063,0.0,8.0,8.0,0.8097118667646214,0.4798053813236415,0.0,0.0,9,0.0005275807491646638,0.0,0.6581862946245384,5.86200832405182e-05,0.6581862946245384
linka013__tu,float64,0.16777246560640063,0.0,39724.75,39724.75,751.4484144019996,271.05667506887863,0.0,0.0,4903,0.28741426812826076,0.0,0.6486312210563339,5.86200832405182e-05,0.6486312210563339
linka016__tu,float64,0.16777246560640063,0.0,6.0,6.0,0.39845313064516813,0.12943314379506418,0.0,0.0,7,0.0004103405826836274,0.0,0.8886218418430154,5.86200832405182e-05,0.8886218418430154
linka014__tu,float64,0.16777246560640063,0.0,8.0,8.0,0.9194767836973842,0.6284072923383551,0.0,0.0,9,0.0005275807491646638,0.0,0.5728940735095844,0.0004103405826836274,0.5728940735095844
linka060__tu,float64,0.16777246560640063,0.0,319.0,319.0,4.477471937162618,0.12163667272407527,0.0,0.0,20,0.001172401664810364,0.0,0.9988275983351896,5.86200832405182e-05,0.9988275983351896
linka041__tu,float64,0.16777246560640063,0.0,9999.99999,9999.99999,3709.358126198349,8238.33486675655,9999.99999,9999.99999,1516,0.08886804619262559,0.0,0.0027551439123043556,0.8156984582918108,0.0027551439123043556
linka019__tu,float64,0.16777246560640063,3.0,99999.0,99996.0,49484.41468720005,51028.15422943901,99999.0,99999.0,1770,0.10375754733571722,0.0,0.0001758602497215546,0.5051878773667858,0.0
linka018__tu,float64,0.16777246560640063,3.0,99999.0,99996.0,49602.73505024921,50911.04578228501,99999.0,99999.0,1779,0.10428512808488188,0.0,0.0004103405826836274,0.5051878773667858,0.0
linka017__tu,float64,0.16777246560640063,0.0,9.0,9.0,1.0585621668192566,0.7917814643296793,0.0,0.0,10,0.000586200832405182,0.0,0.5051878773667858,0.0001758602497215546,0.5051878773667858
linka012__tu,float64,0.16777246560640063,0.0,6.0,6.0,0.5794549887803552,0.265607597162788,0.0,0.0,7,0.0004103405826836274,0.0,0.7875021982531215,0.0001172401664810364,0.7875021982531215
linka062__tu,float64,0.16777246560640063,0.0,2277.0,2277.0,18.462639267088228,0.3483041209918518,0.0,0.0,29,0.001699982413975028,0.0,0.9977138167536198,5.86200832405182e-05,0.9977138167536198
linka061__tu,float64,0.16777246560640063,0.0,1854.0,1854.0,15.031681690131977,0.2691834222404596,0.0,0.0,26,0.0015241221642534732,0.0,0.998182777419544,5.86200832405182e-05,0.998182777419544
linka043__tu,float64,0.16777246560640063,0.0,4.0,4.0,0.1566146350053364,0.02245149188111847,0.0,0.0,5,0.000293100416202591,0.0,0.9786036696172109,5.86200832405182e-05,0.9786036696172109
linka075__tu,float64,0.16777246560640063,0.0,400.0,400.0,5.247122759189632,0.15024327334544815,0.0,0.0,21,0.0012310217480508822,0.0,0.998417257752506,5.86200832405182e-05,0.998417257752506
linka076__tu,float64,0.16777246560640063,0.0,1280.0,1280.0,14.1806483266341,0.4319121871153057,0.0,0.0,41,0.002403423412861246,0.0,0.997068995837974,5.86200832405182e-05,0.997068995837974
linka074__tu,float64,0.16777246560640063,0.0,270.0,270.0,3.500172738822347,0.0827715575356117,0.0,0.0,15,0.000879301248607773,0.0,0.9990034585849112,5.86200832405182e-05,0.9990034585849112
linka073__tu,float64,0.16777246560640063,0.0,270.0,270.0,2.4558641895215283,0.0379858139398558,0.0,0.0,6,0.0003517204994431092,0.0,0.9995896594173164,5.86200832405182e-05,0.9995896594173164
linka085__tu,float64,0.16777246560640063,0.0,99999.0,99999.0,15452.353781313155,97547.05305117533,99999.0,99999.0,189,0.01107919573245794,0.0,0.0001758602497215546,0.9754381851222229,0.0001758602497215546
linka077__tu,float64,0.16777246560640063,0.0,1547.0,1547.0,29.19095484769696,1.4170519960138341,0.0,0.0,83,0.0048654669089630105,0.0,0.9932000703440999,5.86200832405182e-05,0.9932000703440999
linka078__tu,float64,0.16777246560640063,0.0,4800.0,4800.0,53.754909195210246,3.150649510522305,0.0,0.0,176,0.010317134650331204,0.0,0.9843484377747816,5.86200832405182e-05,0.9843484377747816
linka079__tu,float64,0.16777246560640063,0.0,5300.0,5300.0,65.79091636517013,4.998615393633859,0.0,0.0,286,0.016765343806788204,0.0,0.9754381851222229,5.86200832405182e-05,0.9754381851222229
linka083__tu,float64,0.16777246560640063,0.0,880.0,880.0,26.93074852731705,2.846903687203236,0.0,0.0,262,0.01535846180901577,0.0,0.9754381851222229,5.86200832405182e-05,0.9754381851222229
linka084__tu,float64,0.16777246560640063,0.0,99999.0,99999.0,15457.978839416035,97546.15932938625,99999.0,99999.0,161,0.00943783340172343,0.0,0.0002344803329620728,0.9754381851222229,0.0002344803329620728
linka081__tu,float64,0.16777246560640063,17.0,99999.0,99982.0,15388.129998493154,97557.24919397385,99999.0,99999.0,300,0.01758602497215546,0.0,0.0001172401664810364,0.9754381851222229,0.0
linka069__tu,float64,0.16777246560640063,0.0,2.0,2.0,0.04778090391556943,0.0018172225804560644,0.0,0.0,3,0.0001758602497215546,0.0,0.998417257752506,0.0002344803329620728,0.998417257752506
linka068__tu,float64,0.16777246560640063,0.0,2.0,2.0,0.03902354298901873,0.001172401664810364,0.0,0.0,3,0.0001758602497215546,0.0,0.9990034585849112,0.0001758602497215546,0.9990034585849112
linka067__tu,float64,0.16777246560640063,0.0,2.0,2.0,0.02420775207577613,0.0004689606659241456,0.0,0.0,3,0.0001758602497215546,0.0,0.9995896594173164,5.86200832405182e-05,0.9995896594173164
linka082__tu,float64,0.16777246560640063,0.0,740.0,740.0,16.547766989156823,1.1264024854915293,0.0,0.0,116,0.006799929655900112,0.0,0.9896242452664282,5.86200832405182e-05,0.9896242452664282
linka066__tu,float64,0.16777246560640063,0.0,3170.0,3170.0,33.40055460767248,1.6174640951990151,0.0,0.0,116,0.006799929655900112,0.0,0.9896242452664282,5.86200832405182e-05,0.9896242452664282
linka065__tu,float64,0.16777246560640063,0.0,3170.0,3170.0,30.676854711385026,1.2945225394220061,0.0,0.0,98,0.005744768157570784,0.0,0.9914414678468844,5.86200832405182e-05,0.9914414678468844
linka064__tu,float64,0.16777246560640063,0.0,3170.0,3170.0,27.68928014620339,0.8543689548039158,0.0,0.0,66,0.003868925493874201,0.0,0.9949000527580749,5.86200832405182e-05,0.9949000527580749
linka063__tu,float64,0.16777246560640063,0.0,3170.0,3170.0,25.7209213792894,0.5240172343044727,0.0,0.0,39,0.00228618324638021,0.0,0.9969517556714931,5.86200832405182e-05,0.9969517556714931
linka044__tu,float64,0.16777246560640063,0.0,4.0,4.0,0.1947814310166487,0.03493756961134885,0.0,0.0,5,0.000293100416202591,0.0,0.9668796529691072,5.86200832405182e-05,0.9668796529691072
linka045__tu,float64,0.16777246560640063,0.0,5.0,5.0,0.4243871944710675,0.15346737792367665,0.0,0.0,6,0.0003517204994431092,0.0,0.8676944721261505,5.86200832405182e-05,0.8676944721261505
linka042__tu,float64,0.16777246560640063,0.0,2.0,2.0,0.09761387229471152,0.009261973152001876,0.0,0.0,3,0.0001758602497215546,0.0,0.9909138870977197,0.0001758602497215546,0.9909138870977197
linka049__tu,float64,0.16777246560640063,0.0,16.0,16.0,0.4865429768969643,0.1155988041503019,0.0,0.0,11,0.0006448209156457003,0.0,0.9144146784688434,5.86200832405182e-05,0.9144146784688434
linka022__tu,float64,0.16777246560640063,0.0,24.0,24.0,1.4099737942799266,0.7886159798346913,0.0,0.0,19,0.0011137815815698458,0.0,0.6011489536315141,5.86200832405182e-05,0.6011489536315141
linka053__tu,float64,0.16777246560640063,1.0,99999.0,99998.0,47106.34307705661,34558.05615803975,927.0,99999.0,1096,0.06424761123160795,0.0,0.0005275807491646638,0.341286124626297,0.0
linka030__tu,float64,0.16777246560640063,1.0,99999.0,99998.0,47223.467362041745,34395.32921038748,653.0,99999.0,1094,0.06413037106512691,0.0,0.0019930828301776187,0.341286124626297,0.0
linka029__tu,float64,0.16777246560640063,0.0,82.0,82.0,2.7412739917734332,1.678410223342517,1.0,0.0,41,0.002403423412861246,0.0,0.341286124626297,5.86200832405182e-05,0.341286124626297
linka052__tu,float64,0.16777246560640063,0.0,63.0,63.0,2.0886661631236922,1.160970748578463,1.0,0.0,33,0.0019344627469371006,0.0,0.46585380151239814,5.86200832405182e-05,0.46585380151239814
linka039__tu,float64,0.16777246560640063,20.0,99999.0,99979.0,14299.638519282891,97893.5445805733,99999.0,99999.0,218,0.012779178146432969,0.0,0.0001172401664810364,0.9787795298669324,0.0
