indicator,mean_train_target,mean_prod_actual,min_date,max_date,days_delinquent,days_total
DQ30_10,0.12299927169255263,0.4485294117647059,2021-10,2022-02,30,300
DQ30_11,0.13761623278738505,0.4812091503267974,2021-10,2022-02,30,330
DQ30_12,0.1517420097898071,0.502859477124183,2021-10,2022-02,30,360
DQ30_13,0.1658000372622415,0.5259395424836601,2021-10,2022-02,30,390
DQ30_14,0.1788756965498552,0.5433006535947712,2021-10,2022-02,30,420
DQ30_15,0.1912230483901018,0.5631127450980392,2021-10,2022-02,30,450
DQ30_16,0.20502701512508256,0.5829248366013072,2021-10,2022-02,30,480
DQ30_17,0.2185599837401128,0.5988562091503268,2021-10,2022-02,30,510
DQ30_18,0.23197439067766468,0.6137663398692811,2021-10,2022-02,30,540
DQ30_19,0.24466049016784946,0.6301062091503268,2021-10,2022-02,30,570
DQ30_20,0.257770024220457,0.644812091503268,2021-10,2022-02,30,600
DQ30_21,0.26967700411578394,0.6601307189542484,2021-10,2022-02,30,630
DQ30_22,0.28073711488626546,0.6762663398692811,2021-10,2022-02,30,660
DQ30_23,0.291424603241815,0.6868872549019608,2021-10,2022-02,30,690
DQ30_24,0.30209515421486766,0.6964869281045751,2021-10,2022-02,30,720
DQ60_3,0.0027269185820023374,0.05718954248366013,2021-10,2022-02,60,90
DQ60_4,0.008350129570976101,0.08537581699346405,2021-10,2022-02,60,120
DQ60_5,0.01578564048711912,0.11315359477124183,2021-10,2022-02,60,150
DQ60_6,0.02479632797547467,0.1460375816993464,2021-10,2022-02,60,180
DQ60_7,0.03350214257888586,0.18218954248366012,2021-10,2022-02,60,210
DQ60_8,0.04283464033468268,0.2048611111111111,2021-10,2022-02,60,240
DQ60_9,0.050439525075794786,0.21691176470588236,2021-10,2022-02,60,270
DQ60_10,0.055385240764892193,0.22773692810457516,2021-10,2022-02,60,300
DQ60_11,0.06050033027895869,0.24019607843137256,2021-10,2022-02,60,330
DQ60_12,0.06905370843989769,0.25980392156862747,2021-10,2022-02,60,360
DQ60_13,0.07792889686827797,0.2785947712418301,2021-10,2022-02,60,390
DQ60_14,0.08719364509408715,0.3053513071895425,2021-10,2022-02,60,420
DQ60_15,0.0967463288223438,0.32945261437908496,2021-10,2022-02,60,450
DQ60_16,0.10607882657814062,0.3539624183006536,2021-10,2022-02,60,480
DQ60_17,0.11590250842634779,0.37806372549019607,2021-10,2022-02,60,510
DQ60_18,0.12584475195203335,0.40155228758169936,2021-10,2022-02,60,540
DQ60_19,0.13627817957012922,0.41911764705882354,2021-10,2022-02,60,570
DQ60_20,0.14652529598075914,0.443218954248366,2021-10,2022-02,60,600
DQ60_21,0.15597635541403432,0.46282679738562094,2021-10,2022-02,60,630
DQ60_22,0.1660202232347013,0.4805964052287582,2021-10,2022-02,60,660
DQ60_23,0.1749123490455785,0.49264705882352944,2021-10,2022-02,60,690
DQ60_24,0.18349960197151133,0.4963235294117647,2021-10,2022-02,60,720
DQ90_4,0.0019647363696414354,0.05923202614379085,2021-10,2022-02,90,120
DQ90_5,0.0062837689063532124,0.08149509803921569,2021-10,2022-02,90,150
DQ90_6,0.012144103250283702,0.10600490196078431,2021-10,2022-02,90,180
DQ90_7,0.01910536745651327,0.13398692810457516,2021-10,2022-02,90,210
DQ90_8,0.02594806998526448,0.15257352941176472,2021-10,2022-02,90,240
DQ90_9,0.032638336071543504,0.16237745098039216,2021-10,2022-02,90,270
DQ90_10,0.038176860148032725,0.16973039215686275,2021-10,2022-02,90,300
DQ90_11,0.0415473992649176,0.17973856209150327,2021-10,2022-02,90,330
DQ90_12,0.04507037482427466,0.1983251633986928,2021-10,2022-02,90,360
DQ90_13,0.052421198827933134,0.21507352941176472,2021-10,2022-02,90,390
DQ90_14,0.06005995833403906,0.23937908496732027,2021-10,2022-02,90,420
DQ90_15,0.0686641486424688,0.2587826797385621,2021-10,2022-02,90,450
DQ90_16,0.07648921935604072,0.2824754901960784,2021-10,2022-02,90,480
DQ90_17,0.08451753865957555,0.29901960784313725,2021-10,2022-02,90,510
DQ90_18,0.0931556037329991,0.3180147058823529,2021-10,2022-02,90,540
DQ90_19,0.10223404075134229,0.33312908496732024,2021-10,2022-02,90,570
DQ90_20,0.1113802272996731,0.346609477124183,2021-10,2022-02,90,600
DQ90_21,0.12000135499059976,0.36233660130718953,2021-10,2022-02,90,630
DQ90_22,0.1282667976490913,0.3786764705882353,2021-10,2022-02,90,660
DQ90_23,0.13731135990244067,0.3845996732026144,2021-10,2022-02,90,690
DQ90_24,0.1451194932335157,0.38623366013071897,2021-10,2022-02,90,720
