Feature,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Reason,Description
fi36s__tu,"(-inf, 0.50)",6380,0.25501638820049566,4437,1943,0.30454545454545456,-0.1516790380606503,0.006063835105741941,0.0007572536198540945,Delinquent credit obligations,Months since most recent finance installment delinquency
fi36s__tu,"[0.50, 4.50)",9269,0.3704932448636981,6688,2581,0.27845506527133457,-0.025286385016195845,0.00023824626286340076,2.9779989472006243e-05,Delinquent credit obligations,Months since most recent finance installment delinquency
fi36s__tu,"[4.50, 16.50)",1886,0.07538572227995843,1409,477,0.25291622481442205,0.10569468094821943,0.000821716454673701,0.00010266677261286318,Delinquent credit obligations,Months since most recent finance installment delinquency
fi36s__tu,"[16.50, inf)",7483,0.2991046446558478,5644,1839,0.24575704931177336,0.14394674830626408,0.005991862967633343,0.0007483368974810552,Delinquent credit obligations,Months since most recent finance installment delinquency
fi36s__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Delinquent credit obligations,Months since most recent finance installment delinquency
fi36s__tu,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Delinquent credit obligations,Months since most recent finance installment delinquency
fi36s__tu,,25018,1.0,18178,6840,0.2734031497321928,,0.013115660790912385,0.0016380372794200192,Delinquent credit obligations,Months since most recent finance installment delinquency
g002s__tu,"(-inf, 0.50)",16140,0.6451355024382445,11913,4227,0.26189591078066915,0.05871337917045161,0.0021941288382043753,0.0002742267171137146,Delinquent credit obligations,Number of 60 days past due ratings in past 12 months
g002s__tu,"[0.50, inf)",8878,0.35486449756175553,6265,2613,0.2943230457310205,-0.10294473825256345,0.0038470621540213417,0.00048067053952007,Delinquent credit obligations,Number of 60 days past due ratings in past 12 months
g002s__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Delinquent credit obligations,Number of 60 days past due ratings in past 12 months
g002s__tu,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Delinquent credit obligations,Number of 60 days past due ratings in past 12 months
g002s__tu,,25018,1.0,18178,6840,0.2734031497321928,,0.006041190992225717,0.0007548972566337846,Delinquent credit obligations,Number of 60 days past due ratings in past 12 months
g232s__tu,"(-inf, 2.50)",1779,0.07110880166280278,1392,387,0.2175379426644182,0.3026478078024636,0.006052088648970951,0.0007536370244626729,Excessive inquiries,Number of inquiries (includes duplicates)
g232s__tu,"[2.50, 3.50)",1333,0.05328163722120074,1022,311,0.23330832708177043,0.21229951852229612,0.002283062721578888,0.0002848481069540852,Excessive inquiries,Number of inquiries (includes duplicates)
g232s__tu,"[3.50, 4.50)",1635,0.06535294587896714,1231,404,0.2470948012232416,0.13674290816118384,0.0011834953139943463,0.00014782176287666095,Excessive inquiries,Number of inquiries (includes duplicates)
g232s__tu,"[4.50, 6.50)",3243,0.1296266687984651,2426,817,0.251927227875424,0.11093565458187304,0.0015546058634804643,0.00019422614786569455,Excessive inquiries,Number of inquiries (includes duplicates)
g232s__tu,"[6.50, 7.50)",1448,0.05787832760412503,1058,390,0.26933701657458564,0.020564533232433013,2.4362362584820626e-05,3.045241663592426e-06,Excessive inquiries,Number of inquiries (includes duplicates)
g232s__tu,"[7.50, 12.50)",6065,0.2424254536733552,4419,1646,0.2713932399010717,0.010140983831605221,2.4873554829566775e-05,3.109181030937799e-06,Excessive inquiries,Number of inquiries (includes duplicates)
g232s__tu,"[12.50, 31.50)",8055,0.32196818290830603,5658,2397,0.2975791433891993,-0.11857182263499144,0.004646027337518515,0.0005804134489452179,Excessive inquiries,Number of inquiries (includes duplicates)
g232s__tu,"[31.50, inf)",1460,0.058357982252778,972,488,0.33424657534246577,-0.2883839414548278,0.005154516974008695,0.0006420911723262132,Excessive inquiries,Number of inquiries (includes duplicates)
g232s__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Excessive inquiries,Number of inquiries (includes duplicates)
g232s__tu,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Excessive inquiries,Number of inquiries (includes duplicates)
g232s__tu,,25018,1.0,18178,6840,0.2734031497321928,,0.02092303277696625,0.0026091920861250747,Excessive inquiries,Number of inquiries (includes duplicates)
in21s__tu,"(-inf, 0.50)",2074,0.08290031177552162,1447,627,0.30231436837029896,-0.14112315406355647,0.0017026438408353816,0.00021265404422256577,Insufficient credit history,Months since most recent installment trade opened
in21s__tu,"[0.50, 16.50)",10752,0.429770565193061,7631,3121,0.2902715773809524,-0.08335890504326582,0.0030420492938576338,0.00038014610460763813,Insufficient credit history,Months since most recent installment trade opened
in21s__tu,"[16.50, 33.50)",4767,0.19054280917739227,3469,1298,0.2722886511432767,0.005617409643594695,6.004974364842345e-06,7.506208086864585e-07,Insufficient credit history,Months since most recent installment trade opened
in21s__tu,"[33.50, 41.50)",1610,0.06435366536094013,1194,416,0.25838509316770186,0.0769546936291644,0.00037439075214468806,4.678729977301236e-05,Insufficient credit history,Months since most recent installment trade opened
in21s__tu,"[41.50, 83.50)",4510,0.1802702054520745,3410,1100,0.24390243902439024,0.15397777142898128,0.00412208969568081,0.0005147527976347944,Insufficient credit history,Months since most recent installment trade opened
in21s__tu,"[83.50, inf)",1305,0.052162443041010476,1027,278,0.21302681992337164,0.3293517561758018,0.005221407539467694,0.0006497419557219058,Insufficient credit history,Months since most recent installment trade opened
in21s__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Insufficient credit history,Months since most recent installment trade opened
in21s__tu,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Insufficient credit history,Months since most recent installment trade opened
in21s__tu,,25018,1.0,18178,6840,0.2734031497321928,,0.014468586096351049,0.001804832822768603,Insufficient credit history,Months since most recent installment trade opened
in30s__tu,"(-inf, 98.50)",2872,0.11479734591094412,2228,644,0.22423398328690808,0.26373653488070137,0.0074937286769239985,0.0009340106944322486,Excessive Account Balances,Percentage of open installment trades > 50% of credit line verified in past 12 months
in30s__tu,"[98.50, inf)",22146,0.8852026540890559,15950,6196,0.2797796441795358,-0.031869433385888324,0.0009055282651270814,0.0001131862432302835,Excessive Account Balances,Percentage of open installment trades > 50% of credit line verified in past 12 months
in30s__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Excessive Account Balances,Percentage of open installment trades > 50% of credit line verified in past 12 months
in30s__tu,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Excessive Account Balances,Percentage of open installment trades > 50% of credit line verified in past 12 months
in30s__tu,,25018,1.0,18178,6840,0.2734031497321928,,0.00839925694205108,0.001047196937662532,Excessive Account Balances,Percentage of open installment trades > 50% of credit line verified in past 12 months
rp01s__tu,"(-inf, 0.50)",21636,0.8648173315213047,15882,5754,0.26594564614531335,0.03786678728154358,0.0012293606023524883,0.00015366089484665502,"Garnishment, or attachment, or foreclosure, or repossession, or suit",Number of repossession trades
rp01s__tu,"[0.50, inf)",3382,0.13518266847869534,2296,1086,0.3211117681845062,-0.2287570831165433,0.007426691453954453,0.0009263175605069779,"Garnishment, or attachment, or foreclosure, or repossession, or suit",Number of repossession trades
rp01s__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,"Garnishment, or attachment, or foreclosure, or repossession, or suit",Number of repossession trades
rp01s__tu,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,"Garnishment, or attachment, or foreclosure, or repossession, or suit",Number of repossession trades
rp01s__tu,,25018,1.0,18178,6840,0.2734031497321928,,0.008656052056306941,0.001079978455353633,"Garnishment, or attachment, or foreclosure, or repossession, or suit",Number of repossession trades
s068b__tu,"(-inf, 0.50)",3442,0.1375809417219602,2555,887,0.25769901220220803,0.08053818026610571,0.0008759456414152267,0.00010946362241432165,Delinquent credit obligations,Number of non-medical third party collections
s068b__tu,"[0.50, inf)",21576,0.8624190582780398,15623,5953,0.27590841675936223,-0.01257544680360645,0.00013677249448736323,1.7096449158341027e-05,Delinquent credit obligations,Number of non-medical third party collections
s068b__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Delinquent credit obligations,Number of non-medical third party collections
s068b__tu,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Delinquent credit obligations,Number of non-medical third party collections
s068b__tu,,25018,1.0,18178,6840,0.2734031497321928,,0.00101271813590259,0.00012656007157266268,Delinquent credit obligations,Number of non-medical third party collections
st20s__tu,"(-inf, 115.50)",19793,0.7911503717323527,14228,5565,0.28116000606274943,-0.0387094707034189,0.0011958177422661156,0.00014946788597739163,"Insufficient credit file, Length of Credit",Months since oldest student loan trade opened
st20s__tu,"[115.50, 162.50)",2633,0.1052442241586058,1966,667,0.25332320546904674,0.10354191472936847,0.00110148843405709,0.0001376245821124284,"Insufficient credit file, Length of Credit",Months since oldest student loan trade opened
st20s__tu,"[162.50, 196.50)",1321,0.05280198257254776,993,328,0.24829674489023468,0.1302927155989092,0.000869476539906672,0.00010860775559736174,"Insufficient credit file, Length of Credit",Months since oldest student loan trade opened
st20s__tu,"[196.50, inf)",1271,0.050803421536493726,991,280,0.22029897718332023,0.2865005910986188,0.003890900334260553,0.0004847059264131083,"Insufficient credit file, Length of Credit",Months since oldest student loan trade opened
st20s__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,"Insufficient credit file, Length of Credit",Months since oldest student loan trade opened
