Feature,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Reason,Description
ENG-wtd_avg,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Derogatory Payments on Accounts,Weighted average of payment history string of most recent open or closed auto loan
ENG-wtd_avg,,25018,1.0,12865,12153,0.4857702454232952,,0.027142416286169625,0.003387791728031579,Derogatory Payments on Accounts,Weighted average of payment history string of most recent open or closed auto loan
ENG-franchise,"(-inf, 0.50)",8691,0.34738987928691345,4213,4478,0.515245656426188,-0.11793592802472805,0.004834316144088682,0.0006039395533683697,Dealer application source,Tag to indicate franchise dealer
ENG-franchise,"[0.50, inf)",16327,0.6526101207130866,8652,7675,0.4700802351932382,0.06288782177250699,0.0025778371116701518,0.0003221765503336454,Dealer application source,Tag to indicate franchise dealer
ENG-franchise,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Dealer application source,Tag to indicate franchise dealer
ENG-franchise,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Dealer application source,Tag to indicate franchise dealer
ENG-franchise,,25018,1.0,12865,12153,0.4857702454232952,,0.007412153255758834,0.0009261161037020151,Dealer application source,Tag to indicate franchise dealer
ENG-loan_to_value,"(-inf, 0.66)",32,0.0012790790630745864,28,4,0.125,1.888975756210269,0.0034895254811406853,0.00038107544984461407,Value or type of collateral not sufficient,Loan to value
ENG-loan_to_value,"[0.66, 0.78)",63,0.002518186905428092,47,16,0.25396825396825395,1.020624486625233,0.002384970412146132,0.00028582039062299304,Value or type of collateral not sufficient,Loan to value
ENG-loan_to_value,"[0.78, 0.89)",178,0.007114877288352387,122,56,0.3146067415730337,0.7217349611530631,0.0035185863496019396,0.00043051916466586957,Value or type of collateral not sufficient,Loan to value
ENG-loan_to_value,"[0.89, 1.01)",942,0.03765288991925814,553,389,0.4129511677282378,0.294844265058844,0.0032362946952194734,0.0004030778575575479,Value or type of collateral not sufficient,Loan to value
ENG-loan_to_value,"[1.01, 1.13)",3089,0.12347110080741866,1686,1403,0.4541922952411784,0.12681166561429535,0.0019793397668104464,0.00024725182197404003,Value or type of collateral not sufficient,Loan to value
ENG-loan_to_value,"[1.13, 1.25)",6422,0.256695179470781,3299,3123,0.4862971037060106,-0.002109078899541289,1.141868886993151e-06,1.4273358441956865e-07,Value or type of collateral not sufficient,Loan to value
ENG-loan_to_value,"[1.25, 1.60)",14258,0.5699096650411704,7117,7141,0.5008416327675691,-0.06030092709488323,0.0020734574665400313,0.0002591429221752966,Value or type of collateral not sufficient,Loan to value
ENG-loan_to_value,"[1.60, inf)",34,0.001359021504516748,13,21,0.6176470588235294,-0.5365074731069306,0.00038493060034145565,4.754742871458751e-05,Value or type of collateral not sufficient,Loan to value
ENG-loan_to_value,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Value or type of collateral not sufficient,Loan to value
ENG-loan_to_value,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Value or type of collateral not sufficient,Loan to value
ENG-loan_to_value,,25018,1.0,12865,12153,0.4857702454232952,,0.01706824664068716,0.0020545777691393682,Value or type of collateral not sufficient,Loan to value
ENG-bk,"(-inf, 0.50)",20770,0.8302022543768487,10300,10470,0.5040924410207029,-0.07330452249189978,0.004463793345957739,0.0005578492724767903,Excessive Number of Accounts,Flag for Open BK
