feature,dtype,propna,min,max,range,std,mean,median,mode,n_unique,prop_unique,prop_negative,prop_min,prop_max,prop_zero
hr27s__tu,float64,0.0,-6.0,1.0,7.0,0.26454090744069675,-1.0234446333000884,-1.0,-1.0,7,9.832979814297153e-05,0.9991712202727949,0.00014047114020424503,0.0003230836224697636,0.0005056961047352821
hr25s__tu,float64,0.0,-4.0,1.0,5.0,0.25882725796324557,-1.0224894295466995,-1.0,-1.0,6,8.428268412254703e-05,0.9990307491325907,0.005815505204455744,0.0004354605346331596,0.0005337903327761311
hr24s__tu,float64,0.0,-4.0,1.0,5.0,0.25882725796324557,-1.0224894295466995,-1.0,-1.0,6,8.428268412254703e-05,0.9990307491325907,0.005815505204455744,0.0004354605346331596,0.0005337903327761311
hr21s__tu,float64,0.0,-4.0,311.0,315.0,8.094337652920471,-0.5942491115200382,-1.0,-1.0,153,0.002149208445124949,0.995799912907893,0.005815505204455744,1.4047114020424503e-05,0.0003792720785514616
hr20s__tu,float64,0.0,-4.0,311.0,315.0,8.454850256553893,-0.5720125300257062,-1.0,-1.0,154,0.0021632555591453734,0.995799912907893,0.005815505204455744,1.4047114020424503e-05,0.0003792720785514616
hr12s__tu,float64,0.0,-4.0,1.0,5.0,0.2595722503411864,-1.022334911292475,-1.0,-1.0,5,7.023557010212251e-05,0.9990167020185703,0.005815505204455744,0.0005618845608169801,0.0004214134206127351
hr09s__tu,float64,0.0,-4.0,2.0,6.0,0.23969935608962142,-1.0128952506707496,-1.0,-1.0,5,7.023557010212251e-05,0.995799912907893,0.005815505204455744,1.4047114020424503e-05,0.0038629563556167386
hr06s__tu,float64,0.0,-4.0,1.0,5.0,0.2375920562942827,-1.0132183342932195,-1.0,-1.0,4,5.6188456081698014e-05,0.995799912907893,0.005815505204455744,2.8094228040849007e-05,0.004171992864066078
hr03s__tu,float64,0.0,-4.0,1.0,5.0,0.25882725796324557,-1.0224894295466995,-1.0,-1.0,6,8.428268412254703e-05,0.9990307491325907,0.005815505204455744,0.0004354605346331596,0.0005337903327761311
hr02s__tu,float64,0.0,-4.0,1.0,5.0,0.24123162880580482,-1.012642402618382,-1.0,-1.0,4,5.6188456081698014e-05,0.995799912907893,0.005815505204455744,0.0006040259028782536,0.003596061189228673
in21s__tu,float64,0.0,-4.0,456.0,460.0,30.501673559648584,26.441135568697412,16.0,-1.0,283,0.003975333267780134,0.08092542387166557,0.005815505204455744,1.4047114020424503e-05,0.0009271095253480172
in24s__tu,float64,0.0,-6.0,51.0,57.0,4.2605938673970245,0.02713902428746014,0.0,-3.0,44,0.0006180730168986782,0.4877860343592409,0.05656772816024948,1.4047114020424503e-05,0.052325499726081276
in25s__tu,float64,0.0,-6.0,49.0,55.0,4.368209956643517,-0.5096573908890418,-1.0,-3.0,44,0.0006180730168986782,0.5503097388641504,0.11893691441093428,1.4047114020424503e-05,0.051763615165264294
in27s__tu,float64,0.0,-6.0,45.0,51.0,4.42281691457753,-1.2724297293121127,-3.0,-3.0,44,0.0006180730168986782,0.6428661731447274,0.21135287755130708,1.4047114020424503e-05,0.04464172835690907
lm16s__tu,float64,0.0,-4.0,456450.0,456454.0,12604.808465155518,811.1227858236525,-1.0,-1.0,323,0.004537217828597115,0.9945637668740958,0.005815505204455744,1.4047114020424503e-05,0.0003792720785514616
lm15s__tu,float64,0.0,-5.0,471535.0,471540.0,8016.689994199844,345.8176684600149,-1.0,-1.0,159,0.002233491129247496,0.9963056090126283,0.0017418421385326384,1.4047114020424503e-05,0.001334475831940328
lm14s__tu,float64,0.0,-4.0,143.0,147.0,3.1415883049316675,-0.8615516442146961,-1.0,-1.0,93,0.001306381603899479,0.9945637668740958,0.005815505204455744,1.4047114020424503e-05,0.0004495076486535841
lm13s__tu,float64,0.0,-4.0,2.0,6.0,0.3127581282316004,-0.01819101265644973,0.0,0.0,4,5.6188456081698014e-05,0.005815505204455744,0.005815505204455744,1.4047114020424503e-05,0.9891275337481914
