accountid,applicationdate__app,request_datetime,ENG-bk,ENG-loan_to_value,rp01s__tu,g232s__tu,ENG-wtd_avg,tag_policy_decline,tag_policy_approval,pd_gen12,lgd_gen12,pd_gen13,lgd_gen13,has_inst_tag,ecnl_gen12,tag_approved_gen12,ecnl_gen13,tag_approved_gen13,ecnl_policy,tag_approved_policy
8609662,01/31/2025 06:52:34,2025-01-31 16:16:42-07:00,1.0,1.27,0.0,19.0,1.0,0.0,0.0,0.1973447324970604,0.6817220731456981,0.3963504194959751,0.31672530923551634,0,0.317500853982979,1,0.2962607336659548,1,0.317500853982979,1
8616518,02/03/2025 08:17:34,2025-02-04 17:04:55-07:00,1.0,1.1423959957926808,0.0,9.0,0.7355072463768116,0.0,0.0,0.048807011574512574,0.5525016897548216,0.20702930102151434,0.2596410016840132,0,0.06363965702565115,1,0.1268577764245943,1,0.06363965702565115,1
8619606,02/03/2025 21:51:22,2025-02-11 16:48:28-07:00,0.0,1.2849591294071303,0.0,16.0,1.0,0.0,0.0,0.1882557143797407,0.6305188450621482,0.22635884706232798,0.39004257415648635,0,0.28012911043267047,1,0.20836342624343215,1,0.28012911043267047,1
8625176,02/05/2025 20:50:17,2025-02-07 01:27:12-07:00,1.0,1.27,0.0,7.0,0.45454545454545453,0.0,0.0,0.1389566021401604,0.6246979243927748,0.4956930758687024,0.31672530923551634,0,0.20486192621280871,1,0.37051656086738893,0,0.20486192621280871,1
8625181,02/05/2025 21:57:14,2025-02-11 16:35:05-07:00,0.0,1.27,0.0,8.0,0.875,0.0,0.0,0.19491958513495336,0.6423571119679957,0.3761209316608098,0.39004257415648635,0,0.29549083698496087,1,0.3462194962547188,1,0.29549083698496087,1
8625460,02/06/2025 08:46:28,2025-02-06 15:47:12-07:00,1.0,1.2640486517065812,0.0,5.0,0.8257918552036199,0.0,0.0,0.0987386948243974,0.6591875891798302,0.37934360356053354,0.31672530923551634,1,0.1536060803921357,1,0.28354861954037125,1,0.1536060803921357,1
8627470,02/06/2025 16:10:41,2025-02-06 23:11:16-07:00,1.0,1.2169433962264151,0.0,4.0,0.9263157894736842,0.0,0.0,0.11276945654620858,0.6226301275480959,0.2895663569010809,0.2938038635922092,0,0.1657042402264329,1,0.2007786860403052,1,0.1657042402264329,1
8628623,02/07/2025 09:48:09,2025-02-10 22:21:36-07:00,1.0,1.27,0.0,18.0,1.0,0.0,0.0,0.2414601505865442,0.6929835297717803,0.36287229690509826,0.31672530923551634,1,0.39489386158834605,0,0.27123678346263563,1,0.39489386158834605,0
8630560,02/07/2025 15:29:10,2025-02-07 22:29:54-07:00,1.0,1.0026067776218168,0.0,3.0,0.6723773380319871,0.0,0.0,0.14175847822091595,0.5647642167478334,0.17548873199812798,0.17289834384226316,0,0.18894187357072892,1,0.07160643825607403,1,0.18894187357072892,1
8636912,02/10/2025 13:52:44,2025-02-11 23:18:20-07:00,1.0,1.1913513513513514,0.0,11.0,0.527027027027027,0.0,0.0,0.08623168127415122,0.6996441760059899,0.26824293995917087,0.2899966430839025,0,0.14238232487396865,1,0.1835833430011146,1,0.14238232487396865,1
8638170,02/10/2025 18:45:10,2025-02-11 19:28:40-07:00,1.0,1.27,0.0,5.0,0.9566736547868623,0.0,0.0,0.0739836159514654,0.6614712224576513,0.26217393676235645,0.31672530923551634,0,0.11549375760919757,1,0.1959676060191381,1,0.11549375760919757,1
8641476,02/12/2025 09:20:49,2025-02-12 21:55:06-07:00,1.0,1.321855023519479,0.0,10.0,1.0,0.0,0.0,0.09504729542442736,0.6234002341699336,0.21725904748004304,0.3232454576829602,0,0.1398359146905442,1,0.16573808056274317,1,0.1398359146905442,1
8642518,02/12/2025 13:00:32,2025-02-12 20:01:34-07:00,1.0,1.2327540983606557,0.0,1.0,1.0,0.0,0.0,0.06399323483202726,0.5577725072006035,0.20547488370844036,0.2938038635922092,0,0.08423705420528292,1,0.1424715827030912,1,0.08423705420528292,1
8643860,02/12/2025 18:43:32,2025-02-13 01:44:03-07:00,1.0,1.2870642718568122,0.0,4.0,1.0,0.0,0.0,0.01963347974578247,0.5880904475862956,0.14638662175449493,0.31672530923551634,0,0.02724917806364189,1,0.10941986138179853,1,0.02724917806364189,1
8648524,02/14/2025 12:52:57,2025-02-14 23:20:44-07:00,1.0,1.2,0.0,2.0,,0.0,0.0,0.1146276941251684,0.6655774526056022,0.3557806995998191,0.2899966430839025,1,0.18005291642316562,1,0.2434934921968561,1,0.18005291642316562,1
8650740,02/15/2025 09:59:53,2025-02-15 17:01:10-07:00,1.0,1.2986821108237496,0.0,11.0,1.0,0.0,0.0,0.13476126318291942,0.6132807045160464,0.3141815579708197,0.3232454576829602,0,0.19504569852605189,1,0.23967631714430251,1,0.19504569852605189,1
8652021,02/15/2025 13:27:41,2025-02-20 23:04:25-07:00,1.0,1.0,0.0,6.0,1.0,0.0,0.0,0.17990336344610067,0.6687451660697656,0.42379736531764356,0.17289834384226316,1,0.2839304310076819,1,0.17292631570799893,1,0.2839304310076819,1
8653956,02/17/2025 08:44:00,2025-02-17 17:11:17-07:00,1.0,0.7504885582802748,0.0,22.0,1.0,0.0,0.0,0.18769378569115755,0.6351875782647257,0.20173052694733645,0.01,0,0.2813609964048713,1,0.004760840435957141,1,0.2813609964048713,1
8654583,02/17/2025 10:56:51,2025-02-17 17:57:42-07:00,1.0,1.0398716501277556,0.0,25.0,0.7944664031620553,0.0,0.0,0.11091691714872882,0.5712762830035952,0.32801106215627623,0.2596410016840132,0,0.14953952179622673,1,0.2009896849503947,1,0.14953952179622673,1
