feature,pricing_pd__model6,pricing_lgd__model6,pricing_pd__model3,pricing_lgd__model3,pricing_pd__model4,pricing_lgd__model4,pricing_pd__model5,pricing_lgd__model5,pricing_pd__noPTImodel7,pricing_lgd__noPTImodel7,pricing_pd__maybePTImodel7,pricing_lgd__maybePTImodel7,pricing_pd__yesPTImodel7,pricing_lgd__yesPTImodel7,eng,app,ln,tu,sum,description
addrcurrentdwelltype__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,Current dwelling type
fltdowncash__app,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,8.0,Cash Down
bookvalue__app,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,8.0,Book value
subjectstabilityindex__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0,0,1,0,8.0,Modeled risk index indicating the subject's stability in fulfilling a credit obligation on the basis of address history and non-derogatory public records on file
miles_odometer__app,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,8.0,Miles on vehicle
assetpropevercount__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,Total number of real property ever owned based on real property ownership records on subject's file
assetpropindex__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,Index indicating level of historical property ownership based on real property ownership records on subject's file
ENG-vehicle_age,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,8.0,Age of vehicle (years)
jt41s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of joint installment or joint mortgage trades
addrinputavmvalue12month__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,Indicates input address AVM value on file 12 months ago
addrcurrenttimenewest__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,Time (in months) since the subject was most recently reported at the current address on subject's file
in20s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Months since oldest installment trade opened
alertregulatorycondition__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,"Indicates subject has an alert on their file that is associated with state or federal regulations, consumer identity conditions, or bankruptcies on file"
g206b__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Total monthly obligation for joint account verified in past 12 months and with a current balance > 0  (ATTR14)
addrcurrenttimeoldest__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,Time (in months) since the subject was first reported at the current address on subject's file
g041c__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of real estate trades 30 or more days past due ever
addrinputlastsaleprice__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,Indicates last recorded sale price on file for the input address
rev233__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Aggregate Excess Payment for Revolving accounts over the past 6 months
br01s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of bank revolving trades
linkt002__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of months at current address
linkf031__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of satisfactory ACH transactions within last 7 years
subjectactivityindex12month__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,A risk index summarizing derogatory and non-derogatory source activity for the subject as reported on file within the past 12 months
addrpreviousdwelltype__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,Previous dwelling type
linka072__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of paid non-sufficient funds in the last 2 years
addrinputdwelltypeindex__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,Index indicating the dwelling type on file for the input address
au101s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Total balance of all auto trades verified in past 12 months
g216s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of trades with a delinquency of 90 or more days past due since opening a new trade (within past 24 months)
bitdealertrack__app,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,8.0,From Dealertrack
g303s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Worst rating on revolving trades
g302s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Worst rating on revolving trades in past 12 months
g207s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Total monthly obligation for all accounts
addrinputsubjectcount__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,"Total number of unique subjects on file currently reported at the input address, if the address has been designated as a single family dwelling unit"
s204s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Total balance of third party collections verified in past 12 months
linka050__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of checking account inquiries in the last 6 months
linka045__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of checking account closures for cause in the last year
rev84__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Months since a Revolving trade last exceeded 90% utilization
