,feature,median__pd,median__parse,median_diff
724,inputprovidedssn__ln,3.0,3.0,0.0
1427,g220b__tu,2.0,2.0,0.0
1482,br35s__tu,-1.0,-1.0,0.0
582,se12s__tu,-1.0,-1.0,0.0
589,se29s__tu,-1.0,-1.0,0.0
1834,agg901__tu,1.0,1.0,0.0
769,subjectnewestrecord12month__ln,1.0,1.0,0.0
1633,hi02s__tu,-1.0,-1.0,0.0
1473,fc03s__tu,-1.0,-1.0,0.0
179,ret52__tu,-1.0,-1.0,0.0
193,bitdealerapplicantsamestate__app,1.0,1.0,0.0
1660,hr20s__tu,-1.0,-1.0,0.0
394,of06s__tu,-1.0,-1.0,0.0
1595,mt31s__tu,-1.0,-1.0,0.0
84,rvdex01__tu,-1.0,-1.0,0.0
398,pb20s__tu,-1.0,-1.0,0.0
142,rev254__tu,-1.0,-1.0,0.0
1504,fr09s__tu,-1.0,-1.0,0.0
327,st45s__tu,-1.0,-1.0,0.0
1608,lm28s__tu,-1.0,-1.0,0.0
409,pb21s__tu,-1.0,-1.0,0.0
150,ret122__tu,-1.0,-1.0,0.0
326,st36s__tu,-1.0,-1.0,0.0
850,addrinputtaxyr__ln,-1.0,-1.0,0.0
1967,indexq4__tu,-1.0,-1.0,0.0
130,aut252__tu,-1.0,-1.0,0.0
833,addrcurrenttaxyr__ln,-1.0,-1.0,0.0
85,rvdex02__tu,-2.0,-2.0,0.0
1894,bi21s__tu,-1.0,-1.0,0.0
1978,walshrs1__tu,-1.0,-1.0,0.0
1818,trv13__tu,-1.0,-1.0,0.0
1609,lm29s__tu,-1.0,-1.0,0.0
537,st103s__tu,-1.0,-1.0,0.0
58,ret320__tu,-1.0,-1.0,0.0
67,bkc325__tu,-1.0,-1.0,0.0
43,ret325__tu,-1.0,-1.0,0.0
256,bkc14__tu,-1.0,-1.0,0.0
1693,br03s__tu,-1.0,-1.0,0.0
1945,index02__tu,-2.0,-2.0,0.0
254,bkc12__tu,-1.0,-1.0,0.0
387,mt101s__tu,-1.0,-1.0,0.0
581,se09s__tu,-1.0,-1.0,0.0
384,mt36s__tu,-1.0,-1.0,0.0
1617,g230s__tu,-1.0,-1.0,0.0
255,bkc13__tu,-1.0,-1.0,0.0
1734,rvlr02__tu,-1.0,-1.0,0.0
1556,lm15s__tu,-1.0,-1.0,0.0
