,feature,mean__pd,mean__parse,mean_diff
788,linkc006__tu,0.2690637065637065,0.0856324603209304,103.43006965870943
372,of57s__tu,32.969374438245715,10.560545498841185,102.95828235747575
335,hrap01__tu,2.569326331181241,0.8358434261728828,101.81477156987935
149,ret112__tu,0.2903796653796653,0.0947925320274583,101.55828207167983
902,linkf192__tu,12.014358108108109,36.68477547986533,101.31768495302241
268,rle904__tu,692.121559325006,227.1931059394457,101.14675006338949
1038,linkf131__tu,0.2259089446589446,0.6853438852695554,100.83588780660568
1952,cv28__tu,0.8628941441441441,2.6051768615276987,100.47560817146739
1860,bc12s__tu,-1.1492117117117118,-0.3831708276857155,99.98037230667265
566,jt33s__tu,13171.814783532738,4444.021636789164,99.09030645487893
930,linkf200__tu,0.8186616365199353,0.2763452881793745,99.05258790751147
479,rets123__tu,46.66514352971055,16.10304127288099,97.38087011102392
1795,agg801__tu,23.519364011238707,68.11410106271677,97.33286199640399
1031,linkf124__tu,125.35109620206612,361.0968140976007,96.9253697689062
1850,cv24__tu,24.91156026032857,71.51623466345086,96.66232529730785
302,rt02s__tu,-0.061534749034749,-0.1760745048314459,96.41018094455005
501,rets106__tu,41.42598001238582,14.512430614958475,96.22564922955188
174,ret11__tu,1.4903474903474905,0.5232171745879061,96.06151047457062
467,au207s__tu,-0.0236084298584298,-0.0671811464299768,95.98616570944617
87,rvlr65__tu,-0.4285714285714285,-0.1506930173582265,95.94181488809936
1463,co07s__tu,2440.8433706438595,859.2422404267129,95.85212728490782
1794,agg802__tu,22.81370387635731,64.63504185411445,95.64765652935918
1273,linkf069__tu,0.2532175032175032,0.7171964496523983,95.62495367316683
1037,linkf130__tu,0.1698037323037323,0.4806086310174456,95.57164538713904
1572,in29s__tu,0.2731258043758043,0.7729001792663198,95.55678017679202
510,rets115__tu,46.2740205419885,16.355342113263557,95.54201786601124
1296,linkf053__tu,0.4196026383526383,1.1852783000306064,95.41837570197686
1269,linkf065__tu,0.0042631917631917,0.0120239604739626,95.29927144742972
495,rets122__tu,48.27798852136413,17.16663873990001,95.07686446822669
269,rle905__tu,1670.3399368743462,596.4607797902172,94.74843987734978
169,bkc122__tu,0.8402911840411841,2.3410432425342136,94.3473308531439
480,rets124__tu,45.95361523413194,16.50090205207984,94.31731910464845
1364,linkb001__tu,0.2102851512226512,0.0758209085741769,93.99608155378539
1565,in12s__tu,0.2809282496782497,0.7774911459927419,93.83102734992738
1563,in06s__tu,0.077260296010296,0.2134580910323116,93.69740690123906
1344,linka067__tu,0.0001206563706563,4.372349263259149e-05,93.60377419039685
25,std255__tu,99.52618243243244,273.7233614621136,93.34086638771457
1200,linka021__tu,1.2627091377091375,3.4700275458003587,93.27873303335416
1475,fc04s__tu,-0.3104086229086229,-0.8475799046827861,92.77661548020131
1718,rvlr04__tu,156.64472449642733,57.43477990409964,92.68514038290485
1631,g980s__tu,1.089888996138996,2.9644309387433867,92.47133786735911
246,rev102__tu,0.4419642857142857,1.2003410432425343,92.35514787131135
712,inquirybanking12month__ln,0.1653394465894465,0.4467666477198198,91.9537327750187
515,jt70s__tu,9.724259974259974,3.60587643740982,91.79776332211948
1427,g220a__tu,-0.1416103603603603,-0.0527305321149053,91.46796344651655
1736,cv15__tu,0.851793758043758,2.283065891303397,91.3133150032861
1464,br109s__tu,-0.3153555341055341,-0.118796729482751,90.54832652407109
513,rets118__tu,40.1609708815019,15.173014802813766,90.3168487491438
498,rets119__tu,43.92914753593546,16.62572167634319,90.17747446164407
508,rets113__tu,41.81342659208399,15.88801615884391,89.86052756132574
1208,linka020__tu,2.954592985842986,7.749464387215251,89.58979262276377
1272,linkf068__tu,3.06350546975547,8.006121288968563,89.30049633909817
497,rets120__tu,42.09669914883827,16.11594507531404,89.2615493413538
1810,agg724__tu,75.4490353545152,196.9419482167559,89.20479765473006
1356,linkb010__tu,-0.2297494369369369,-0.0882740151283284,88.97169116922528
785,addrinputphoneservice__ln,0.1342503217503217,0.0516811682917231,88.81675012654091
908,linkf198__tu,0.0041425353925353,0.0015959074810895,88.75675745246802
829,addrcurrentphoneservice__ln,0.1343307593307593,0.0518123387696209,88.66127340014424
506,rets111__tu,42.15477129872219,16.326609975603994,88.32951876414374
1242,linkf038__tu,2.643902831402831,6.820842988937956,88.26312373985611
434,pb101s__tu,318.24833546711346,123.38307977146708,88.2479139715979
1867,bc29s__tu,-1.1885859073359073,-0.4630755104717765,87.85219404436168
1467,co03s__tu,0.3916505791505791,0.152726159765642,87.7790700097152
897,linkf187__tu,94.10328185328186,241.11048926588256,87.7095275183915
507,rets112__tu,42.38086129810188,16.58133123381234,87.5121122754217
