indicator,mean_train_actual,mean_prod_actual,min_date,max_date,days_delinquent,days_total
DQ15_10,0.06574621959237344,0.30612244897959184,2021-10,2022-02,15,300
DQ15_11,0.07232084155161078,0.32653061224489793,2021-10,2022-02,15,330
DQ15_12,0.08086785009861933,0.32653061224489793,2021-10,2022-02,15,360
DQ15_13,0.08875739644970414,0.3673469387755102,2021-10,2022-02,15,390
DQ15_14,0.09401709401709402,0.3877551020408163,2021-10,2022-02,15,420
DQ15_15,0.0992767915844839,0.3877551020408163,2021-10,2022-02,15,450
DQ15_16,0.10782380013149244,0.3877551020408163,2021-10,2022-02,15,480
DQ15_17,0.11505588428665352,0.3877551020408163,2021-10,2022-02,15,510
DQ15_18,0.12097304404996713,0.3877551020408163,2021-10,2022-02,15,540
DQ15_19,0.12689020381328073,0.46938775510204084,2021-10,2022-02,15,570
DQ15_20,0.13214990138067062,0.46938775510204084,2021-10,2022-02,15,600
DQ15_21,0.13740959894806049,0.46938775510204084,2021-10,2022-02,15,630
DQ15_22,0.14135437212360288,0.4897959183673469,2021-10,2022-02,15,660
DQ15_23,0.14595660749506903,0.5102040816326531,2021-10,2022-02,15,690
DQ15_24,0.15187376725838264,0.5306122448979592,2021-10,2022-02,15,720
DQ30_1,0.0006574621959237344,0.0,2021-10,2022-02,30,30
DQ30_2,0.0013149243918474688,0.02040816326530612,2021-10,2022-02,30,60
DQ30_3,0.0039447731755424065,0.04081632653061224,2021-10,2022-02,30,90
DQ30_4,0.006574621959237344,0.08163265306122448,2021-10,2022-02,30,120
DQ30_5,0.009861932938856016,0.10204081632653061,2021-10,2022-02,30,150
DQ30_6,0.011176857330703484,0.10204081632653061,2021-10,2022-02,30,180
DQ30_7,0.013149243918474688,0.14285714285714285,2021-10,2022-02,30,210
DQ30_8,0.01643655489809336,0.14285714285714285,2021-10,2022-02,30,240
DQ30_9,0.020381328073635765,0.14285714285714285,2021-10,2022-02,30,270
DQ30_10,0.0210387902695595,0.16326530612244897,2021-10,2022-02,30,300
DQ30_11,0.023668639053254437,0.1836734693877551,2021-10,2022-02,30,330
DQ30_12,0.024983563445101907,0.20408163265306123,2021-10,2022-02,30,360
DQ30_13,0.027613412228796843,0.22448979591836735,2021-10,2022-02,30,390
DQ30_14,0.028928336620644313,0.24489795918367346,2021-10,2022-02,30,420
DQ30_15,0.03287310979618672,0.24489795918367346,2021-10,2022-02,30,450
DQ30_16,0.03616042077580539,0.2653061224489796,2021-10,2022-02,30,480
DQ30_17,0.03747534516765286,0.2857142857142857,2021-10,2022-02,30,510
DQ30_18,0.04076265614727153,0.2857142857142857,2021-10,2022-02,30,540
