Feature,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Description,rank
bi20s__tu,"[29.50, 53.50)",4776,0.05055198619769891,2211,2565,0.5370603015075377,-1.50207912547154,0.15441790433850522,0.0176704618873817,Months since oldest bank installment trade opened,6
bi20s__tu,"(-inf, 29.50)",7346,0.07775437408046403,3129,4217,0.5740539068881023,-1.6519760588017935,0.2903393121433999,0.032657634392721804,Months since oldest bank installment trade opened,6
bi20s__tu,,94477,1.0,75082,19395,0.20528805952771573,,0.603900347885514,0.07001298799578454,Months since oldest bank installment trade opened,6
bi20s__tu,Missing,64608,0.6838489791166104,55950,8658,0.13400817236255572,0.5124091370140291,0.15309839712085466,0.018930645586073172,Months since oldest bank installment trade opened,6
bi20s__tu,"[53.50, 88.50)",4815,0.05096478507996655,3644,1171,0.24319833852544132,-0.2183416539419849,0.0025857726977953155,0.0003225810734000024,Months since oldest bank installment trade opened,6
bi20s__tu,"[88.50, 145.50)",6939,0.07344644728346582,5604,1335,0.19239083441418073,0.08098378789843119,0.00047020986016217404,5.876017626406838e-05,Months since oldest bank installment trade opened,6
bi20s__tu,"[145.50, inf)",5993,0.06343342824179429,4544,1449,0.2417820790922743,-0.21063153064381135,0.002988751724796821,0.0003729048799437913,Months since oldest bank installment trade opened,6
at03s__tu,"[3.50, 4.50)",5997,0.06347576658869354,4276,1721,0.2869768217442054,-0.44345307279071977,0.014094332432639859,0.0017474962898901712,Number of open trades currently satisfactory,7
at03s__tu,"[4.50, 8.50)",11266,0.11924595404172444,7874,3392,0.30108290431386475,-0.5114190741322272,0.0358087601688029,0.004427944125407127,Number of open trades currently satisfactory,7
at03s__tu,"[2.50, 3.50)",8654,0.09159901351651725,6128,2526,0.2918881442107696,-0.46733414021412534,0.022722870535552536,0.002814790404396453,Number of open trades currently satisfactory,7
at03s__tu,"[8.50, inf)",9149,0.09683838394529885,6156,2993,0.3271395780959668,-0.6324145616180453,0.045741132439203025,0.00562422537066133,Number of open trades currently satisfactory,7
at03s__tu,,94477,1.0,75082,19395,0.20528805952771573,,0.6108311809918759,0.0683740127318034,Number of open trades currently satisfactory,7
at03s__tu,Missing,21621,0.22884934957714576,20857,764,0.03533601591045742,1.953311564405998,0.4656656111821369,0.0504240274187366,Number of open trades currently satisfactory,7
at03s__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Number of open trades currently satisfactory,7
at03s__tu,"[1.50, 2.50)",13421,0.14205573843369285,9800,3621,0.26980105804336485,-0.357933393831094,0.020106422326694826,0.0024999716866469894,Number of open trades currently satisfactory,7
at03s__tu,"(-inf, 1.50)",24369,0.2579357938969273,19991,4378,0.17965447905125365,0.16512462444881826,0.006692051906845892,0.0008355574360647232,Number of open trades currently satisfactory,7
paymnt10__tu,"[0.50, 1.50)",6757,0.07152005249955015,5827,930,0.13763504513837502,0.48150743227165616,0.014280537163845225,0.001768020153247036,Number of payments in last 3 months,8
paymnt10__tu,"[3.50, 4.50)",6003,0.0635392741090424,4193,1810,0.3015159087123105,-0.5134759258132249,0.019243749129929898,0.0023793863343056967,Number of payments in last 3 months,8
paymnt10__tu,"[2.50, 3.50)",13786,0.145919112588249,9442,4344,0.3151022776730016,-0.5771933092316556,0.056691586907518084,0.00698968889029504,Number of payments in last 3 months,8
paymnt10__tu,"[4.50, 5.50)",5714,0.060480328545571935,3916,1798,0.3146657332866643,-0.5751697601052808,0.023321981207566164,0.00287571649339651,Number of payments in last 3 months,8
paymnt10__tu,"[5.50, 6.50)",5026,0.053198132878901745,3298,1728,0.34381217668125746,-0.707213994968573,0.03194472834547634,0.003911903240824856,Number of payments in last 3 months,8
paymnt10__tu,"[1.50, 2.50)",8869,0.09387469966235168,7541,1328,0.14973503213440073,0.38311519944215133,0.012246507305953986,0.0015215195595411398,Number of payments in last 3 months,8
paymnt10__tu,"(-inf, 0.50)",11145,0.11796521904802228,10359,786,0.07052489905787349,1.225088644904779,0.11937661295489399,0.014053770939244339,Number of payments in last 3 months,8
paymnt10__tu,,94477,1.0,75082,19395,0.20528805952771573,,0.6209921446036388,0.07323744610630185,Number of payments in last 3 months,8
paymnt10__tu,"[6.50, 8.50)",6037,0.063899150057686,4110,1927,0.31919827729004474,-0.5961069096482025,0.02659552033523771,0.003276076678908899,Number of payments in last 3 months,8
paymnt10__tu,"[8.50, 13.50)",7459,0.07895043238036771,5241,2218,0.2973588952942754,-0.49365911783226246,0.02199532245367362,0.0027218331633645163,Number of payments in last 3 months,8
paymnt10__tu,"[13.50, inf)",5457,0.05776008975729543,3876,1581,0.2897196261682243,-0.45681941292293127,0.013655381273505917,0.001692233837609039,Number of payments in last 3 months,8
paymnt10__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Number of payments in last 3 months,8
paymnt10__tu,Missing,18224,0.19289350847296166,17279,945,0.051854697102721684,1.5524966940952625,0.2816402175260379,0.032047296815564785,Number of payments in last 3 months,8
nomt_trd__tu,"(-inf, 1.50)",6889,0.07291721794722525,6878,11,0.0015967484395412977,5.084622369469725,0.46290073448712266,0.030218616041309262,Number of non-mortgage trades,9
nomt_trd__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Number of non-mortgage trades,9
nomt_trd__tu,,94477,1.0,75082,19395,0.20528805952771573,,0.5212506336121665,0.03746783728108619,Number of non-mortgage trades,9
nomt_trd__tu,Missing,499,0.005281708775680853,499,0,0.0,0.0,0.0,0.0,Number of non-mortgage trades,9
nomt_trd__tu,"[12.50, 14.50)",5494,0.058151719466113444,4181,1313,0.2389879868947943,-0.19532969167034753,0.002346315243979805,0.00029282404012203993,Number of non-mortgage trades,9
nomt_trd__tu,"[14.50, 17.50)",6809,0.07207045100924034,5117,1692,0.24849463944778968,-0.24690848008519306,0.004712699067185258,0.0005875955546246429,Number of non-mortgage trades,9
nomt_trd__tu,"[17.50, 23.50)",9786,0.10358076568900368,7467,2319,0.23697118332311465,-0.1842082949439463,0.003705466285345653,0.0004625295173406232,Number of non-mortgage trades,9
nomt_trd__tu,"[23.50, 34.50)",9543,0.10100871111487451,7129,2414,0.25296028502567325,-0.2706796992639646,0.00798925923953226,0.0009956198160815215,Number of non-mortgage trades,9
nomt_trd__tu,"[34.50, inf)",5886,0.06230087746223949,4204,1682,0.2857628270472307,-0.43751265726016786,0.013445318298279947,0.001667387264187077,Number of non-mortgage trades,9
nomt_trd__tu,"[1.50, 2.50)",6413,0.06787895466621506,5569,844,0.13160767191641978,0.533252740269595,0.016347325698586344,0.002019543842206777,Number of non-mortgage trades,9
nomt_trd__tu,"[2.50, 3.50)",5920,0.06266075341088308,4917,1003,0.16942567567567568,0.2361375307258875,0.0032525677887777324,0.00040562898368052365,Number of non-mortgage trades,9
nomt_trd__tu,"[3.50, 4.50)",5610,0.05937953152619156,4569,1041,0.1855614973262032,0.1255470242241865,0.0009014075028038191,0.00011260199593925461,Number of non-mortgage trades,9
nomt_trd__tu,"[4.50, 5.50)",5102,0.05400256146998741,4072,1030,0.20188161505292043,0.021009928282560875,2.3690095763511472e-05,2.961207506983765e-06,Number of non-mortgage trades,9
nomt_trd__tu,"[5.50, 7.50)",9037,0.09565291023211998,7058,1979,0.21898860241230497,-0.08199549009146656,0.0006586466730998055,8.23077780697009e-05,Number of non-mortgage trades,9
nomt_trd__tu,"[7.50, 9.50)",7913,0.08375583475343205,6053,1860,0.23505623657272842,-0.17358801953967617,0.0026528557261212447,0.0003311912484279221,Number of non-mortgage trades,9
nomt_trd__tu,"[9.50, 12.50)",9576,0.10135800247679329,7369,2207,0.23047201336675022,-0.14791766421385355,0.0023143475055684573,0.0002890299915898715,Number of non-mortgage trades,9
fr01s__tu,"(-inf, 0.50)",66767,0.7067011018554781,56284,10483,0.15700870190363503,0.3270898567314575,0.06840548085963158,0.008512770402396813,Number of finance revolving trades,10
fr01s__tu,"[0.50, 1.50)",17076,0.18074240291287827,11605,5471,0.3203911923167018,-0.601590924079405,0.07671407337985137,0.00944722347416737,Number of finance revolving trades,10
fr01s__tu,Missing,499,0.005281708775680853,499,0,0.0,0.0,0.0,0.0,Number of finance revolving trades,10
fr01s__tu,"[1.50, inf)",10135,0.10727478645596282,6694,3441,0.33951652688702516,-0.6881160727503248,0.06073381527858687,0.007445405818793056,Number of finance revolving trades,10
fr01s__tu,,94477,1.0,75082,19395,0.20528805952771573,,0.20585336951806982,0.02540539969535724,Number of finance revolving trades,10
fr01s__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Number of finance revolving trades,10
g199s__tu,"[3.50, 32.50)",5185,0.054881082168146744,3807,1378,0.2657666345226615,-0.33735724391522304,0.0068634239868565925,0.000853882646296265,Total monthly obligation for contractually liable accounts verified in past 12 months,11
g199s__tu,"[83.50, 178.50)",6298,0.06666172719286176,4567,1731,0.2748491584630041,-0.38340829071532645,0.010897605150510517,0.0013539179033869907,Total monthly obligation for contractually liable accounts verified in past 12 months,11
g199s__tu,"[285.50, 406.50)",6482,0.06860929115022704,5232,1250,0.19284171551990126,0.07808451411657158,0.0004087108971073888,5.107588698694573e-05,Total monthly obligation for contractually liable accounts verified in past 12 months,11
g199s__tu,"[406.50, 506.50)",6478,0.0685669528033278,5097,1381,0.21318308119790058,-0.047721291793366705,0.00015834594241669693,1.979136486670739e-05,Total monthly obligation for contractually liable accounts verified in past 12 months,11
g199s__tu,"[178.50, 285.50)",4743,0.05020269483578014,3703,1040,0.21927050390048491,-0.08364295994592186,0.00035988694750875274,4.4972759372157714e-05,Total monthly obligation for contractually liable accounts verified in past 12 months,11
g199s__tu,"[32.50, 83.50)",6364,0.0673603099166993,4314,2050,0.32212445003142676,-0.6095397939074684,0.029404299943703676,0.003619673739541909,Total monthly obligation for contractually liable accounts verified in past 12 months,11
g199s__tu,"(-inf, 3.50)",14154,0.14981424050297956,11188,2966,0.20955207008619472,-0.025938017100143318,0.00010156281103456558,1.269499550845079e-05,Total monthly obligation for contractually liable accounts verified in past 12 months,11
g199s__tu,,94477,1.0,75082,19395,0.20528805952771573,,0.10557208644565791,0.013048623694151974,Total monthly obligation for contractually liable accounts verified in past 12 months,11
g199s__tu,Missing,19732,0.20885506525397715,17157,2575,0.1304986823434016,0.542991170761473,0.05198813871101828,0.006419841851189458,Total monthly obligation for contractually liable accounts verified in past 12 months,11
g199s__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Total monthly obligation for contractually liable accounts verified in past 12 months,11
g199s__tu,"[506.50, 594.50)",4859,0.05143050689585825,3743,1116,0.22967688824861082,-0.14342898376094348,0.001102745367064198,0.0001377251384374594,Total monthly obligation for contractually liable accounts verified in past 12 months,11
g199s__tu,"[983.50, inf)",9340,0.09886004000973782,7717,1623,0.17376873661670236,0.20558385021889536,0.003926568957944344,0.0004899585914888895,Total monthly obligation for contractually liable accounts verified in past 12 months,11
g199s__tu,"[732.50, 983.50)",5378,0.05692390740603533,4285,1093,0.2032354034957233,0.012628794131225307,9.044807726120383e-06,1.1305934526781238e-06,Total monthly obligation for contractually liable accounts verified in past 12 months,11
g199s__tu,"[594.50, 732.50)",5464,0.0578341818643691,4272,1192,0.21815519765739386,-0.07711601570938065,0.00035175292276679043,4.395822362406217e-05,Total monthly obligation for contractually liable accounts verified in past 12 months,11
fr29s__tu,"(-inf, inf)",9982,0.1056553446870667,5703,4279,0.4286716088960128,-1.066292533984394,0.1542572550059476,0.01841764467431493,Number of open finance revolving trades with balance > $0 verified in past 12 months,12
fr29s__tu,,94477,1.0,75082,19395,0.20528805952771573,,0.17888895251127918,0.021492893098107663,Number of open finance revolving trades with balance > $0 verified in past 12 months,12
fr29s__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Number of open finance revolving trades with balance > $0 verified in past 12 months,12
fr29s__tu,Missing,84495,0.8943446553129333,69379,15116,0.1788981596544174,0.1702648938507585,0.024631697505331562,0.0030752484237927327,Number of open finance revolving trades with balance > $0 verified in past 12 months,12
linkf145__tu,"[5.50, inf)",6000,0.06350752034886797,3496,2504,0.41733333333333333,-1.0198355441686795,0.08418030007358823,0.01008900059562713,Number of distinct bank accounts,13
linkf145__tu,"[1.50, 2.50)",13761,0.14565449792012872,10505,3256,0.23661071143085532,-0.18221366256744664,0.005095536705964291,0.0006360623969480081,Number of distinct bank accounts,13
linkf145__tu,"[2.50, 3.50)",8535,0.0903394476962647,6175,2360,0.27650849443468073,-0.3917182852475941,0.015448363124500939,0.0019187932644099577,Number of distinct bank accounts,13
linkf145__tu,"[3.50, 5.50)",8740,0.09250928797485103,5858,2882,0.3297482837528604,-0.644241797895905,0.04546648575515085,0.005587020932692767,Number of distinct bank accounts,13
linkf145__tu,"(-inf, 1.50)",24180,0.255935307005938,19940,4240,0.17535153019023986,0.19459894656570964,0.009139000659155669,0.0011405759752484475,Number of distinct bank accounts,13
linkf145__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Number of distinct bank accounts,13
linkf145__tu,Missing,33261,0.35205393905394966,29108,4153,0.12486094825771925,0.5936165371121074,0.10302538387729618,0.012692358750516247,Number of distinct bank accounts,13
linkf145__tu,,94477,1.0,75082,19395,0.20528805952771573,,0.2623550701956562,0.03206381191544256,Number of distinct bank accounts,13
cv25__tu,"[15.50, inf)",5326,0.05637350889634514,3499,1827,0.3430341719864814,-0.703763612734435,0.03349714545362541,0.0041028186151659055,Percent of trades from inactive to active status in the past 12 months,14
cv25__tu,"[7.50, 15.50)",5259,0.05566434158578278,3167,2092,0.3977942574633961,-0.9389013273702901,0.061669200517688975,0.007437425837030673,Percent of trades from inactive to active status in the past 12 months,14
cv25__tu,"[0.50, 7.50)",6860,0.07261026493220572,4244,2616,0.3813411078717201,-0.8697057615673317,0.06814601898110431,0.008259548764286634,Percent of trades from inactive to active status in the past 12 months,14
