feature,suffix,feature_name,Description
au33s,__tu,au33s__tu,Total balance of open auto trades verified in past 12 months
au34s,__tu,au34s__tu,Utilization for open auto trades verified in past 12 months
au35s,__tu,au35s__tu,Average balance of open auto trades verified in past 12 months
au36s,__tu,au36s__tu,Months since most recent auto delinquency
au51a,__tu,au51a__tu,Terms in months of most recent auto trade
au57s,__tu,au57s__tu,Total past due amount of open auto trades verified in past 12 months
au101s,__tu,au101s__tu,Total balance of all auto trades verified in past 12 months
bc01s,__tu,bc01s__tu,Number of credit card trades
bc02s,__tu,bc02s__tu,Number of open credit card trades
bc03s,__tu,bc03s__tu,Number of currently satisfactory open credit card trades
bc06s,__tu,bc06s__tu,Number of credit card trades opened in past 6 months
bc09s,__tu,bc09s__tu,Number of credit card trades opened in past 24 months
bc12s,__tu,bc12s__tu,Number of open credit card trades verified in past 12 months
bc20s,__tu,bc20s__tu,Months since oldest credit card trade opened
bc21s,__tu,bc21s__tu,Months since most recent credit card trade opened
bc24s,__tu,bc24s__tu,Number of currently open and satisfactory credit card trades 6 months or older
bc25s,__tu,bc25s__tu,Number of currently open and satisfactory credit card trades 12 months or older
bc27s,__tu,bc27s__tu,Number of currently open and satisfactory credit card trades 24 months or older
bc28s,__tu,bc28s__tu,Total credit line of open credit card trades verified in past 12 months
bc29s,__tu,bc29s__tu,Number of open credit card trades with balance > $0 verified in past 12 months
bc30s,__tu,bc30s__tu,Percentage of open credit card trades > 50% of credit line verified in past 12 months
bc31s,__tu,bc31s__tu,Percentage of open credit card trades > 75% of credit line verified in past 12 months
bc32s,__tu,bc32s__tu,Maximum balance owed on open credit card trades verified in past 12 months
bc33s,__tu,bc33s__tu,Total balance of open credit card trades verified in past 12 months
bc34s,__tu,bc34s__tu,Utilization for open credit card trades verified in past 12 months
bc35s,__tu,bc35s__tu,Average balance of open credit card trades verified in past 12 months
bc36s,__tu,bc36s__tu,Months since most recent credit card delinquency
bc57s,__tu,bc57s__tu,Total past due amount of open credit card trades verified in past 12 months
bc97a,__tu,bc97a__tu,Total open to buy of open credit cards verified in past 3 months
bc97b,__tu,bc97b__tu,Total open to buy of closed credit cards verified in past 3 months
bc98a,__tu,bc98a__tu,Total open to buy of open credit cards verified in past 12 months
bc101s,__tu,bc101s__tu,Total balance of all credit card trades verified in past 12 months
bc102s,__tu,bc102s__tu,Average credit line of open credit card trades verified in past 12 months
bc103s,__tu,bc103s__tu,Average balance of all credit card trades with balance > $0 verified in past 12 months
bc104s,__tu,bc104s__tu,Average of the open credit card trade utilizations verified in past 12 months
bc106s,__tu,bc106s__tu,Number of credit card trades 30 or more days past due in past 24 months
bc107s,__tu,bc107s__tu,Number of 30 and 60 days past due ratings on credit card trades
bc108s,__tu,bc108s__tu,Number of 90 or more days past due ratings on credit card trades
bc109s,__tu,bc109s__tu,Number of credit card trades with past due amount > $100 verified in past 12 months
