feature,ad__noPTI_noDown_model1,pricing_pd__noPTI_noDown_model1,pricing_lgd__noPTI_noDown_model1,ad__noPTImodel7,pricing_pd__noPTImodel7,pricing_lgd__noPTImodel7,ad__noPTImodel10,pricing_pd__noPTImodel10,pricing_lgd__noPTImodel10,eng,app,ln,tu,sum,description
std253__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Average Aggregate Excess Payment for Student Loan accounts over the past 6 months
strdealershiptrackertype__app,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,0.0,"Franchise, Independent"
subjectabilityindex__ln,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,1,0,0.0,"Modeled risk index indicating the subject's ability to fulfill a credit obligation on the basis of their time on file, post-secondary education history, asset ownership, and outstanding financial obligations on file"
subjectwillingnessprimaryfactor__ln,,,,1.0,1.0,1.0,,,,0,0,1,0,0.0,Indicates the primary factor behind the value returned for the SubjectWillingnessIndex attribute
subjectabilityprimaryfactor__ln,,,,1.0,1.0,1.0,,,,0,0,1,0,0.0,Indicates the primary factor behind the value returned for the SubjectAbilityIndex attribute
subjectactivityindex03month__ln,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,1,0,0.0,A risk index summarizing derogatory and non-derogatory source activity for the subject as reported within the past three months
subjectactivityindex06month__ln,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,1,0,0.0,A risk index summarizing derogatory and non-derogatory source activity for the subject as reported on file within the past six months
subjectactivityindex12month__ln,,,,1.0,1.0,1.0,,,,0,0,1,0,0.0,A risk index summarizing derogatory and non-derogatory source activity for the subject as reported on file within the past 12 months
subjectstabilityprimaryfactor__ln,,,,1.0,1.0,1.0,,,,0,0,1,0,0.0,Indicates the primary factor behind the value returned for the SubjectStabilityIndex attribute
subjectwillingnessindex__ln,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,1,0,0.0,Modeled risk index indicating the subject's willingness to fulfill a credit obligation on the basis of recent or historical non-derogatory and derogatory public record activity on file
s063s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Total public record amount reported in past 12 months
s004s__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Average number of months trades have been on file
rvlr81__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Revolver/Transactor tag for the top five Bankcards in the past 24 months
rvlr65__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Flag indicating that the consumer revolved at least five times on at least one of his top 5 bankcards in the past 6 months
rev122__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of months in the past 12 months where percentage of Revolving trades utilized less than 100% was more than 25%
rev132__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of months in the past 12 months where percentage of Revolving trades utilized more than 25% was more than 90%
rev14__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of instances where a Revolving trade was utilized more than 90% in the past 12 months
rev201__tu,0.0,0.0,1.0,,,,0.0,0.0,1.0,0,0,0,1,0.0,Total Payment Ratio for Revolving accounts over the past 1 month
rev202__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Total Payment Ratio for Revolving accounts over the past 3 months
rev204__tu,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,0,1,0.0,Total Payment Ratio for Revolving accounts over the past 12 months
rev205__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,0.0,Total Payment Ratio for Revolving accounts over the past 24 months
rev222__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Average total Payment Ratio for Revolving accounts over the past 3 months
rev224__tu,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,1,0.0,Average total Payment Ratio for Revolving accounts over the past 12 months
rev225__tu,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,1,0.0,Average total Payment Ratio for Revolving accounts over the past 24 months
rev232__tu,0.0,0.0,1.0,,,,0.0,0.0,1.0,0,0,0,1,0.0,Aggregate Excess Payment for Revolving accounts over the past 3 months
rev233__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Aggregate Excess Payment for Revolving accounts over the past 6 months
rev234__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Aggregate Excess Payment for Revolving accounts over the past 12 months
rev235__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Aggregate Excess Payment for Revolving accounts over the past 24 months
rev253__tu,0.0,0.0,1.0,,,,0.0,0.0,1.0,0,0,0,1,0.0,Average Aggregate Excess Payment for Revolving accounts over the past 6 months
rev102__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of months in the past 12 months where percentage of Revolving trades utilized less than 50% was more than 25%
ret84__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Months since a Retail trade last exceeded 90% utilization
ret328__tu,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,1,0.0,Average Total Open-to-Buy for Retail accounts over the past 24 months
ret201__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Total Payment Ratio for Retail accounts over the past 1 month
re01s__tu,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,1,0.0,Number of revolving trades
re06s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of revolving trades opened in past 6 months
re20s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,0.0,Months since oldest revolving trade opened
re21s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Months since most recent revolving trade opened
re34s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Utilization for open revolving trades verified in past 12 months
reap01__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Total scheduled monthly payment for all revolving trades verified in past 12 months
ret205__tu,0.0,1.0,0.0,,,,0.0,1.0,0.0,0,0,0,1,0.0,Total Payment Ratio for Retail accounts over the past 24 months
ret324__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Min Total Open-to-Buy for Retail accounts over the past 24 months
ret225__tu,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,1,0.0,Average total Payment Ratio for Retail accounts over the past 24 months
ret231__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Aggregate Excess Payment for Retail accounts over the past 1 month
ret235__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Aggregate Excess Payment for Retail accounts over the past 24 months
ret255__tu,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,1,0.0,Average Aggregate Excess Payment for Retail accounts over the past 24 months
ret319__tu,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,1,0.0,Max Total Open-to-Buy for Retail accounts over the past 24 months
ret322__tu,0.0,1.0,0.0,,,,0.0,1.0,0.0,0,0,0,1,0.0,Min Total Open-to-Buy for Retail accounts over the past 6 months
rev315__tu,0.0,1.0,0.0,,,,0.0,1.0,0.0,0,0,0,1,0.0,Number of months since Max Total Open-to-Buy for Revolving accounts
rev317__tu,0.0,1.0,0.0,,,,0.0,1.0,0.0,0,0,0,1,0.0,Max Total Open-to-Buy for Revolving accounts over the past 6 months
rev319__tu,,,,1.0,1.0,1.0,0.0,1.0,0.0,0,0,0,1,0.0,Max Total Open-to-Buy for Revolving accounts over the past 24 months
rvdex01__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Annual year-over-year revolving spend index
rt201s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Highest balance of retail trades
rt20s__tu,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,1,0.0,Months since oldest retail trade opened
rt21s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Months since most recent retail trade opened
rt36s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Months since most recent retail delinquency
rtdex01__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Annual year-over-year retail spend index
rtdexq1__tu,0.0,1.0,0.0,,,,0.0,1.0,0.0,0,0,0,1,0.0,Q1 (Jan - March) retail spend indexed to annual retail spend
rvdex02__tu,1.0,0.0,0.0,,,,1.0,0.0,0.0,0,0,0,1,0.0,Most recent quarter year-over-year revolving spend index
rt01s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of retail trades
rvdexq1__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Q1 (Jan - March) revolving spend indexed to annual revolving spend
rvdexq2__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Q2 (Apr - Jun) revolving spend indexed to revolving annual spend
rvdexq3__tu,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,0,1,0.0,Q3 (Jul - Sep) revolving spend indexed to revolving annual spend
rvlr13__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of retail revolver trades over last 6 months
rvlr23__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Bankcard Revolver/Transactor/Inactive pattern for bankcard with fourth highest balance    month 1 to 8
rvlr26__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Bankcard Revolver/Transactor/Inactive pattern for bankcard with fifth highest balance   - month 1 to 8
rt02s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of open retail trades
rp07s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Total balance of repossession trades in past 24 months
rev320__tu,1.0,0.0,0.0,,,,1.0,0.0,0.0,0,0,0,1,0.0,Number of months since Min Total Open-to-Buy for Revolving accounts
revs902__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Aggregate Revolving Monthly Spend over last 6 Months
rev321__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Min Total Open-to-Buy for Revolving accounts over the past 3 months
rev323__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Min Total Open-to-Buy for Revolving accounts over the past 12 months
rev328__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Average Total Open-to-Buy for Revolving accounts over the past 24 months
rev84__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Months since a Revolving trade last exceeded 90% utilization
rev_trd__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of revolving trades
revs901__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Aggregate Revolving Monthly Spend over last 3 Months
revs905__tu,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,0,1,0.0,Months since max. revolving monthly spend over last 12 months
rp06s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Total balance of repossession trades in past 12 months
rle904__tu,1.0,0.0,0.0,,,,1.0,0.0,0.0,0,0,0,1,0.0,Amount of over-payments on Real-Estate accounts in the past 6 months
rle905__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Amount of over-payments on Real-Estate accounts in the past 12 months
rp01s__tu,1.0,0.0,0.0,,,,1.0,0.0,0.0,0,0,0,1,0.0,Number of repossession trades
rp03s__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Number of repossession trades in past 24 months
rp04s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Months since most recent repossession trade reported
rp05s__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Total balance of repossession trades
jt20s__tu,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,1,0.0,Months since oldest joint trade opened
jt02s__tu,0.0,0.0,1.0,,,,0.0,0.0,1.0,0,0,0,1,0.0,Number of open joint trades
ENG-loan_to_value,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,0,0,0.0,Loan to value
bc30s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Percentage of open credit card trades > 50% of credit line verified in past 12 months
aut255__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Average Aggregate Excess Payment for Auto accounts over the past 24 months
balmag01__tu,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,1,0.0,Non-mortgage balance magnitude algorithm over last 24 months
bankruptcychapter__ln,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,1,0,0.0,"Indicates bankruptcy chapter of most recent bankruptcy case filing on file showing the subject as debtor, if the bankruptcy is a Chapter 7 or Chapter 13 bankruptcy"
bankruptcycount24month__ln,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,1,0,0.0,Total unique bankruptcy case filings on file showing the subject as debtor in the last 24 months
bankruptcycount__ln,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,1,0,0.0,Number of bankruptcies
bankruptcydismissed24month__ln,,,,1.0,1.0,1.0,,,,0,0,1,0,0.0,Indicates subject has one or more dismissed bankruptcies on file in the last 24 months
bankruptcystatus__ln,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,1,0,0.0,Indicates status of most recent bankruptcy filing on file showing the subject as debtor
bankruptcytimenewest__ln,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,1,0,0.0,Time (in months) since most recent bankruptcy case filing on file showing the subject as debtor
bc01s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of credit card trades
bc06s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of credit card trades opened in past 6 months
bc104s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Average of the open credit card trade utilizations verified in past 12 months
bc106s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of credit card trades 30 or more days past due in past 24 months
bc107s__tu,,,,1.0,1.0,1.0,0.0,1.0,0.0,0,0,0,1,0.0,Number of 30 and 60 days past due ratings on credit card trades
bc108s__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Number of 90 or more days past due ratings on credit card trades
bc20s__tu,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,0,1,0.0,Months since oldest credit card trade opened
aut252__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Average Aggregate Excess Payment for Auto accounts over the past 3 months
aut225__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Average total Payment Ratio for Auto accounts over the past 24 months
aut223__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Average total Payment Ratio for Auto accounts over the past 6 months
au34s__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Utilization for open auto trades verified in past 12 months
au207s__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Number of auto charged-off trades
au20s__tu,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,1,0.0,Months since oldest auto trade opened
au21s__tu,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,1,0.0,Months since most recent auto trade opened
au24s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of currently open and satisfactory auto trades 6 months or older
au25s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of currently open and satisfactory auto trades 12 months or older
au27s__tu,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,0,1,0.0,Number of currently open and satisfactory auto trades 24 months or older
au36s__tu,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,1,0.0,Months since most recent auto delinquency
aut222__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Average total Payment Ratio for Auto accounts over the past 3 months
au51a__tu,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,1,0.0,Terms in months of most recent auto trade
au57s__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Total past due amount of open auto trades verified in past 12 months
aut201__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Total Payment Ratio for Auto accounts over the past 1 month
aut202__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Total Payment Ratio for Auto accounts over the past 3 months
aut203__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Total Payment Ratio for Auto accounts over the past 6 months
aut205__tu,,,,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,1,0.0,Total Payment Ratio for Auto accounts over the past 24 months
bc21s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Months since most recent credit card trade opened
bc34s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Utilization for open credit card trades verified in past 12 months
co07s__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Total balance of trades that charged-off in the past 24 months
bc36s__tu,0.0,1.0,0.0,,,,0.0,1.0,0.0,0,0,0,1,0.0,Months since most recent credit card delinquency
bkc326__tu,0.0,0.0,1.0,,,,0.0,0.0,1.0,0,0,0,1,0.0,Average Total Open-to-Buy for Bankcard accounts over the past 6 months
bkc54__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of Bankcard trades utilized more than 90% in the past 12 months
bkc83__tu,0.0,0.0,1.0,,,,0.0,0.0,1.0,0,0,0,1,0.0,Months since a Bankcard trade last exceeded 75% utilization
bkc84__tu,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,1,0.0,Months since a Bankcard trade last exceeded 90% utilization
bookvalue__app,,,,1.0,1.0,1.0,,,,0,1,0,0,0.0,Book value
br01s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of bank revolving trades
br03s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of currently satisfactory open bank revolving trades
br06s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of bank revolving trades opened in past 6 months
br101s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Total balance of all bank revolving trades verified in past 12 months
br20s__tu,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,1,0.0,Months since oldest bank revolving trade opened
br21s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Months since most recent bank revolving trade opened
businessassociationtimeoldest__ln,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,1,0,0.0,Time (in months) since a formal business association with the subject first seen on file
co01s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of charged-off trades
co04s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Months since most recent charged-off trade reported
co05s__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Total balance of trades that charged-off
bkc323__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Min Total Open-to-Buy for Bankcard accounts over the past 12 months
bkc322__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Min Total Open-to-Buy for Bankcard accounts over the past 6 months
bkc321__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,0.0,Min Total Open-to-Buy for Bankcard accounts over the past 3 months
bitdealertrack__app,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,1,0,0,0.0,From Dealertrack
bc97a__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Total open to buy of open credit cards verified in past 3 months
bc97b__tu,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,0.0,Total open to buy of closed credit cards verified in past 3 months
bc_trd__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of bankcard trades
bi20s__tu,0.0,1.0,0.0,,,,0.0,1.0,0.0,0,0,0,1,0.0,Months since oldest bank installment trade opened
bi36s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Months since most recent bank installment delinquency
bitdealerapplicantsamezip__app,,,,1.0,1.0,1.0,,,,0,1,0,0,0.0,Applicant and Dealer Same Zip
bitdebtor__app,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1,0,0,0.0,Debtor or Codebtor
bkc320__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Number of months since Min Total Open-to-Buy for Bankcard accounts
bitgap__app,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,1,0,0,0.0,Gap tag
bkc112__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of months in the past 12 months where percentage of Bankcard trades utilized less than 75% was more than 25%
bkc122__tu,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,0,1,0.0,Number of months in the past 12 months where percentage of Bankcard trades utilized less than 100% was more than 25%
bkc12__tu,1.0,0.0,0.0,,,,1.0,0.0,0.0,0,0,0,1,0.0,Number of instances where a Bankcard trade was utilized more than 50% in the past 12 months
bkc152__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of months in the past 12 months where percentage of Bankcard trades utilized more than 75% was more than 90%
bkc162__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of months in the past 12 months where percentage of Bankcard trades utilized more than 100% was more than 90%
au204s__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Number of auto trades that are 90 days or more past due ever
au203s__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Number of auto trades that are 60 days or more past due in the past 12 months
au202s__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Number of auto trades that are 60 days or more past due ever
au200s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of auto trades that are 30 days or more past due ever
addrinputproblems__ln,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,1,0,0.0,Indicates any problems on file associated with the input address
addrinputsubjectcount__ln,,,,1.0,1.0,1.0,,,,0,0,1,0,0.0,"Total number of unique subjects on file currently reported at the input address, if the address has been designated as a single family dwelling unit"
addrinputtaxmarketvalue__ln,,,,1.0,1.0,1.0,,,,0,0,1,0,0.0,Indicates input address tax assessed market value on file
addrinputtimenewest__ln,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,1,0,0.0,Time on file (in months) since the subject was most recently reported at the input address
addrinputtimeoldest__ln,,,,1.0,1.0,1.0,,,,0,0,1,0,0.0,Time on file (in months) since subject was first reported at the input address
addrlastmoveecontrajectory__ln,,,,1.0,1.0,1.0,,,,0,0,1,0,0.0,"Describes the value and home ownership status of the subject’s previous and current addresses in order to determine whether the subject’s most recent residential move (if the move occurred in the past five years) was to a similar property or a more upscale or downscale property. 
Note: Seniors (age 62 plus) who have moved default to the most positive level to prevent adverse action based on downsizing of empty nesters and retirees."
addrlastmovetaxratiodiff__ln,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,1,0,0.0,"Ratio comparing the difference in tax assessed value between the current address and the previous address (current address value divided by the previous address value if both are known) on subject's file, if the move occurred within the last five years"
addronfilecount__ln,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,1,0,0.0,Total number of addresses found on file in subject's address history
addrpreviousdwelltype__ln,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,1,0,0.0,Previous dwelling type
addrpreviouslengthofres__ln,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,1,0,0.0,Length of residency in previous residence
agg902__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Number of aggregate non-mortgage balance decreases over last 3 months
agg903__tu,0.0,1.0,0.0,,,,0.0,1.0,0.0,0,0,0,1,0.0,Number of aggregate non-mortgage credit line increases over last 3 months
agg905__tu,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,0,1,0.0,Average aggregate bankcard utilization over last 3 months
agg908__tu,0.0,1.0,0.0,,,,0.0,1.0,0.0,0,0,0,1,0.0,Max aggregate bankcard balance over last 12 months
agg909__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Months since max aggregate bankcard balance over last 12 months
addrinputphoneservice__ln,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,1,0,0.0,Indicates if phone service was found on file for the input address
addrinputphonecount__ln,,,,1.0,1.0,1.0,,,,0,0,1,0,0.0,Total number of unique phone service listings on file currently reported with the input address
addrinputownershipindex__ln,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,1,0,0.0,Index indicating subject's ownership level at the input address based on the address property record on file
addrcurrenttimenewest__ln,,,,1.0,1.0,1.0,,,,0,0,1,0,0.0,Time (in months) since the subject was most recently reported at the current address on subject's file
ENG-vehicle_age,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,0,0,0.0,Age of vehicle (years)
addrchangecount12month__ln,,,,1.0,1.0,1.0,,,,0,0,1,0,0.0,Number of addresses first seen in last 12 months on subject's file
addrcurrentavmratio12monthprior__ln,,,,1.0,1.0,1.0,,,,0,0,1,0,0.0,"Ratio comparison for the current address on subject's file, indicating the difference in AVM values between the most recent AVM value and the value 12 months prior to the most recent value"
addrcurrentdwelltype__ln,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,1,0,0.0,Current dwelling type
addrcurrentdwelltypeindex__ln,,,,1.0,1.0,1.0,,,,0,0,1,0,0.0,Index indicating the dwelling type for current address on subject's file
addrcurrentsubjectowned__ln,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,1,0,0.0,Subject owns current address
addrcurrenttimeoldest__ln,,,,1.0,1.0,1.0,,,,0,0,1,0,0.0,Time (in months) since the subject was first reported at the current address on subject's file
addrinputmatchindex__ln,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,1,0,0.0,Index indicating if the input address matches the current or historical address on file
addrinputavmvalue12month__ln,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,1,0,0.0,Indicates input address AVM value on file 12 months ago
addrinputcountyratio__ln,,,,1.0,1.0,1.0,,,,0,0,1,0,0.0,Ratio comparison of the input address property value to county median property value on file
addrinputdeedmailing__ln,,,,1.0,1.0,1.0,,,,0,0,1,0,0.0,Indicates for the input address that the property owner's mailing address is the same as the property address for the property record on file
addrinputdelivery__ln,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,1,0,0.0,Indicates the mail delivery status on file for the input address
addrinputdwelltypeindex__ln,,,,1.0,1.0,1.0,,,,0,0,1,0,0.0,Index indicating the dwelling type on file for the input address
addrinputlastsaleprice__ln,,,,1.0,1.0,1.0,,,,0,0,1,0,0.0,Indicates last recorded sale price on file for the input address
