feature,ad__noPTI_noDown_model1,pricing_pd__noPTI_noDown_model1,pricing_lgd__noPTI_noDown_model1,ad__noPTImodel7,pricing_pd__noPTImodel7,pricing_lgd__noPTImodel7,ad__noPTImodel10,pricing_pd__noPTImodel10,pricing_lgd__noPTImodel10,eng,app,ln,tu,sum,description
derogseverityindex__ln,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,1,0,0.0,Index indicating severity of derogatory records on subject's file
educationattendance__ln,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,1,0,0.0,Indicates subject attended college based on student directory information on file
evictioncount12month__ln,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,1,0,0.0,Total eviction records on subject's file in the last 12 months
evictioncount__ln,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,1,0,0.0,Total eviction records on subject's file indicating the plaintiff has sought an eviction and does not necessarily mean the defendant has vacated the premises
evictiontimenewest__ln,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,1,0,0.0,Time (in months) since most recently recorded eviction on subject's file
fc04s__tu,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,1,0.0,Months since most recent foreclosure trade reported
fi01s__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Number of finance installment trades
fi06s__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Number of finance installment trades opened in past 6 months
fi09s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of finance installment trades opened in past 24 months
fi101s__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Total balance of all finance installment trades verified in past 12 months
fi20s__tu,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,1,0.0,Months since oldest finance installment trade opened
fi24s__tu,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,0,1,0.0,Number of currently open and satisfactory finance installment trades 6 months or older
fi25s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of currently open and satisfactory finance installment trades 12 months or older
fi27s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of currently open and satisfactory finance installment trades 24 months or older
fi28s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Total credit line of open finance installment trades verified in past 12 months
derogcount__ln,,,,1.0,1.0,1.0,,,,0,0,1,0,0.0,"Total derogatory source records (criminal felony, criminal non-felony, sexual offender registry, lien, judgment, bankruptcy, and eviction) on subject's file"
dealerstate__app,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,0.0,Dealer State
cv26__tu,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,1,0.0,Percent of trades from active to inactive status in the past 12 months
cv04__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Months since most recent third party collection occurrence
criminalfelonycount__ln,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,1,0,0.0,Total felony criminal convictions on subject's file
criminalnonfelonycount12month__ln,,,,1.0,1.0,1.0,,,,0,0,1,0,0.0,"Total non-felony criminal convictions in the last 12 months on subject's file
NOTE: This attribute does not include sexual offender registry records"
criminalnonfelonycount__ln,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,1,0,0.0,Total non-felony criminal convictions or sexual offender registry records on subject's file
criminalnonfelonytimenewest__ln,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,1,0,0.0,"Time (in months) since most recently recorded non-felony criminal conviction on subject's file
NOTE: This attribute does not include sexual offender registry records"
cv02__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Months since most recent foreclosure occurrence
cv03__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Months since most recent repossession occurrence
cv05__tu,0.0,0.0,1.0,,,,0.0,0.0,1.0,0,0,0,1,0.0,Months since most recent non-medical third party collection occurrence
cv25__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Percent of trades from inactive to active status in the past 12 months
cv13__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Percentage of trades ever delinquent
