feature,flt_eval_metric_train,flt_eval_metric_valid,flt_score_to_beat,performance,helped
aut201__tu,0.6992512587121386,0.7010205225908087,0.7028636048606417,-0.0018430822698329,0
at101b__tu,0.6980947221031729,0.7010312531251455,0.7028636048606417,-0.0018323517354962,0
evictiontimenewest__ln,0.7001744901469997,0.7010407342423165,0.7028636048606417,-0.0018228706183252,0
ret231__tu,0.6996847110678225,0.7010934214298082,0.7028636048606417,-0.0017701834308334,0
inquirytelcom12month__ln,0.6969351611681005,0.7010982503281912,0.7028636048606417,-0.0017653545324505,0
g250a__tu,0.7021286807352772,0.701107970367834,0.7028636048606417,-0.0017556344928076,0
g207s__tu,0.7035352904863352,0.7011218399707786,0.7028636048606417,-0.0017417648898631,0
of34s__tu,0.7001244858576314,0.7011429055609264,0.7028636048606417,-0.0017206992997153,0
g228s__tu,0.7020046181720385,0.701153113583701,0.7028636048606417,-0.0017104912769406,0
linkf132__tu,0.7010784641250187,0.701163151422454,0.7028636048606417,-0.0017004534381876,0
g069s__tu,0.6979362221422389,0.701189648623773,0.7028636048606417,-0.0016739562368687,0
g405s__tu,0.7028509654484891,0.7012000076113142,0.7028636048606417,-0.0016635972493275,0
cv26__tu,0.6996080856815308,0.7012007635050059,0.7028636048606417,-0.0016628413556357,0
rp04s__tu,0.6996113509308786,0.7012035770689704,0.7028636048606417,-0.0016600277916712,0
ret225__tu,0.7006939092743717,0.7012231523325998,0.7028636048606417,-0.0016404525280419,0
linkf055__tu,0.7001106051596794,0.7012534437893589,0.7028636048606417,-0.0016101610712827,0
g208s__tu,0.7029547071637239,0.7012661128575116,0.7028636048606417,-0.00159749200313,0
at104s__tu,0.7036703312555127,0.7012816212681396,0.7028636048606417,-0.001581983592502,0
inquirybanking12month__ln,0.6993559354291442,0.701282025598476,0.7028636048606417,-0.0015815792621657,0
g057s__tu,0.7044203197670694,0.7012840477850875,0.7028636048606417,-0.0015795570755542,0
mt20s__tu,0.6973299982932805,0.7012913132749252,0.7028636048606417,-0.0015722915857164,0
g241s__tu,0.7020483360522785,0.7013087123559092,0.7028636048606417,-0.0015548925047325,0
linka014__tu,0.7029008825196782,0.7013129169660113,0.7028636048606417,-0.0015506878946304,0
linkf061__tu,0.7036459761875627,0.7013145149152645,0.7028636048606417,-0.0015490899453771,0
g100s__tu,0.7026508541947809,0.7013170483926537,0.7028636048606417,-0.0015465564679879,0
addrinputsubjectcount__ln,0.7079093239783736,0.7013232740430896,0.7028636048606417,-0.0015403308175521,0
g106s__tu,0.6994064345246696,0.7013332167280611,0.7028636048606417,-0.0015303881325805,0
au21s__tu,0.7009484550792622,0.7013411778683319,0.7028636048606417,-0.0015224269923097,0
mtap01__tu,0.7016218488965282,0.7013744488827958,0.7028636048606417,-0.0014891559778459,0
bankruptcycount24month__ln,0.7012204719171211,0.7013918821483265,0.7028636048606417,-0.0014717227123152,0
fi36s__tu,0.7031999556129401,0.7013943706534222,0.7028636048606417,-0.0014692342072194,0
g215a__tu,0.7036912213848451,0.701407504384325,0.7028636048606417,-0.0014561004763167,0
aut225__tu,0.7025085672205285,0.7014086162863818,0.7028636048606417,-0.0014549885742598,0
mt57s__tu,0.702449508306776,0.7014150347916641,0.7028636048606417,-0.0014485700689775,0
at20s__tu,0.7026251073297654,0.7014355986433481,0.7028636048606417,-0.0014280062172935,0
g230s__tu,0.7080207061579048,0.7014415593890193,0.7028636048606417,-0.0014220454716223,0
g211s__tu,0.7027966013902877,0.7014418022597804,0.7028636048606417,-0.0014218026008613,0
g990s__tu,0.7028684825822173,0.7014747486993596,0.7028636048606417,-0.0013888561612821,0
cv19__tu,0.7044590502360248,0.7014809371085083,0.7028636048606417,-0.0013826677521333,0
mt101s__tu,0.7059592430101571,0.7014977925609485,0.7028636048606417,-0.0013658122996932,0
linkf002__tu,0.7035954495215356,0.7015155532288486,0.7028636048606417,-0.001348051631793,0
subjectwillingnessindex__ln,0.7085301804449368,0.7015223665121537,0.7028636048606417,-0.0013412383484879,0
rt01s__tu,0.702422693768063,0.7015317430888031,0.7028636048606417,-0.0013318617718386,0
aggs911__tu,0.7033442136188195,0.7015326302822313,0.7028636048606417,-0.0013309745784103,0
linka082__tu,0.7016695475905409,0.7015378305873095,0.7028636048606417,-0.0013257742733322,0
linka013__tu,0.7023996213298853,0.7015431731836531,0.7028636048606417,-0.0013204316769885,0
linkf140__tu,0.7015291236805095,0.7015697101480703,0.7028636048606417,-0.0012938947125713,0
trv08__tu,0.7030209768283592,0.70157007140384,0.7028636048606417,-0.0012935334568017,0
linkf179__tu,0.7062173171564062,0.7015999963319522,0.7028636048606417,-0.0012636085286894,0
g099s__tu,0.7030676591942701,0.7016015063871827,0.7028636048606417,-0.001262098473459,0
au20s__tu,0.7034216041220251,0.7016172145940052,0.7028636048606417,-0.0012463902666365,0
g240s__tu,0.6991469728668787,0.7016218952914244,0.7028636048606417,-0.0012417095692173,0
au204s__tu,0.7052022390438776,0.7016366814707143,0.7028636048606417,-0.0012269233899273,0
linkf170__tu,0.7037886624252977,0.7016367393195265,0.7028636048606417,-0.0012268655411151,0
inquiryshortterm12month__ln,0.706797112783908,0.7016490273777246,0.7028636048606417,-0.001214577482917,0
linkf108__tu,0.7071885816188934,0.7016631899565003,0.7028636048606417,-0.0012004149041413,0
