bigaccountid__app,applicationdate__app,intopenbktype__app,ENG-loan_to_value,fltgrossmonthly__income_sum,strdealershiptrackertype__app,FICO,yhat_ad_old,yhat_ad_new,yhat_pd_old,yhat_pd_new_logloss,yhat_pd_new_auc,yhat_lgd_old,yhat_lgd_new,ecnl_old,ecnl_new_logloss,ecnl_new_auc,genxi_raw_pd,genxi_raw_lgd,genxi_raw_ecnl,genxi_raw_ecnl_mod,genxi_factor_pd,genxi_factor_lgd,genxi_factor_ecnl,tier
7629641,2024-03-04 08:02:08,nan,1.5,4000.0,franchise,591.0,0.2933819727095284,0.5267364737770593,0.5833282479993404,0.18394084064350755,0.26788326933037954,0.5308415848062569,0.6594083919765896,0.3096548916302271,0.28624943611623554,0.4168809630451223,0.1551986202280688,0.49679776177021745,0.07710232715913057,0.11796591382949459,0.155199,0.496798,0.17930832,B
7629645,2024-03-04 08:04:39,nan,1.5384615384615385,5000.0,independent,658.0,0.1847706721991754,0.32703543988526257,0.3285367555430807,0.29808006386214114,0.3290324909534066,0.41782416354932606,0.641611421320002,0.13727059507999712,0.451353713322519,0.49822196986733913,0.08705941813302467,0.4963056957251988,0.043208085085941796,0.05168470662811176,0.088724,0.478006,0.11571152,B
7629646,2024-03-04 08:04:53,7.0,1.2647058823529411,4500.0,franchise,626.0,0.17864409796283062,0.27597840090681075,0.5083310996031225,0.14845922766927283,0.17520197544036117,0.4071436337516974,0.6499853253355339,0.2069637710414113,0.22773131377379155,0.268753762694234,0.11857390503318292,0.4083891589983088,0.048424297355646906,0.06188516620788819,0.118574,0.408389,0.21718520000000002,C
7629651,2024-03-04 08:08:40,7.0,1.3529411764705883,5000.0,independent,515.0,0.4513617690933372,0.6443697706434101,0.7785112530066792,0.5939243505820919,0.46056507303941113,0.4673489428357981,0.6608966971229907,0.36383641107844406,0.9263534342718672,0.7183508079734157,0.37513922953303225,0.5315399190894367,0.19940147571326156,0.35712556780155436,0.375139,0.53154,0.66595152,Decline
7629654,2024-03-04 08:10:27,nan,1.0689655172413792,3500.0,franchise,564.0,0.30184662886638775,0.5173405179588152,0.3640703525356596,0.14667558767200878,0.2595770224915151,0.4831886369474273,0.7122181583236729,0.1759146573946747,0.2465374399378092,0.43630610660883673,0.1902160510716416,0.47537335847820317,0.09042364303438769,0.14401614666303614,0.190216,0.475373,0.21890432,C
7629655,2024-03-04 08:10:42,nan,1.3043478260869565,4500.0,independent,540.0,0.3224243421228293,0.5179110027049787,0.21941046550392795,0.1357261385590459,0.187427320602172,0.3892780202588542,0.6920931899222957,0.0854116716354427,0.22168692141115073,0.3061325263781846,0.17127645706883612,0.3874944266457774,0.06636867252980876,0.0969759301922169,0.171276,0.387494,0.14740352,B
7629656,2024-03-04 08:10:42,nan,0.9761904761904762,4000.0,franchise,,0.2906135362364397,0.4752563465840243,0.2340857340918222,0.29559471474473176,0.2718170792794476,0.3966706288764449,0.5743425067972744,0.09285493535320737,0.40066335833153416,0.3684340023806645,0.22050914253590495,0.42251497106654556,0.09316841397846665,0.14938362858731088,0.220509,0.422515,0.22706368,C
7629662,2024-03-04 08:14:52,7.0,1.1875,4000.0,franchise,534.0,0.11045183524260922,0.2435477183581679,0.3831343654262819,0.1097439275658643,0.1788948085305853,0.39975064711990344,0.6941574884988029,0.15315821051302975,0.17978378316359117,0.2930675635483541,0.06391427456959765,0.46629517564347966,0.029802917886556125,0.025470500014697098,0.067617,0.473129,0.16834000000000002,B
7629663,2024-03-04 08:14:54,nan,0.85,4000.0,independent,,0.432973729427539,0.5693539492573064,0.3091215511523921,0.13461451882512843,0.1252666175406502,0.42138829382242243,0.6119354446611449,0.1302602030238472,0.1944059332268384,0.1809059966020074,0.17027901636541617,0.48412474378394654,0.08243628516968955,0.128396628737883,0.170279,0.484125,0.19516344000000002,B
7629666,2024-03-04 08:15:58,13.0,1.0,5500.0,independent,613.0,0.11537319918581286,0.20322729394256348,0.07862284521089355,0.10819273755523184,0.07351394371304157,0.2301331324922714,0.6873417092063743,0.01809372165383791,0.17550229952563415,0.1192489113444467,0.03722472087987053,0.345748595298795,0.012870394954604961,-0.00764155655442136,0.037225,0.345749,0.05852,A1
7629667,2024-03-04 08:16:18,nan,1.0526315789473684,6500.0,franchise,519.0,0.3558767615094935,0.5935585512106414,0.2926011372275503,0.20939352714004558,0.24848348183131716,0.40151460615202517,0.6734378571058647,0.11748363037355454,0.3327919265733132,0.3949181131324196,0.23681731081610505,0.45658138982779156,0.10812637690769734,0.17863437383430938,0.236817,0.456581,0.27152368,D
7629671,2024-03-04 08:17:16,nan,1.1842105263157894,3500.0,independent,782.0,0.5720831263849614,0.7391787339358914,0.3082061363782644,0.3196353213115785,0.23131919904063242,0.47361393583565725,0.6794833159904874,0.14597072129881114,0.512561008556644,0.37093898594268626,0.30595261397114426,0.4754801443146433,0.145474393044442,0.2516695398301977,0.305953,0.47548,0.3825384,Decline
7629673,2024-03-04 08:18:23,nan,1.0681818181818181,4000.0,franchise,517.0,0.5611545253822613,0.7523287280490544,0.6650986332887051,0.4379654960904896,0.5092972946478866,0.4708920539118001,0.6886931288304802,0.3131896614832495,0.7118322336607524,0.8277689317600467,0.555955276335665,0.5392990100597379,0.2998261301653122,0.5535089923221729,0.555955,0.539299,0.8413336800000001,Decline
7629676,2024-03-04 08:19:55,nan,1.1428571428571428,3000.0,franchise,544.0,0.461152782635727,0.6472388435423672,0.6177181074777898,0.44000523423850113,0.4965067507321414,0.46883771942319075,0.7016596420472647,0.2896095487562964,0.7286120397651145,0.822173847622925,0.2892663907289773,0.4279976742531444,0.12380534247160362,0.20929506136349502,0.264434,0.442577,0.31812840000000003,Decline
7629678,2024-03-04 08:20:31,nan,1.2,4000.0,franchise,554.0,0.26148273127215366,0.4632842626558258,0.33539454781474426,0.29120428439305496,0.2910281106551663,0.4094667791884073,0.6569927009904869,0.1373329252510556,0.4515130508504123,0.4512398929810506,0.17506090491516071,0.44884552513052306,0.07857530379646988,0.12084636383311073,0.170286,0.448247,0.17701312,B
7629679,2024-03-04 08:21:07,nan,1.0985915492957747,7000.0,franchise,493.0,0.38933856167553316,0.6532177333659245,0.3586967719150028,0.27270098272000703,0.3424771409972499,0.21187719803974875,0.6788884971753866,0.07599966697925364,0.4369152023954065,0.5487089481017685,0.49399657243646466,0.34872064972982875,0.17226680570435238,0.3040629065590322,0.493997,0.348721,0.46217576000000005,Decline
7629680,2024-03-04 08:21:27,nan,1.1555555555555554,4000.0,franchise,,0.2916558991689443,0.4680469989849747,0.24346084633511617,0.2406766160849872,0.20877726895347917,0.4376759307755873,0.6997802232465907,0.10655695252713421,0.39747293727667976,0.34479176114990684,0.24915355906699227,0.4385826218209831,0.10927442117163065,0.1808794088337589,0.249154,0.438583,0.27493608,D
7629683,2024-03-04 08:22:05,nan,0.9090909090909091,4500.0,independent,449.0,0.5021618239071206,0.7025017397229932,0.49335785412447697,0.19977261250867218,0.313333094256676,0.5173448652652405,0.7133564894139688,0.2552361525695757,0.33632145131497465,0.5275029428813341,0.27424246757269366,0.5064011572133126,0.13887670293584642,0.23876755889213575,0.274242,0.506401,0.36292736000000003,Decline
