Feature Name,Description,Table
linkf141__tu,Number of distinct bank accounts within last 2 months,TransUnion
std205__tu,Total Payment Ratio for Student Loan accounts over the past 24 months,TransUnion
linkf110__tu,Number of lenders / locations with inquiries within last 3 months,TransUnion
linka009__tu,Number of days since most recent check order,TransUnion
s204s__tu,Total balance of third party collections verified in past 12 months,TransUnion
mt57s__tu,Total past due amount of open mortgage trades verified in past 12 months,TransUnion
trv18__tu,Number of months bankcard credit limit increases last 12 months,TransUnion
co07s__tu,Total balance of trades that charged-off in the past 24 months,TransUnion
s073b__tu,Number of non-medical third party collections with balance > $100,TransUnion
cv04__tu,Months since most recent third party collection occurrence,TransUnion
ret201__tu,Total Payment Ratio for Retail accounts over the past 1 month,TransUnion
g234s__tu,Number of days with inquiry occurring in past 30 days,TransUnion
cv15__tu,Number of deduped auto inquiries,TransUnion
agg902__tu,Number of aggregate non-mortgage balance decreases over last 3 months,TransUnion
linkf177__tu,Number of distinct zip codes within last 2 monthss,TransUnion
linkf139__tu,Number of distinct bank accounts within last 1 month,TransUnion
linka026__tu,Number of payday inquiries in the last 3 years,TransUnion
g001s__tu,Number of 30 days past due ratings in past 12 months,TransUnion
g209s__tu,Months since most recent charged-off trade opened,TransUnion
fltgrossmonthly__income_count,Total income sources (max = 2),Income
g225s__tu,Total past due amount of currently 90 or more days past due trades,TransUnion
cv21__tu,Total payment amount of trades verified in past 3 months,TransUnion
bkc320__tu,Number of months since Min Total Open-to-Buy for Bankcard accounts,TransUnion
g230s__tu,Number of 60 or more days past due trades (current MOP only) with balance > $0 opened in past 24 months,TransUnion
aut223__tu,Average total Payment Ratio for Auto accounts over the past 6 months,TransUnion
g213a__tu,Highest balance of third party collections verified in 24 months,TransUnion
aut201__tu,Total Payment Ratio for Auto accounts over the past 1 month,TransUnion
rev84__tu,Months since a Revolving trade last exceeded 90% utilization,TransUnion
s004s__tu,Average number of months trades have been on file,TransUnion
s204a__tu,Total balance of non-medical third party collections verified in past 12 months,TransUnion
bc97a__tu,Total open to buy of open credit cards verified in past 3 months,TransUnion
subjectwillingnessindex__ln,Modeled risk index indicating the subject's willingness to fulfill a credit obligation on the basis of recent or historical non-derogatory and derogatory public record activity on file,LexisNexis
g207s__tu,Total monthly obligation for all accounts,TransUnion
g960s__tu,Number of deduped inquiries,TransUnion
g213b__tu,Highest balance of non-medical third party collections verified in 24 months,TransUnion
at21s__tu,Months since most recent trade opened,TransUnion
au202s__tu,Number of auto trades that are 60 days or more past due ever,TransUnion
bkc322__tu,Min Total Open-to-Buy for Bankcard accounts over the past 6 months,TransUnion
at101b__tu,Total balance of all trades verified in past 12 months (excluding mortgage and home equity),TransUnion
au34s__tu,Utilization for open auto trades verified in past 12 months,TransUnion
aggs911__tu,Current Utilization of top-of-wallet bankcard (highest annual spend).,TransUnion
g305s__tu,Worst rating on installment trades,TransUnion
linkf163__tu,Number of distinct email addresses,TransUnion
g304s__tu,Worst rating on installment trades in past 12 months,TransUnion
linka020__tu,"Number of credit inquiries in the last 3 years.  
These include credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)",TransUnion
fi34s__tu,Utilization for open finance installment trades verified in past 12 months,TransUnion
g002s__tu,Number of 60 days past due ratings in past 12 months,TransUnion
cv14__tu,Number of deduped inquiries,TransUnion
std223__tu,Average total Payment Ratio for Student Loan accounts over the past 6 months,TransUnion
sourcenonderogcount12month__ln,Total non-derogatory source types on file for subject reported within the last 12 months,LexisNexis
assetproppurchasetimeoldest__ln,Time (in months) since earliest recorded real property purchase based on real property ownership records on subject's file,LexisNexis
linkf133__tu,Average balance of open trades (including collection),TransUnion
linkf059__tu,"Number of open, collection or charge-off trade segments STOREFRONT LENDER",TransUnion
rle904__tu,Amount of over-payments on Real-Estate accounts in the past 6 months,TransUnion
rp01s__tu,Number of repossession trades,TransUnion
inquiryshortterm12month__ln,Indicates subject has one or more LexisNexis personal finance credit inquiries on file in the last 12 months (multiple personal finance inquiries within a 24-hour period are counted as one inquiry),LexisNexis
linkf171__tu,Number of distinct home phones within last 9 months,TransUnion
linkf142__tu,Number of distinct bank accounts within last 3 months,TransUnion
linkf144__tu,Number of distinct bank accounts within last 9 months,TransUnion
linkf143__tu,Number of distinct bank accounts within last 6 months,TransUnion
g226s__tu,Number of 60 or more days past due trades (current MOP only) with balance > $0 opened in past 12 months,TransUnion
of34s__tu,Utilization for open credit union trades verified in past 12 months,TransUnion
linkf003__tu,Number of NSF within last 18 months,TransUnion
assetindex__ln,Modeled risk index indicating the type and relative value of real property and personal property associated with the subject,LexisNexis
bkc12__tu,Number of instances where a Bankcard trade was utilized more than 50% in the past 12 months,TransUnion
rev320__tu,Number of months since Min Total Open-to-Buy for Revolving accounts,TransUnion
g406s__tu,Number of deduped finance inquiries in past 12 months,TransUnion
linka066__tu,Total amount of open (unpaid) non-sufficient funds in the last 3 years,TransUnion
linkf061__tu,"Number of closed delinquent, return and collection trade segments within last 12 months STOREFRONT LENDER",TransUnion
linkf204__tu,Total Bad ACH amount in last 3 Months,TransUnion
educationattendance__ln,Indicates subject attended college based on student directory information on file,LexisNexis
assetproppurchasetimenewest__ln,Time (in months) since most recently recorded real property purchase based on real property ownership records on subject's file,LexisNexis
assetpropnewestsaleprice__ln,Subject's most recent real property sale price based on real property ownership records on file,LexisNexis
linkf002__tu,Number of NSF within last 12 months,TransUnion
linka001__tu,Number of checking account inquiries in the last 3 months,TransUnion
trv06__tu,Number of months non-mortgage balance increases last 12 months,TransUnion
fi101s__tu,Total balance of all finance installment trades verified in past 12 months,TransUnion
linkf084__tu,Number of inquiries within last 2 months,TransUnion
cv02__tu,Months since most recent foreclosure occurrence,TransUnion
g242s__tu,Number of inquiries (includes duplicates) in past 3 months,TransUnion
linka045__tu,Number of checking account closures for cause in the last year,TransUnion
fi01s__tu,Number of finance installment trades,TransUnion
au57s__tu,Total past due amount of open auto trades verified in past 12 months,TransUnion
g220d__tu,Number of credit card trades verified in the past 12 months that are currently 90 days or more past due,TransUnion
g219d__tu,Number of credit card trades verified in the past 12 months that are currently 60 days or more past due,TransUnion
mt01s__tu,Number of mortgage trades,TransUnion
linkf032__tu,Y / N indicator of lender-reported bankruptcy,TransUnion
ret235__tu,Aggregate Excess Payment for Retail accounts over the past 24 months,TransUnion
g212s__tu,Number of charged-off trades opened in past 24 months,TransUnion
subjectabilityindex__ln,"Modeled risk index indicating the subject's ability to fulfill a credit obligation on the basis of their time on file, post-secondary education history, asset ownership, and outstanding financial obligations on file",LexisNexis
linka050__tu,Number of checking account inquiries in the last 6 months,TransUnion
ssnproblems__ln,Indicates problems on file associated with the input SSN,LexisNexis
s114s__tu,Number of deduped inquiries in past 6 months (excluding auto and mortgage inquiries),TransUnion
hi21s__tu,Months since most recent home equity loan trade opened,TransUnion
linka052__tu,Number of checking account inquiries in the last 2 years,TransUnion
bc108s__tu,Number of 90 or more days past due ratings on credit card trades,TransUnion
g404s__tu,Number of deduped finance inquiries in past 3 months,TransUnion
linka051__tu,Number of checking account inquiries in the last year,TransUnion
at01a__tu,Number of authorized user trades,TransUnion
g200s__tu,Percentage of contractually liable debt,TransUnion
fi06s__tu,Number of finance installment trades opened in past 6 months,TransUnion
rev202__tu,Total Payment Ratio for Revolving accounts over the past 3 months,TransUnion
ret231__tu,Aggregate Excess Payment for Retail accounts over the past 1 month,TransUnion
mt21s__tu,Months since most recent mortgage trade opened,TransUnion
linkt009__tu,Number of tradeline bankruptcies,TransUnion
linka039__tu,Number of days since first (oldest) check order,TransUnion
criminalfelonycount__ln,Total felony criminal convictions on subject's file,LexisNexis
g418s__tu,Months since most recent auto inquiry,TransUnion
co05s__tu,Total balance of trades that charged-off,TransUnion
rvdex02__tu,Most recent quarter year-over-year revolving spend index,TransUnion
fr21s__tu,Months since most recent finance revolving trade opened,TransUnion
