bigAccountId,bigDealerId,dtmStampCreation,dtmFunded,intTerm,intOpenBKType,strTier,AmtFinanced,OriginalInterestRate,MaxFico
7888111,5366,09:20.4,00:00.0,60,NULL,C,17139.48,25,475
7888635,6465,46:49.9,00:00.0,72,NULL,B,20419.98,20.6,590
7764248,2928,37:02.2,00:00.0,72,13,A1,18520,19.75,584
7885606,6806,14:41.1,00:00.0,72,NULL,B,22588.34,24.24,493
7887964,5284,45:28.6,00:00.0,72,NULL,B,25808.59,25.97,NULL
7888012,2492,55:49.2,00:00.0,72,NULL,B,27106.64,22.24,486
7820078,4487,21:22.3,00:00.0,60,NULL,C,22481.25,26.74,631
7721609,6303,01:59.6,00:00.0,72,NULL,C,21684.43,24,577
7885524,3171,59:14.6,00:00.0,72,NULL,B,21013.02,25.24,600
7887773,6642,12:08.6,00:00.0,72,NULL,B,25388.08,24,463
7862836,2687,59:08.4,00:00.0,72,7,B,20557.5,24.8,503
7873729,2408,34:34.1,00:00.0,72,NULL,B,13922.6,26.83,433
7865511,7302,15:33.8,00:00.0,72,7,B,23154.24,25,600
7878495,8402,12:00.1,00:00.0,72,13,A,26570.82,18,545
7876824,560,06:06.9,00:00.0,72,7,D,21526.71,28.24,513
7869337,6506,12:43.5,00:00.0,72,NULL,B,23014.5,28.91,594
7857700,5053,19:19.6,00:00.0,72,NULL,B,25069.31,28.76,478
7870266,2679,55:16.4,00:00.0,72,13,B,25046.95,23.24,514
7827356,7039,41:03.5,00:00.0,60,NULL,B,10342.5,25.39,471
7852561,1414,37:01.5,00:00.0,66,NULL,C,23878.28,27.92,642
7888203,3284,27:55.3,00:00.0,72,7,B,23017.15,25,534
7894702,6111,05:07.8,00:00.0,72,NULL,C,16053,25,605
7875933,1327,13:24.4,00:00.0,72,7,B,20620.29,25.24,493
7880239,6845,45:11.0,00:00.0,72,NULL,B,22247.35,24.24,542
7868583,6170,36:37.6,00:00.0,72,NULL,D,32611.86,25,520
7854750,6523,59:46.6,00:00.0,60,NULL,C,23644.93,25,537
7855165,6116,19:44.6,00:00.0,72,7,B,26517.57,26.62,589
7875970,5501,30:38.2,00:00.0,72,7,B,20646.91,27.26,695
7888314,3439,46:42.8,00:00.0,60,NULL,B,17745.02,25.24,610
7675259,7741,49:09.2,00:00.0,72,13,B,23475.22,25.71,544
7893894,6074,09:35.3,00:00.0,72,7,B,29235.05,25,523
7894373,2997,27:37.7,00:00.0,72,NULL,B,19108.93,25,NULL
7882437,6205,09:52.3,00:00.0,48,NULL,B,16304.88,23.6,566
7884092,4731,11:41.9,00:00.0,72,NULL,C,21446.28,25.74,613
7858961,6703,55:07.7,00:00.0,66,7,B,22959.36,24.63,548
7876160,4006,47:49.0,00:00.0,72,7,B,20334.08,26.58,494
7884341,6462,03:16.2,00:00.0,72,NULL,D,28067,21,623
7890600,6303,35:37.7,00:00.0,72,NULL,B,19757.75,23.24,NULL
7887547,6433,31:16.5,00:00.0,72,NULL,A,18376.68,21.24,602
7837068,7207,09:40.2,00:00.0,66,NULL,C,17263.58,26.03,633
7868893,7864,37:19.5,00:00.0,72,NULL,B,31688.85,29.41,645
7882667,8051,02:32.9,00:00.0,60,NULL,C,12031,21,660
7874938,6432,04:26.3,00:00.0,72,NULL,B,30501.88,25,453
7881893,2687,14:44.8,00:00.0,72,7,D,32281.96,28.99,561
7889090,7461,17:34.5,00:00.0,72,NULL,D,20154.16,28.24,542
7885280,5457,11:11.5,00:00.0,72,NULL,D,21037.74,29.24,542
7851740,6816,56:07.9,00:00.0,66,NULL,B,24393.43,25,626
7813822,2279,21:55.4,00:00.0,72,NULL,B,19221.94,26.6,NULL
7881518,577,49:08.7,00:00.0,72,NULL,B,18845,23.7,638
7879626,2254,12:17.1,00:00.0,72,NULL,B,22757.07,24.1,487
7884786,1833,33:50.5,00:00.0,72,NULL,B,17329.38,24.24,510
7881790,5188,52:56.6,00:00.0,72,NULL,B,27510.71,23.24,620
7730467,6605,39:42.4,00:00.0,72,13,B,22372.84,20.75,564
7856461,3932,25:04.5,00:00.0,72,NULL,B,25020.74,26.65,561
7856296,6816,48:50.3,00:00.0,72,NULL,C,15787.93,25,504
7858189,2408,02:12.3,00:00.0,72,NULL,B,20652.32,24.99,615
7879755,2066,48:07.4,00:00.0,72,NULL,C,25101.92,26.74,501
7876082,4187,07:42.3,00:00.0,66,NULL,B,20691.65,29.25,496
7887100,1151,55:23.7,00:00.0,66,NULL,C,15320,26.74,578
7836081,1504,50:24.8,00:00.0,72,NULL,B,15267.14,26.1,613
7832239,1713,27:15.0,00:00.0,72,NULL,B,23882.3,24.51,600
7874720,7769,18:09.7,00:00.0,72,NULL,D,23834.58,25,528
7892133,5934,06:30.6,00:00.0,72,NULL,B,26194.98,24.24,558
7887989,6642,49:50.8,00:00.0,72,NULL,B,20637.04,24,553
7872285,6502,20:41.8,00:00.0,72,NULL,B,26815.81,23.24,460
7869162,6816,36:12.7,00:00.0,66,NULL,C,24115.03,25,681
7875727,7980,54:43.4,00:00.0,72,NULL,B,18912.73,25.46,597
7879922,7564,29:06.8,00:00.0,66,NULL,B,22005,22.73,722
7885821,1372,52:54.2,00:00.0,72,NULL,D,23215.42,29.24,553
7887549,5366,31:40.0,00:00.0,72,NULL,B,22628.99,24.24,522
7884952,6810,05:23.3,00:00.0,66,NULL,D,16969,25,576
7879366,443,05:52.1,00:00.0,72,13,A1,25802.88,17.93,583
7885690,4462,28:37.6,00:00.0,72,NULL,C,24453.76,26.77,626
7859515,7015,11:21.7,00:00.0,72,NULL,D,25600,28.24,572
7864145,6822,52:53.9,00:00.0,72,NULL,B,17873.59,23.24,531
7878239,829,39:38.1,00:00.0,66,NULL,C,21379.86,26.95,533
7890079,7925,56:19.3,00:00.0,72,NULL,D,17994,29.24,537
7861225,607,13:09.1,00:00.0,72,NULL,D,30082.43,28.24,474
7879733,1713,40:46.1,00:00.0,72,NULL,B,24895.89,25.05,635
7867377,6554,54:57.2,00:00.0,60,13,A1,18295.28,18.99,543
7885824,4737,53:22.5,00:00.0,66,NULL,C,19453.81,26.74,527
7864105,1372,43:58.3,00:00.0,72,NULL,B,22383.86,24.57,530
7878801,3366,26:03.2,00:00.0,72,NULL,B,24498.91,23.24,507
7873823,6988,00:25.1,00:00.0,72,NULL,C,28001.33,28.09,522
7857889,6211,59:27.2,00:00.0,66,NULL,D,23099,28.24,647
7879235,6810,29:15.7,00:00.0,60,NULL,C,16733.4,25,718
7883115,6810,47:26.3,00:00.0,66,NULL,C,18136,25,619
7882115,6009,03:00.7,00:00.0,66,NULL,B,30678.88,24.99,535
7886968,5375,18:54.2,00:00.0,72,NULL,B,22021.8,25.9,569
7867449,4739,13:18.2,00:00.0,72,NULL,B,21058.22,25,649
7846439,5081,35:33.8,00:00.0,72,NULL,C,15207.99,25,526
7868701,4737,59:03.8,00:00.0,60,NULL,B,9066.14,25.24,633
7839321,7591,44:25.4,00:00.0,72,NULL,B,19508.36,25.26,514
7856349,939,01:18.5,00:00.0,72,13,A,27523.26,19.24,601
7887336,4625,47:19.3,00:00.0,66,13,A,21593.08,21.24,504
7875600,4874,26:28.6,00:00.0,72,NULL,B,14895.39,28.74,601
7868022,6502,41:31.8,00:00.0,72,NULL,D,23018.98,29.24,575
7867750,6495,45:20.4,00:00.0,72,NULL,D,17598.42,29.24,502
7886510,8009,24:26.3,00:00.0,72,NULL,C,17222.24,24,646
7874452,4316,17:32.7,00:00.0,72,7,B,20376.14,24.24,506
7882960,7487,11:51.2,00:00.0,72,NULL,B,23965.88,26.48,555
7887599,2003,40:14.9,00:00.0,72,NULL,B,25182.95,25,NULL
7881344,2492,55:43.7,00:00.0,72,NULL,B,17892.5,23.82,586
7812892,5944,18:22.2,00:00.0,72,7,B,19973.5,26.74,541
7875891,1162,50:38.7,00:00.0,72,NULL,B,21480.45,23.24,631
7870601,4874,26:01.7,00:00.0,72,13,B,15965.71,28.2,507
7868234,4462,25:07.4,00:00.0,72,7,C,24539.73,28.5,485
7887266,3202,33:45.4,00:00.0,72,NULL,C,26580.6,25,577
7842386,3171,20:17.8,00:00.0,60,NULL,C,15785.51,26.74,564
7879073,3171,47:27.8,00:00.0,60,NULL,D,17705.51,29.24,484
7871474,2408,54:33.7,00:00.0,72,NULL,B,17797.52,25.49,444
7876697,7925,37:54.3,00:00.0,72,NULL,B,18373.1,26.87,628
7873451,6210,46:54.7,00:00.0,72,7,B,22439.33,24.24,560
7864257,7144,21:22.1,00:00.0,72,NULL,D,13633,21,NULL
7881357,6211,01:58.3,00:00.0,72,NULL,D,22024,29.24,537
7859206,5290,54:21.6,00:00.0,72,NULL,B,19958.4,22,459
7824974,6816,47:49.8,00:00.0,72,NULL,B,22782.73,25,558
7883182,4752,01:45.4,00:00.0,72,NULL,D,16739,29.24,625
7866996,2308,00:26.2,00:00.0,72,7,B,19362.51,25.46,NULL
7875342,2542,27:12.9,00:00.0,72,NULL,B,23692.07,27.59,593
7865817,538,21:47.9,00:00.0,72,7,B,26218.75,20.6,558
7865625,2150,37:30.7,00:00.0,72,7,B,24085,25,520
7867724,6272,40:02.0,00:00.0,72,NULL,B,21325.6,28.69,540
7849752,2914,18:52.0,00:00.0,60,NULL,D,21663,24.1,552
7874362,939,59:11.8,00:00.0,72,NULL,B,22643.09,24.99,585
7881353,5625,58:42.4,00:00.0,72,NULL,D,16926.07,28.24,517
7868283,7283,34:21.4,00:00.0,66,NULL,C,15079,25.74,540
7875888,2413,49:27.5,00:00.0,72,NULL,C,19416.26,25,556
7840849,577,09:26.6,00:00.0,72,NULL,C,20592.94,24,599
7872378,6934,40:18.0,00:00.0,72,7,B,27764.95,21.75,526
7881888,7161,13:16.1,00:00.0,72,NULL,B,19240.99,25.24,614
7843429,5171,08:27.3,00:00.0,48,13,B,27205.9,25,656
7855579,6532,29:18.6,00:00.0,72,NULL,B,25694.27,25.24,604
7868332,7741,43:29.4,00:00.0,72,NULL,B,22447.93,24.24,570
7864918,2612,39:38.3,00:00.0,72,NULL,D,30272.18,28.24,440
7863511,5081,23:33.3,00:00.0,72,NULL,B,18021.01,25,660
7875944,7089,15:32.3,00:00.0,72,NULL,B,22625.28,24.25,524
7882973,7769,13:27.8,00:00.0,66,NULL,C,20557.37,25,552
7878844,6554,41:39.9,00:00.0,60,7,B,13933.31,25,515
7871473,6502,54:14.6,00:00.0,72,NULL,B,19522.02,23.24,635
7877484,6211,39:54.7,00:00.0,72,NULL,B,17899,25.24,NULL
7880465,2899,37:10.1,00:00.0,72,NULL,C,20414.8,26.74,639
7863686,8466,07:08.3,00:00.0,60,NULL,D,20234.82,29.24,552
7872551,7015,19:12.3,00:00.0,72,NULL,B,15294,23.24,603
7860043,8075,57:34.0,00:00.0,72,13,A,19999.18,18.99,549
7868666,6501,52:23.3,00:00.0,48,NULL,B,13249.68,25,574
7860391,8438,35:55.5,00:00.0,70,13,B,19078.18,25.24,573
7879332,7640,56:31.6,00:00.0,72,NULL,B,20719.41,25.24,567
7868544,1363,23:54.7,00:00.0,72,7,B,34999.85,24.24,581
7856479,5774,28:49.3,00:00.0,72,13,A,16059,19.24,656
7866082,2545,25:51.7,00:00.0,69,NULL,C,18045.51,25.74,577
7861173,6523,01:17.9,00:00.0,72,NULL,D,22683.58,25,504
7879682,1092,26:55.4,00:00.0,72,NULL,C,23605.94,24,NULL
7880326,4156,04:19.4,00:00.0,72,7,B,32088.66,25.73,NULL
7854558,6189,23:15.7,00:00.0,72,7,B,31916.66,28.21,545
7876016,7896,04:15.1,00:00.0,72,NULL,B,22154.72,23.24,563
