max ENG-wtd_avg,count_approved_gen12,count_total_gen12,prop_approved_gen12,count_approved_gen13,count_total_gen13,prop_approved_gen13
0.82,5524,13824,0.3995949074074074,5042,13824,0.36472800925925924
0.83,5565,13889,0.4006767945856433,5086,13889,0.3661890704874361
0.84,5616,13991,0.4014009005789436,5134,13991,0.3669501822600243
0.85,5667,14074,0.40265738240727583,5188,14074,0.3686229927525934
0.86,5728,14173,0.4041487335073732,5247,14173,0.37021096450998375
0.87,5773,14256,0.4049523007856341,5291,14256,0.37114197530864196
0.88,5823,14342,0.4060103193417933,5346,14342,0.37275135964300654
0.89,5891,14443,0.40787924946340787,5416,14443,0.37499134528837497
0.90,5949,14544,0.4090346534653465,5479,14544,0.3767189218921892
0.91,6006,14647,0.41004983955758856,5543,14647,0.37843927084044515
0.92,6081,14759,0.41201978453824784,5608,14759,0.3799715427874517
