max g232s__tu,count_approved_gen12,count_total_gen12,prop_approved_gen12,count_approved_gen13,count_total_gen13,prop_approved_gen13
299.00,10127,21337,0.4746215494211932,10364,21337,0.48572901532549095
300.00,10127,21337,0.4746215494211932,10364,21337,0.48572901532549095
301.00,10127,21337,0.4746215494211932,10364,21337,0.48572901532549095
302.00,10127,21337,0.4746215494211932,10364,21337,0.48572901532549095
303.00,10127,21337,0.4746215494211932,10364,21337,0.48572901532549095
304.00,10127,21337,0.4746215494211932,10364,21337,0.48572901532549095
305.00,10127,21337,0.4746215494211932,10364,21337,0.48572901532549095
306.00,10127,21337,0.4746215494211932,10364,21337,0.48572901532549095
307.00,10127,21337,0.4746215494211932,10364,21337,0.48572901532549095
308.00,10127,21337,0.4746215494211932,10364,21337,0.48572901532549095
309.00,10127,21337,0.4746215494211932,10364,21337,0.48572901532549095
310.00,10127,21337,0.4746215494211932,10364,21337,0.48572901532549095
311.00,10127,21337,0.4746215494211932,10364,21337,0.48572901532549095
312.00,10127,21337,0.4746215494211932,10364,21337,0.48572901532549095
313.00,10127,21337,0.4746215494211932,10364,21337,0.48572901532549095
314.00,10127,21338,0.4745993064017246,10364,21338,0.48570625175742804
315.00,10127,21338,0.4745993064017246,10364,21338,0.48570625175742804
316.00,10127,21338,0.4745993064017246,10364,21338,0.48570625175742804
317.00,10127,21338,0.4745993064017246,10364,21338,0.48570625175742804
318.00,10127,21338,0.4745993064017246,10364,21338,0.48570625175742804
319.00,10127,21338,0.4745993064017246,10364,21338,0.48570625175742804
320.00,10127,21338,0.4745993064017246,10364,21338,0.48570625175742804
321.00,10127,21338,0.4745993064017246,10364,21338,0.48570625175742804
322.00,10127,21338,0.4745993064017246,10364,21338,0.48570625175742804
323.00,10127,21338,0.4745993064017246,10364,21338,0.48570625175742804
324.00,10127,21338,0.4745993064017246,10364,21338,0.48570625175742804
325.00,10127,21338,0.4745993064017246,10364,21338,0.48570625175742804
326.00,10127,21338,0.4745993064017246,10364,21338,0.48570625175742804
327.00,10127,21338,0.4745993064017246,10364,21338,0.48570625175742804
328.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
329.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
330.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
331.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
332.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
333.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
334.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
335.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
336.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
337.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
338.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
339.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
340.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
341.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
342.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
343.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
344.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
345.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
346.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
347.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
348.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
349.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
350.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
351.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
352.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
353.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
354.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
355.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
356.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
357.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
358.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
359.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
360.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
361.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
362.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
363.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
364.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
365.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
