feature,AD,PD,LGD,Sum,Eng,App,description
linkf061__tu,1,1,1,3,0,0,"Number of closed delinquent, return and collection trade segments within last 12 months STOREFRONT LENDER"
g206s__tu,1,1,1,3,0,0,Total monthly obligation for joint account verified in past 12 months
jt70s__tu,1,1,1,3,0,0,Ratio of dollars past due joint trades to total dollars past due trades
linka049__tu,1,1,1,3,0,0,Number of checking account inquiries in the last 2 months
bc108s__tu,1,1,1,3,0,0,Number of 90 or more days past due ratings on credit card trades
g413s__tu,1,1,1,3,0,0,Number of deduped auto inquiries in past 6 months
mt20s__tu,1,1,1,3,0,0,Months since oldest mortgage trade opened
g228s__tu,1,1,1,3,0,0,Number of 90 or more days past due trades (current MOP only) with balance > $0 opened in past 24 months
educationinstitutionprivate__ln,1,1,1,3,0,0,Indicates most recently attended program is a private institution based on student directories and other college attendance sources on subject's file
bkc84__tu,1,1,1,3,0,0,Months since a Bankcard trade last exceeded 90% utilization
g407s__tu,1,1,1,3,0,0,Number of deduped finance inquiries
g240s__tu,1,1,1,3,0,0,Number of mortgage inquiries
bc01s__tu,1,1,1,3,0,0,Number of credit card trades
intopenbktype__app,1,1,1,3,0,1,BK Type
pti__app,1,1,1,3,0,1,Payment to income
br20s__tu,1,1,1,3,0,0,Months since oldest bank revolving trade opened
addrinputmatchindex__ln,1,1,1,3,0,0,Index indicating if the input address matches the current or historical address on file
rev319__tu,1,1,1,3,0,0,Max Total Open-to-Buy for Revolving accounts over the past 24 months
rle905__tu,1,1,1,3,0,0,Amount of over-payments on Real-Estate accounts in the past 12 months
std224__tu,1,1,1,3,0,0,Average total Payment Ratio for Student Loan accounts over the past 12 months
linkf098__tu,1,1,1,3,0,0,Number of satisfactory trades
std225__tu,1,1,1,3,0,0,Average total Payment Ratio for Student Loan accounts over the past 24 months
sourcenonderogcount__ln,1,1,1,3,0,0,Total non-derogatory source types on file for subject
au51a__tu,1,1,1,3,0,0,Terms in months of most recent auto trade
of28s__tu,1,1,1,3,0,0,Total credit line of open credit union trades verified in past 12 months
revs905__tu,1,1,1,3,0,0,Months since max. revolving monthly spend over last 12 months
bitgap__app,1,1,1,3,0,1,Gap tag
rev122__tu,1,1,1,3,0,0,Number of months in the past 12 months where percentage of Revolving trades utilized less than 100% was more than 25%
addrinputblockratio__ln,1,1,1,3,0,0,Ratio comparison of the input address property value to block median property value on file
vehiclemake__app,1,1,1,3,0,1,Vehicle make
s073b__tu,1,1,1,3,0,0,Number of non-medical third party collections with balance > $100
cvlst_s1__tu,1,1,1,3,0,0,Credit Vision Link Short-Term Loan Risk Score (short-term loan)
linkt004__tu,1,1,1,3,0,0,Number of non-military non-corroborated addresses in last 5 years
re20s__tu,1,1,1,3,0,0,Months since oldest revolving trade opened
ENG-loan_to_value,1,1,1,3,1,0,Loan to value
linkf086__tu,1,1,1,3,0,0,Number of inquiries within last 6 months
fltadvance__app,1,1,1,3,0,1,Advance
addrinputcountyratio__ln,1,1,1,3,0,0,Ratio comparison of the input address property value to county median property value on file
g094s__tu,1,1,1,3,0,0,Number of public record bankruptcies
addrinputdwelltypeindex__ln,1,1,1,3,0,0,Index indicating the dwelling type on file for the input address
linkf211__tu,1,1,1,3,0,0,Total Good ACH amount in last 6 Months
g041c__tu,1,1,1,3,0,0,Number of real estate trades 30 or more days past due ever
rvlr61__tu,1,1,1,3,0,0,Flag indicating that the consumer revolved at least one time on at least one of his top 5 bankcards in the past 6 months
g102s__tu,1,1,1,3,0,0,Months since most recent inquiry
linkf167__tu,1,1,1,3,0,0,Number of distinct home phones within last 24 months
mt09s__tu,1,1,1,3,0,0,Number of mortgage trades opened in past 24 months
linkf050__tu,1,1,1,3,0,0,Number of open delinquent and charge-off trade segments STOREFRONT LENDER
s063s__tu,1,1,1,3,0,0,Total public record amount reported in past 12 months
sourcecredheadertimenewest__ln,1,1,1,3,0,0,Time (in months) since the subject last reported by a credit header source on file
linka085__tu,1,1,1,3,0,0,Maximum days taken to pay a non-sufficient funds
mt06s__tu,1,1,1,3,0,0,Number of mortgage trades opened in past 6 months
ret322__tu,1,1,1,3,0,0,Min Total Open-to-Buy for Retail accounts over the past 6 months
jt42s__tu,1,1,1,3,0,0,Ratio of open joint trades to open trades
linkf109__tu,1,1,1,3,0,0,Number of lenders / locations with inquiries within last 2 months
se57s__tu,1,1,1,3,0,0,Total past due amount of open secured installment trades verified in past 12 months
aut225__tu,1,1,1,3,0,0,Average total Payment Ratio for Auto accounts over the past 24 months
br30s__tu,1,1,1,3,0,0,Percentage of open bank revolving trades > 50% of credit line verified in past 12 months
rev233__tu,1,1,1,3,0,0,Aggregate Excess Payment for Revolving accounts over the past 6 months
linkf043__tu,1,1,1,3,0,0,Number of trades opened within last 12 months ONLINE LENDER
g301s__tu,1,1,1,3,0,0,Worst rating on credit card trades
