feature,bin,min,max,count,prop,target,bin_label
linkt003__tu_binned,0.06448041046704629,0.0,0.0,40706,0.760575485799701,0.10249103326290965,1
linkt003__tu_binned,-0.18577454551098002,1.0,7.0,12814,0.23942451420029895,0.12790697674418605,2
inquirybanking12month__ln_binned,0.14951250375645012,0.0,0.0,29306,0.5475710014947683,0.09492936600013649,1
inquirybanking12month__ln_binned,-0.16030653421549756,1.0,1.0,24214,0.4524289985052317,0.1250929214504006,2
all235__tu_binned,-0.08938994949728996,0.0,29.0,33241,0.621094917787743,0.1175355735387022,1
all235__tu_binned,0.10492159708560468,30.0,993.0,7609,0.1421711509715994,0.09883033250098568,2
all235__tu_binned,0.17272260551229926,994.0,12947.0,8714,0.16281763826606876,0.09295386733991279,3
all235__tu_binned,0.25239234784064885,12953.0,796020.0,3956,0.07391629297458893,0.08645096056622852,4
cv15__tu_binned,0.2030857678195637,0.0,1.0,21985,0.4107810164424514,0.09042528997043439,1
cv15__tu_binned,-0.0031909685399730287,2.0,2.0,13629,0.254652466367713,0.10888546481766821,2
cv15__tu_binned,-0.09938320544008336,3.0,3.0,7725,0.1443385650224215,0.11857605177993527,3
cv15__tu_binned,-0.22713208275356603,4.0,5.0,6652,0.12428998505231689,0.13259170174383644,4
cv15__tu_binned,-0.39642711884269355,6.0,35.0,3529,0.06593796711509715,0.1533012184754888,5
derogseverityindex__ln_binned,0.07566034328328006,0.0,1.0,37214,0.6953288490284006,0.10146718976729188,1
derogseverityindex__ln_binned,-0.016760608066687,2.0,3.0,11333,0.2117526158445441,0.11020912379775875,2
derogseverityindex__ln_binned,-0.4325844126589832,4.0,5.0,4973,0.09291853512705531,0.15805348883973458,3
cv13__tu_binned,0.2151471769452479,0.0,18.0,7849,0.14665545590433482,0.0894381449866225,1
cv13__tu_binned,0.20646444110889908,19.0,27.0,4060,0.0758594917787743,0.09014778325123153,2
cv13__tu_binned,0.11854090882549431,28.0,37.0,5808,0.10852017937219731,0.09762396694214875,3
cv13__tu_binned,0.08376901423754662,38.0,43.0,3971,0.0741965620328849,0.10073029463611181,4
cv13__tu_binned,-0.061172505973953385,44.0,63.0,13538,0.2529521674140508,0.11464027182744867,5
cv13__tu_binned,-0.08116590479697935,64.0,79.0,8073,0.1508408071748879,0.11668524712002973,6
cv13__tu_binned,-0.16336501864168262,80.0,100.0,10221,0.19097533632286995,0.1254280403091674,7
ENG-wtd_avg_binned,-0.12328262348808036,0.0,0.6153846153846154,29687,0.5546898355754858,0.12109677636675986,1
