feature,bin,min,max,count,prop,target,bin_label
ENG-6mo_bad_binned,0.1330524945621827,0.0,0.0,12624,0.5045966903829243,0.2477820025348542,1
ENG-6mo_bad_binned,-0.1277432381086719,1.0,1.0,12394,0.4954033096170757,0.2994997579473939,2
ENG-3mo_bad_end_binned,0.2353039923661951,0.0,0.0,5209,0.20821008873611,0.2292186600115185,1
ENG-3mo_bad_end_binned,-0.0577387396611576,1.0,1.0,19809,0.79178991126389,0.2850219597152809,2
ENG-6mo_bad_end_binned,0.1919722056383598,0.0,0.0,5178,0.2069709808937564,0.2369640787949015,1
ENG-6mo_bad_end_binned,-0.0473681083531518,1.0,1.0,19840,0.7930290191062435,0.2829133064516129,2
ENG-vehicle_age_binned,0.532081778333375,-1.0,1.0,1917,0.0766248301223119,0.1810119979134063,1
ENG-vehicle_age_binned,0.0739985261743814,2.0,2.0,2290,0.091534095451275,0.2589519650655021,2
ENG-vehicle_age_binned,0.0151155805766181,3.0,3.0,4042,0.1615636741546086,0.2704106877783275,3
ENG-vehicle_age_binned,-0.0316318919684838,4.0,5.0,7904,0.3159325285794228,0.2797317813765182,4
ENG-vehicle_age_binned,-0.0791927897263618,6.0,7.0,6178,0.2469422016148373,0.2894140498543218,5
ENG-vehicle_age_binned,-0.1334913991697498,8.0,11.0,2687,0.1074026700775441,0.3007071082992185,6
ENG-payment_to_income_binned,0.2879682481887327,0.0036057735646316,0.0676272745306667,1277,0.0510432488608202,0.2200469851213782,1
ENG-payment_to_income_binned,0.1782704639980255,0.0676282051282051,0.1113187054537139,3057,0.122192021744344,0.239450441609421,2
ENG-payment_to_income_binned,-0.004429788749978,0.1113460467826473,0.3621483667678971,3387,0.1353825245823007,0.2742840271626808,3
ENG-payment_to_income_binned,-0.0486354743943904,0.36272040302267,402.0,17297,0.691382204812535,0.2831704919928311,4
ENG-loan_to_value_binned,2.14714080533484,0.1854616840113528,0.7759759036144578,95,0.0037972659685026,0.0421052631578947,1
