feature,description
linkt007__tu,Months since most recent derogatory public record
jt20s__tu,Months since oldest joint trade opened
rev319__tu,Max Total Open-to-Buy for Revolving accounts over the past 24 months
au27s__tu,Number of currently open and satisfactory auto trades 24 months or older
criminalnonfelonytimenewest__ln,"Time (in months) since most recently recorded non-felony criminal conviction on subject's file
NOTE: This attribute does not include sexual offender registry records"
linkt002__tu,Number of months at current address
agg905__tu,Average aggregate bankcard utilization over last 3 months
g301s__tu,Worst rating on credit card trades
fltadvance__app,Not in dictionary
addrlastmovetaxratiodiff__ln,"Ratio comparing the difference in tax assessed value between the current address and the previous address (current address value divided by the previous address value if both are known) on subject's file, if the move occurred within the last five years"
at28b__tu,Total credit line of open trades verified in past 12 months (excluding mortgage and home equity)
ENG-vehicle_age,Not in dictionary
s207a__tu,Months since most recent tradeline bankruptcy
bitgap__app,Not in dictionary
rev317__tu,Max Total Open-to-Buy for Revolving accounts over the past 6 months
in28s__tu,Total credit line of open installment trades verified in past 12 months
indexq4__tu,Q4 (Oct - Dec) spend indexed to annual spend
in25s__tu,Number of currently open and satisfactory installment trades 12 months or older
jt28s__tu,Total credit line of open joint trade verified in the past 12 months
addrcurrentdwelltype__ln,Not in dictionary
ret322__tu,Min Total Open-to-Buy for Retail accounts over the past 6 months
fltdowncash__app,Not in dictionary
paymnt10__tu,Number of payments in last 3 months
bc20s__tu,Months since oldest credit card trade opened
jt01s__tu,Number of joint trades
bc36s__tu,Months since most recent credit card delinquency
bkc122__tu,Number of months in the past 12 months where percentage of Bankcard trades utilized less than 100% was more than 25%
rtdexq1__tu,Q1 (Jan - March) retail spend indexed to annual retail spend
g306s__tu,Worst rating on auto trades in past 12 months
revs905__tu,Months since max. revolving monthly spend over last 12 months
evictiontimenewest__ln,Time (in months) since most recently recorded eviction on subject's file
at35a__tu,Average balance of open trades verified in past 12 months
addrinputphoneservice__ln,Indicates if phone service was found on file for the input address
rev204__tu,Total Payment Ratio for Revolving accounts over the past 12 months
jt80s__tu,Number of non-Mortgage and non-Auto joint trades with greater than 75% utilization
linka060__tu,Total amount of open (unpaid) non-sufficient funds in the last month
linkf197__tu,Total Good ACH events
g208s__tu,Percentage of individual debt
addrcurrentsubjectowned__ln,Not in dictionary
us57s__tu,Total past due amount of open unsecured installment trades verified in past 12 months
of21s__tu,Months since most recent credit union trade opened
rvdexq3__tu,Q3 (Jul - Sep) revolving spend indexed to revolving annual spend
bc107s__tu,Number of 30 and 60 days past due ratings on credit card trades
bi20s__tu,Months since oldest bank installment trade opened
addrpreviouslengthofres__ln,Not in dictionary
lienjudgmenttimenewest__ln,"Time (in months) since the most recently recorded lien or judgment on subject's file, excluding evictions"
walshr10__tu,Months since most recent wallet share shift > 50% in last 24 months
fi24s__tu,Number of currently open and satisfactory finance installment trades 6 months or older
agg903__tu,Number of aggregate non-mortgage credit line increases over last 3 months
ret205__tu,Total Payment Ratio for Retail accounts over the past 24 months
at25s__tu,Number of currently open and satisfactory trades 12 months or older
rev315__tu,Number of months since Max Total Open-to-Buy for Revolving accounts
g206b__tu,Total monthly obligation for joint account verified in past 12 months and with a current balance > 0  (ATTR14)
st25s__tu,Number of currently open and satisfactory student loan trades 12 months or older
businessassociationtimeoldest__ln,Time (in months) since a formal business association with the subject first seen on file
g218d__tu,Number of credit card trades verified in the past 12 months that are currently 30 days or more past due
ENG-loan_to_value,Not in dictionary
fltapproveddowntotal__app,Not in dictionary
aut205__tu,Total Payment Ratio for Auto accounts over the past 24 months
miles_odometer__app,Not in dictionary
addrinputproblems__ln,Indicates any problems on file associated with the input address
assetpropevercount__ln,Total number of real property ever owned based on real property ownership records on subject's file
of20s__tu,Months since oldest credit union trade opened
rev253__tu,Average Aggregate Excess Payment for Revolving accounts over the past 6 months
rev232__tu,Aggregate Excess Payment for Revolving accounts over the past 3 months
addrpreviousdwelltype__ln,Not in dictionary
us01s__tu,Number of unsecured installment trades
au20s__tu,Months since oldest auto trade opened
au36s__tu,Months since most recent auto delinquency
in09s__tu,Number of installment trades opened in past 24 months
g105s__tu,Months since most recent mortgage inquiry
lm14s__tu,Months since oldest government loan modification on a mortgage trade
addrinputmatchindex__ln,Index indicating if the input address matches the current or historical address on file
all254__tu,Average Aggregate Excess Payment for All accounts over the past 12 months
g202b__tu,Total open to buy of closed trades verified in past 12 months (excluding installments and mortgages)
jt02s__tu,Number of open joint trades
linkf185__tu,Age of newest inquiry ONLINE LENDER
jt40s__tu,Number of joint revolving trades
jt51s__tu,Months since most recent 30+ days past due on a joint trade
std235__tu,Aggregate Excess Payment for Student Loan accounts over the past 24 months
ret328__tu,Average Total Open-to-Buy for Retail accounts over the past 24 months
br20s__tu,Months since oldest bank revolving trade opened
all253__tu,Average Aggregate Excess Payment for All accounts over the past 6 months
bkc83__tu,Months since a Bankcard trade last exceeded 75% utilization
paymnt05__tu,Total amount of prepayments on installment loans last 12 months
fr101s__tu,Total balance of all finance revolving trades verified in past 12 months
cv05__tu,Months since most recent non-medical third party collection occurrence
linka046__tu,Number of checking account closures for cause in the last 2 years
ret319__tu,Max Total Open-to-Buy for Retail accounts over the past 24 months
bkc326__tu,Average Total Open-to-Buy for Bankcard accounts over the past 6 months
linkf210__tu,Total Bad ACH events
linka047__tu,Number of checking account closures for cause in the last 3 years
per222__tu,Average total Payment Ratio for Personal Loan accounts over the past 3 months
rev201__tu,Total Payment Ratio for Revolving accounts over the past 1 month
g216s__tu,Number of trades with a delinquency of 90 or more days past due since opening a new trade (within past 24 months)
linka005__tu,Average number of checks ordered in the last 3 years
fr02s__tu,Number of open finance revolving trades
fr21s__tu,Months since most recent finance revolving trade opened
