bigAccountId,bigDealerId,week_of_month,application_date,dtmFunded,dtmNonAccrual,intterm,open_bk_type,first_pmt_date,paymentsmade,Tier,DebtorState,AmtFinanced,OriginalInterestRate,fltAPRCurrent,MaxFico,intBeaconScore,mnyReserve,mnyDiscount,Early_Pay_Delinquency_15_120,Early_Pay_Delinquency_30_120,Early_Pay_Default_15_120,Early_Pay_Default_30_120,LoanStatus,ChargeOff_Severity,GEN11_ExpectedNetLoss,GEN11_ECNL,GEN12_ExpectedNetLoss,GEN12_ECNL,GEN12_ECNL_mod,DL_ExpectedNetLoss,DL_ECNL,origination_model
7968022,6506,2,29-06-2024,14-08-2024,NULL,60,13,23-09-2024,NULL,D,SC,18434.5,0.2924,0.2924,538,538,485.94,1456,0,0,0,0,A,NULL,3407.174897,0.184826,6839.181066,0.370999,0.157203,NULL,NULL,gen11
8053764,6755,2,6/8/2024,14-08-2024,NULL,72,NULL,6/9/2024,NULL,B,MI,25595,0.2297,0.2297,573,573,810.94,1528,0,0,0,0,A,NULL,3534.643905,0.138099,4529.18882,0.176956,0.074981,NULL,NULL,gen11
8050226,5585,2,5/8/2024,14-08-2024,NULL,72,NULL,19-09-2024,NULL,A,MD,24096.94,0.2014,0.2014,531,531,1427.33,778,0,0,0,0,A,NULL,3584.660794,0.14876,2373.693172,0.098506,0.04174,NULL,NULL,gen11
8051984,7769,2,5/8/2024,14-08-2024,NULL,72,NULL,12/9/2024,NULL,B,IL,27477.58,0.222,0.222,512,512,1631.45,1528,0,0,0,0,A,NULL,2418.164428,0.088005,3771.13299,0.137244,0.058154,NULL,NULL,gen11
8055070,5620,2,7/8/2024,14-08-2024,NULL,66,NULL,17-09-2024,NULL,C,VA,25673.86,0.2594,0.2594,545,545,729.04,2138,0,0,0,0,A,NULL,3415.907073,0.13305,7855.122858,0.305958,0.129643,NULL,NULL,gen12
8054455,6523,2,6/8/2024,14-08-2024,NULL,72,NULL,21-09-2024,NULL,B,IN,35000,0.25,0.25,629,629,1469.16,928,0,0,0,0,A,NULL,5871.11,0.167746,7951.86,0.227196,0.096269,NULL,NULL,gen12
8057183,8171,2,7/8/2024,14-08-2024,NULL,72,NULL,22-09-2024,NULL,A1,WA,28082.41,0.1799,0.1799,471,471,1047.31,898,0,0,0,0,A,NULL,3718.419991,0.132411,1872.08578,0.066664,0.028247,NULL,NULL,gen11
8057904,8368,2,8/8/2024,14-08-2024,NULL,72,NULL,22-09-2024,NULL,B,CA,27675.93,0.2364,0.2364,412,412,0,928,0,0,0,0,A,NULL,6517.211024,0.235483,5527.713499,0.19973,0.084631,NULL,NULL,gen11
8057576,7831,2,8/8/2024,14-08-2024,NULL,72,NULL,22-09-2024,NULL,B,TN,31442.87,0.2449,0.2449,523,523,0,928,0,0,0,0,A,NULL,4536.671612,0.144283,7774.406822,0.247255,0.104769,NULL,NULL,gen11
8057580,7487,2,8/8/2024,14-08-2024,NULL,48,NULL,22-09-2024,NULL,D,FL,14392.28,0.2615,0.2615,646,646,280.56,1650,0,0,0,0,A,NULL,2460.734465,0.170976,4828.768255,0.335511,0.142165,NULL,NULL,gen12
8058003,4384,2,8/8/2024,14-08-2024,NULL,72,NULL,22-09-2024,NULL,B,NJ,19058.08,0.2328,0.2328,531,531,1166.26,2278,0,0,0,0,A,NULL,2417.669913,0.126858,3277.39896,0.171969,0.072868,NULL,NULL,gen11
8059388,7581,2,8/8/2024,14-08-2024,NULL,72,NULL,23-09-2024,NULL,B,WI,22565.32,0.2485,0.2485,552,552,1413.72,1228,0,0,0,0,A,NULL,2662.978544,0.118012,3967.682781,0.175831,0.074505,NULL,NULL,gen11
8060232,1758,2,9/8/2024,14-08-2024,NULL,72,NULL,27-09-2024,NULL,B,IL,34986.79,0.2527,0.2527,572,572,2202.98,928,0,0,0,0,A,NULL,6027.874049,0.17229,6906.742214,0.19741,0.083648,NULL,NULL,gen11
8060288,5648,2,9/8/2024,14-08-2024,NULL,72,NULL,28-09-2024,NULL,B,IL,19836.04,0.2658,0.2658,563,563,637.06,1228,0,0,0,0,A,NULL,5390.959607,0.271776,5209.1623,0.262611,0.111276,NULL,NULL,gen11
8061099,4018,2,9/8/2024,14-08-2024,NULL,72,NULL,26-09-2024,NULL,D,NC,14902,0.2615,0.2615,496,496,0,2128,0,0,0,0,A,NULL,2636.044584,0.176892,5004.8367,0.33585,0.142309,NULL,NULL,gen11
8061181,3469,2,9/8/2024,14-08-2024,NULL,72,NULL,23-09-2024,NULL,C,IN,23362.42,0.25,0.25,628,622,738.86,1608,0,0,0,0,A,NULL,2929.156857,0.125379,6684.876134,0.286138,0.121245,NULL,NULL,gen11
8061354,7619,2,9/8/2024,14-08-2024,NULL,72,7,11/9/2024,NULL,B,MI,22507.84,0.2289,0.2289,506,506,1415.74,1528,0,0,0,0,A,NULL,4846.613187,0.21533,3546.740412,0.157578,0.06677,NULL,NULL,gen11
8062920,2507,2,10/8/2024,14-08-2024,NULL,72,NULL,9/9/2024,NULL,B,GA,19809.05,0.2191,0.2191,567,567,619.42,928,0,0,0,0,A,NULL,1487.085193,0.075071,3008.281569,0.151864,0.064349,NULL,NULL,gen12
8062495,6642,2,10/8/2024,14-08-2024,NULL,72,NULL,24-09-2024,NULL,C,MD,18971.64,0.24,0.24,658,658,0,2513,0,0,0,0,A,NULL,2019.018844,0.106423,5848.254661,0.308263,0.13062,NULL,NULL,gen12
8062501,3656,2,10/8/2024,14-08-2024,NULL,72,NULL,25-09-2024,NULL,B,PA,18764.81,0.21,0.21,452,452,564.48,1808,0,0,0,0,A,NULL,1677.94931,0.08942,3480.703372,0.185491,0.078598,NULL,NULL,gen11
8063175,6357,2,10/8/2024,14-08-2024,NULL,66,NULL,26-09-2024,NULL,B,OH,20169.85,0.25,0.25,513,513,1097.25,928,0,0,0,0,A,NULL,2391.155887,0.118551,4022.170638,0.199415,0.084498,NULL,NULL,gen12
8062740,7487,2,10/8/2024,14-08-2024,NULL,72,NULL,24-09-2024,NULL,B,FL,17523.48,0.2277,0.2277,568,568,1073.52,928,0,0,0,0,A,NULL,2903.815871,0.16571,3255.161645,0.18576,0.078712,NULL,NULL,gen12
8063879,3439,2,10/8/2024,14-08-2024,NULL,60,NULL,24-09-2024,NULL,B,WI,23014.25,0.2648,0.2648,669,669,1173.9,928,0,0,0,0,A,NULL,2273.117473,0.09877,5385.541628,0.234009,0.099156,NULL,NULL,gen11
8064202,5064,2,10/8/2024,14-08-2024,NULL,72,7,24-09-2024,NULL,A,GA,26493.23,0.1995,0.1995,549,549,1470.17,778,0,0,0,0,A,NULL,3136.639473,0.118394,2515.267256,0.09494,0.040229,NULL,NULL,gen11
8064241,3287,2,10/8/2024,14-08-2024,NULL,72,NULL,24-09-2024,NULL,A,OH,33909.29,0.2011,0.2011,490,490,2007.94,778,0,0,0,0,A,NULL,4306.310284,0.126995,3077.776707,0.090765,0.03846,NULL,NULL,gen11
8066770,323,2,12/8/2024,14-08-2024,NULL,72,NULL,26-09-2024,NULL,B,NV,18279.92,0.2392,0.2392,474,474,1135.01,928,0,0,0,0,A,NULL,3270.844366,0.178931,3422.82362,0.187245,0.079341,NULL,NULL,gen12
8067478,6415,2,12/8/2024,14-08-2024,NULL,60,NULL,26-09-2024,NULL,C,IN,13625.45,0.25,0.25,480,480,0,1518,0,0,0,0,A,NULL,1453.481253,0.106674,4185.125095,0.307155,0.13015,NULL,NULL,gen11
8067871,4966,2,12/8/2024,14-08-2024,NULL,72,13,26-09-2024,NULL,B,MS,20000,0.18,0.18,583,583,0,1862,0,0,0,0,A,NULL,1753.8,0.08769,2763.58,0.138179,0.058551,NULL,NULL,gen11
8065824,5486,2,12/8/2024,14-08-2024,NULL,72,NULL,12/9/2024,NULL,C,MD,16034.94,0.23,0.23,NULL,NULL,0,2018,0,0,0,0,A,NULL,1273.029922,0.079391,4662.976587,0.290801,0.123221,NULL,NULL,gen11
8065952,5284,2,12/8/2024,14-08-2024,NULL,72,NULL,26-09-2024,NULL,B,IL,17262.72,0.2638,0.2638,495,482,1102.25,928,0,0,0,0,A,NULL,1585.563569,0.091849,4184.466065,0.242399,0.102712,NULL,NULL,gen11
8068115,939,2,12/8/2024,14-08-2024,NULL,72,NULL,26-09-2024,NULL,B,WA,26952.6,0.2236,0.2236,493,493,1642.03,1178,0,0,0,0,A,NULL,2721.808311,0.100985,4380.713888,0.162534,0.06887,NULL,NULL,gen12
8068316,857,2,12/8/2024,14-08-2024,NULL,72,NULL,26-09-2024,NULL,D,AZ,16429.09,0.2715,0.2715,598,598,531.72,1915,0,0,0,0,A,NULL,1916.387632,0.116646,5557.583278,0.338277,0.143338,NULL,NULL,gen11
8068394,1627,2,12/8/2024,14-08-2024,NULL,72,NULL,27-09-2024,NULL,C,WA,11444.67,0.269,0.269,577,570,369.43,1351,0,0,0,0,A,NULL,993.3057986,0.086792,3506.04032,0.306347,0.129808,NULL,NULL,gen11
8069078,2141,2,13-08-2024,14-08-2024,NULL,72,7,12/9/2024,NULL,A,KY,26092.22,0.2124,0.2124,563,563,1224.72,778,0,0,0,0,A,NULL,2887.260696,0.110656,3408.191869,0.130621,0.055348,NULL,NULL,gen11
8069172,7769,2,13-08-2024,14-08-2024,NULL,60,NULL,13-09-2024,NULL,D,IL,21842.34,0.25,0.25,609,609,0,2840,0,0,0,0,A,NULL,4266.311376,0.195323,7173.767096,0.328434,0.139167,NULL,NULL,gen11
8069344,3322,2,13-08-2024,14-08-2024,NULL,72,NULL,26-09-2024,NULL,B,OH,24070.29,0.2106,0.2106,464,464,1440.43,928,0,0,0,0,A,NULL,3142.40043,0.130551,3317.006313,0.137805,0.058392,NULL,NULL,gen11
8069009,4788,2,13-08-2024,14-08-2024,NULL,66,NULL,12/9/2024,NULL,C,OH,15051.5,0.25,0.25,681,681,439.36,1290,0,0,0,0,A,NULL,880.000999,0.058466,4277.260013,0.284175,0.120413,NULL,NULL,gen11
8071529,4819,2,14-08-2024,14-08-2024,NULL,72,NULL,28-09-2024,NULL,B,GA,20841.96,0.2699,0.2699,636,636,1340.14,928,0,0,0,0,A,NULL,5751.401388,0.275953,5173.016156,0.248202,0.10517,NULL,NULL,gen11
8071965,4297,3,14-08-2024,15-08-2024,NULL,72,NULL,13-09-2024,NULL,A,MI,26039.6,0.1799,0.1799,546,546,0,817,0,0,0,0,A,NULL,5095.94972,0.1957,2510.946549,0.096428,0.040859,NULL,NULL,gen12
