GEN12_Theo_Rev,Actual_Rev,Rev_Diff,bigAccountId,bigDealerId,week_of_month,application_date,dtmFunded,dtmNonAccrual,intterm,open_bk_type,first_pmt_date,paymentsmade,Tier,DebtorState,AmtFinanced,OriginalInterestRate,fltAPRCurrent,MaxFico,intBeaconScore,mnyReserve,mnyDiscount,Early_Pay_Delinquency_15_120,Early_Pay_Delinquency_30_120,Early_Pay_Default_15_120,Early_Pay_Default_30_120,LoanStatus,ChargeOff_Severity,GEN11_ExpectedNetLoss,GEN11_ECNL,GEN12_ExpectedNetLoss,GEN12_ECNL,GEN12_ECNL_mod,DL_ExpectedNetLoss,DL_ECNL,origination_model
22.998601149759804,31.51202758379143,8.513426434031626,8023436,5628,4,24-07-2024,29-07-2024,,60,,7/9/2024,,D,NC,18307.79,0.26,0.26,505.0,505.0,0.0,2321,0,0,0,0,A,,3349.336949,0.182946,3116.040781,0.170203,0.109687,,,gen11
23.602683629867645,25.290315827297317,1.6876321974296715,8010572,2136,4,18-07-2024,29-07-2024,,72,,18-08-2024,,B,MO,22990.0,0.2639,0.2639,656.0,656.0,1509.48,928,0,0,0,0,A,,2675.04743,0.116357,4210.13571,0.183129,0.118017,,,gen11
23.735875264426472,31.83691861237757,8.101043347951098,8020740,6806,4,23-07-2024,29-07-2024,,72,,22-08-2024,,C,MO,22093.43,0.2851,0.2851,569.0,569.0,747.43,2438,0,0,0,0,A,,5627.461742,0.254712,4108.914018,0.185979,0.119854,,,gen12
23.807985682715685,24.650446862013045,0.8424611792973593,8004252,1865,4,16-07-2024,29-07-2024,,60,13.0,1/9/2024,,B,WI,10590.79,0.2424,0.2424,526.0,526.0,265.02,365,0,0,0,0,A,,1035.74749,0.097797,1986.006122,0.187522,0.120848,,,gen11
23.97010560562255,28.612403937998355,4.642298332375805,7998853,3381,4,13-07-2024,29-07-2024,,72,7.0,25-08-2024,,B,IN,25828.88,0.25,0.25,484.0,484.0,0.0,2146,0,0,0,0,A,,3422.507402,0.132507,4933.08362,0.190991,0.123084,,,gen11
24.009175151759806,23.212845435780878,-0.7963297159789278,8031357,8009,4,27-07-2024,29-07-2024,,72,,27-08-2024,,B,MD,18222.88,0.2228,0.2228,504.0,504.0,1137.02,1528,0,0,0,0,A,,1413.621693,0.077574,3495.640402,0.191827,0.123623,,,gen11
24.14685324137745,32.41360739705705,8.2667541556796,8009575,6453,4,18-07-2024,29-07-2024,,72,,17-08-2024,,D,WA,30006.34,0.2891,0.2891,533.0,533.0,0.0,2418,0,0,0,0,A,,7539.392988,0.25126,5844.424861,0.194773,0.125521,,,gen12
24.170033259181377,32.171824419474085,8.001791160292708,8003035,857,4,15-07-2024,29-07-2024,,72,,29-08-2024,,D,AZ,17859.78,0.2924,0.2924,605.0,605.0,589.68,1794,0,0,0,0,A,,3759.965904,0.210527,3487.461381,0.195269,0.125841,,,gen12
24.344444199593134,26.686756103431573,2.3423119038384392,7995202,5356,4,12/7/2024,29-07-2024,,72,,3/9/2024,,B,CA,24138.47,0.2728,0.2728,507.0,502.0,1557.36,1228,0,0,0,0,A,,3023.391644,0.125252,4803.579668,0.199001,0.128246,,,gen11
24.49974097209804,23.347626169992488,-1.152114802105551,7989224,8738,4,9/7/2024,29-07-2024,,72,,10/8/2024,,B,MO,20682.5,0.2424,0.2424,571.0,571.0,1323.5,899,0,0,0,0,A,,1539.295063,0.074425,4184.56613,0.202324,0.130388,,,gen11
24.598069112137257,23.020054909653858,-1.5780142024833985,7986442,5573,4,8/7/2024,29-07-2024,,72,,26-08-2024,,B,CO,21351.12,0.21,0.21,646.0,646.0,0.0,992,0,0,0,0,A,,1760.805515,0.082469,4364.766759,0.204428,0.131744,,,gen11
24.653682461303923,23.23411194813213,-1.4195705131717915,8004577,842,4,16-07-2024,29-07-2024,,72,,1/9/2024,,B,TX,21216.72,0.241,0.241,579.0,566.0,571.54,149,0,0,0,0,A,,1905.537273,0.089813,4362.539533,0.205618,0.13251,,,gen11
30.21132539932843,26.911689070199063,-3.299636329129367,8019103,3245,4,22-07-2024,29-07-2024,,60,,5/9/2024,,B,UT,16435.07,0.2668,0.2668,547.0,520.0,840.42,928,0,0,0,0,A,,1896.902909,0.115418,5333.821183,0.324539,0.137516,,,gen11
30.28890368472059,26.922439497400593,-3.3664641873199983,7960757,3253,4,26-06-2024,29-07-2024,,66,7.0,11/8/2024,,B,MD,30052.32,0.24,0.24,588.0,588.0,0.0,2020,0,0,0,0,A,,3771.866683,0.12551,9803.036732,0.326199,0.13822,,,gen11
