feature,from_nan,from_df,from_name,sum
agg301__tu,0,0,1,1
agg309__tu,0,0,1,1
agg302__tu,0,0,1,1
agg303__tu,0,0,1,1
agg304__tu,0,0,1,1
agg305__tu,0,0,1,1
agg306__tu,0,0,1,1
agg307__tu,0,0,1,1
agg308__tu,0,0,1,1
agg502__tu,0,0,1,1
agg702__tu,0,0,1,1
agg504__tu,0,0,1,1
aggs112__tu,0,0,1,1
aggs114__tu,0,0,1,1
aggs115__tu,0,0,1,1
aggs116__tu,0,0,1,1
aggs117__tu,0,0,1,1
aggs118__tu,0,0,1,1
aggs119__tu,0,0,1,1
aggs120__tu,0,0,1,1
aggs121__tu,0,0,1,1
aggs122__tu,0,0,1,1
aggs123__tu,0,0,1,1
aggs124__tu,0,0,1,1
rets101__tu,0,0,1,1
rets102__tu,0,0,1,1
rets103__tu,0,0,1,1
rets104__tu,0,0,1,1
rets105__tu,0,0,1,1
rets106__tu,0,0,1,1
aggs113__tu,0,0,1,1
aggs111__tu,0,0,1,1
agg815__tu,0,0,1,1
aggs110__tu,0,0,1,1
agg817__tu,0,0,1,1
agg818__tu,0,0,1,1
agg819__tu,0,0,1,1
agg820__tu,0,0,1,1
agg821__tu,0,0,1,1
agg822__tu,0,0,1,1
agg823__tu,0,0,1,1
agg824__tu,0,0,1,1
aggs101__tu,0,0,1,1
aggs102__tu,0,0,1,1
aggs103__tu,0,0,1,1
aggs104__tu,0,0,1,1
aggs105__tu,0,0,1,1
aggs106__tu,0,0,1,1
aggs107__tu,0,0,1,1
aggs108__tu,0,0,1,1
aggs109__tu,0,0,1,1
rets107__tu,0,0,1,1
rets108__tu,0,0,1,1
rets109__tu,0,0,1,1
rets110__tu,0,0,1,1
revs107__tu,0,0,1,1
revs108__tu,0,0,1,1
revs109__tu,0,0,1,1
revs110__tu,0,0,1,1
revs111__tu,0,0,1,1
revs112__tu,0,0,1,1
revs113__tu,0,0,1,1
revs114__tu,0,0,1,1
revs115__tu,0,0,1,1
revs116__tu,0,0,1,1
revs117__tu,0,0,1,1
revs118__tu,0,0,1,1
revs119__tu,0,0,1,1
revs120__tu,0,0,1,1
revs121__tu,0,0,1,1
revs122__tu,0,0,1,1
revs123__tu,0,0,1,1
revs106__tu,0,0,1,1
revs105__tu,0,0,1,1
revs104__tu,0,0,1,1
rets118__tu,0,0,1,1
rets111__tu,0,0,1,1
rets112__tu,0,0,1,1
rets113__tu,0,0,1,1
rets114__tu,0,0,1,1
rets115__tu,0,0,1,1
rets116__tu,0,0,1,1
rets117__tu,0,0,1,1
rets119__tu,0,0,1,1
revs103__tu,0,0,1,1
rets120__tu,0,0,1,1
rets121__tu,0,0,1,1
rets122__tu,0,0,1,1
rets123__tu,0,0,1,1
rets124__tu,0,0,1,1
revs101__tu,0,0,1,1
revs102__tu,0,0,1,1
agg816__tu,0,0,1,1
agg814__tu,0,0,1,1
agg505__tu,0,0,1,1
agg601__tu,0,0,1,1
agg603__tu,0,0,1,1
agg604__tu,0,0,1,1
agg605__tu,0,0,1,1
agg606__tu,0,0,1,1
agg607__tu,0,0,1,1
agg608__tu,0,0,1,1
agg609__tu,0,0,1,1
agg610__tu,0,0,1,1
agg611__tu,0,0,1,1
agg612__tu,0,0,1,1
agg613__tu,0,0,1,1
agg614__tu,0,0,1,1
agg615__tu,0,0,1,1
agg616__tu,0,0,1,1
agg617__tu,0,0,1,1
agg618__tu,0,0,1,1
agg619__tu,0,0,1,1
agg602__tu,0,0,1,1
agg524__tu,0,0,1,1
agg813__tu,0,0,1,1
agg523__tu,0,0,1,1
agg506__tu,0,0,1,1
agg507__tu,0,0,1,1
agg508__tu,0,0,1,1
agg509__tu,0,0,1,1
agg510__tu,0,0,1,1
agg511__tu,0,0,1,1
agg512__tu,0,0,1,1
agg513__tu,0,0,1,1
agg514__tu,0,0,1,1
agg515__tu,0,0,1,1
agg516__tu,0,0,1,1
agg517__tu,0,0,1,1
agg518__tu,0,0,1,1
agg519__tu,0,0,1,1
agg520__tu,0,0,1,1
agg521__tu,0,0,1,1
agg522__tu,0,0,1,1
agg620__tu,0,0,1,1
agg621__tu,0,0,1,1
agg622__tu,0,0,1,1
agg623__tu,0,0,1,1
agg720__tu,0,0,1,1
agg721__tu,0,0,1,1
agg722__tu,0,0,1,1
agg723__tu,0,0,1,1
agg724__tu,0,0,1,1
agg801__tu,0,0,1,1
agg802__tu,0,0,1,1
agg803__tu,0,0,1,1
agg804__tu,0,0,1,1
agg805__tu,0,0,1,1
agg806__tu,0,0,1,1
agg807__tu,0,0,1,1
agg808__tu,0,0,1,1
agg809__tu,0,0,1,1
agg810__tu,0,0,1,1
agg811__tu,0,0,1,1
agg812__tu,0,0,1,1
agg719__tu,0,0,1,1
agg718__tu,0,0,1,1
agg717__tu,0,0,1,1
agg707__tu,0,0,1,1
agg624__tu,0,0,1,1
agg701__tu,0,0,1,1
fltacquisitionfee__app,0,0,1,1
agg703__tu,0,0,1,1
agg704__tu,0,0,1,1
agg705__tu,0,0,1,1
agg706__tu,0,0,1,1
agg708__tu,0,0,1,1
agg716__tu,0,0,1,1
agg709__tu,0,0,1,1
agg710__tu,0,0,1,1
agg711__tu,0,0,1,1
agg712__tu,0,0,1,1
agg713__tu,0,0,1,1
agg714__tu,0,0,1,1
agg715__tu,0,0,1,1
flttaxgrossreceipts__app,0,0,1,1
linkc031__tu,1,0,0,1
linkb011__tu,0,0,1,1
ad05h__tu,1,0,0,1
us921s__tu,1,0,0,1
scr_link_b_2__tu,1,0,0,1
scr_link_a_2__tu,1,0,0,1
ad04e__tu,1,0,0,1
ad04f__tu,1,0,0,1
ad04g__tu,1,0,0,1
ad04h__tu,1,0,0,1
ad05a__tu,1,0,0,1
ad05b__tu,1,0,0,1
ad05c__tu,1,0,0,1
ad05d__tu,1,0,0,1
ad05e__tu,1,0,0,1
ad05f__tu,1,0,0,1
ad05g__tu,1,0,0,1
ad06a__tu,1,0,0,1
ad02c__tu,1,0,0,1
ad06b__tu,1,0,0,1
ad06c__tu,1,0,0,1
ad06d__tu,1,0,0,1
ad07a__tu,1,0,0,1
ad08a__tu,1,0,0,1
ad09a__tu,1,0,0,1
ad04d__tu,1,0,0,1
ad12a__tu,1,0,0,1
ad04c__tu,1,0,0,1
ad04a__tu,1,0,0,1
ad01f__tu,1,0,0,1
ad01g__tu,1,0,0,1
ad01h__tu,1,0,0,1
ad02a__tu,1,0,0,1
at920c__tu,1,0,0,1
linkbhit__tu,1,0,0,1
bc921s__tu,1,0,0,1
rt921s__tu,1,0,0,1
linkf025__tu,1,0,0,1
linkf013__tu,1,0,0,1
us900s__tu,1,0,0,1
linkb009__tu,1,0,0,1
linkb010__tu,1,0,0,1
linkb008__tu,1,0,0,1
linkf027__tu,1,0,0,1
linkf182__tu,1,0,0,1
at900s__tu,1,0,0,1
linkf008__tu,1,0,0,1
linkf028__tu,1,0,0,1
linkf009__tu,1,0,0,1
at921s__tu,1,0,0,1
linkd001__tu,1,0,0,1
linkf029__tu,1,0,0,1
linkd013__tu,1,0,0,1
linkf191__tu,1,0,0,1
au900s__tu,1,0,0,1
linkf010__tu,1,0,0,1
linkf049__tu,1,0,0,1
linkf024__tu,1,0,0,1
au921s__tu,1,0,0,1
bittrade__app,1,0,0,1
linkd011__tu,1,0,0,1
rl900s__tu,1,0,0,1
linkd004__tu,1,0,0,1
