feature,importance,description
sg25s__tu,0.0,
sg16s__tu,0.0,
sg17s__tu,0.0,
sg18s__tu,0.0,
sg19s__tu,0.0,
sg20s__tu,0.0,
sg21s__tu,0.0,
sg22s__tu,0.0,
sg23s__tu,0.0,
sg24s__tu,0.0,
sg15s__tu,0.0,
linkf050__tu,0.0,Number of open delinquent and charge-off trade segments STOREFRONT LENDER
linkf051__tu,0.0,Number of inquiries within last 1 month STOREFRONT LENDER
linkf052__tu,0.0,Number of inquiries within last 3 months STOREFRONT LENDER
linkf053__tu,0.0,Number of inquiries all time STOREFRONT LENDER
linkf054__tu,0.0,"Number of charge-off, collection and return trade segments opened within last 12 months STOREFRONT LENDER"
linkf055__tu,0.0,Number of lenders / locations with inquiries or trades all time STOREFRONT LENDER
linkf056__tu,0.0,Number of lenders / locations with inquiries or trades within last 1 month STOREFRONT LENDER
linkf057__tu,0.0,Number of lenders / locations with inquiries or trades within last 3 months STOREFRONT LENDER
sp37s__tu,0.0,
linkf060__tu,0.0,"Total dollar amount of closed delinquent, return and collection trade segments within last 12 months STOREFRONT LENDER"
linkf061__tu,0.0,"Number of closed delinquent, return and collection trade segments within last 12 months STOREFRONT LENDER"
linkf062__tu,0.0,Number of trade segments opened within last 12 months STOREFRONT LENDER
linkf063__tu,0.0,Total balance on open or collection trade segments STOREFRONT LENDER
linkf065__tu,0.0,Number of inquiries within last 24 hours
linkf066__tu,0.0,Number of inquiries within last 3 days
linkf067__tu,0.0,Number of inquiries within last 7 days
linkf068__tu,0.0,Number of inquiries all time
linkf059__tu,0.0,"Number of open, collection or charge-off trade segments STOREFRONT LENDER"
linkf026__tu,0.0,Amount of satisfactory ACH transactions within last 24 months
linkf027__tu,0.0,Amount of satisfactory ACH transactions within last 3 months
linkf028__tu,0.0,Amount of satisfactory ACH transactions within last 6 months
linkf029__tu,0.0,Amount of satisfactory ACH transactions within last 9 months
linkf030__tu,0.0,Amount of satisfactory ACH transactions within last 7 years
linkf031__tu,0.0,Number of satisfactory ACH transactions within last 7 years
linkf033__tu,0.0,Last payment amount
linkf034__tu,0.0,Last payment amount ONLINE LENDER
linkf049__tu,0.0,Last payment amount STOREFRONT LENDER
linkf036__tu,0.0,Number of inquiries within last 1 month ONLINE LENDER
linkf037__tu,0.0,Number of inquiries within last 3 months ONLINE LENDER
linkf039__tu,0.0,"Number of charge-off, collection and return trade segments opened within last 12 months ONLINE LENDER"
linkf042__tu,0.0,Number of lenders / locations with inquiries or trades within last 3 months ONLINE LENDER
linkf044__tu,0.0,"Number of open, collection or charge-off trade segments ONLINE LENDER"
linkf045__tu,0.0,"Total dollar amount of closed delinquent, return and collection trade segments within last 12 months ONLINE LENDER"
linkf046__tu,0.0,"Number of closed delinquent, return and collection trade segments within last 12 months ONLINE LENDER"
linkf048__tu,0.0,Total balance on open or collection trade segments ONLINE LENDER
linkf035__tu,0.0,Number of open delinquent and charge-off trade segments ONLINE LENDER
linkf092__tu,0.0,Number of trades within last 3 months
linkf093__tu,0.0,Number of trades within last 6 months
linkf094__tu,0.0,Number of trades within last 9 months
linkf095__tu,0.0,Number of trades within last 12 months
linkf097__tu,0.0,Number of trades within last 24 months
linkf098__tu,0.0,Number of satisfactory trades
linkf101__tu,0.0,Number of satisfactory trades with an age of at least 9 months
linkf102__tu,0.0,Number of satisfactory trades with an age of at least 12 months
linkf069__tu,0.0,Number of Auto inquiries all time
linkf104__tu,0.0,Number of satisfactory trades with an age of at least 24 months
linkf105__tu,0.0,Time (days) since most recent inquiry or trade update
linkf106__tu,0.0,Time (days) since oldest inquiry or trade update
linkf107__tu,0.0,Number of lenders / locations with inquiries within last 7 years
linkf108__tu,0.0,Number of lenders / locations with inquiries within last 1 month
linkf109__tu,0.0,Number of lenders / locations with inquiries within last 2 months
linkf110__tu,0.0,Number of lenders / locations with inquiries within last 3 months
linkf112__tu,0.0,Number of lenders / locations with inquiries within last 9 months
linkf103__tu,0.0,Number of satisfactory trades with an age of at least 18 months
linkf070__tu,0.0,"Number of charged-off, collection, and return trade segments opened within last 12 months"
linkf071__tu,0.0,Number of lenders / locations with inquiries or trades all time
linkf072__tu,0.0,Number of lenders / locations with inquiries or trades within last 1 month
linkf073__tu,0.0,Number of lenders / locations with inquiries or trades within last 3 months
linkf074__tu,0.0,Number of trades opened within last 12 months
linkf075__tu,0.0,"Number of open, collection or charge-off trade segments"
linkf076__tu,0.0,"Total dollar amount of return, collection, and closed delinquent trade segments within last 12 months"
linkf079__tu,0.0,Total balance on open or collection trade segments
linkf091__tu,0.0,Number of trades
linkf081__tu,0.0,Days since most recent delinquency
linkf082__tu,0.0,Number of open trades with balance > 0 (excluding collection)
linkf083__tu,0.0,Number of inquiries within last 1 month
linkf084__tu,0.0,Number of inquiries within last 2 months
linkf086__tu,0.0,Number of inquiries within last 6 months
linkf087__tu,0.0,Number of inquiries within last 9 months
linkf088__tu,0.0,Number of inquiries within last 12 months
linkf089__tu,0.0,Number of inquiries within last 18 months
linkf090__tu,0.0,Number of inquiries within last 24 months
linkf080__tu,0.0,Total amount past due within last 12 months (excluding collection)
sp56s__tu,0.0,
sp57s__tu,0.0,
sp58s__tu,0.0,
sp59s__tu,0.0,
sp60s__tu,0.0,
sp61s__tu,0.0,
sp62s__tu,0.0,
sp63s__tu,0.0,
linkf024__tu,0.0,Amount of satisfactory ACH transactions within last 12 months
sp65s__tu,0.0,
sp66s__tu,0.0,
sp67s__tu,0.0,
sp68s__tu,0.0,
sp69s__tu,0.0,
sp70s__tu,0.0,
sp71s__tu,0.0,
sp72s__tu,0.0,
sp64s__tu,0.0,
sp38s__tu,0.0,
sp39s__tu,0.0,
sp40s__tu,0.0,
sp41s__tu,0.0,
sp42s__tu,0.0,
sp43s__tu,0.0,
sp44s__tu,0.0,
sp45s__tu,0.0,
sp55s__tu,0.0,
sp47s__tu,0.0,
sp48s__tu,0.0,
sp49s__tu,0.0,
sp50s__tu,0.0,
sp51s__tu,0.0,
sp52s__tu,0.0,
sp53s__tu,0.0,
sp54s__tu,0.0,
sp46s__tu,0.0,
linkf006__tu,0.0,Number of NSF within last 6 months
linkf007__tu,0.0,Number of NSF within last 9 months
linkf008__tu,0.0,Amount of NSF within last 12 months
linkf009__tu,0.0,Amount of NSF within last 18 months
linkf010__tu,0.0,Amount of NSF within last 24 months
linkf011__tu,0.0,Amount of NSF within last 3 months
linkf012__tu,0.0,Amount of NSF within last 6 months
linkf013__tu,0.0,Amount of NSF within last 9 months
sp73s__tu,0.0,
linkf015__tu,0.0,Number of NSF within last 7 years
linkf016__tu,0.0,Age of newest NSF on open and closed tradelines (months)
linkf017__tu,0.0,Age of oldest NSF on open and closed tradelines (months)
linkf018__tu,0.0,Number of satisfactory ACH transactions within last 12 months
linkf019__tu,0.0,Number of satisfactory ACH transactions within last 18 months
linkf021__tu,0.0,Number of satisfactory ACH transactions within last 3 months
linkf022__tu,0.0,Number of satisfactory ACH transactions within last 6 months
linkf023__tu,0.0,Number of satisfactory ACH transactions within last 9 months
linkf014__tu,0.0,Amount of NSF within last 7 years
sp74s__tu,0.0,
sp75s__tu,0.0,
sp76s__tu,0.0,
sp77s__tu,0.0,
sp78s__tu,0.0,
sp79s__tu,0.0,
sp80s__tu,0.0,
sp81s__tu,0.0,
linkf005__tu,0.0,Number of NSF within last 3 months
sp83s__tu,0.0,
sp84s__tu,0.0,
sp85s__tu,0.0,
sp86s__tu,0.0,
sp87s__tu,0.0,
sp99s__tu,0.0,
linkf002__tu,0.0,Number of NSF within last 12 months
linkf003__tu,0.0,Number of NSF within last 18 months
linkf004__tu,0.0,Number of NSF within last 24 months
sp82s__tu,0.0,
g218b__tu,0.0,Number of trades verified in the past 12 months that are currently 30 days or more past due
g218c__tu,0.0,Number of credit card trades verified in the past 12 months that are currently 30 days past due
g218d__tu,0.0,Number of credit card trades verified in the past 12 months that are currently 30 days or more past due
g219a__tu,0.0,Number of trades verified in the past 12 months that are currently 60 days past due
g219b__tu,0.0,Number of trades verified in the past 12 months that are currently 60 days or more past due
g219c__tu,0.0,Number of credit card trades verified in the past 12 months that are currently 60 days past due
g219d__tu,0.0,Number of credit card trades verified in the past 12 months that are currently 60 days or more past due
g220a__tu,0.0,Number of trades verified in the past 12 months that are currently 90 days past due
ret92__tu,0.0,Number of months in the past 12 months where percentage of Retail trades utilized less than 25% was more than 25%
g220c__tu,0.0,Number of credit card trades verified in the past 12 months that are currently 90 days past due
g220d__tu,0.0,Number of credit card trades verified in the past 12 months that are currently 90 days or more past due
g221a__tu,0.0,Number of trades verified in the past 12 months that are currently 120 days past due
g221b__tu,0.0,Number of trades verified in the past 12 months that are currently 120 days or more past due
g221c__tu,0.0,Number of credit card trades verified in the past 12 months that are currently 120 days past due
g221d__tu,0.0,Number of credit card trades verified in the past 12 months that are currently 120 days or more past due
g222s__tu,0.0,"Number of trades prior 30 days past due, now current, verified in past 12 months"
g223s__tu,0.0,"Number of trades prior 60 days past due, now current, verified in past 12 months"
g220b__tu,0.0,Number of trades verified in the past 12 months that are currently 90 days or more past due
g095s__tu,0.0,Months since most recent public record
g099s__tu,0.0,Number of public record bankruptcies in past 24 months
g100s__tu,0.0,Number of tradeline bankruptcies
g105s__tu,0.0,Months since most recent mortgage inquiry
g199s__tu,0.0,Total monthly obligation for contractually liable accounts verified in past 12 months
g201a__tu,0.0,Total open to buy of open trades verified in past 3 months (excluding installments and mortgages)
g202b__tu,0.0,Total open to buy of closed trades verified in past 12 months (excluding installments and mortgages)
g205s__tu,0.0,Total monthly obligation for individual account verified in past 12 months
g217s__tu,0.0,Total past due amount of all trades verified in past 12 months
g207s__tu,0.0,Total monthly obligation for all accounts
g208s__tu,0.0,Percentage of individual debt
g210s__tu,0.0,Total past due amount of charged-off trades verified in past 12 months
g211s__tu,0.0,Highest balance of charged-off trades
g212s__tu,0.0,Number of charged-off trades opened in past 24 months
g213a__tu,0.0,Highest balance of third party collections verified in 24 months
g215a__tu,0.0,Number of third party collections with balance > $0
g215b__tu,0.0,Number of non-medical third party collections with balance > $0
g216s__tu,0.0,Number of trades with a delinquency of 90 or more days past due since opening a new trade (within past 24 months)
g206s__tu,0.0,Total monthly obligation for joint account verified in past 12 months
g304s__tu,0.0,Worst rating on installment trades in past 12 months
g305s__tu,0.0,Worst rating on installment trades
g306s__tu,0.0,Worst rating on auto trades in past 12 months
g307s__tu,0.0,Worst rating on auto trades
g308s__tu,0.0,Worst rating on mortgage trades in past 12 months
g309s__tu,0.0,Worst rating on mortgage trades
g310s__tu,0.0,Worst rating on all trades in past 12 months
g311s__tu,0.0,Worst rating on all trades
g224a__tu,0.0,Number of 90 days past due or worse items ever (excluding medical collection items)
g313s__tu,0.0,Worst rating on home equity line of credit trades
g314s__tu,0.0,Worst rating on home equity loan trades in past 12 months
g315s__tu,0.0,Worst rating on home equity loan trades
g980s__tu,0.0,Number of deduped inquiries in past 6 months
g990s__tu,0.0,Number of deduped inquiries in past 12 months
hi01s__tu,0.0,Number of home equity loan trades
hi02s__tu,0.0,Number of open home equity loan trades
hi03s__tu,0.0,Number of currently satisfactory open home equity loan trades
g312s__tu,0.0,Worst rating on home equity line of credit trades in past 12 months
g224b__tu,0.0,Number of 90 days past due or worse items in the past 12 months (excluding medical collection items)
g224c__tu,0.0,Number of 90 days past due or worse items in the past 24 months (excluding medical collection items)
g225s__tu,0.0,Total past due amount of currently 90 or more days past due trades
g226s__tu,0.0,Number of 60 or more days past due trades (current MOP only) with balance > $0 opened in past 12 months
g227s__tu,0.0,Number of 90 or more days past due trades (current MOP only) with balance > $0 opened in past 12 months
g234s__tu,0.0,Number of days with inquiry occurring in past 30 days
g235s__tu,0.0,Number of trades opened since most recent delinquency (delinquency search limited to 24 months)
g237s__tu,0.0,Number of credit inquiries in past 6 months
g303s__tu,0.0,Worst rating on revolving trades
g241s__tu,0.0,Number of mortgage inquiries in past 6 months
g250a__tu,0.0,Number of 30 days past due or worse items ever (excluding medical collection items)
g250c__tu,0.0,Number of 30 days past due or worse items in the past 24 months (excluding medical collection items)
g251a__tu,0.0,Number of 60 days past due or worse items ever (excluding medical collection items)
g251b__tu,0.0,Number of 60 days past due or worse items in the past 12 months (excluding medical collection items)
g251c__tu,0.0,Number of 60 days past due or worse items in the past 24 months (excluding medical collection items)
g300s__tu,0.0,Worst rating on credit card trades in past 12 months
g301s__tu,0.0,Worst rating on credit card trades
g302s__tu,0.0,Worst rating on revolving trades in past 12 months
g238s__tu,0.0,Number of credit inquiries in past 12 months
fi09s__tu,0.0,Number of finance installment trades opened in past 24 months
fi12s__tu,0.0,Number of open finance installment trades verified in past 12 months
fi21s__tu,0.0,Months since most recent finance installment trade opened
fi24s__tu,0.0,Number of currently open and satisfactory finance installment trades 6 months or older
fi27s__tu,0.0,Number of currently open and satisfactory finance installment trades 24 months or older
fi28s__tu,0.0,Total credit line of open finance installment trades verified in past 12 months
fi29s__tu,0.0,Number of open finance installment trades with balance > $0 verified in past 12 months
fi31s__tu,0.0,Percentage of open finance installment trades > 75% of credit line verified in past 12 months
g093s__tu,0.0,Number of public records
fi35s__tu,0.0,Average balance of open finance installment trades verified in past 12 months
fi57s__tu,0.0,Total past due amount of open finance installment trades verified in past 12 months
fi101s__tu,0.0,Total balance of all finance installment trades verified in past 12 months
fr01s__tu,0.0,Number of finance revolving trades
fr03s__tu,0.0,Number of currently satisfactory open finance revolving trades
fr06s__tu,0.0,Number of finance revolving trades opened in past 6 months
fr09s__tu,0.0,Number of finance revolving trades opened in past 24 months
fr12s__tu,0.0,Number of open finance revolving trades verified in past 12 months
fi33s__tu,0.0,Total balance of open finance installment trades verified in past 12 months
br101s__tu,0.0,Total balance of all bank revolving trades verified in past 12 months
br109s__tu,0.0,Number of bank revolving trades with past due amount > $50 verified in past 12 months
co01s__tu,0.0,Number of charged-off trades
co02s__tu,0.0,Number of charge-off trades in past 12 months
co03s__tu,0.0,Number of charge-off trades in past 24 months
co05s__tu,0.0,Total balance of trades that charged-off
co06s__tu,0.0,Total balance of trades that charged-off in the past 12 months
co07s__tu,0.0,Total balance of trades that charged-off in the past 24 months
fi06s__tu,0.0,Number of finance installment trades opened in past 6 months
fc02s__tu,0.0,Number of foreclosure trades in past 12 months
fc03s__tu,0.0,Number of foreclosure trades in past 24 months
fc04s__tu,0.0,Months since most recent foreclosure trade reported
fc05s__tu,0.0,Total balance of foreclosure trades
fc06s__tu,0.0,Total balance of foreclosure trades in past 12 months
fc07s__tu,0.0,Total balance of foreclosure trades in past 24 months
fi01s__tu,0.0,Number of finance installment trades
fi02s__tu,0.0,Number of open finance installment trades
fi03s__tu,0.0,Number of currently satisfactory open finance installment trades
fc01s__tu,0.0,Number of foreclosure trades
g003c__tu,0.0,Number of real estate trades with 90 or more days past due ratings in past 12 months
g020s__tu,0.0,Number of trades with maximum delinquency of 30 days past due in past 24 months
g041s__tu,0.0,Number of trades 30 or more days past due ever
g041c__tu,0.0,Number of real estate trades 30 or more days past due ever
g042c__tu,0.0,Number of real estate trades 60 or more days past due ever
g043s__tu,0.0,Number of trades 90 or more days past due ever
g043c__tu,0.0,Number of real estate trades 90 or more days past due ever
g051s__tu,0.0,Percentage of trades ever delinquent
fr21s__tu,0.0,Months since most recent finance revolving trade opened
g058s__tu,0.0,Number of trades 30 or more days past due in past 6 months
g059s__tu,0.0,Number of trades 30 or more days past due in past 12 months
g061s__tu,0.0,Number of trades 30 or more days past due in past 24 months
g063s__tu,0.0,Number of trades 60 or more days past due in past 6 months
g064s__tu,0.0,Number of trades 60 or more days past due in past 12 months
g066s__tu,0.0,Number of trades 60 or more days past due in past 24 months
g068s__tu,0.0,Number of trades 90 or more days past due in past 6 months
g069s__tu,0.0,Number of trades 90 or more days past due in past 12 months
g071s__tu,0.0,Number of trades 90 or more days past due in past 24 months
g057s__tu,0.0,Number of trades 30 or more days past due in past 3 months
fr24s__tu,0.0,Number of currently open and satisfactory finance revolving trades 6 months or older
fr25s__tu,0.0,Number of currently open and satisfactory finance revolving trades 12 months or older
fr27s__tu,0.0,Number of currently open and satisfactory finance revolving trades 24 months or older
fr29s__tu,0.0,Number of open finance revolving trades with balance > $0 verified in past 12 months
fr30s__tu,0.0,Percentage of open finance revolving trades > 50% of credit line verified in past 12 months
fr31s__tu,0.0,Percentage of open finance revolving trades > 75% of credit line verified in past 12 months
fr32s__tu,0.0,Maximum balance owed on open finance revolving trades verified in past 12 months
fr33s__tu,0.0,Total balance of open finance revolving trades verified in past 12 months
g003s__tu,0.0,Number of 90 or more days past due ratings in past 12 months
fr35s__tu,0.0,Average balance of open finance revolving trades verified in past 12 months
fr36s__tu,0.0,Months since most recent finance revolving delinquency
fr57s__tu,0.0,Total past due amount of open finance revolving trades verified in past 12 months
fr101s__tu,0.0,Total balance of all finance revolving trades verified in past 12 months
g001s__tu,0.0,Number of 30 days past due ratings in past 12 months
g001c__tu,0.0,Number of real estate trades with 30 or more days past due ratings in past 12 months
g002s__tu,0.0,Number of 60 days past due ratings in past 12 months
g002b__tu,0.0,Number of 60 or more days past due ratings in past 12 months
g002c__tu,0.0,Number of real estate trades with 60 or more days past due ratings in past 12 months
fr34s__tu,0.0,Utilization for open finance revolving trades verified in past 12 months
lm36s__tu,0.0,Number of trades that are 90 or more days past due since the most recent bank-backed loan modification on a mortgage trade
lm37s__tu,0.0,Age of mortgage trade with the oldest loan modification
lm38s__tu,0.0,Age of mortgage trade with the oldest government loan modification
lm39s__tu,0.0,Age of mortgage trade with the oldest bank-backed loan modification
mt01s__tu,0.0,Number of mortgage trades
mt02s__tu,0.0,Number of open mortgage trades
mt03s__tu,0.0,Number of currently satisfactory open mortgage trades
mt06s__tu,0.0,Number of mortgage trades opened in past 6 months
hi06s__tu,0.0,Number of home equity loan trades opened in past 6 months
mt12s__tu,0.0,Number of open mortgage trades verified in past 12 months
mt20s__tu,0.0,Months since oldest mortgage trade opened
mt21s__tu,0.0,Months since most recent mortgage trade opened
mt24s__tu,0.0,Number of currently open and satisfactory mortgage trades 6 months or older
mt25s__tu,0.0,Number of currently open and satisfactory mortgage trades 12 months or older
mt27s__tu,0.0,Number of currently open and satisfactory mortgage trades 24 months or older
mt28s__tu,0.0,Total credit line of open mortgage trades verified in past 12 months
mt29s__tu,0.0,Number of open mortgage trades with balance > $0 verified in past 12 months
mt09s__tu,0.0,Number of mortgage trades opened in past 24 months
lm17s__tu,0.0,Utilization of mortgage trades with a government loan modification
lm18s__tu,0.0,Number of mortgage trades that are 30 or more days past due with a government loan modification
lm19s__tu,0.0,Number of mortgage trades that are 60 or more days past due with a government loan modification
lm20s__tu,0.0,Number of mortgage trades that are 90 or more days past due with a government loan modification
lm21s__tu,0.0,Months since most recent mortgage trade with a government loan modification delinquency
lm22s__tu,0.0,Number of trades that are 30 or more days past due since the most recent government loan modification on a mortgage trade
lm23s__tu,0.0,Number of trades that are 60 or more days past due since the most recent government loan modification on a mortgage trade
lm24s__tu,0.0,Number of trades that are 90 or more days past due since the most recent government loan modification on a mortgage trade
lm35s__tu,0.0,Number of trades that are 60 or more days past due since the most recent bank-backed loan modification on a mortgage trade
lm26s__tu,0.0,Months since oldest bank-backed loan modification on a mortgage trade
lm27s__tu,0.0,Total balance of mortgage trades with a bank-backed loan modification
lm28s__tu,0.0,Total credit line of mortgage trades with a bank-backed loan modification
lm29s__tu,0.0,Utilization of mortgage trades with a bank-backed loan modification
lm30s__tu,0.0,Number of mortgage trades that are 30 or more days past due with a bank-backed loan modification
lm31s__tu,0.0,Number of mortgage trades that are 60 or more days past due with a bank-backed loan modification
lm32s__tu,0.0,Number of mortgage trades that are 90 or more days past due with a bank-backed loan modification
lm33s__tu,0.0,Months since most recent mortgage trade with a bank-backed loan modification delinquency
lm34s__tu,0.0,Number of trades that are 30 or more days past due since the most recent bank-backed loan modification on a mortgage trade
lm25s__tu,0.0,Number of mortgage trades with a bank-backed loan modification
of24s__tu,0.0,Number of currently open and satisfactory credit union trades 6 months or older
of25s__tu,0.0,Number of currently open and satisfactory credit union trades 12 months or older
of27s__tu,0.0,Number of currently open and satisfactory credit union trades 24 months or older
of28s__tu,0.0,Total credit line of open credit union trades verified in past 12 months
of29s__tu,0.0,Number of open credit union trades with balance > $0 verified in past 12 months
of30s__tu,0.0,Percentage of open credit union trades > 50% of credit line verified in past 12 months
of31s__tu,0.0,Percentage of open credit union trades > 75% of credit line verified in past 12 months
of32s__tu,0.0,Maximum balance owed on credit union trades verified in past 12 months
mt30s__tu,0.0,Percentage of open mortgage trades > 50% of credit line verified in past 12 months
of34s__tu,0.0,Utilization for open credit union trades verified in past 12 months
of35s__tu,0.0,Average balance of open credit union trades verified in past 12 months
of36s__tu,0.0,Months since most recent credit union delinquency
of57s__tu,0.0,Total past due amount of open credit union trades verified in past 12 months
of101s__tu,0.0,Total balance of all credit union trades verified in past 12 months
pb02s__tu,0.0,Number of open premium credit card trades
pb03s__tu,0.0,Number of currently satisfactory open premium credit card trades
pb06s__tu,0.0,Number of premium credit card trades opened in past 6 months
of33s__tu,0.0,Total balance of open credit union trades verified in past 12 months
mt31s__tu,0.0,Percentage of open mortgage trades > 75% of credit line verified in past 12 months
mt32s__tu,0.0,Maximum balance owed on mortgage trades verified in past 12 months
mt33s__tu,0.0,Total balance of open mortgage trades verified in past 12 months
mt34s__tu,0.0,Utilization for open mortgage trades verified in past 12 months
mt34c__tu,0.0,Utilization for open mortgage trades older than 12 months and verified in past 12 months at the tradeline level
mt35s__tu,0.0,Average balance of open mortgage trades verified in past 12 months
mt36s__tu,0.0,Months since most recent mortgage delinquency
mt47s__tu,0.0,Number of mortgage trade delinquencies (30 or more days past due) in the past 12 months
of20s__tu,0.0,Months since oldest credit union trade opened
mt101s__tu,0.0,Total balance of all mortgage trades verified in past 12 months
md02s__tu,0.0,Number of open medical trades
md33s__tu,0.0,Total balance of open medical trades verified in past 12 months
md106s__tu,0.0,Number of medical trades 30 or more days past due in past 24 months
of01s__tu,0.0,Number of credit union trades
of02s__tu,0.0,Number of open credit union trades
of03s__tu,0.0,Number of currently satisfactory open credit union trades
of06s__tu,0.0,Number of credit union trades opened in past 6 months
of12s__tu,0.0,Number of open credit union trades verified in past 12 months
mt57s__tu,0.0,Total past due amount of open mortgage trades verified in past 12 months
hr02s__tu,0.0,Number of open home equity line of credit trades
hr03s__tu,0.0,Number of currently satisfactory open home equity line of credit trades
hr06s__tu,0.0,Number of home equity line of credit trades opened in past 6 months
hr09s__tu,0.0,Number of home equity line of credit trades opened in past 24 months
hr12s__tu,0.0,Number of open home equity line of credit trades verified in past 12 months
hr20s__tu,0.0,Months since oldest home equity line of credit trade opened
hr21s__tu,0.0,Months since most recent home equity line of credit trade opened
hr24s__tu,0.0,Number of currently open and satisfactory home equity line of credit trades 6 months or older
lm16s__tu,0.0,Total credit line of mortgage trades with a government loan modification
hr27s__tu,0.0,Number of currently open and satisfactory home equity line of credit trades 24 months or older
hr28s__tu,0.0,Total credit line of open home equity line of credit trades verified in past 12 months
hr29s__tu,0.0,Number of open home equity line of credit trades with balance > $0 verified in past 12 months
hr30s__tu,0.0,Percentage of open home equity line of credit trades > 50% of credit line verified in past 12 months
hr31s__tu,0.0,Percentage of open home equity line of credit trades > 75% of credit line verified in past 12 months
hr32s__tu,0.0,Maximum balance owed on open home equity line of credit trades verified in past 12 months
hr33s__tu,0.0,Total balance of open home equity line of credit trades verified in past 12 months
hr34s__tu,0.0,Utilization for open home equity line of credit trades verified in past 12 months
hr25s__tu,0.0,Number of currently open and satisfactory home equity line of credit trades 12 months or older
hi09s__tu,0.0,Number of home equity loan trades opened in past 24 months
hi12s__tu,0.0,Number of open home equity loan trades verified in past 12 months
hi20s__tu,0.0,Months since oldest home equity loan trade opened
hi21s__tu,0.0,Months since most recent home equity loan trade opened
hi24s__tu,0.0,Number of currently open and satisfactory home equity loan trades 6 months or older
hi25s__tu,0.0,Number of currently open and satisfactory home equity loan trades 12 months or older
hi27s__tu,0.0,Number of currently open and satisfactory home equity loan trades 24 months or older
hi28s__tu,0.0,Total credit line of open home equity loan trades verified in past 12 months
hr01s__tu,0.0,Number of home equity line of credit trades
hi30s__tu,0.0,Percentage of open home equity loan trades > 50% of credit line verified in past 12 months
hi31s__tu,0.0,Percentage of open home equity loan trades > 75% of credit line verified in past 12 months
hi32s__tu,0.0,Maximum balance owed on open home equity loan trades verified in past 12 months
hi33s__tu,0.0,Total balance of open home equity loan trades verified in past 12 months
hi34s__tu,0.0,Utilization for open home equity loan trades verified in past 12 months
hi35s__tu,0.0,Average balance of open home equity loan trades verified in past 12 months
hi36s__tu,0.0,Months since most recent home equity loan delinquency
hi57s__tu,0.0,Total past due amount of open hoem equity loan trades verified in past 12 months
hi101s__tu,0.0,Total balance of all home equity trades verified in past 12 months
hi29s__tu,0.0,Number of open home equity loan trades with balance > $0 verified in past 12 months
in35s__tu,0.0,Average balance of open installment trades verified in past 12 months
in36s__tu,0.0,Months since most recent installment delinquency
in101s__tu,0.0,Total balance of all installment trades verified in past 12 months
lm01s__tu,0.0,Number of mortgage trades with a loan modification
lm02s__tu,0.0,Months since oldest loan modification on a mortgage trade
lm03s__tu,0.0,Total balance of mortgage trades with a loan modification
lm04s__tu,0.0,Total credit line of mortgage trades with a loan modification
lm05s__tu,0.0,Utilization of mortgage trades with a loan modification
hr35s__tu,0.0,Average balance of open home equity line of credit trades verified in past 12 months
lm07s__tu,0.0,Number of mortgage trades that are 60 or more days past due with a loan modification
lm08s__tu,0.0,Number of mortgage trades that are 90 or more days past due with a loan modification
lm09s__tu,0.0,Months since most recent mortgage trade with a loan modification delinquency
lm10s__tu,0.0,Number of trades that are 30 or more days past due since the most recent loan modification on a mortgage trade
lm11s__tu,0.0,Number of trades that are 60 or more days past due since the most recent loan modification on a mortgage trade
lm12s__tu,0.0,Number of trades that are 90 or more days past due since the most recent loan modification on a mortgage trade
lm13s__tu,0.0,Number of mortgage trades with a government loan modification
lm14s__tu,0.0,Months since oldest government loan modification on a mortgage trade
lm15s__tu,0.0,Total balance of mortgage trades with a government loan modification
lm06s__tu,0.0,Number of mortgage trades that are 30 or more days past due with a loan modification
hr36s__tu,0.0,Months since most recent home equity line of credit delinquency
hr57s__tu,0.0,Total past due amount of open hoem equity line of credit trades verified in past 12 months
hr101s__tu,0.0,Total balance of all home equity line of credit trades verified in past 12 months
in01s__tu,0.0,Number of installment trades
in02s__tu,0.0,Number of open installment trades
in03s__tu,0.0,Number of currently satisfactory open installment trades
in06s__tu,0.0,Number of installment trades opened in past 6 months
in09s__tu,0.0,Number of installment trades opened in past 24 months
in34s__tu,0.0,Utilization for open installment trades verified in past 12 months
in20s__tu,0.0,Months since oldest installment trade opened
in21s__tu,0.0,Months since most recent installment trade opened
in24s__tu,0.0,Number of currently open and satisfactory installment trades 6 months or older
in25s__tu,0.0,Number of currently open and satisfactory installment trades 12 months or older
in27s__tu,0.0,Number of currently open and satisfactory installment trades 24 months or older
in28s__tu,0.0,Total credit line of open installment trades verified in past 12 months
in29s__tu,0.0,Number of open installment trades with balance > $0 verified in past 12 months
in30s__tu,0.0,Percentage of open installment trades > 50% of credit line verified in past 12 months
in31s__tu,0.0,Percentage of open installment trades > 75% of credit line verified in past 12 months
in12s__tu,0.0,Number of open installment trades verified in past 12 months
criminalnonfelonytimenewest__ln,0.0,"Time (in months) since most recently recorded non-felony criminal conviction on subject's file
NOTE: This attribute does not include sexual offender registry records"
evictioncount12month__ln,0.0,Total eviction records on subject's file in the last 12 months
evictiontimenewest__ln,0.0,Time (in months) since most recently recorded eviction on subject's file
lienjudgmentseverityindex__ln,0.0,Index indicating severity of lien and judgment records on subject's file
lienjudgmentsmallclaimscount__ln,0.0,Total small claims court judgments on subject's file
lienjudgmentcourtcount__ln,0.0,Total civil court judgments on subject's file
