accountid,request_datetime,pd_gen12,lgd_gen12,ecnl_gen12,pd_gen13,lgd_gen13,ecnl_gen13,intopenbktype__app,ENG-loan_to_value,strdealershiptrackertype__app,fltgrossmonthly__income_sum,miles_odometer__app,ENG-bk,tier_gen12,tier_gen13,approved_gen12,approved_gen13,declined_gen12,declined_gen13,approved_both,declined_both,approved_gen12_declined_gen13,declined_gen12_approved_gen13
8481550,2024-12-12 23:17:18+00:00,0.06796774427688933,0.5425118450271611,0.0870210029859752,0.2766849774234525,0.27775640912627786,0.1697608419253749,,0.8804754567466432,Franchise,9800.0,10,0,A,B,1,1,0,0,1,0,0,0
8523960,2024-12-28 00:01:34+00:00,0.06942458629504276,0.5326862766923375,0.08727639754721282,0.13205185663537822,0.3372811670434425,0.09838399539038764,,1.102769500438212,Franchise,12083.33,3050,0,A,A,1,1,0,0,1,0,0,0
8438412,2024-12-06 00:38:07+00:00,0.05635242951271922,0.6575890474148149,0.08745390744495969,0.551958604618516,0.3501845945669622,0.42696413549295636,,1.1850394683702317,Independent,6173.74,82439,0,A,Decline,1,0,0,1,0,0,1,0
8509072,2024-12-20 00:22:12+00:00,0.050943119107992804,0.7284295536158575,0.0875759974874578,0.742000528042313,0.3501845945669622,0.7376984674081981,,1.159313824419778,Independent,6400.0,84953,0,A,Decline,1,0,0,1,0,0,1,0
8535268,2025-01-01 09:29:47+00:00,0.06427757100611706,0.5778969367236635,0.08766411486735584,0.24411909638668766,0.17289834384226316,0.09323531419985297,13.0,1.0249314577087658,Franchise,28708.1,20,1,A,A,1,1,0,0,1,0,0,0
8530408,2024-12-30 23:39:19+00:00,0.056533016658190646,0.6586526948471294,0.08787607209662163,0.4314760939804433,0.27775640912627786,0.2647333645176198,,1.0282170542635658,Independent,19333.0,46840,0,A,B,1,1,0,0,1,0,0,0
8569950,2025-01-16 07:52:05+00:00,0.06388950676779137,0.5831533124679713,0.08792741090845448,0.2486406512063294,0.3372811670434425,0.23809038473351468,,1.1361559888579387,Franchise,6250.0,58011,0,A,B,1,1,0,0,1,0,0,0
8580069,2025-01-20 23:04:12+00:00,0.061696586829853094,0.6039167815512112,0.08793266579631215,0.11410949307578531,0.3501845945669622,0.08826868655542612,,1.2067065868263473,Franchise,9999.3,74800,0,A,A,1,1,0,0,1,0,0,0
8508929,2024-12-19 23:49:47+00:00,0.06281823297962724,0.5938563823698556,0.08803982025858972,0.22156514498591628,0.27775640912627786,0.13594191453539584,,0.9006020917135961,Franchise,4166.67,98564,0,A,B,1,1,0,0,1,0,0,0
8579006,2025-01-19 05:12:59+00:00,0.07398370898439129,0.505849562317453,0.08832211926776772,0.111125181987203,0.19939686644815996,0.048946164554928236,,0.6749720368727581,Franchise,14544.52,10,0,A,A1,1,1,0,0,1,0,0,0
8582220,2025-01-21 06:44:34+00:00,0.0557201201782586,0.672555885732613,0.0884407516798946,0.3256094084981539,0.3501845945669622,0.323721550787199,,1.2118652003142183,Franchise,8867.0,30630,0,A,D,1,1,0,0,1,0,0,0
8578292,2025-01-19 03:04:01+00:00,0.057968419611993637,0.650418776362029,0.08898084658194957,0.2877360112335201,0.3372811670434425,0.2143750123939035,,1.10641246535321,Franchise,7800.0,9460,0,A,B,1,1,0,0,1,0,0,0
8479386,2024-12-12 01:10:04+00:00,0.057517295702189955,0.6575217281262986,0.08925253713472243,0.2683370635380854,0.2938038635922092,0.17415101788292256,7.0,1.2240949554896143,Independent,3637.23,54586,1,A,B,1,1,0,0,1,0,0,0
8402105,2024-11-27 00:38:45+00:00,0.05967799151442829,0.6338615738947714,0.0892731020825858,0.1604867063268988,0.31672530923551634,0.11228188232420695,13.0,1.2804882539682538,Franchise,8789.44,85199,1,A,A,1,1,0,0,1,0,0,0
8538985,2025-01-04 03:45:04+00:00,0.05951114670343098,0.6357400445563088,0.08928734097413353,0.15778726682416744,0.2596410016840132,0.09049677049900133,13.0,1.0646004842615011,Franchise,8900.0,27521,1,A,A,1,1,0,0,1,0,0,0
8539132,2025-01-04 00:32:16+00:00,0.05457467898554729,0.6942621795019761,0.08941835996437915,0.37699551527877495,0.3232454576829602,0.26918847764497544,13.0,1.3160041407867495,Independent,9580.1,21101,1,A,C,1,1,0,0,1,0,0,0
8545116,2025-01-06 23:07:34+00:00,0.06453557913498661,0.5888298061975691,0.08968111522956883,0.2855984808045779,0.27775640912627786,0.17522974686042203,,0.8820910623946037,Franchise,20000.0,58711,0,A,B,1,1,0,0,1,0,0,0
8431799,2024-12-04 04:17:37+00:00,0.06466677518428686,0.5879397492107975,0.08972759549852471,0.38380726250005165,0.3372811670434425,0.2859519957289711,,1.0681078568107856,Independent,5300.0,41563,0,A,C,1,1,0,0,1,0,0,0
8487738,2024-12-14 23:59:52+00:00,0.06768955767735083,0.5622140553309815,0.08981220891181131,0.4786776304996398,0.3372811670434425,0.4583664845472592,,1.1160822249093107,Franchise,5200.0,15,0,A,Decline,1,0,0,1,0,0,1,0
8505939,2024-12-19 22:56:47+00:00,0.06907611768868578,0.5525156070256905,0.09007089410595173,0.19509159406914356,0.27775640912627786,0.1196989933105564,,1.022161494403474,Franchise,6916.67,22900,0,A,A,1,1,0,0,1,0,0,0
8503295,2024-12-18 04:06:41+00:00,0.0682440047236345,0.5595581268993425,0.09012011039442964,0.18815294363354826,0.3501845945669622,0.1455445358524228,,1.1826910623198048,Franchise,6250.0,35700,0,A,B,1,1,0,0,1,0,0,0
8554127,2025-01-10 03:40:04+00:00,0.07572181209090056,0.5047583458268529,0.09020207120907482,0.09707398612671121,0.27775640912627786,0.07654989204134591,,0.9711396025948817,Franchise,5316.67,17401,0,A,A,1,1,0,0,1,0,0,0
8536464,2025-01-03 00:10:39+00:00,0.06770322002391777,0.5646245421062951,0.09021548306809811,0.09330924366997749,0.01,0.0020611638689723346,13.0,0.7739622960235143,Franchise,4396.0,25,1,A,A1,1,1,0,0,1,0,0,0
8422848,2024-12-07 02:07:56+00:00,0.05408331517574649,0.7073604664935109,0.0902851017632666,0.6097638872288266,0.39004257415648635,0.6752294012487011,,1.2653076723016905,Franchise,4995.47,82826,0,A,Decline,1,0,0,1,0,0,1,0
8541804,2025-01-04 22:29:18+00:00,0.06108415225141414,0.6267348657274148,0.09034922038409668,0.3720252933493001,0.3501845945669622,0.36986831999291225,,1.2434805194805194,Independent,8680.0,56532,0,A,Decline,1,0,0,1,0,0,1,0
8573013,2025-01-17 07:30:10+00:00,0.06559332517953877,0.5853992509920157,0.0906199488952194,0.37051532441174106,0.3372811670434425,0.35479369809746064,,1.0658264429637954,Franchise,10000.0,20,0,A,Decline,1,0,0,1,0,0,1,0
8435166,2024-12-01 02:43:19+00:00,0.06763429250213988,0.5689639949259305,0.09081628632417514,0.12490288012718372,0.01,0.0027590546608574373,,0.22414176527733887,Franchise,75000.0,25,0,A,A1,1,1,0,0,1,0,0,0
8429599,2024-11-28 04:15:34+00:00,0.06723120557276606,0.5735947116417383,0.09100977497825573,0.19083816243803425,0.19939686644815996,0.10803418138332613,,0.7360773792713923,Franchise,4500.0,37810,0,A,A,1,1,0,0,1,0,0,0
8483354,2024-12-13 05:38:05+00:00,0.06650172317805789,0.5799647799969959,0.09102203111562499,0.12584036806858476,0.27775640912627786,0.0772097098673607,,0.8273560517038778,Franchise,7003.68,36950,0,A,A,1,1,0,0,1,0,0,0
8465549,2024-12-06 01:48:29+00:00,0.05851488988091048,0.6598771529396891,0.09112582789649933,0.3109118194679016,0.17289834384226316,0.11874516006982297,7.0,1.0187274909963986,Franchise,4408.0,65214,1,A,A,1,1,0,0,1,0,0,0
8438786,2024-12-03 05:08:35+00:00,0.06058863953872125,0.637687601483311,0.09118243317001838,0.058418400596323375,0.01,0.001290439101812545,,0.3811928406466513,Independent,4853.0,71482,0,A,A1,1,1,0,0,1,0,0,0
8437028,2024-12-02 22:02:07+00:00,0.06600379189974268,0.5857417798047225,0.09124038135726929,0.15308442947834974,0.3501845945669622,0.11841750548454705,,1.2070788912579957,Franchise,9916.67,59700,0,A,A,1,1,0,0,1,0,0,0
8572711,2025-01-21 03:00:31+00:00,0.05402789190730715,0.7162562697750492,0.09132684651835622,0.6373192635953364,0.39004257415648635,0.5491069130402757,,1.4156756058158322,Independent,6917.11,99122,0,A,Decline,1,0,0,1,0,0,1,0
8558083,2025-01-11 22:07:14+00:00,0.06538091196674599,0.592797859490504,0.09146808861040087,0.07725446235430926,0.01,0.0017065201716217498,13.0,0.6414996826907821,Franchise,3500.0,9,1,A,A1,1,1,0,0,1,0,0,0
8529713,2024-12-30 05:06:27+00:00,0.07322835415117894,0.530817226611884,0.09173525758932068,0.08322889078673712,0.27775640912627786,0.05106531877532273,,0.9577070063694267,Franchise,14904.78,9129,0,A,A1,1,1,0,0,1,0,0,0
8578483,2025-01-19 03:34:12+00:00,0.06073014361541207,0.6423833045515259,0.0920683916060749,0.3569011793258853,0.2596410016840132,0.20469588431536595,13.0,1.0309592641261498,Franchise,7800.0,24412,1,A,B,1,1,0,0,1,0,0,0
8430602,2024-11-30 02:11:32+00:00,0.0548058994525108,0.7129832055831603,0.09221861866858606,0.17541982595068523,0.2596410016840132,0.12930924679822306,13.0,1.1445405405405404,Independent,7035.39,34700,1,A,A,1,1,0,0,1,0,0,0
8560531,2025-01-20 21:53:52+00:00,0.06494860853777155,0.6049165810794154,0.09272083692518046,0.16419472666314294,0.2899966430839025,0.1051816616367766,13.0,1.1844658400194505,Franchise,10400.0,50068,1,A,A,1,1,0,0,1,0,0,0
8438788,2024-12-03 05:09:22+00:00,0.06167710310142006,0.6393320137304133,0.09305986580345851,0.267219321723839,0.39004257415648635,0.23023307977343746,,1.3268941979522184,Franchise,5000.0,59167,0,A,B,1,1,0,0,1,0,0,0
8463270,2024-12-07 00:07:04+00:00,0.0560236048971228,0.7052295300845098,0.09324242131036205,0.4687087679548118,0.3501845945669622,0.46599123142582444,,1.1817395442023542,Independent,4676.73,78665,0,A,Decline,1,0,0,1,0,0,1,0
8573203,2025-01-17 22:54:52+00:00,0.07054486231677091,0.5600988873449451,0.09324855338400072,0.25365601053723436,0.31672530923551634,0.17746625236333308,7.0,1.27,Franchise,4830.63,0,1,A,B,1,1,0,0,1,0,0,0
8487991,2024-12-15 00:42:25+00:00,0.06272654862780525,0.6323600746568518,0.09361120533685954,0.3052951981793889,0.19939686644815996,0.1344702320455017,,0.732506821469775,Franchise,10500.0,1587,0,A,B,1,1,0,0,1,0,0,0
8432812,2024-11-30 05:02:17+00:00,0.06638668779548361,0.5984069294161757,0.09375395943482134,0.3484845982339623,0.3501845945669622,0.2695680871220585,,1.2281872031591867,Franchise,5872.47,74757,0,A,C,1,1,0,0,1,0,0,0
8518725,2024-12-24 05:39:03+00:00,0.07686695591409752,0.5168665410150012,0.09376269998714633,0.24884479930872339,0.27775640912627786,0.15267942276008484,,0.9144869109947645,Franchise,4300.0,49515,0,A,B,1,1,0,0,1,0,0,0
8480479,2024-12-17 01:56:10+00:00,0.06242604820715329,0.6368693051113438,0.09382707210438722,0.3398144644380878,0.3501845945669622,0.3378442469313443,,1.1514431239388794,Independent,6362.87,58638,0,A,D,1,1,0,0,1,0,0,0
8563703,2025-01-14 06:02:26+00:00,0.07574113301842644,0.5269420965496224,0.09419041176954536,0.2633235489555299,0.27775640912627786,0.16156290011023697,,0.9607583409222618,Franchise,7466.0,30676,0,A,B,1,1,0,0,1,0,0,0
8427871,2024-11-27 08:00:10+00:00,0.07058153332012006,0.56786303506001,0.09459031920363214,0.11374145994908967,0.27775640912627786,0.06978639094390568,,0.8601614349775785,Franchise,10416.67,55023,0,A,A1,1,1,0,0,1,0,0,0
8515795,2024-12-22 04:32:52+00:00,0.06824660183310181,0.5882152276689947,0.09473910942634799,0.3281535460276277,0.3372811670434425,0.2444877170403369,,1.032612347210378,Franchise,6327.0,5,0,A,B,1,1,0,0,1,0,0,0
8430530,2024-11-29 22:24:26+00:00,0.06480348680905168,0.6195514192684176,0.09475185765357275,0.10615002190996603,0.39004257415648635,0.09145763227258834,,1.3375571177504393,Independent,9547.93,85634,0,A,A,1,1,0,0,1,0,0,0
8543076,2025-01-05 02:37:12+00:00,0.05999041706575313,0.6696791216489935,0.0948114183467628,0.22504471273591342,0.3501845945669622,0.17408193371124173,,1.1584699453551912,Franchise,11000.0,81495,0,A,B,1,1,0,0,1,0,0,0
8530255,2024-12-30 22:59:18+00:00,0.08884454422979848,0.45270302932856277,0.09491965857666279,0.21115840377129683,0.3501845945669622,0.16334026603425464,,1.187340851218625,Franchise,8333.33,6000,0,A,B,1,1,0,0,1,0,0,0
8467578,2024-12-07 06:23:17+00:00,0.06726129311539113,0.5982866576982926,0.09497002083111518,0.20617431047615564,0.31672530923551634,0.14424646250764359,7.0,1.2516944284893738,Franchise,7573.19,30813,1,A,B,1,1,0,0,1,0,0,0
8485886,2024-12-14 04:19:18+00:00,0.07080913120136759,0.5690549058760463,0.09509450903866289,0.33649456008782275,0.39004257415648635,0.28991982464536,,1.3710194375516955,Franchise,6666.67,15147,0,A,C,1,1,0,0,1,0,0,0
8470428,2024-12-07 23:08:23+00:00,0.07481390429712431,0.5399720635701677,0.09533790715745982,0.14629570144738996,0.3501845945669622,0.1131661272641842,,1.1751584283903675,Franchise,8695.96,48000,0,A,A,1,1,0,0,1,0,0,0
8476497,2024-12-12 02:44:08+00:00,0.06832088176670606,0.5918399120387307,0.09542665818630935,0.509382150118258,0.3372811670434425,0.3795103861928894,,1.123019851614197,Franchise,4376.67,17512,0,A,Decline,1,0,0,1,0,0,1,0
8569911,2025-01-16 07:06:48+00:00,0.06019847311933264,0.6724976215236322,0.09554065878136901,0.2772555222544543,0.2596410016840132,0.20437657236902199,7.0,1.1565084226646247,Franchise,5401.33,56825,1,A,B,1,1,0,0,1,0,0,0
8563452,2025-01-15 03:03:29+00:00,0.05646139727462018,0.7187483546656177,0.0957724258880819,0.20640696946317005,0.3232454576829602,0.1473820659219706,7.0,1.3218316831683168,Independent,4252.9,50339,1,A,B,1,1,0,0,1,0,0,0
8465900,2024-12-06 03:10:24+00:00,0.06693845825236051,0.6068315886241797,0.0958640754687465,0.2830811015876341,0.27775640912627786,0.1736852017994888,,0.994776119402985,Franchise,3878.0,38082,0,A,B,1,1,0,0,1,0,0,0
8503113,2024-12-17 07:48:22+00:00,0.06733077318151062,0.6047076124381743,0.09608841738232979,0.3906574223406382,0.39004257415648635,0.4325992124250545,,1.2792254495159059,Independent,8215.87,32982,0,A,Decline,1,0,0,1,0,0,1,0
8541470,2025-01-07 01:59:53+00:00,0.06267101487152077,0.6507118162597509,0.09624261699677836,0.2143014050025368,0.2596410016840132,0.1229096964315862,7.0,1.0562705984388552,Independent,5676.0,40090,1,A,A,1,1,0,0,1,0,0,0
8534635,2025-01-02 09:03:00+00:00,0.07276322908244696,0.5606396915120376,0.09627373216263858,0.1181894136200462,0.3501845945669622,0.09142468364195451,,1.236504890429615,Franchise,7000.0,6756,0,A,A,1,1,0,0,1,0,0,0
8559250,2025-01-12 02:15:49+00:00,0.06199432629829853,0.658539836547081,0.09634873107729389,0.13553938332306,0.1617987878136479,0.048442731196884255,13.0,0.8263645468202303,Franchise,5920.0,66323,1,A,A1,1,1,0,0,1,0,0,0
8573210,2025-01-18 06:26:17+00:00,0.06254378317938288,0.6537170854219041,0.0964908175770342,0.5417782091874438,0.3372811670434425,0.40364676569817837,,1.0434341571375876,Independent,12481.94,55420,0,A,Decline,1,0,0,1,0,0,1,0
