accountid,pd_gen12,ecnl_gen12,pd_gen13,ecnl_gen13,intopenbktype__app,ENG-loan_to_value,strdealershiptrackertype__app,fltgrossmonthly__income_sum,tier_gen12,tier_gen13,approved_gen12,approved_gen13,declined_gen12,declined_gen13,approved_both,declined_both,approved_gen12_declined_gen13,declined_gen12_approved_gen13
8438502,0.38272087050593284,0.5674206574267825,0.4253721287455787,0.9512256304698301,,1.1491419656786273,Franchise,4500.0,Decline,Decline,0,0,1,1,0,1,0,0
8438545,0.18991652745291127,0.2795663768246795,0.17970048294155147,0.32030950907340144,,1.098938307030129,Independent,7428.0,C,C,1,1,0,0,1,0,0,0
8438555,0.19134020970805302,0.3241578188084304,0.32305198889709613,0.7017864045867195,,1.1356973995271868,Independent,4800.0,D,Decline,1,0,0,1,0,0,1,0
8438587,0.12566172042956678,0.1890771444712784,0.25025818734020006,0.4893574581304256,,1.1856527550868854,Franchise,8666.67,B,Decline,1,0,0,1,0,0,1,0
8438593,0.2866484691686812,0.46773599196314763,0.21920718838074854,0.40833751863948686,,0.8543410852713178,Independent,4500.0,Decline,Decline,0,0,1,1,0,1,0,0
8438603,0.2415759949051151,0.371287535795047,0.20487344951175607,0.37541709895002967,,0.9999498696611189,Franchise,4800.0,Decline,Decline,0,0,1,1,0,1,0,0
8438614,0.20292389614633716,0.317990111215757,0.12596906493414245,0.20233528469674417,13.0,1.1674300254452927,Independent,8611.26,C,B,1,1,0,0,1,0,0,0
8438618,0.13931258836472124,0.21774181527790867,0.1865525544757088,0.3348497638368036,,1.1768244646565924,Independent,5166.0,B,D,1,1,0,0,1,0,0,0
8438653,0.4777532248876355,0.691333910741792,0.2864884661013264,0.5928375201951674,,1.1910028116213682,Franchise,6700.0,Decline,Decline,0,0,1,1,0,1,0,0
8438658,0.4171918611279763,0.7067358297617606,0.2502786719892746,0.4894666876911999,,1.076056338028169,Independent,3500.0,Decline,Decline,0,0,1,1,0,1,0,0
8438659,0.27998626507776875,0.4101996892667714,0.24771458543588445,0.4803287107988138,,0.9664044696022936,Franchise,4000.0,Decline,Decline,0,0,1,1,0,1,0,0
8438669,0.17803967539346816,0.30551023194021154,0.2683917100219862,0.537048310548189,,0.921078167115903,Franchise,2946.67,C,Decline,1,0,0,1,0,0,1,0
8438670,0.09940966959581811,0.1430948935761532,0.17590932957097222,0.3117899030705542,,0.7665906210392902,Independent,7000.0,B,C,1,1,0,0,1,0,0,0
8438672,0.3174836029765299,0.5071748464688631,0.18577070754148228,0.33366829921823066,,1.05,Independent,3596.0,Decline,D,0,1,1,0,0,0,0,1
8438678,0.22512923297038231,0.3616176270343628,0.23421899521164025,0.4545268388023289,,1.0402119205298013,Independent,4000.0,Decline,Decline,0,0,1,1,0,1,0,0
8438684,0.17811030428061847,0.27240037089045,0.19450152005154533,0.35534100480991077,,1.07968,Franchise,5271.0,C,Decline,1,0,0,1,0,0,1,0
8438706,0.33048290131910285,0.4790536834224255,0.20095530407768386,0.36775656748066604,,0.9971759747102212,Franchise,6500.0,Decline,Decline,0,0,1,1,0,1,0,0
8438709,0.2799948755189502,0.3607339899629337,0.057080047225198265,0.051020665879921434,,1.29997171145686,Franchise,3900.0,Decline,A1,0,1,1,0,0,0,0,1
