indicator,mean_train_actual,mean_prod_actual,min_date,max_date,days_delinquent,days_total
DQ30_11,0.03125,0.2777777777777778,2021-10,2022-02,30,330
DQ30_12,0.03328804347826087,0.2777777777777778,2021-10,2022-02,30,360
DQ30_13,0.03872282608695652,0.3194444444444444,2021-10,2022-02,30,390
DQ30_14,0.041440217391304345,0.3333333333333333,2021-10,2022-02,30,420
DQ30_15,0.046875,0.3333333333333333,2021-10,2022-02,30,450
DQ30_16,0.051630434782608696,0.3333333333333333,2021-10,2022-02,30,480
DQ30_17,0.05638586956521739,0.3611111111111111,2021-10,2022-02,30,510
DQ30_18,0.059782608695652176,0.4166666666666667,2021-10,2022-02,30,540
DQ30_19,0.06589673913043478,0.4166666666666667,2021-10,2022-02,30,570
DQ30_20,0.06929347826086957,0.4166666666666667,2021-10,2022-02,30,600
DQ30_21,0.07065217391304347,0.4166666666666667,2021-10,2022-02,30,630
DQ30_22,0.07404891304347826,0.4444444444444444,2021-10,2022-02,30,660
DQ30_23,0.08016304347826086,0.4722222222222222,2021-10,2022-02,30,690
DQ30_24,0.08152173913043478,0.4722222222222222,2021-10,2022-02,30,720
DQ60_3,0.0006793478260869565,0.013888888888888888,2021-10,2022-02,60,90
DQ60_4,0.0033967391304347825,0.027777777777777776,2021-10,2022-02,60,120
DQ60_5,0.006114130434782609,0.06944444444444445,2021-10,2022-02,60,150
DQ60_6,0.006793478260869565,0.06944444444444445,2021-10,2022-02,60,180
DQ60_7,0.009510869565217392,0.09722222222222222,2021-10,2022-02,60,210
DQ60_8,0.012907608695652174,0.1527777777777778,2021-10,2022-02,60,240
DQ60_9,0.014266304347826086,0.1527777777777778,2021-10,2022-02,60,270
DQ60_10,0.015625,0.1527777777777778,2021-10,2022-02,60,300
DQ60_11,0.016304347826086956,0.18055555555555555,2021-10,2022-02,60,330
DQ60_12,0.016983695652173912,0.19444444444444445,2021-10,2022-02,60,360
DQ60_13,0.018342391304347828,0.20833333333333334,2021-10,2022-02,60,390
DQ60_14,0.021739130434782608,0.2222222222222222,2021-10,2022-02,60,420
DQ60_15,0.02309782608695652,0.2222222222222222,2021-10,2022-02,60,450
DQ60_16,0.025135869565217392,0.2222222222222222,2021-10,2022-02,60,480
DQ60_17,0.026494565217391304,0.2222222222222222,2021-10,2022-02,60,510
DQ60_18,0.028532608695652172,0.25,2021-10,2022-02,60,540
DQ60_19,0.030570652173913044,0.25,2021-10,2022-02,60,570
DQ60_20,0.03328804347826087,0.2638888888888889,2021-10,2022-02,60,600
DQ60_21,0.03328804347826087,0.2638888888888889,2021-10,2022-02,60,630
DQ60_22,0.035326086956521736,0.2777777777777778,2021-10,2022-02,60,660
DQ60_23,0.03804347826086957,0.2916666666666667,2021-10,2022-02,60,690
DQ60_24,0.04008152173913043,0.2916666666666667,2021-10,2022-02,60,720
DQ90_4,0.0006793478260869565,0.013888888888888888,2021-10,2022-02,90,120
DQ90_5,0.0033967391304347825,0.041666666666666664,2021-10,2022-02,90,150
DQ90_6,0.006114130434782609,0.06944444444444445,2021-10,2022-02,90,180
DQ90_7,0.006114130434782609,0.08333333333333333,2021-10,2022-02,90,210
DQ90_8,0.008152173913043478,0.1111111111111111,2021-10,2022-02,90,240
DQ90_9,0.010190217391304348,0.1111111111111111,2021-10,2022-02,90,270
DQ90_10,0.01154891304347826,0.1111111111111111,2021-10,2022-02,90,300
DQ90_11,0.012228260869565218,0.1388888888888889,2021-10,2022-02,90,330
DQ90_12,0.012228260869565218,0.16666666666666666,2021-10,2022-02,90,360
DQ90_13,0.012907608695652174,0.16666666666666666,2021-10,2022-02,90,390
DQ90_14,0.014266304347826086,0.18055555555555555,2021-10,2022-02,90,420
DQ90_15,0.016983695652173912,0.18055555555555555,2021-10,2022-02,90,450
DQ90_16,0.020380434782608696,0.18055555555555555,2021-10,2022-02,90,480
DQ90_17,0.022418478260869564,0.18055555555555555,2021-10,2022-02,90,510
DQ90_18,0.02377717391304348,0.18055555555555555,2021-10,2022-02,90,540
DQ90_19,0.025135869565217392,0.18055555555555555,2021-10,2022-02,90,570
DQ90_20,0.027853260869565216,0.19444444444444445,2021-10,2022-02,90,600
DQ90_21,0.029211956521739132,0.19444444444444445,2021-10,2022-02,90,630
DQ90_22,0.029891304347826088,0.20833333333333334,2021-10,2022-02,90,660
DQ90_23,0.030570652173913044,0.2222222222222222,2021-10,2022-02,90,690
DQ90_24,0.03260869565217391,0.2222222222222222,2021-10,2022-02,90,720
