feature,mean_shap,mean_shap_abs,Description
ret255__tu,0.0003567727171348836,0.0003567727171348836,Average Aggregate Excess Payment for Retail accounts over the past 24 months
bi20s__tu,-0.0003444101756856446,0.0003444101756856446,Months since oldest bank installment trade opened
evictiontimenewest__ln,0.00032962163482579067,0.00032962163482579067,Time (in months) since most recently recorded eviction on subject's file
walshr10__tu,-0.00021587597471644856,0.00021587597471644856,Months since most recent wallet share shift > 50% in last 24 months
linka060__tu,-0.0001941622014755701,0.0001941622014755701,Total amount of open (unpaid) non-sufficient funds in the last month
us57s__tu,0.00016871950945879176,0.00016871950945879176,Total past due amount of open unsecured installment trades verified in past 12 months
businessassociationtimeoldest__ln,7.542715257521318e-06,7.542715257521318e-06,Time (in months) since a formal business association with the subject first seen on file
ret225__tu,0.0,0.0,Average total Payment Ratio for Retail accounts over the past 24 months
g302s__tu,0.0,0.0,Worst rating on revolving trades in past 12 months
linka015__tu,0.0,0.0,Number of checking account closures for cause in the last 6 months
