target,iteration,learning_rate,flt_eval_metric_train,flt_eval_metric_valid,diff,best_iteration
DQ15_22,4,0.0413,0.8298169263426084,0.7395451971336202,0.0902717292089881,991
DQ15_21,6,0.0615,0.8343876915502343,0.7389839562783016,0.0954037352719326,740
Default_20,6,0.0615,0.8447810289517892,0.7383724644806147,0.1064085644711745,496
Default_19,2,0.0212,0.8202710088418282,0.7381658827495998,0.0821051260922284,998
DQ90_14,5,0.0514,0.8105430811316945,0.738108127260739,0.0724349538709554,323
DQ60_9,3,0.0312,0.8504360912960132,0.7379726433066691,0.112463447989344,999
DQ15_20,6,0.0615,0.8341108516953826,0.737878567775843,0.0962322839195395,749
DQ60_10,6,0.0615,0.8397008901697327,0.737279617492015,0.1024212726777177,459
Default_5,6,0.0615,0.8106198484975463,0.7366188093171256,0.0740010391804206,20
DQ30_10,4,0.0413,0.8129781303901599,0.7365288726407815,0.0764492577493783,624
DQ15_17,6,0.0615,0.8297394261015796,0.736395632880076,0.0933437932215035,736
DQ1_12,4,0.0413,0.833660645086216,0.7363567523599405,0.0973038927262754,922
Default_18,2,0.0212,0.8087383060235185,0.7361002303051065,0.0726380757184119,789
Default_15,2,0.0212,0.81940570274028,0.7357520860725527,0.0836536166677273,824
DQ15_19,8,0.0816,0.8321265055700341,0.7355967224606007,0.0965297831094333,548
Default_10,4,0.0413,0.836622768713321,0.735569520975196,0.1010532477381249,415
DQ60_8,8,0.0816,0.8417882889475401,0.7351910315409971,0.106597257406543,313
Default_12,7,0.0716,0.840070644475104,0.7348225787068241,0.1052480657682799,304
DQ60_12,4,0.0413,0.8234579340794055,0.7347968654884356,0.0886610685909699,563
DQ15_18,5,0.0514,0.8389242291927538,0.7346636490158092,0.1042605801769446,997
DQ30_6,3,0.0312,0.8275180695586033,0.7346593357751066,0.0928587337834967,789
Default_17,3,0.0312,0.8208416418916709,0.7345668275572177,0.0862748143344531,622
DQ90_4,15,0.1522,0.794154561032307,0.7343098109555842,0.0598447500767227,19
Default_11,2,0.0212,0.8209818555358409,0.7339310301664789,0.087050825369362,717
Default_16,7,0.0716,0.8178975517647658,0.7335202273630763,0.0843773244016894,256
DQ30_7,3,0.0312,0.8331662085629632,0.7331944957642957,0.0999717127986674,988
DQ30_8,3,0.0312,0.8238792028023172,0.7330945033655044,0.0907846994368127,889
DQ15_16,7,0.0716,0.8259114759230728,0.7330791174368017,0.0928323584862711,589
DQ1_11,5,0.0514,0.8199829080790035,0.7325460943618524,0.0874368137171511,620
DQ30_9,3,0.0312,0.8202454323326553,0.732467893663922,0.0877775386687333,889
DQ90_13,3,0.0312,0.8109850180962209,0.7321625760331884,0.0788224420630325,521
DQ90_8,6,0.0615,0.8256566613822571,0.7319623282374066,0.0936943331448505,238
DQ90_11,2,0.0212,0.8090410330795254,0.7314403055018077,0.0776007275777176,666
DQ60_11,3,0.0312,0.8422920198795465,0.7312311124984893,0.1110609073810572,938
Default_14,3,0.0312,0.8265282937801691,0.7300965089947417,0.0964317847854274,629
DQ60_7,9,0.0917,0.8551215348028386,0.7300690194539671,0.1250525153488715,298
DQ15_15,4,0.0413,0.8234246560896044,0.7300341155787385,0.0933905405108658,999
DQ90_5,16,0.1623,0.8530177067581269,0.729966524270936,0.1230511824871909,68
Default_13,4,0.0413,0.8184095503616594,0.7296434193469039,0.0887661310147555,381
DQ1_10,4,0.0413,0.8221211699010257,0.7294962128317175,0.0926249570693081,869
DQ30_5,7,0.0716,0.9053116997897168,0.7293886432042401,0.1759230565854767,895
DQ15_13,5,0.0514,0.8106239689618925,0.7285580929649739,0.0820658759969186,634
DQ90_12,3,0.0312,0.8249891293074029,0.7282824433432562,0.0967066859641466,573
DQ15_14,4,0.0413,0.8226061046243575,0.7281536623337865,0.0944524422905709,998
DQ15_12,11,0.1119,0.8348299483200164,0.727762201920935,0.1070677463990814,450
Default_9,14,0.1421,0.8236494235877707,0.7274563241058678,0.0961930994819029,91
DQ60_6,5,0.0514,0.8554117903479388,0.7266627787370045,0.1287490116109343,463
DQ15_11,4,0.0413,0.8240814341938889,0.7253676798366403,0.0987137543572486,985
DQ15_10,3,0.0312,0.8098343380129152,0.7242543020819239,0.0855800359309912,995
Default_8,7,0.0716,0.8188940269853373,0.7229704144988589,0.0959236124864784,143
DQ15_9,3,0.0312,0.8135540371924853,0.7223063959765323,0.0912476412159529,994
DQ1_9,3,0.0312,0.8102813703326148,0.7220344540140569,0.0882469163185579,995
DQ90_7,2,0.0212,0.8262171594324295,0.7207712907493412,0.1054458686830882,542
DQ15_7,5,0.0514,0.8428583846838351,0.7199956690076661,0.122862715676169,992
DQ15_8,4,0.0413,0.8194600931494674,0.7197295378998126,0.0997305552496548,943
DQ60_5,13,0.1321,0.8659327646451468,0.7195272563375824,0.1464055083075643,180
Default_6,36,0.3639,0.8433219049688181,0.7177954270586331,0.125526477910185,32
DQ30_4,6,0.0615,0.8318984177774336,0.717477825162178,0.1144205926152556,348
DQ90_6,8,0.0816,0.8142441085994466,0.7171272698271363,0.0971168387723103,103
DQ15_6,16,0.1623,0.8706537275941629,0.716929615016359,0.1537241125778039,444
Default_7,6,0.0615,0.8483112109718438,0.7163430318289763,0.1319681791428675,196
DQ15_5,6,0.0615,0.8389575437082628,0.7159769244089922,0.1229806192992706,653
DQ1_8,3,0.0312,0.7910317039190095,0.715704023022052,0.0753276808969574,789
DQ60_3,13,0.1321,0.7911903566269842,0.7118621794646558,0.0793281771623284,23
DQ60_4,11,0.1119,0.8559698671986719,0.711341817309459,0.1446280498892128,122
DQ30_3,2,0.0212,0.8013651910714045,0.7101105357247383,0.0912546553466662,473
DQ15_4,4,0.0413,0.8321327893372579,0.7093259033100507,0.1228068860272071,843
DQ1_7,3,0.0312,0.7838794007966229,0.7083843769221941,0.0754950238744287,777
DQ15_3,6,0.0615,0.848128761387771,0.7051215155878516,0.1430072457999194,542
DQ1_6,2,0.0212,0.7726517414767866,0.6983193469854906,0.074332394491296,999
DQ30_2,30,0.3034,0.8963458103998098,0.6948281731667172,0.2015176372330925,104
DQ15_2,15,0.1522,0.843379003254593,0.6916007489436764,0.1517782543109166,189
DQ1_5,2,0.0212,0.7573613506901042,0.6898277454637337,0.0675336052263705,984
Default_3,27,0.2732,0.8740654127271508,0.6857854821235102,0.1882799306036405,7
DQ1_4,3,0.0312,0.7710118986747971,0.683705785491609,0.0873061131831881,977
DQ1_3,3,0.0312,0.7279832536388203,0.6684441984539711,0.0595390551848492,615
DQ15_1,9,0.0917,0.8122428904090642,0.6606399161101438,0.1516029742989203,136
DQ1_2,7,0.0716,0.739896191131868,0.6522519532252034,0.0876442379066646,313
DQ1_1,3,0.0312,0.7501567993651712,0.6306800997162532,0.119476699648918,748
DQ1_0,5,0.0514,0.800535799676009,0.6048289417034003,0.1957068579726086,347
Default_4,60,0.6058,0.8478506702728956,0.6040091367359799,0.2438415335369157,13
