iteration,learning_rate,flt_eval_metric_train,flt_eval_metric_valid,diff,best_iteration,target
32,0.3236,0.8918985050613393,0.903133673920914,0.0112351688595747,6,Default_2
33,0.3337,0.908683046188912,0.8819190232913633,0.0267640228975487,6,Default_2
34,0.3437,0.9098796674934638,0.8819793636107647,0.0279003038826991,6,Default_2
35,0.3538,0.9073959241134276,0.8643700470654491,0.0430258770479786,6,Default_2
36,0.3639,0.6526748005631159,0.8318968985075827,0.1792220979444668,1,Default_2
37,0.374,0.6526748005631159,0.8318968985075827,0.1792220979444668,1,Default_2
38,0.3841,0.6527619494536434,0.8318968985075827,0.1791349490539393,1,Default_2
39,0.3942,0.6527619494536434,0.8318968985075827,0.1791349490539393,1,Default_2
40,0.4042,0.6527619494536434,0.8318968985075827,0.1791349490539393,1,Default_2
41,0.4143,0.6527619494536434,0.8318968985075827,0.1791349490539393,1,Default_2
42,0.4244,0.6527619494536434,0.8318968985075827,0.1791349490539393,1,Default_2
43,0.4345,0.6527619494536434,0.8318968985075827,0.1791349490539393,1,Default_2
44,0.4446,0.6527619494536435,0.8318968985075827,0.1791349490539392,1,Default_2
45,0.4546,0.671951464771737,0.7155004223822358,0.0435489576104988,1,Default_2
46,0.4647,0.671951464771737,0.7155004223822359,0.0435489576104989,1,Default_2
47,0.4748,0.6826556948448079,0.6721006476527616,0.0105550471920463,0,Default_2
48,0.4849,0.9397080512167326,0.7755641819864033,0.1641438692303293,6,Default_2
49,0.495,0.6826556948448079,0.6721006476527616,0.0105550471920463,0,Default_2
50,0.505,0.6826556948448079,0.6721006476527616,0.0105550471920463,0,Default_2
51,0.5151,0.6826556948448079,0.6721006476527616,0.0105550471920463,0,Default_2
52,0.5252,0.6826556948448079,0.6721006476527616,0.0105550471920463,0,Default_2
53,0.5353,0.6826556948448079,0.6721006476527616,0.0105550471920463,0,Default_2
54,0.5454,0.6853472548099484,0.6741622752323102,0.0111849795776381,1,Default_2
55,0.5554,0.6853472548099484,0.6741622752323102,0.0111849795776381,1,Default_2
56,0.5655,0.6853472548099484,0.6741622752323102,0.0111849795776381,1,Default_2
57,0.5756,0.6855517195146477,0.6743734663502152,0.0111782531644324,1,Default_2
58,0.5857,0.6855517195146477,0.6743734663502152,0.0111782531644324,1,Default_2
59,0.5958,0.7451347455922773,0.715213805865079,0.0299209397271983,2,Default_2
60,0.6058,0.7451347455922773,0.715213805865079,0.0299209397271983,2,Default_2
61,0.6159,0.7465391834819334,0.7152238625849793,0.0313153208969541,2,Default_2
62,0.626,0.746552591003553,0.6968804054869464,0.0496721855166065,2,Default_2
63,0.6361,0.7443219145940873,0.6876081097389276,0.0567138048551596,2,Default_2
64,0.6462,0.7513977341288463,0.6876081097389276,0.0637896243899186,2,Default_2
65,0.6563,0.9526882080847356,0.6765708596484171,0.2761173484363184,3,Default_2
66,0.6663,0.9533485285245022,0.6773552838006355,0.2759932447238667,3,Default_2
67,0.6764,0.9544211302540726,0.6775664749185407,0.2768546553355319,3,Default_2
68,0.6865,0.955309378561373,0.6745092320688685,0.2808001464925045,3,Default_2
69,0.6966,0.9561205336193604,0.674871273985277,0.2812492596340834,3,Default_2
70,0.7067,0.9585238318696788,0.674961784464379,0.2835620474052999,3,Default_2
71,0.7167,0.9601629013876786,0.6748310471056761,0.2853318542820025,3,Default_2
72,0.7268,0.6826556948448079,0.6721006476527616,0.0105550471920463,0,Default_2
73,0.7369,0.6826556948448079,0.6721006476527616,0.0105550471920463,0,Default_2
74,0.747,0.6826556948448079,0.6721006476527616,0.0105550471920463,0,Default_2
75,0.7571,0.959348394449286,0.699319160062754,0.2600292343865321,3,Default_2
76,0.7671,0.6826556948448079,0.6721006476527616,0.0105550471920463,0,Default_2
