feature,bin,min,max,count,prop,target,bin_label,coef,contribution,description
au21s__tu_binned,0.17208484711218835,56.0,80.0,2116,0.13195310551259665,0.24102079395085066,5,-0.28690796821352527,-0.04937251384529309,Months since most recent auto trade opened
au21s__tu_binned,0.07852791267397076,31.0,55.0,3276,0.20429034671988028,0.25854700854700857,4,-0.28690796821352527,-0.02253028387333809,Months since most recent auto trade opened
au21s__tu_binned,-0.015230477862253601,17.0,30.0,2405,0.14997505612372164,0.27692307692307694,3,-0.28690796821352527,0.004369745458380256,Months since most recent auto trade opened
au21s__tu_binned,-0.13139170670524017,1.0,16.0,2713,0.16918184085806934,0.3007740508661998,2,-0.28690796821352527,0.03769732761090788,Months since most recent auto trade opened
au21s__tu_binned,-0.16340088598784464,0.0,0.0,4279,0.2668371164879022,0.30754849263846695,1,-0.28690796821352527,0.0468810162030624,Months since most recent auto trade opened
au27s__tu_binned,0.3999809685290518,1.0,3.0,1873,0.11679970067348466,0.201815269620929,2,-0.09731194312128379,-0.03892292525909509,Number of currently open and satisfactory auto trades 24 months or older
au27s__tu_binned,-0.04741939358361267,0.0,0.0,14163,0.8832002993265153,0.2834145308197416,1,-0.09731194312128379,0.004614473331254285,Number of currently open and satisfactory auto trades 24 months or older
balmag01__tu_binned,0.2744147023447032,0.0,158.0,2114,0.1318283861312048,0.2228003784295175,1,-1.0034768519046893,-0.27536880162522515,Non-mortgage balance magnitude algorithm over last 24 months
balmag01__tu_binned,0.20190968126227551,159.0,222.0,2067,0.12889748066849588,0.235607160135462,2,-1.0034768519046893,-0.20261169132214746,Non-mortgage balance magnitude algorithm over last 24 months
balmag01__tu_binned,0.034547506380607954,223.0,266.0,1831,0.11418059366425543,0.2670671764063353,3,-1.0034768519046893,-0.034667622943969634,Non-mortgage balance magnitude algorithm over last 24 months
balmag01__tu_binned,-0.05700179332425749,267.0,298.0,2043,0.12740084809179347,0.285364659813999,4,-1.0034768519046893,0.05719998011794764,Non-mortgage balance magnitude algorithm over last 24 months
balmag01__tu_binned,-0.10836132732125676,299.0,600.0,7981,0.49769269144425043,0.2959528881092595,5,-1.0034768519046893,0.10873808360854834,Non-mortgage balance magnitude algorithm over last 24 months
bkc321__tu_binned,0.5095772804191256,172.0,45840.0,1402,0.08742828635569967,0.1847360912981455,4,-0.9347074965578549,-0.47630570408332096,Min Total Open-to-Buy for Bankcard accounts over the past 3 months
bkc321__tu_binned,0.24785905376303172,57.0,171.0,853,0.05319281616363183,0.22743259085580306,3,-0.9347074965578549,-0.23167571564204215,Min Total Open-to-Buy for Bankcard accounts over the past 3 months
bkc321__tu_binned,0.1910169277595981,5.0,56.0,1006,0.06273384884010975,0.23757455268389663,2,-0.9347074965578549,-0.17854495434634657,Min Total Open-to-Buy for Bankcard accounts over the past 3 months
bkc321__tu_binned,-0.07781576117541146,0.0,4.0,12775,0.7966450486405587,0.2896281800391389,1,-0.9347074965578549,0.07273497532101277,Min Total Open-to-Buy for Bankcard accounts over the past 3 months
cv15__tu_binned,0.13851710226187144,0.0,1.0,6193,0.3861935644799202,0.24721459712578717,1,-0.4429027273586029,-0.06134960237759337,Number of deduped auto inquiries
cv15__tu_binned,0.00996282176727241,2.0,2.0,4211,0.2625966575205787,0.2719069104725718,2,-0.4429027273586029,-0.004412560932912607,Number of deduped auto inquiries
cv15__tu_binned,-0.11132921006168313,3.0,3.0,2421,0.15097281117485659,0.2965716646014044,3,-0.4429027273586029,0.04930801077099828,Number of deduped auto inquiries
cv15__tu_binned,-0.13796496145613282,4.0,5.0,2085,0.1300199551010227,0.302158273381295,4,-0.4429027273586029,0.06110505770884576,Number of deduped auto inquiries
cv15__tu_binned,-0.2524058742027068,6.0,35.0,1126,0.07021701172362185,0.3268206039076377,5,-0.4429027273586029,0.1117912500857113,Number of deduped auto inquiries
dti__app_binned,0.3212417587589595,1.7025480246692337e-07,0.2950070919798958,1676,0.10451484160638563,0.21479713603818615,1,-0.9902337740205827,-0.318104439148894,
dti__app_binned,0.11347563433829011,0.2950216183779293,0.32223699556037594,1838,0.11461711149912697,0.25190424374319914,2,-0.9902337740205827,-0.11236740565018463,
dti__app_binned,0.017708947911646955,0.32224627154646607,0.46437981835802433,9705,0.6052007982040409,0.27037609479649666,3,-0.9902337740205827,-0.01753599832448408,
dti__app_binned,-0.031266473963705396,0.46439526889830013,0.5114991140068932,1924,0.1199800448989773,0.2801455301455301,4,-0.9902337740205827,0.03096111851339628,
dti__app_binned,-0.7930953581952899,0.5115531000613873,4.761775923330182,893,0.05568720379146919,0.45464725643896975,5,-0.9902337740205827,0.7853498097039278,
flt_mean_months_to_first_bad__tu_pmthx_binned,-0.16042299991405198,0.0,0.0,4946,0.3084310301820903,0.3069146785281035,1,,,
flt_mean_months_to_first_bad__tu_pmthx_binned,-0.06583305757085625,0.012195121951219513,0.15833333333333333,3437,0.21433025692192567,0.28716904276985744,2,,,
flt_mean_months_to_first_bad__tu_pmthx_binned,0.14198401115365006,0.15873015873015872,1.0,7653,0.477238712895984,0.24656997255978047,3,,,
flt_wtd_avg_closed__tu_pmthx_binned,0.2048819738968479,0.8380952380952381,1.0,4773,0.2976428036916937,0.2350722815839095,4,-0.4043448859353343,-0.0828429783655271,
flt_wtd_avg_closed__tu_pmthx_binned,0.07678890694674642,0.5221674876847291,0.8379446640316206,1858,0.11586430531304565,0.2588805166846071,3,-0.4043448859353343,-0.03104920182048118,
flt_wtd_avg_closed__tu_pmthx_binned,-0.07631135169237169,0.2620967741935484,0.521486643437863,1189,0.0741456722374657,0.28931875525651807,2,-0.4043448859353343,0.03085610479562321,
flt_wtd_avg_closed__tu_pmthx_binned,-0.1162060688741533,0.0,0.2619047619047619,8216,0.512347218757795,0.2975900681596884,1,-0.4043448859353343,0.04698732966391312,
g106s__tu_binned,0.5439412375795785,431.0,768.0,991,0.061798453479670744,0.17961654894046417,9,-0.5785890677013582,-0.31471845353549127,Months on file
g106s__tu_binned,0.2998532940968109,394.0,430.0,966,0.06023946121227239,0.21842650103519667,8,-0.5785890677013582,-0.173491837878655,Months on file
g106s__tu_binned,0.23690899515537395,328.0,393.0,2023,0.12615365427787478,0.22936233316856156,7,-0.5785890677013582,-0.1370729546370134,Months on file
g106s__tu_binned,0.17186435768435884,308.0,327.0,867,0.05406585183337491,0.24106113033448673,6,-0.5785890677013582,-0.09943883848368594,Months on file
g106s__tu_binned,0.08462987223520414,287.0,307.0,847,0.052818658019456226,0.25737898465171194,5,-0.5785890677013582,-0.048965918876251825,Months on file
g106s__tu_binned,0.01320667150267779,219.0,286.0,2798,0.17448241456722374,0.271265189421015,4,-0.5785890677013582,-0.007641235752172438,Months on file
g106s__tu_binned,-0.16213624064199209,146.0,218.0,3352,0.20902968321277127,0.30727923627684967,3,-0.5785890677013582,0.09381025631365326,Months on file
g106s__tu_binned,-0.18464429430331142,65.0,145.0,2903,0.18103018209029684,0.31209094040647606,2,-0.5785890677013582,0.10683317009732816,Months on file
g106s__tu_binned,-0.23730311956596908,0.0,64.0,1289,0.08038164130705912,0.3235065942591156,1,-0.5785890677013582,0.13730099071229798,Months on file
g232s__tu_binned,0.33827836503908393,0.0,2.0,1156,0.07208780244449987,0.21193771626297578,1,-1.007063871828956,-0.3406679200522288,Number of inquiries (includes duplicates)
g232s__tu_binned,0.2463404505858416,3.0,3.0,852,0.05313045647293589,0.22769953051643194,2,-1.007063871828956,-0.24808056795506725,Number of inquiries (includes duplicates)
g232s__tu_binned,0.21278691377351927,4.0,4.0,1040,0.06485407832377152,0.23365384615384616,3,-1.007063871828956,-0.2142900132592945,Number of inquiries (includes duplicates)
g232s__tu_binned,0.03387719702583268,5.0,5.0,1003,0.06254676976802195,0.26719840478564305,4,-1.007063871828956,-0.03411650120354745,Number of inquiries (includes duplicates)
g232s__tu_binned,0.023345282027781286,6.0,6.0,1103,0.06878273883761536,0.2692656391659112,5,-1.007063871828956,-0.02351019010783636,Number of inquiries (includes duplicates)
g232s__tu_binned,0.00420195362665024,7.0,12.0,4805,0.2996383137939636,0.27304890738813736,6,-1.007063871828956,-0.004231635688500114,Number of inquiries (includes duplicates)
g232s__tu_binned,-0.10413280797799475,13.0,32.0,5236,0.3265153404839112,0.2950725744843392,7,-1.007063871828956,0.10486838878674058,Number of inquiries (includes duplicates)
g232s__tu_binned,-0.32260880028975847,33.0,383.0,841,0.05244449987528062,0.34244946492271106,8,-1.007063871828956,0.3248876675058986,Number of inquiries (includes duplicates)
int_n_months_open__tu_pmthx_binned,0.6344315907579531,44.0,82.0,1044,0.06510351708655525,0.16666666666666666,5,-0.5409476010732043,-0.3431942470655716,
int_n_months_open__tu_pmthx_binned,0.32942865736354154,29.0,43.0,1237,0.07713893739087054,0.21341956345998384,4,-0.5409476010732043,-0.17820364192557436,
int_n_months_open__tu_pmthx_binned,0.21050925340158094,20.0,28.0,1098,0.06847094038413569,0.23406193078324225,3,-0.5409476010732043,-0.11387447563129648,
int_n_months_open__tu_pmthx_binned,0.05023559398656291,12.0,19.0,1053,0.06566475430281866,0.26400759734093066,2,-0.5409476010732043,-0.027174824055518694,
int_n_months_open__tu_pmthx_binned,-0.10205122151021344,0.0,11.0,11604,0.7236218508356198,0.2946397793864185,1,-0.5409476010732043,0.055204363462540144,
linka017__tu_binned,0.0761510844460026,0.0,0.0,9969,0.6216637565477675,0.25900290901795564,1,-0.8030237671246101,-0.061151130702453316,Number of checking account closures for cause in the last 5 years
linka017__tu_binned,-0.11976848010786659,1.0,10.0,6067,0.3783362434522325,0.2983352563045987,2,-0.8030237671246101,0.09617693607900796,Number of checking account closures for cause in the last 5 years
linka029__tu_binned,0.09433374195981482,0.0,0.0,7009,0.43707907208780244,0.25552860607789984,1,-0.47807086094177226,-0.04509821323458766,Number of checking account inquiries in the last 3 years
linka029__tu_binned,-0.026931481349485652,1.0,1.0,3792,0.23646794711898228,0.27927215189873417,2,-0.47807086094177226,0.012875156475185888,Number of checking account inquiries in the last 3 years
linka029__tu_binned,-0.08304167079527325,2.0,2.0,1689,0.10532551758543278,0.290704558910598,3,-0.47807086094177226,0.03969980305113951,Number of checking account inquiries in the last 3 years
linka029__tu_binned,-0.11045968436747942,3.0,99.0,3546,0.22112746320778248,0.29639029892837,4,-0.47807086094177226,0.052807556404917314,Number of checking account inquiries in the last 3 years
miles_odometer__app_binned,0.6034296424186735,1.0,12676.0,1111,0.06928161636318284,0.171017101710171,1,-0.525030197355164,-0.31681878424903215,
miles_odometer__app_binned,0.3682044533074317,12696.0,24994.0,802,0.05001247193813919,0.20698254364089774,2,-0.525030197355164,-0.19331845678705112,
miles_odometer__app_binned,0.10468314814981744,25002.0,39119.0,1613,0.10058618109254178,0.25356478611283323,3,-0.525030197355164,-0.05496181393285852,
miles_odometer__app_binned,0.09222798230535348,39152.0,50020.0,1813,0.11305811923172861,0.25592939878654164,4,-0.525030197355164,-0.048422475751448306,
miles_odometer__app_binned,-0.019195318494744675,50021.0,66743.0,3698,0.2306061361935645,0.2777176852352623,5,-0.525030197355164,0.010078121857591027,
miles_odometer__app_binned,-0.035982464135425,66745.0,74249.0,1640,0.102269892741332,0.2810975609756098,6,-0.525030197355164,0.0188918802463473,
miles_odometer__app_binned,-0.12565507247710153,74255.0,78604.0,928,0.05786979296582689,0.2995689655172414,7,-0.525030197355164,0.06597270750133005,
miles_odometer__app_binned,-0.1802873060584906,78606.0,95989.0,3442,0.21464205537540534,0.31115630447414294,8,-0.525030197355164,0.09465627988052018,
miles_odometer__app_binned,-0.26512871285699235,95992.0,150780.0,989,0.06167373409827887,0.32962588473205257,9,-0.525030197355164,0.1392005804358273,
re01s__tu_binned,0.45714587648695293,9.0,50.0,1603,0.09996258418558245,0.19276356830941985,8,-0.7261532114736777,-0.3319579463229501,Number of revolving trades
re01s__tu_binned,0.17611146436989297,6.0,8.0,1544,0.09628336243452232,0.24028497409326424,7,-0.7261532114736777,-0.12788390542952996,Number of revolving trades
re01s__tu_binned,0.10955421353631231,5.0,5.0,851,0.05306809678223996,0.2526439482961222,6,-0.7261532114736777,-0.07955314398986624,Number of revolving trades
re01s__tu_binned,0.10387230283501227,4.0,4.0,1143,0.07127712646545273,0.2537182852143482,5,-0.7261532114736777,-0.07542720628681056,Number of revolving trades
re01s__tu_binned,0.051780232420706916,3.0,3.0,1532,0.09553504614617112,0.26370757180156656,4,-0.7261532114736777,-0.03760038206314977,Number of revolving trades
re01s__tu_binned,-0.030358925561189694,2.0,2.0,2136,0.13320029932651534,0.2799625468164794,3,-0.7261532114736777,0.02204523129314822,Number of revolving trades
re01s__tu_binned,-0.10629919286526408,1.0,1.0,2971,0.18527064105762037,0.29552339279703804,2,-0.7261532114736777,0.07718950027617136,Number of revolving trades
re01s__tu_binned,-0.18326600918062136,0.0,0.0,4256,0.26540284360189575,0.3117951127819549,1,-0.7261532114736777,0.1330792011204727,Number of revolving trades
