feature,mean_shap_1,mean_shap_2,mean_shap_3
fr02s__tu,-0.00010309094431314709,-6.533065854623314e-05,-0.0001541394065833189
rev205__tu,-0.0001845603821491453,-6.395423768461254e-05,-0.00017655296816267605
std235__tu,-7.51809580589322e-05,-4.9561824482759147e-05,-0.00012826441106203692
fr20s__tu,5.3098313060525175e-05,4.694839027384877e-05,-4.411572426201099e-06
rev201__tu,-0.00014951522891011137,-4.4813829382070034e-05,-0.00018342803780184915
addrinputavmvalue12month__ln,0.0002030295843056922,4.353003346218637e-05,0.00017196563156997213
all253__tu,-5.9962159054179556e-05,-4.300850157259208e-05,-4.2665496915939615e-05
criminalnonfelonytimenewest__ln,-2.1407400573377098e-05,3.875207797934575e-05,-6.154175340153148e-05
lm14s__tu,-3.594676039147905e-05,3.513003410998987e-05,3.885314677363661e-05
us57s__tu,-2.223049172705211e-06,3.181393184920477e-05,3.634030512503222e-05
g241s__tu,2.3726117264414216e-05,3.145387063504838e-05,0.0003704240281434966
all254__tu,1.3566575623637399e-05,-2.730787078283188e-05,-2.2533798247395866e-05
fltapproveddowntotal__app,-8.052502408957962e-05,-2.0794838501558827e-05,-0.000187188023573015
fi36s__tu,5.4774905363907475e-05,1.998877101531354e-05,2.9910142314996403e-05
au36s__tu,0.00028579084364033,1.706475593445445e-05,0.000203424914125237
fr21s__tu,6.639924633002105e-05,6.988745596717726e-06,1.3394805763853662e-06
fltdowncash__app,-4.5420622877412594e-05,-4.168174221137488e-06,-4.3375611038604355e-05
paymnt05__tu,9.495682140242353e-05,1.670938112018509e-06,7.824674858370533e-05
