eval_metric,iterations,prop_early_stopping,learning_rate,class_weights,monotone_constraints,train_score,valid_score,test_score,train_mean,valid_mean,test_mean
Logloss,1000,0.05,0.2933,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.19500529822638665,0.18752547648191775,0.20500810101015599,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.3034,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.19468797827132078,0.188203208842238,0.20681901751447065,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.3135,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.20094444269458353,0.19111286786018503,0.20861682839251885,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.3236,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.1866685410367062,0.18762880136948865,0.207284794501448,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.3337,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.1989591951450929,0.19036014256775471,0.20860642812843377,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.3437,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.19477791760108756,0.18831753035159446,0.20711998559342787,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.3538,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.1978484091402957,0.18923196787185478,0.20748907871844027,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.3639,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.1973398845862632,0.18785738446660746,0.20592023445571192,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.374,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.20100855074947097,0.19056221275699578,0.20920553679909956,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.3841,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.20074473713920116,0.19027933881752207,0.2089521921908891,0.033302000805693566,0.029810662011548274,0.0416006445548543
