feature,flt_eval_metric_train,flt_eval_metric_valid,flt_score_to_beat,performance,helped
addrcurrenttimeoldest__ln,0.2393892339100083,0.2720948755273573,0.2714084392216933,-0.000686436305664,0
br09s__tu,0.2349495073318379,0.2720869728657696,0.2714084392216933,-0.0006785336440763,0
jt01s__tu,0.2323807456346094,0.2720859302582267,0.2714084392216933,-0.0006774910365334,0
rt20s__tu,0.2393392660776567,0.2720841421845428,0.2714084392216933,-0.0006757029628495,0
aut202__tu,0.2380461954560302,0.2720722349102825,0.2714084392216933,-0.0006637956885892,0
ENG-dealership_age,0.2390064650327767,0.2720702204511261,0.2714084392216933,-0.0006617812294328,0
jt42s__tu,0.2393278901742361,0.2720691069692762,0.2714084392216933,-0.0006606677475829,0
addrinputlengthofres__ln,0.2381298217558959,0.2720682945469901,0.2714084392216933,-0.0006598553252968,0
inttype__app,0.2377009024446921,0.2720674453063147,0.2714084392216933,-0.0006590060846214,0
bitdealerapplicantsamecity__app,0.231800595558433,0.2720512756419667,0.2714084392216933,-0.0006428364202734,0
at35a__tu,0.2331688173910709,0.2720502585068751,0.2714084392216933,-0.0006418192851818,0
trv01__tu,0.2372002313374113,0.2720491921053968,0.2714084392216933,-0.0006407528837035,0
s004s__tu,0.2382560644621958,0.2720452395503674,0.2714084392216933,-0.0006368003286741,0
linka025__tu,0.2352897903006512,0.2720429543917868,0.2714084392216933,-0.0006345151700934,0
at103s__tu,0.2407153551766351,0.2720379253620507,0.2714084392216933,-0.0006294861403574,0
linkf094__tu,0.2395008276830438,0.2720371282252224,0.2714084392216933,-0.0006286890035291,0
alertregulatorycondition__ln,0.2365307413450249,0.2720236065669182,0.2714084392216933,-0.0006151673452249,0
bc97b__tu,0.2389937064470089,0.2720226490020925,0.2714084392216933,-0.0006142097803992,0
linka037__tu,0.2317406028197092,0.2720175035032708,0.2714084392216933,-0.0006090642815775,0
linka081__tu,0.2382412935994671,0.2720165770731991,0.2714084392216933,-0.0006081378515058,0
paymnt04__tu,0.2356366999422699,0.2720156692111977,0.2714084392216933,-0.0006072299895044,0
cv21__tu,0.236191755099057,0.2720139424366938,0.2714084392216933,-0.0006055032150005,0
br20s__tu,0.2361003941299025,0.2720125248616413,0.2714084392216933,-0.000604085639948,0
linka017__tu,0.2349732352097782,0.2720109065361599,0.2714084392216933,-0.0006024673144666,0
re20s__tu,0.2360605794007458,0.2720101331984639,0.2714084392216933,-0.0006016939767706,0
g211s__tu,0.2348368820221322,0.2720067043434437,0.2714084392216933,-0.0005982651217504,0
