feature,dtype,propna,min,max,range,std,mean,median,mode,n_unique,prop_unique,prop_negative,prop_min,prop_max,prop_zero,mean_target_25,mean_target_50,mean_target_75,description,auto_flag
agg805__tu,float64,0.003486936,-6,218690,218696,354.8186055,35.82821122,-1,-2,4277,0.002043114,0.754283637,0.047061369,9.55E-07,0.100457969,0.311183348,0.334737178,0.334737178,Aggregate bankcard actual payment for month 5,0
agg804__tu,float64,0.003486936,-6,264281,264287,398.4394532,37.35438739,-1,-2,4275,0.002042159,0.750674629,0.047061369,9.55E-07,0.101266712,0.309828813,0.3340906,0.3340906,Aggregate bankcard actual payment for month 4,0
agg803__tu,float64,0.003486936,-6,426186,426192,499.6808317,36.62001039,-1,-2,4221,0.002016363,0.746060067,0.047061369,9.55E-07,0.10390456,0.309368799,0.333983872,0.332741151,Aggregate bankcard actual payment for month 3,0
agg802__tu,float64,0.003486936,-6,491416,491422,560.906242,37.72283821,-1,-2,4232,0.002021618,0.73972818,0.047061369,9.55E-07,0.108235369,0.308067437,0.333473036,0.332601357,Aggregate bankcard actual payment for month 2,0
agg801__tu,float64,0.003486936,-6,397031,397037,479.1850935,40.01244499,-1,-2,4359,0.002082285,0.715652681,0.047061369,9.55E-07,0.127061446,0.307738661,0.334150353,0.332362686,Aggregate bankcard actual payment for month 1,0
agg724__tu,float64,0.003486936,-6,103037,103043,921.5508586,108.3397077,-1,-2,10851,0.005183501,0.730663384,0.047061369,4.78E-07,0.196752323,0.322943453,0.341953946,0.32130232,Aggregate bankcard amount past due for month 24,0
agg723__tu,float64,0.003486936,-6,115188,115194,938.037972,112.4047143,-1,-2,11028,0.005268053,0.726763458,0.047061369,4.78E-07,0.19809752,0.323076368,0.342128597,0.321310752,Aggregate bankcard amount past due for month 23,0
agg722__tu,float64,0.003486936,-6,112624,112630,967.1808862,117.7596511,-1,-2,11306,0.005400853,0.722897926,0.047061369,4.78E-07,0.198968841,0.323163007,0.342277613,0.32141075,Aggregate bankcard amount past due for month 22,0
agg721__tu,float64,0.003486936,-6,112703,112709,986.1297435,121.8669654,-1,-2,11466,0.005477285,0.718801188,0.047061369,4.78E-07,0.200140157,0.323195466,0.34240413,0.321416634,Aggregate bankcard amount past due for month 21,0
agg719__tu,float64,0.003486936,-6,139545,139551,1045.105104,133.1180597,-1,-2,11883,0.005676485,0.710897676,0.047061369,4.78E-07,0.201605734,0.322733525,0.342369911,0.32122908,Aggregate bankcard amount past due for month 19,0
agg707__tu,float64,0.003486936,-6,210614,210620,1411.692455,223.1304779,-1,-1,14947,0.007140151,0.649573201,0.047061369,4.78E-07,0.218380575,0.319987997,0.342871263,0.320306381,Aggregate bankcard amount past due for month 7,0
agg718__tu,float64,0.003486936,-6,112442,112448,1063.65867,137.7449016,-1,-2,12128,0.005793521,0.707021634,0.047061369,4.78E-07,0.202564951,0.322681203,0.34244963,0.321138971,Aggregate bankcard amount past due for month 18,0
agg717__tu,float64,0.003486936,-6,105972,105978,1091.483193,144.2247497,-1,-1,12373,0.005910557,0.702282871,0.047061369,4.78E-07,0.203936422,0.322758104,0.342623832,0.321082942,Aggregate bankcard amount past due for month 17,0
agg716__tu,float64,0.003486936,-6,139545,139551,1131.82453,151.9986266,-1,-1,12605,0.006021383,0.698119733,0.047061369,4.78E-07,0.204555519,0.322362545,0.342533486,0.320986158,Aggregate bankcard amount past due for month 16,0
agg715__tu,float64,0.003486936,-6,105927,105933,1161.647605,158.021624,-1,-1,12884,0.00615466,0.693880641,0.047061369,4.78E-07,0.205574449,0.322305694,0.342626868,0.320958418,Aggregate bankcard amount past due for month 15,0
agg714__tu,float64,0.003486936,-6,111108,111114,1190.810535,165.2255413,-1,-1,13160,0.006286505,0.688351288,0.047061369,4.78E-07,0.207198622,0.322248024,0.342760046,0.320824977,Aggregate bankcard amount past due for month 14,0
agg713__tu,float64,0.003486936,-6,106283,106289,1225.085157,173.6381285,-1,-1,13371,0.006387299,0.683975574,0.047061369,4.78E-07,0.207851635,0.321724737,0.342620141,0.320713129,Aggregate bankcard amount past due for month 13,0
agg712__tu,float64,0.003486936,-6,193286,193292,1250.195779,179.5979613,-1,-1,13597,0.006495259,0.678858952,0.047061369,4.78E-07,0.209711313,0.321571545,0.342698815,0.320829586,Aggregate bankcard amount past due for month 12,0
agg711__tu,float64,0.003486936,-6,192800,192806,1284.513093,188.0784046,-1,-1,13857,0.006619461,0.672760659,0.047061369,4.78E-07,0.211621149,0.320917556,0.342556728,0.320450419,Aggregate bankcard amount past due for month 11,0
agg710__tu,float64,0.003486936,-6,227843,227849,1316.496348,196.6782862,-1,-1,14053,0.006713089,0.667843714,0.047061369,4.78E-07,0.212861731,0.320580318,0.342545238,0.320547068,Aggregate bankcard amount past due for month 10,0
agg709__tu,float64,0.003486936,-6,227843,227849,1335.858336,203.5735562,-1,-1,14300,0.006831081,0.662389359,0.047061369,4.78E-07,0.214245622,0.320243557,0.342556908,0.320500413,Aggregate bankcard amount past due for month 9,0
agg807__tu,float64,0.003486936,-6,107480,107486,300.4363955,36.16082896,-1,-2,4342,0.002074165,0.765071968,0.047061369,4.78E-07,0.092028511,0.312731385,0.335286195,0.335286195,Aggregate bankcard actual payment for month 7,0
agg808__tu,float64,0.003486936,-6,135012,135018,304.9951067,34.90720526,-1,-2,4286,0.002047413,0.766937378,0.047061369,4.78E-07,0.091643009,0.312919018,0.335338334,0.335338334,Aggregate bankcard actual payment for month 8,0
agg809__tu,float64,0.003486936,-6,127378,127384,305.0384745,34.7961424,-1,-2,4320,0.002063655,0.769750541,0.047061369,4.78E-07,0.089278404,0.313432593,0.335550074,0.335550074,Aggregate bankcard actual payment for month 9,0
agg810__tu,float64,0.003486936,-6,52174,52180,294.9741117,35.46093219,-1,-2,4369,0.002087062,0.770854501,0.047061369,4.78E-07,0.088724274,0.313646569,0.335640887,0.335640887,Aggregate bankcard actual payment for month 10,0
agg907__tu,float64,0.003486936,-6,614685,614691,4609.330023,1350.6661,-1,-1,34332,0.016400326,0.529970053,0.047061369,4.78E-07,0.059732785,0.35321901,0.35321901,0.339566303,Max aggregate bankcard balance over last 3 months,0
