feature,dtype,propna,min,max,range,std,mean,median,mode,n_unique,prop_unique,prop_negative,prop_min,prop_max,prop_zero,mean_target_25,mean_target_50,mean_target_75,description,auto_flag
linkf011__tu,float64,0.992677196,0,12213,12213,591.9384219,457.4360658,300,0,1798,0.116882273,0,0.105831112,6.50E-05,0.105831112,0.433766234,0.441871982,0.442326025,Amount of NSF within last 3 months,0
fltmaintenanceagreement__app,float64,0.989808626,0,2800,2800,148.4418508,71.34761269,0,0,346,0.016161427,0,0.532953431,4.67E-05,0.532953431,0.226643295,0.226643295,0.197431129,Maintenance Agreement,0
linkf012__tu,float64,0.987165218,0,17040,17040,743.8539694,536.4237816,312,0,2484,0.092129664,0,0.097433425,3.71E-05,0.097433425,0.430518519,0.4346151,0.435765775,Amount of NSF within last 6 months,0
linkf080__tu,float64,0.986475448,0,67431,67431,2247.876352,700.8664602,0,0,3413,0.120129527,0,0.564464468,7.04E-05,0.564464468,0.384548232,0.384548232,0.394546649,Total amount past due within last 12 months (excluding collection),0
defaultamount__app,float64,0.985922774,0,34994.63,34994.63,6321.649059,14734.52325,15425.55,30000,23808,0.805085892,0,3.38E-05,3.38E-05,3.38E-05,0.63235493,0.659339916,0.708643311,Default Amount,0
chargeoffamount__app,float64,0.985922774,-5312.41,34578.72,39891.13,5142.937801,10123.25445,9872.47,30000,23814,0.805288787,0.001690789,3.38E-05,3.38E-05,0,0.708913837,0.722845935,0.726047162,Charge off amount,0
linkf013__tu,float64,0.982001697,0,25480,25480,875.5614961,587.7902616,335,0,2999,0.079319739,0,0.097754503,2.64E-05,0.097754503,0.435016338,0.433046326,0.432336258,Amount of NSF within last 9 months,0
linkf008__tu,float64,0.977203768,0,67080,67080,983.6332129,628.560015,350,0,3398,0.070957234,0,0.093885733,2.09E-05,0.093885733,0.432232913,0.431317765,0.432011134,Amount of NSF within last 12 months,0
linkf009__tu,float64,0.968599485,0,129290,129290,1302.089213,699.259115,377,0,4102,0.062186377,0,0.090080803,1.52E-05,0.090080803,0.429072439,0.430440313,0.430527783,Amount of NSF within last 18 months,0
linkf010__tu,float64,0.961030572,0,307320,307320,1882.946048,756.139367,405,0,4601,0.056203657,0,0.086278294,1.22E-05,0.086278294,0.42856446,0.429614842,0.426459093,Amount of NSF within last 24 months,0
linkf049__tu,float64,0.955939407,0,12457,12457,299.4433651,351.5703127,300,300,1658,0.017913092,0,0.002150003,2.16E-05,0.002150003,0.424426888,0.40044985,0.390685491,Last payment amount STOREFRONT LENDER,0
linkf135__tu,float64,0.919997544,1,172202,172201,3258.875941,1470.012091,693,300,9679,0.057592184,0,0.000113054,5.95E-06,0,0.420159681,0.417809441,0.412950359,Total balance of open trades (including collection),0
linkf014__tu,float64,0.917905858,0,366430,366430,1891.712801,915.1460091,500,0,6680,0.038734742,0,0.091055638,5.80E-06,0.091055638,0.402210431,0.406150974,0.40664343,Amount of NSF within last 7 years,0
fltlicensefee__app,float64,0.906426816,0,2254,2254,120.6072705,133.0131048,102.5,33.5,11568,0.058849564,0,0.004919392,5.09E-06,0.004919392,0.177092949,0.186549434,0.197166924,License fee,0
fltdocumentfee__app,float64,0.906031709,0,2000,2000,185.9103071,319.8086927,250,250,7499,0.037989048,0,0.004483305,5.07E-06,0.004483305,0.19899127,0.195213519,0.193422632,Doc Fee,0
linkf034__tu,float64,0.898528965,0,14848,14848,296.2064937,285.1728561,200,300,2110,0.009898668,0,0.000886658,4.69E-06,0.000886658,0.393682922,0.389318857,0.381976101,Last payment amount ONLINE LENDER,0
linkf033__tu,float64,0.866295393,0,14848,14848,298.1118577,300.1324406,229,300,2219,0.007900368,0,0.001164227,3.56E-06,0.001164227,0.400776666,0.393057246,0.383865215,Last payment amount,0
linkb004__tu,float64,0.832574221,0,99999999,99999999,352234.566,88401.01502,49253,0,85886,0.244194808,0,0.0028404,1.14E-05,0.0028404,0.253558436,0.238263124,0.232066295,Total assessed value of the parcel's land and improvement values as provided by the county or local taxing/assessment authority,0
linkd007__tu,float64,0.818791183,-69.03,1002.54,1071.57,12.45304244,1.407325417,0,0,2916,0.007660279,5.25E-06,2.63E-06,5.25E-06,0.97665664,0.299302546,0.299302546,0.299302546,Total dollar amount sent to collections for club/subscriptions in the last 5 years,0
linkd014__tu,float64,0.818791183,0,81907,81907,586.820406,154.3900013,20,0,48808,0.128217724,0,0.415134042,2.63E-06,0.415134042,0.305536396,0.304498949,0.300917997,Total dollar amount of transactions placed in the last 5 years,0
linkf060__tu,float64,0.776817991,0,46070,46070,161.2198392,11.06508218,0,0,1611,0.003436155,0,0.98382597,2.13E-06,0.98382597,0.391546975,0.391546975,0.391546975,"Total dollar amount of closed delinquent, return and collection trade segments within last 12 months STOREFRONT LENDER",0
linkf045__tu,float64,0.765655511,0,21660,21660,321.4341064,50.46087343,0,0,3482,0.00707311,0,0.952109237,2.03E-06,0.952109237,0.391211215,0.391211215,0.391211215,"Total dollar amount of closed delinquent, return and collection trade segments within last 12 months ONLINE LENDER",0
linkf124__tu,float64,0.726276695,0,172202,172202,1820.607623,338.6480705,0,0,9244,0.016076242,0,0.796909619,1.74E-06,0.796909619,0.296922295,0.296922295,0.296922295,Total balance of open trades (excluding collection),0
linkf048__tu,float64,0.710224411,0,172202,172202,1510.761581,303.3096064,0,0,12759,0.020959997,0,0.766709762,1.64E-06,0.766709762,0.396595389,0.396595389,0.396595389,Total balance on open or collection trade segments ONLINE LENDER,0
linkf079__tu,float64,0.700848956,0,172202,172202,1816.955311,427.0051478,0,0,9789,0.015577013,0,0.701697575,1.59E-06,0.701697575,0.392904199,0.392904199,0.394808374,Total balance on open or collection trade segments,0
linkf211__tu,float64,0.635546852,0,37800,37800,578.3372709,112.0020408,0,0,6946,0.009072552,0,0.908971455,1.31E-06,0.908971455,0.386909877,0.386909877,0.386909877,Total Good ACH amount in last 6 Months,0
linkf199__tu,float64,0.635546852,0,125610,125610,3121.332801,998.7774106,0,0,48073,0.062790783,0,0.65537757,1.31E-06,0.65537757,0.394217566,0.394217566,0.395831156,Total Good ACH amount,0
linkf208__tu,float64,0.635544947,0,17040,17040,169.1563132,18.6072745,0,0,2902,0.003790442,0,0.968546649,1.31E-06,0.968546649,0.384634991,0.384634991,0.384634991,Total Bad ACH amount in last 6 Months,0
linkf207__tu,float64,0.635544947,0,34119,34119,332.3857389,56.95474424,0,0,4577,0.00597824,0,0.934615535,1.31E-06,0.934615535,0.386535691,0.386535691,0.386535691,Total Good ACH amount in last 3 Months,0
linkf132__tu,float64,0.635544947,0,999999.99,999999.99,9973.548411,3202.200121,2500.33,0,48903,0.063874558,0,0.134116587,3.00E-05,0.134116587,0.396542455,0.39351348,0.391035597,Consumer-stated income included in most recent inquiry,0
linkf212__tu,float64,0.635544947,0,366430,366430,971.125398,203.8602684,0,0,21167,0.027647236,0,0.797631954,1.31E-06,0.797631954,0.381807017,0.381807017,0.381807017,Total Bad ACH amount,0
linkf204__tu,float64,0.635544947,0,12213,12213,103.4557768,8.93073894,0,0,1973,0.00257703,0,0.982391818,1.31E-06,0.982391818,0.385209186,0.385209186,0.385209186,Total Bad ACH amount in last 3 Months,0
linkf203__tu,float64,0.635544947,0,7804,7804,133.2962567,19.11580478,0,0,2415,0.003154348,0,0.958298612,1.31E-06,0.958298612,0.386485717,0.386485717,0.386485717,Total Good ACH amount in last 1 Month,0
linkf200__tu,float64,0.635544947,0,8125,8125,49.58080564,2.664980016,0,0,1097,0.001432844,0,0.993423545,1.31E-06,0.993423545,0.385823883,0.385823883,0.385823883,Total Bad ACH amount in last 1 Month,0
linkf076__tu,float64,0.635544947,0,46070,46070,293.115102,39.22227113,0,0,3674,0.004798788,0,0.960127219,1.31E-06,0.960127219,0.38401922,0.38401922,0.38401922,"Total dollar amount of return, collection, and closed delinquent trade segments within last 12 months",0
linkf063__tu,float64,0.488631398,0,66251,66251,379.8466822,56.77569453,0,0,10187,0.009483063,0,0.918780039,9.31E-07,0.918780039,0.350586941,0.350586941,0.350586941,Total balance on open or collection trade segments STOREFRONT LENDER,0
fltacquisitionfee__app,float64,0.478437643,0,6724.86,6724.86,449.2440968,308.3859954,249,0,6979,0.006369764,0,0.363029996,9.13E-07,0.363029996,0.32713349,0.263798891,0.264548962,Acquisiton Fee,0
linka065__tu,float64,0.234429223,0,8891,8891,28.64399387,0.85546718,0,0,1228,0.000763571,0,0.995887412,6.22E-07,0.995887412,0.343176498,0.343176498,0.343176498,Total amount of open (unpaid) non-sufficient funds in the last 2 years,0
linka066__tu,float64,0.234429223,0,9500,9500,33.5296878,1.106430318,0,0,1496,0.000930213,0,0.99457106,6.22E-07,0.99457106,0.342968624,0.342968624,0.342968624,Total amount of open (unpaid) non-sufficient funds in the last 3 years,0
linka082__tu,float64,0.234429223,0,8891,8891,26.74221172,0.893582267,0,0,1356,0.000843161,0,0.99457106,6.22E-07,0.99457106,0.342968624,0.342968624,0.342968624,Amount of largest open (unpaid) non-sufficient funds (single check),0
linka063__tu,float64,0.234429223,0,5577,5577,16.41630151,0.273774627,0,0,522,0.00032458,0,0.998734014,6.22E-07,0.998734014,0.34358301,0.34358301,0.34358301,Total amount of open (unpaid) non-sufficient funds in the last 6 months,0
linka074__tu,float64,0.234429223,0,1500,1500,3.848916065,0.046265,0,0,212,0.000131822,0,0.999639356,1.24E-06,0.999639356,0.343768836,0.343768836,0.343768836,Total amount of paid non-sufficient funds in the last 2 months,0
linka075__tu,float64,0.234429223,0,3200,3200,6.332252031,0.086225043,0,0,293,0.000182188,0,0.999392501,6.22E-07,0.999392501,0.343758555,0.343758555,0.343758555,Total amount of paid non-sufficient funds in the last 3 months,0
linka076__tu,float64,0.234429223,0,11598,11598,16.16383342,0.253071377,0,0,531,0.000330176,0,0.99860468,6.22E-07,0.99860468,0.34369289,0.34369289,0.34369289,Total amount of paid non-sufficient funds in the last 6 months,0
linka077__tu,float64,0.234429223,0,11598,11598,26.45983809,0.638334986,0,0,1067,0.000663461,0,0.996946338,6.22E-07,0.996946338,0.343582886,0.343582886,0.343582886,Total amount of paid non-sufficient funds in the last year,0
linka078__tu,float64,0.234429223,0,11598,11598,46.8729418,1.66253352,0,0,2953,0.001836177,0,0.992787115,6.22E-07,0.992787115,0.343372585,0.343372585,0.343372585,Total amount of paid non-sufficient funds in the last 2 years,0
linka079__tu,float64,0.234429223,0,17315,17315,66.49165788,2.886499201,0,0,5303,0.003297408,0,0.987938937,6.22E-07,0.987938937,0.343062468,0.343062468,0.343062468,Total amount of paid non-sufficient funds in the last 3 years,0
linka083__tu,float64,0.234429223,0,11598,11598,31.13732214,1.688325554,0,0,4531,0.002817378,0,0.987938937,6.22E-07,0.987938937,0.343062468,0.343062468,0.343062468,Amount of largest paid non-sufficient funds (single check),0
linka064__tu,float64,0.234429223,0,5577,5577,20.79736435,0.471597803,0,0,781,0.000485626,0,0.99775157,6.22E-07,0.99775157,0.343451428,0.343451428,0.343451428,Total amount of open (unpaid) non-sufficient funds in the last year,0
linka062__tu,float64,0.234429223,0,4742,4742,11.37274226,0.151396359,0,0,367,0.000228201,0,0.999251974,6.22E-07,0.999251974,0.343680578,0.343680578,0.343680578,Total amount of open (unpaid) non-sufficient funds in the last 3 months,0
linka013__tu,float64,0.234429223,0,776732,776732,1019.378536,186.5456133,0,0,141183,0.087787653,0,0.736002806,6.22E-07,0.736002806,0.316133633,0.316133633,0.317497876,Total dollar amount of unpaid checking account closures for cause in the last 4 years,0
linka061__tu,float64,0.234429223,0,3777,3777,9.532004425,0.109825162,0,0,302,0.000187784,0,0.999436649,6.22E-07,0.999436649,0.343709152,0.343709152,0.343709152,Total amount of open (unpaid) non-sufficient funds in the last 2 months,0
linka060__tu,float64,0.234429223,0,2871,2871,7.415234667,0.072302894,0,0,233,0.00014488,0,0.999634381,6.22E-07,0.999634381,0.343749397,0.343749397,0.343749397,Total amount of open (unpaid) non-sufficient funds in the last month,0
fltapprovedservicecontract__app,float64,0.214257356,0,99999,99999,547.9996483,120.1600693,0,0,3082,0.001867191,0,0.946034431,6.06E-07,0.946034431,0.332433149,0.332433149,0.332433149,Service Contract,0
fltservicecontract__app,float64,0.196497069,0,99999,99999,643.6042652,198.8743589,0,0,5652,0.003348506,0,0.900624261,5.92E-07,0.900624261,0.33594728,0.33594728,0.33594728,Service Contract,0
fltgapinsurance__app,float64,0.106814973,0,999999,999999,760.1584089,63.54084024,0,0,1936,0.001031811,0,0.906510751,5.33E-07,0.906510751,0.338984077,0.338984077,0.338984077,Gap Insurance,0
fltinsuredlifeamount__app,float64,0.105077931,0,4031,4031,20.81268118,0.374595595,0,0,575,0.000305857,0,0.999523926,1.06E-06,0.999523926,0.330666938,0.330666938,0.330666938,Insured Life Amount,0
fltapprovedpricewholesale__app,float64,0.094435278,0,770010200,770010200,562751.4185,9181.848646,9575,0,34542,0.018157847,0,0.433297693,5.26E-07,0.433297693,0.317349897,0.319286969,0.322830101,Wholesale Price,0
fltgrossmonthly__income_sum,float64,0.087829855,-1305,22532424,22533729,19645.29721,3440.729246,3000,3000,181925,0.094940805,1.57E-06,5.22E-07,5.22E-07,0.010367426,0.346192143,0.345769846,0.33896411,Gross Monthly,0
fltapproveddowntotal__app,float64,0.086831615,-37704,100000,137704,1687.403142,811.6592372,0,0,17785,0.009271273,0.027734583,5.21E-07,5.21E-07,0.508551622,0.311243807,0.311243807,0.320678542,Down Total,0
assetpropcurrenttaxtotal__ln,float64,0.069971981,-1,9999999,10000000,68579.16472,19270.92802,-1,-1,99468,0.050912419,0.757993518,0.757993518,2.56E-06,0.021827725,0.348118506,0.348118506,0.348118506,The total sum of tax assessed values for all real property currently owned by the subject based on real property ownership records on subject's file,0
assetpropnewestsaleprice__ln,float64,0.069971981,-1,9999999,10000000,70740.76024,11311.65192,-1,-1,32747,0.016761461,0.923588377,0.923588377,1.84E-05,0,0.332733695,0.332733695,0.332733695,Subject's most recent real property sale price based on real property ownership records on file,0
addrinputavmvalue60month__ln,float64,0.069971981,-1,9999999,10000000,109745.8934,54049.06538,-1,-1,209153,0.107054381,0.573253526,0.573253526,8.19E-06,0,0.336472406,0.336472406,0.337842366,Indicates input address AVM value on file 60 months ago,0
addrinputavmvalue12month__ln,float64,0.069971981,-1,9999999,10000000,158063.2527,68675.35303,-1,-1,235931,0.120760625,0.517376701,0.517376701,3.53E-05,0,0.339072005,0.339072005,0.337441078,Indicates input address AVM value on file 12 months ago,0
addrinputavmvalue__ln,float64,0.069971981,-1,9999999,10000000,193626.5629,78320.3145,9018.5,-1,262769,0.134497581,0.496749258,0.496749258,7.93E-05,0,0.339826873,0.340088693,0.33719355,Indicates input address estimated market value on file based on LexisNexis Automated Valuation Model (AVM) electronic property appraisal technology ,0
addrinputtaxmarketvalue__ln,float64,0.069971981,-1,9999999,10000000,48616.90015,12636.4581,0,0,52318,0.026778823,0.006255285,0.006255285,1.02E-06,0.891897356,0.337389613,0.337389613,0.337389613,Indicates input address tax assessed market value on file,0
addrinputtaxvalue__ln,float64,0.069971981,-1,7770000,7770001,41626.3135,9521.861995,0,0,59464,0.030436483,0.006255285,0.006255285,5.12E-07,0.878880058,0.339079602,0.339079602,0.339079602,Indicates the most recent tax assessed value on file for the input address,0
addrinputlastsaleprice__ln,float64,0.069971981,-1,9999999,10000000,67209.076,10265.40524,-1,-1,15419,0.007892172,0.923211145,0.923211145,1.64E-05,0,0.335473766,0.335473766,0.335473766,Indicates last recorded sale price on file for the input address,0
addrcurrentavmvalue60month__ln,float64,0.069971981,-1,9999999,10000000,99572.67948,56253.5925,-1,-1,218601,0.111890313,0.551635147,0.551635147,2.56E-06,0,0.337668664,0.337668664,0.338376504,Indicates AVM value 60 months ago for the current address on subject's file,0
addrcurrentavmvalue12month__ln,float64,0.069971981,-1,9999999,10000000,142063.8354,70592.92278,10983,-1,246106,0.125968671,0.494176202,0.494176202,2.20E-05,0,0.340377182,0.34075712,0.337889216,Indicates AVM value 12 months ago for the current address on subject's file,0
addrcurrentavmvalue__ln,float64,0.069971981,-1,9999999,10000000,175572.1041,80129.20381,21300,-1,273165,0.139818745,0.473337879,0.473337879,6.19E-05,0,0.341397373,0.343040676,0.337647634,Indicates the estimated market value based on LexisNexis Automated Valuation Model (AVM) electronic property appraisal technology for the current address on subject's file,0
addrcurrenttaxmarketvalue__ln,float64,0.069971981,-1,9999999,10000000,50327.75813,13134.67567,0,0,54359,0.027823503,0.005640044,0.005640044,2.05E-06,0.889193267,0.337530309,0.337530309,0.337530309,Indicates tax assessed market value for the current address on subject's file,0
addrcurrenttaxvalue__ln,float64,0.069971981,-1,7770000,7770001,42546.28099,9903.177898,0,0,61584,0.031521599,0.005640044,0.005640044,5.12E-07,0.875696368,0.339278019,0.339278019,0.339278019,Indicates the most recent tax assessed value for the current address on subject's file,0
addrcurrentlastsalesprice__ln,float64,0.069971981,-1,9999999,10000000,72666.24519,10652.05192,-1,-1,15846,0.008110731,0.920988193,0.920988193,2.00E-05,0,0.335604349,0.335604349,0.335604349,Indicates the last recorded sale price for the current address on subject's file,0
lienjudgmentdollartotal__ln,float64,0.069971981,-1,9999999,10000000,31470.41331,2268.130329,0,0,41108,0.021041015,0.005640044,0.005640044,2.56E-06,0.727979309,0.325912349,0.325912349,0.326065133,"Total dollar amount of all liens and judgments on subject's file, excluding evictions",0
purchaseactivitydollartotal__ln,float64,0.069057523,-1,47384,47385,205.1055676,15.56078121,-1,-1,3571,0.001826011,0.943812451,0.943812451,5.11E-07,0.000335442,0.329994306,0.329994306,0.329994306,"Total dollar amount of all retail, offline, and/or online purchases on subject's file",0
fltinsureddisabilityamount__app,float64,0.068426304,0,2252.22,2252.22,12.61475052,0.124494707,0,0,176,8.99E-05,0,0.999881448,5.11E-07,0.999881448,0.327602323,0.327602323,0.327602323,Insured Disability Amount,0
fltdowncash__app,float64,0.068426304,-6700,34500,41200,380.6887436,70.51972316,0,0,2745,0.001402689,2.55E-06,5.11E-07,5.11E-07,0.937738987,0.336402891,0.336402891,0.336402891,Cash Down,0
flttaxgrossreceipts__app,float64,0.068426304,0,4329.87,4329.87,346.5552631,105.5747056,0,0,79711,0.040732158,0,0.903411678,1.02E-06,0.903411678,0.341838166,0.341838166,0.341838166,Tax Amount,0
fltallowance__app,float64,0.068426304,-14100,21000,35100,337.4409841,-1.150736736,0,0,7487,0.003825842,0.004816156,5.11E-07,1.02E-06,0.983816695,0.329687137,0.329687137,0.329687137,Allowance ,0
fltapprovedpayment__app,float64,0.008067795,-201996.15,450475,652471.15,672.992454,251.1791174,268,0,57076,0.027391002,0.003171686,9.60E-07,4.80E-07,0.40339964,0.368462676,0.362923032,0.336016739,Payment,0
se101s__tu,float64,0.003486936,-5,1697249,1697254,5245.263453,803.2006159,-1,-1,28853,0.013783019,0.801986555,0.000294262,4.78E-07,0.041341892,0.31856257,0.31856257,0.31856257,Total balance of all secured installment trades verified in past 12 months (BKAGBAL),0
jt44s__tu,float64,0.003486936,-4,2090950,2090954,6160.175854,952.8470812,0,-1,28965,0.013836521,0.496165757,0.047015988,9.55E-07,0.37619526,0.345843683,0.31888749,0.31888749,Total past due amount of joint trades,0
jt28s__tu,float64,0.003486936,-5,26519545,26519550,50959.71714,11235.72809,-1,-1,101287,0.048384593,0.771646047,0.000501105,4.78E-07,0.000102227,0.313022722,0.331350679,0.331350679,Total credit line of open joint trade verified in the past 12 months,0
jt33s__tu,float64,0.003486936,-4,3217203,3217207,42451.97915,11119.66436,-1,-1,110413,0.052744064,0.647333753,0.047015988,4.78E-07,0.062827313,0.336238138,0.336238138,0.328372716,Total balance of joint trades in the last 12 months,0
se57s__tu,float64,0.003486936,-5,440831,440836,495.5075971,11.03542274,-1,-1,3245,0.00155013,0.890524527,3.92E-05,4.78E-07,0.093487878,0.325055715,0.320981118,0.320981118,Total past due amount of open secured installment trades verified in past 12 months,0
us57s__tu,float64,0.003486936,-5,51500,51505,185.7345536,10.73400058,-1,-1,3292,0.001572582,0.891965264,2.20E-05,4.78E-07,0.091433299,0.318280329,0.321887237,0.321887237,Total past due amount of open unsecured installment trades verified in past 12 months,0
us28s__tu,float64,0.003486936,-5,500000,500005,2823.546891,529.2676083,-1,-1,20562,0.009822425,0.892063669,0.00012038,4.78E-07,0.000102227,0.318232288,0.321872614,0.321872614,Total credit line of open unsecured installment trades verified in past 12 months,0
us32s__tu,float64,0.003486936,-4,485581,485585,1914.685148,359.7195841,-1,-1,18241,0.008713688,0.89194329,0.047015988,4.78E-07,0.000102227,0.318274251,0.321885527,0.321885527,Maximum balance owed on open unsecured installment trades verified in past 12 months,0
us33s__tu,float64,0.003486936,-4,485581,485585,2267.555481,413.089501,-1,-1,20654,0.009866374,0.89194329,0.047015988,4.78E-07,0.000102227,0.318274251,0.321885527,0.321885527,Total balance of open unsecured installment trades verified in past 12 months,0
us101s__tu,float64,0.003486936,-5,485581,485586,2667.746947,582.7728704,-1,-1,22837,0.010909188,0.799299026,0.000144742,4.78E-07,0.041503831,0.321051905,0.321051905,0.321051905,Total balance of all unsecured installment trades verified in past 12 months (BKAGBAL),0
se28s__tu,float64,0.003486936,-5,2732782,2732787,6381.410706,839.3193549,-1,-1,30606,0.014620424,0.890496343,1.10E-05,4.78E-07,0.000102227,0.325050936,0.320979475,0.320979475,Total credit line of open secured installment trades verified in past 12 months,0
se32s__tu,float64,0.003486936,-4,1697249,1697253,4435.762165,585.3641749,-1,-1,25058,0.011970155,0.890485355,0.047015988,4.78E-07,0.000102227,0.325051742,0.32097968,0.32097968,Maximum balance owed on open secured installment trades verified in past 12 months,0
se33s__tu,float64,0.003486936,-4,1697249,1697253,4980.331686,647.384672,-1,-1,27021,0.012907876,0.890485355,0.047015988,4.78E-07,0.000102227,0.325051742,0.32097968,0.32097968,Total balance of open secured installment trades verified in past 12 months,0
rets104__tu,float64,0.003486936,-6,150571,150577,400.1477448,34.68260363,-1,-2,5050,0.002412375,0.797964338,0.047061369,4.78E-07,0.054172859,0.318383808,0.338805355,0.338805355,Aggregate Retail Spend for Month M = 04,0
rets105__tu,float64,0.003486936,-6,119138,119144,374.5558709,34.68536711,-1,-2,5067,0.002420496,0.800203308,0.047061369,4.78E-07,0.054379224,0.318642622,0.338886554,0.338886554,Aggregate Retail Spend for Month M = 05,0
rets106__tu,float64,0.003486936,-6,98050,98056,386.847597,35.06407458,-1,-2,5019,0.002397566,0.802847366,0.047061369,4.78E-07,0.055359938,0.318684039,0.338842085,0.338842085,Aggregate Retail Spend for Month M = 06,0
rets107__tu,float64,0.003486936,-6,230058,230064,425.8094038,32.47996654,-1,-2,4867,0.002324956,0.804511188,0.047061369,4.78E-07,0.056289538,0.318905208,0.338919165,0.338919165,Aggregate Retail Spend for Month M = 07,0
rets108__tu,float64,0.003486936,-6,120908,120914,377.4549954,33.21483032,-1,-2,4848,0.00231588,0.805403528,0.047061369,4.78E-07,0.056192088,0.318789662,0.338834882,0.338834882,Aggregate Retail Spend for Month M = 08,0
rets109__tu,float64,0.003486936,-6,97126,97132,364.1155637,35.14855021,-1,-2,5034,0.002404732,0.807302855,0.047061369,4.78E-07,0.056201642,0.318693524,0.338735942,0.338735942,Aggregate Retail Spend for Month M = 09,0
rets110__tu,float64,0.003486936,-6,300001,300007,495.2476119,32.19056996,-1,-2,4867,0.002324956,0.80892464,0.047061369,4.78E-07,0.057014206,0.318728588,0.338714678,0.338714678,Aggregate Retail Spend for Month M = 10,0
rets111__tu,float64,0.003486936,-6,250000,250006,407.897715,32.51019479,-1,-2,4900,0.00234072,0.809496922,0.047061369,4.78E-07,0.056783956,0.318846821,0.338764377,0.338764377,Aggregate Retail Spend for Month M = 11,0
rets112__tu,float64,0.003486936,-6,129665,129671,423.1761777,34.0878883,-1,-2,4981,0.002379414,0.81113256,0.047061369,4.78E-07,0.056244157,0.318791574,0.338694337,0.338694337,Aggregate Retail Spend for Month M = 12,0
rets113__tu,float64,0.003486936,-6,155316,155322,393.789902,31.40393184,-1,-2,4777,0.002281963,0.812065026,0.047061369,4.78E-07,0.056845101,0.31899231,0.338780144,0.338780144,Aggregate Retail Spend for Month M = 13,0
rets114__tu,float64,0.003486936,-6,111404,111410,374.3287933,31.45644135,-1,-2,4722,0.00225569,0.812797815,0.047061369,4.78E-07,0.056490172,0.318530862,0.338512327,0.338512327,Aggregate Retail Spend for Month M = 14,0
rets115__tu,float64,0.003486936,-6,159425,159431,394.0961296,33.41297991,-1,-2,4877,0.002329733,0.814387594,0.047061369,4.78E-07,0.056041136,0.31844863,0.338428699,0.338428699,Aggregate Retail Spend for Month M = 15,0
rets116__tu,float64,0.003486936,-6,79356,79362,375.0392083,30.92200817,-1,-2,4732,0.002260467,0.815029142,0.047061369,4.78E-07,0.056601475,0.318508348,0.338445398,0.338445398,Aggregate Retail Spend for Month M = 16,0
rets117__tu,float64,0.003486936,-6,180500,180506,393.509043,31.55688212,-1,-2,4783,0.002284829,0.815992659,0.047061369,4.78E-07,0.056098459,0.318556352,0.338447948,0.338447948,Aggregate Retail Spend for Month M = 17,0
rets118__tu,float64,0.003486936,-6,78176,78182,351.4316999,31.95853247,-1,-2,4836,0.002310147,0.817279577,0.047061369,4.78E-07,0.055929354,0.318434788,0.338350466,0.338350466,Aggregate Retail Spend for Month M = 18,0
rets119__tu,float64,0.003486936,-6,135486,135492,384.6129754,29.95149264,-1,-2,4685,0.002238015,0.817701384,0.047061369,4.78E-07,0.056355461,0.318419576,0.33833191,0.33833191,Aggregate Retail Spend for Month M = 19,0
rets120__tu,float64,0.003486936,-6,152365,152371,384.1015708,30.79963246,-1,-2,4649,0.002220818,0.818367773,0.047061369,4.78E-07,0.056104669,0.318451507,0.338333093,0.338333093,Aggregate Retail Spend for Month M = 20,0
rets121__tu,float64,0.003486936,-6,109624,109630,399.3622053,33.18503869,-1,-2,4824,0.002304415,0.819524757,0.047061369,9.55E-07,0.055985723,0.318357163,0.338253561,0.338253561,Aggregate Retail Spend for Month M = 21,0
rets122__tu,float64,0.003486936,-6,79473,79479,376.1738316,30.14391081,-1,-2,4676,0.002233716,0.820227929,0.047061369,4.78E-07,0.056724244,0.318550676,0.338342138,0.338342138,Aggregate Retail Spend for Month M = 22,0
rets123__tu,float64,0.003486936,-6,1800323,1800329,1318.212937,31.68441506,-1,-2,4756,0.002271931,0.820843204,0.047061369,4.78E-07,0.056733798,0.318500288,0.33829978,0.33829978,Aggregate Retail Spend for Month M = 23,0
rets124__tu,float64,0.003486936,-6,107650,107656,410.5175498,32.22545242,-1,-2,4841,0.002312536,0.822125345,0.047061369,4.78E-07,0.05636597,0.31849513,0.338266081,0.338266081,Aggregate Retail Spend for Month M = 24,0
rets901__tu,float64,0.003486936,-6,164340,164346,769.3311071,113.4852838,-1,-1,8629,0.004122056,0.774796465,0.047061369,4.78E-07,0.043302364,0.318251172,0.339347127,0.339347127,Aggregate Retail Monthly Spend over last 3 Months,0
rets902__tu,float64,0.003486936,-6,166055,166061,1181.798715,222.1988714,-1,-1,11986,0.005725688,0.758680369,0.047061369,4.78E-07,0.040061661,0.319345661,0.340352386,0.340352386,Aggregate Retail Monthly Spend over last 6 Months,0
rets903__tu,float64,0.003486936,-6,311711,311717,1970.142871,430.4792003,-1,-1,17181,0.008207329,0.728567723,0.047061369,4.78E-07,0.038511531,0.320528351,0.341798652,0.338441745,Aggregate Retail Monthly Spend over last 12 Months,0
rets904__tu,float64,0.003486936,-6,300001,300007,1308.916953,213.7846179,-1,-1,11914,0.005691293,0.728567723,0.047061369,4.78E-07,0.038511531,0.320528351,0.341798652,0.338441745,Max Aggregate Retail Monthly Spend over last 12 Months,0
rets103__tu,float64,0.003486936,-6,90162,90168,399.4670165,37.5477557,-1,-2,5259,0.002512214,0.795333178,0.047061369,4.78E-07,0.053650257,0.318023042,0.338681109,0.338681109,Aggregate Retail Spend for Month M = 03,0
