,No,Yes,description
in09s__tu,1.5067448937788963,2.1590650868365526,Number of installment trades opened in past 24 months
rvlr73__tu,0.3095704400052226,0.42218694670004275,"Number of top five Bankcards that were never revolver, but transacted at least once in the past 6 months"
linka052__tu,0.5748896985349505,0.9686076230692299,Number of checking account inquiries in the last 2 years
bkc54__tu,1.9569379408452374,2.061373467916366,Number of Bankcard trades utilized more than 90% in the past 12 months
g208s__tu,75.0212562793208,83.70175438596492,Percentage of individual debt
agg414__tu,597.7981898334178,648.0446832920717,Aggregate non-mortgage actual payment for month 14
rev201__tu,4.128210636625622,4.444076974341886,Total Payment Ratio for Revolving accounts over the past 1 month
agg624__tu,3056.1508259275997,2557.806463735438,Aggregate bankcard credit line for month 24
se35s__tu,4908.41105233853,1923.6785625155976,Average balance of open secured installment trades verified in past 12 months
aggs911__tu,89.0703125,91.10901926444834,Current Utilization of top-of-wallet bankcard (highest annual spend).
rtl_trd__tu,1.855583712105976,1.6525393142562517,Number of retail trades
s071b__tu,1.6711431650501534,1.9849595063632857,Number of non-medical third party collections opened in past 36 months
agg911__tu,108.7261419414589,114.64052773589398,Max aggregate bankcard utilization over last 12 months
fi09s__tu,1.2033228378106786,1.4655311742400696,Number of finance installment trades opened in past 24 months
rtdex01__tu,137.0427180966114,140.9631469979296,Annual year-over-year retail spend index
g222s__tu,0.8748522099671218,1.157829839704069,"Number of trades prior 30 days past due, now current, verified in past 12 months"
at101b__tu,24051.596169987875,24548.969881715388,Total balance of all trades verified in past 12 months (excluding mortgage and home equity)
linka078__tu,0.17292102876293255,0.13323702633625958,Total amount of paid non-sufficient funds in the last 2 years
se29s__tu,1.1836024498886415,1.1966558522585475,Number of open secured installment trades with balance > $0 verified in past 12 months
agg211__tu,24579.623181634775,22603.012579536313,Aggregate non-mortgage credit line for month 11
s114s__tu,1.5164266139825378,1.846532163415861,Number of deduped inquiries in past 6 months (excluding auto and mortgage inquiries)
bc97b__tu,410.16772223994167,365.38655024110517,Total open to buy of closed credit cards verified in past 3 months
fi34s__tu,75.97096568349404,76.72234614879937,Utilization for open finance installment trades verified in past 12 months
linkt004__tu,1.0490053695388593,1.2230987367878319,Number of non-military non-corroborated addresses in last 5 years
jt28s__tu,44213.77711404189,30911.669240146282,Total credit line of open joint trade verified in the past 12 months
linkf111__tu,0.830926175664506,0.857302191313476,Number of lenders / locations with inquiries within last 6 months
fi01s__tu,3.761661504632423,3.880381541634442,Number of finance installment trades
st103s__tu,0.9249428260788063,1.378933983257391,Number of student loans in deferment
jt70s__tu,25.184692702334836,20.93638215983699,Ratio of dollars past due joint trades to total dollars past due trades
all231__tu,357.39780514571396,262.16511217544746,Aggregate Excess Payment for All accounts over the past 1 month
agg104__tu,22216.573744207763,19450.27762256916,Aggregate non-mortgage balances for month 4
g407s__tu,1.6873750184536511,2.255895738518825,Number of deduped finance inquiries
std255__tu,3905.578786241671,6343.818877551021,Average Aggregate Excess Payment for Student Loan accounts over the past 24 months
per204__tu,1.8542606907311538,1.961980174081238,Total Payment Ratio for Personal Loan accounts over the past 12 months
paymnt05__tu,2585.2236457032927,1843.5858469463838,Total amount of prepayments on installment loans last 12 months
bc108s__tu,16.727930912542575,18.15135711745881,Number of 90 or more days past due ratings on credit card trades
linkf068__tu,11.323639448383869,14.613698989633907,Number of inquiries all time
fi02s__tu,0.6588396864741743,0.6668117113196992,Number of open finance installment trades
rvlr08__tu,0.5418664080132809,0.469559902200489,Number of bankcard revolver trades over last 3 months
evictioncount__ln,0.08353074189727576,0.1505456086449836,Total eviction records on subject's file indicating the plaintiff has sought an eviction and does not necessarily mean the defendant has vacated the premises
linkb001__tu,1.7227529021558872,17.059938596491225,
fi12s__tu,1.384226705770114,1.3912532637075719,Number of open finance installment trades verified in past 12 months
us06s__tu,0.2685661056148015,0.3357502046544264,Number of unsecured installment trades opened in past 6 months
addrinputphonecount__ln,0.4024419794302945,0.47467683831320195,Total number of unique phone service listings on file currently reported with the input address
bi34s__tu,102.18955223880597,90.09234705745523,Utilization for open bank installment trades verified in past 12 months
linka012__tu,0.07738781533920583,0.1282920324480498,Number of unpaid checking account closures for cause in the last 2 years
sl06s__tu,0.07907742998352553,0.09513742071881606,
sl08s__tu,0.2355848434925865,0.34249471458773784,
sl09s__tu,0.37891268533772654,0.5623678646934461,
sl10s__tu,0.5436573311367381,0.7103594080338267,
sl11s__tu,0.8731466227347611,1.0021141649048626,
sl12s__tu,1.2454695222405272,1.346723044397463,
sl13s__tu,1.6441515650741352,1.7885835095137421,
sl14s__tu,5.9235537190082646,6.14004914004914,
sl15s__tu,6.295454545454546,6.319410319410319,
sl16s__tu,6.31198347107438,6.3316953316953315,
sl17s__tu,6.31198347107438,6.341523341523342,
sl18s__tu,6.322314049586777,6.356265356265356,
sl19s__tu,6.3264462809917354,6.356265356265356,
sl20s__tu,6.3264462809917354,6.356265356265356,
sl21s__tu,6.3264462809917354,6.356265356265356,
sl23s__tu,5.11344537815126,5.1905940594059405,
sl07s__tu,0.1416803953871499,0.18181818181818182,
scg071s__tu,0.22900763358778625,0.2095730918499353,
scg041c__tu,0.4580152671755725,0.36998706338939197,
scg042c__tu,0.40458015267175573,0.33247089262613194,
scg043c__tu,0.2824427480916031,0.2742561448900388,
scg044c__tu,0.24427480916030533,0.2535575679172057,
sc211s__tu,215.06666666666666,214.8241134751773,
sc212s__tu,218.49333333333334,305.36028368794325,
sc213s__tu,762.3714285714286,1777.7777777777778,
sl22s__tu,5.0,5.209183673469388,
sc215s__tu,37.34285714285714,15.82258064516129,
sc216s__tu,37.34285714285714,20.591397849462364,
sl00s__tu,16.91499227202473,17.474890829694324,
sl01s__tu,4.055727554179566,4.391921397379913,
sl02s__tu,4.525,4.869565217391305,
sl03s__tu,5.070247933884297,5.186732186732187,
sl04s__tu,0.016474464579901153,0.0,
sl05s__tu,0.5483870967741935,0.42857142857142855,
sc214s__tu,762.3714285714286,2000.5878136200718,
sl47s__tu,2.253706754530478,2.3446088794926006,
sl48s__tu,2.2405271828665567,2.3382663847780125,
sl49s__tu,2.0049423393739705,2.0845665961945032,
sl50s__tu,0.7973640856672158,0.7315010570824524,
sl51s__tu,6.377870563674321,6.347290640394089,
sl52s__tu,0.18888888888888888,0.11670480549199085,
sl53s__tu,0.2328519855595668,0.12641083521444696,
sl54s__tu,0.5115452930728241,0.39555555555555555,
scg076s__tu,0.20610687022900764,0.20310478654592498,
sl56s__tu,6.3036093418259025,6.320707070707071,
sl57s__tu,6.304535637149028,6.300771208226221,
sl58s__tu,6.211790393013101,6.227513227513228,
sl59s__tu,6.150776053215077,6.18010752688172,
sl60s__tu,0.0007727975270479134,0.0,
sl61s__tu,98.580375782881,98.32673267326733,
sl62s__tu,96.61169102296451,96.29207920792079,
sl63s__tu,119.02296450939457,117.77722772277228,
sl55s__tu,6.299163179916318,6.310173697270471,
sl24s__tu,5.0897703549060545,5.172413793103448,
sl25s__tu,5.0897703549060545,5.177339901477833,
sl26s__tu,5.079002079002079,5.179361179361179,
sl27s__tu,5.083160083160083,5.179361179361179,
sl28s__tu,5.083160083160083,5.179361179361179,
sl29s__tu,5.083160083160083,5.179361179361179,
sl35s__tu,14292.167014613779,10990.576354679803,
sl36s__tu,1359.787234042553,777.2045454545455,
sl46s__tu,2.2553542009884677,2.3446088794926006,
sl38s__tu,2.262962962962963,2.0068649885583523,
sl39s__tu,2.3140794223826715,2.0022573363431153,
sl40s__tu,2.7815275310834813,2.546666666666667,
sl41s__tu,21840.19832985386,16445.399014778326,
sl42s__tu,608.326194398682,582.4862579281184,
sl43s__tu,2.330578512396694,1.5061425061425062,
