bigAccountId,DQ15_2
1351139,0
1351148,0
1351153,0
1351164,0
1351202,0
1351205,0
1351216,0
1351245,0
1351262,0
1351309,0
1351343,0
1351356,0
1351358,0
1351365,0
1351371,0
1351377,0
1351380,0
1351389,0
1351400,0
1351454,0
1351467,0
1351524,0
1351562,0
1351564,0
1351570,0
1351591,0
1351596,0
1351625,0
1351657,0
1351662,0
1351667,1
1351672,0
1351687,0
1351693,0
1351694,0
1351715,0
1351730,0
1351754,0
1351763,0
1351793,0
1351808,0
1351820,0
1351821,0
1351836,0
1351844,0
1351849,0
1351854,1
1351858,0
1351871,0
1351899,0
1351919,0
1351925,0
1351927,0
1351941,1
1351973,0
1351986,0
1351991,0
1352007,0
1352025,0
1352029,0
1352058,0
1352109,0
1352150,0
1352162,0
1352167,0
1352195,0
1352211,0
1352231,0
1352237,0
1352265,0
1352272,0
1352294,0
1352308,0
1352319,0
1352359,0
1352385,0
1352400,0
1352416,0
1352432,0
1352465,0
1352467,0
1352474,0
1352513,0
1352536,0
1352537,0
1352561,0
1352573,0
1352593,0
1352603,0
1352607,0
1352647,0
1352678,0
1352681,0
1352689,0
1352690,0
1352696,0
1352723,0
1352754,0
1352783,0
1352786,0
1352790,0
1352799,0
1352839,0
1352841,0
1352862,0
1352907,0
1352928,0
1352947,0
1352962,0
1352990,0
1353013,0
1353054,0
1353058,0
1353060,0
1353077,0
1353169,0
1353173,0
1353220,0
1353235,0
1353275,0
1353277,0
1353281,0
1353287,0
1353291,0
1353304,0
1353310,0
1353347,0
1353418,0
1353438,0
1353448,0
1353491,0
1353513,0
1353517,0
1353554,0
1353562,0
1353571,0
1353577,0
1353583,0
1353620,0
1353632,0
1353654,0
1353677,0
1353693,0
1353720,0
1353734,0
1353742,0
1353746,0
1353767,0
1353775,0
1353792,0
1353803,0
1353811,0
1353872,0
1353873,0
1353882,1
1353906,0
1353941,1
1353947,0
1353968,0
1354011,0
1354023,0
1354024,0
1354034,0
1354039,0
1354060,0
1354065,0
1354072,0
1354080,0
1354086,0
1354108,0
1354110,0
1354111,0
1354120,0
1354127,0
1354147,0
1354183,0
1354185,0
1354241,0
1354244,0
1354246,0
1354267,0
1354284,0
1354311,0
1354318,0
1354325,0
1354348,0
1354375,0
1354400,0
1354415,0
1354439,0
1354495,0
1354515,0
1354535,0
1354543,0
1354549,0
1354552,0
1354568,0
1354578,0
1354596,0
1354614,0
1354654,0
1354676,0
1354698,0
1354705,0
1354713,0
1354717,0
1354731,0
1354764,0
1354771,0
1354803,0
1354821,0
1354841,0
1354842,0
1354868,0
1354930,0
1354937,0
1354939,0
1354942,0
1354965,0
1354976,0
1354985,0
1354986,0
1355054,0
1355069,0
1355074,0
1355083,0
1355094,0
1355115,0
1355135,0
1355162,0
1355192,0
1355194,0
1355215,0
1355218,0
1355236,0
1355251,0
1355259,0
1355261,0
1355262,0
1355265,0
1355276,0
1355278,0
1355293,1
1355319,0
1355333,0
1355336,0
1355353,0
1355361,0
1355379,0
1355381,1
1355421,0
1355433,0
1355487,0
1355496,0
1355511,0
1355525,0
1355533,0
1355565,0
1355591,0
1355595,0
1355622,0
1355629,0
1355647,0
1355655,0
1355664,0
1355670,0
1355683,0
1355707,0
1355720,0
1355744,0
1355755,0
1355758,0
1355768,0
1355793,0
1355802,0
1355814,1
1355853,0
1355874,0
1355891,0
1355901,0
1355940,0
1355947,0
1355992,0
1356036,0
1356091,0
1356099,0
1356130,0
1356138,0
1356143,0
1356166,0
1356196,0
1356197,0
1356208,0
1356213,0
1356215,0
1356252,0
1356278,0
1356308,0
1356314,0
1356315,0
1356383,0
1356398,0
1356415,0
1356445,0
1356518,0
1356547,0
1356551,0
1356575,0
1356584,0
1356588,0
1356603,0
1356605,0
1356610,0
1356685,0
1356688,0
1356691,0
1356712,0
1356754,0
1356775,0
1356804,0
1356817,0
1356821,0
1356823,0
1356828,0
1356833,0
1356852,0
1356859,0
1356879,0
1356900,0
1356916,0
1356926,0
1356941,0
1356963,0
1356985,0
1357017,0
1357020,0
1357034,0
1357065,0
1357130,0
1357157,0
1357159,0
1357162,0
1357165,0
1357171,0
1357172,0
1357191,0
1357201,0
1357232,0
1357261,0
1357267,0
1357286,0
1357290,0
1357297,0
1357309,0
1357311,0
1357347,0
1357351,0
1357362,0
1357368,0
1357370,0
1357430,0
1357484,0
1357486,0
1357493,0
1357497,0
1357509,0
1357511,0
1357524,0
1357527,0
1357547,0
1357566,0
1357600,0
1357602,0
1357617,0
1357619,0
1357622,0
1357652,0
1357662,0
1357694,0
