indicator,mean_train_actual,mean_prod_actual,min_date,max_date,days_delinquent,days_total
DQ60_18,0.13406496094120623,0.4193470374848851,2021-10,2022-02,60,540
DQ60_19,0.14396407223504853,0.43748488512696493,2021-10,2022-02,60,570
DQ60_20,0.15465384737025206,0.4623941958887545,2021-10,2022-02,60,600
DQ60_21,0.16436319934216767,0.48125755743651755,2021-10,2022-02,60,630
DQ60_22,0.17454694961890002,0.4991535671100363,2021-10,2022-02,60,660
DQ60_23,0.18365539707138112,0.5102781136638452,2021-10,2022-02,60,690
DQ60_24,0.1924792055409722,0.5126964933494559,2021-10,2022-02,60,720
DQ90_4,0.0023403649704291725,0.06166868198307134,2021-10,2022-02,90,120
DQ90_5,0.007906638413612069,0.08657799274486094,2021-10,2022-02,90,150
DQ90_6,0.014706347449318449,0.113180169286578,2021-10,2022-02,90,180
DQ90_7,0.022739492077548308,0.143409915356711,2021-10,2022-02,90,210
DQ90_8,0.03080426325943262,0.16251511487303508,2021-10,2022-02,90,240
DQ90_9,0.038331383029191306,0.1717049576783555,2021-10,2022-02,90,270
DQ90_10,0.04370789715044752,0.17944377267230954,2021-10,2022-02,90,300
DQ90_11,0.04725007115974572,0.18960096735187423,2021-10,2022-02,90,330
DQ90_12,0.05107688415193396,0.20846432889963723,2021-10,2022-02,90,360
DQ90_13,0.058793763243619346,0.22660217654171705,2021-10,2022-02,90,390
DQ90_14,0.06717479996204813,0.25296251511487305,2021-10,2022-02,90,420
DQ90_15,0.07631487396818369,0.27327690447400244,2021-10,2022-02,90,450
DQ90_16,0.0843163920427591,0.2974607013301088,2021-10,2022-02,90,480
DQ90_17,0.09351971915620355,0.31535671100362755,2021-10,2022-02,90,510
DQ90_18,0.10250166039406686,0.335912938331318,2021-10,2022-02,90,540
DQ90_19,0.11157848129289351,0.3521160822249093,2021-10,2022-02,90,570
DQ90_20,0.12131945981846358,0.3671100362756953,2021-10,2022-02,90,600
DQ90_21,0.13001676207343685,0.3825876662636034,2021-10,2022-02,90,630
DQ90_22,0.1386191846674468,0.3980652962515115,2021-10,2022-02,90,660
DQ90_23,0.1478541383345457,0.4019347037484885,2021-10,2022-02,90,690
DQ90_24,0.1560454157310478,0.4033857315598549,2021-10,2022-02,90,720
