feature,propna
linkf165__tu,0.36032252173790896
linkf166__tu,0.36032252173790896
linkf167__tu,0.36032252173790896
linkf201__tu,0.36032252173790896
linkf002__tu,0.36032252173790896
linkf119__tu,0.36032252173790896
linkf203__tu,0.36032252173790896
linkf047__tu,0.36032252173790896
linkf048__tu,0.36032252173790896
linkf050__tu,0.36032252173790896
linkf118__tu,0.36032252173790896
linkf052__tu,0.36032252173790896
linkf053__tu,0.36032252173790896
linkf054__tu,0.36032252173790896
linkf055__tu,0.36032252173790896
linkf056__tu,0.36032252173790896
linkf057__tu,0.36032252173790896
linkf069__tu,0.36032252173790896
linkf058__tu,0.36032252173790896
linkf059__tu,0.36032252173790896
linkf061__tu,0.36032252173790896
linkf062__tu,0.36032252173790896
linkf063__tu,0.36032252173790896
linkf064__tu,0.36032252173790896
linkf065__tu,0.36032252173790896
linkf066__tu,0.36032252173790896
linkf067__tu,0.36032252173790896
linkf046__tu,0.36032252173790896
linkf044__tu,0.36032252173790896
linkf043__tu,0.36032252173790896
linkf042__tu,0.36032252173790896
linkf004__tu,0.36032252173790896
linkf005__tu,0.36032252173790896
linkf006__tu,0.36032252173790896
linkf007__tu,0.36032252173790896
linkf015__tu,0.36032252173790896
linkf018__tu,0.36032252173790896
linkf019__tu,0.36032252173790896
linkf020__tu,0.36032252173790896
linkf021__tu,0.36032252173790896
linkf022__tu,0.36032252173790896
linkf023__tu,0.36032252173790896
linkf031__tu,0.36032252173790896
linkf035__tu,0.36032252173790896
linkf036__tu,0.36032252173790896
linkf037__tu,0.36032252173790896
linkf038__tu,0.36032252173790896
linkf039__tu,0.36032252173790896
linkf040__tu,0.36032252173790896
linkf041__tu,0.36032252173790896
linkf068__tu,0.36032252173790896
linkf051__tu,0.36032252173790896
linkf070__tu,0.36032252173790896
linkf095__tu,0.36032252173790896
linkf097__tu,0.36032252173790896
linkf098__tu,0.36032252173790896
linkf099__tu,0.36032252173790896
linkf100__tu,0.36032252173790896
linkf101__tu,0.36032252173790896
linkf102__tu,0.36032252173790896
linkf103__tu,0.36032252173790896
linkf104__tu,0.36032252173790896
linkf107__tu,0.36032252173790896
linkf108__tu,0.36032252173790896
linkf109__tu,0.36032252173790896
linkf110__tu,0.36032252173790896
linkf111__tu,0.36032252173790896
linkf112__tu,0.36032252173790896
linkf113__tu,0.36032252173790896
linkf114__tu,0.36032252173790896
linkf071__tu,0.36032252173790896
linkf116__tu,0.36032252173790896
linkf117__tu,0.36032252173790896
linkf096__tu,0.36032252173790896
linkf115__tu,0.36032252173790896
linkf094__tu,0.36032252173790896
linkf083__tu,0.36032252173790896
linkf073__tu,0.36032252173790896
linkf074__tu,0.36032252173790896
