feature,dtype,propna,min,max,range,std,mean,median,mode,n_unique,prop_unique,prop_negative,prop_min,prop_max,prop_zero
paymnt11__tu,float64,0.0008110648583322143,-6.0,399.0,405.0,21.85051419113768,13.701517008558035,8.0,-2.0,254,0.0013654152152410442,0.18877671698275492,0.0312701586892014,5.375650453704898e-06,0.08688126263277857
paymnt09__tu,float64,0.0008110648583322143,-6.0,50.0,56.0,2.25931500911169,-1.4508365049671013,-2.0,-2.0,1280,0.00688083258074227,0.912634928826388,0.0312701586892014,0.0002472799208704253,0.00017202081451855674
aggs114__tu,float64,0.0008110648583322143,-6.0,36777.0,36783.0,418.008877507576,60.88191846213392,-1.0,-2.0,2270,0.01220272652991012,0.7812164021846644,0.0312701586892014,1.0751300907409796e-05,0.038710058917128976
paymnt08__tu,float64,0.0008110648583322143,-6.0,50.0,56.0,2.537374976988539,-1.3619760891067818,-2.0,-2.0,1439,0.007735561002881349,0.8623457188319786,0.0312701586892014,0.00026340687223154,0.00015589386315744205
paymnt07__tu,float64,0.0008110648583322143,-6.0,50.0,56.0,3.1075221817068597,-0.73526243925515,-2.0,-2.0,1833,0.009853567281641079,0.6226508407517309,0.0312701586892014,0.00038704683266675265,0.00039242248312045756
paymnt06__tu,float64,0.0008110648583322143,-6.0,50.0,56.0,2.860463237040959,-0.4878526426697631,-2.0,-2.0,1741,0.009359007439900228,0.5620672601384767,0.0312701586892014,0.00044080333720380164,0.0003010364254074743
paymnt05__tu,float64,0.0008110648583322143,-6.0,3489375.0,3489381.0,10460.565830476124,1382.244113662753,0.0,0.0,11091,0.059621339182041024,0.319603922074571,0.0312701586892014,5.375650453704898e-06,0.2813669203973681
paymnt04__tu,float64,0.0008110648583322143,-6.0,294773.0,294779.0,2704.9171148361984,261.92741796757406,0.0,0.0,4036,0.02169612523115297,0.3909011740420591,0.0312701586892014,5.375650453704898e-06,0.40573796929428463
paymnt03__tu,float64,0.0008110648583322143,-6.0,170821.0,170827.0,1376.6628379790193,82.87543542768675,0.0,0.0,2035,0.010939448673289469,0.43475035479292995,0.0312701586892014,5.375650453704898e-06,0.46734292349374273
paymnt02__tu,float64,0.0008110648583322143,-6.0,78.0,84.0,3.526266578365416,0.7895916655915366,0.0,0.0,54,0.0002902851245000645,0.319603922074571,0.0312701586892014,5.375650453704898e-06,0.2813669203973681
paymnt01__tu,float64,0.0008110648583322143,-6.0,30.0,36.0,1.7609281098933605,-0.514154087644605,0.0,0.0,26,0.00013976691179632737,0.3909011740420591,0.0312701586892014,5.375650453704898e-06,0.40573796929428463
walshr10__tu,float64,0.0008110648583322143,-6.0,999.0,1005.0,347.612905371413,138.8960080419731,-2.0,-2.0,27,0.00014514256225003225,0.8464660473917344,0.0312701586892014,0.14040123854986453,0.0
walshr09__tu,float64,0.0008110648583322143,-6.0,999.0,1005.0,319.8411925086494,114.35938911108244,-2.0,-2.0,27,0.00014514256225003225,0.8464660473917344,0.0312701586892014,0.11559798735647013,0.0
walshr08__tu,float64,0.0008110648583322143,-6.0,100.0,106.0,8.412251408190537,0.21785194383520412,-2.0,-2.0,4732,0.025437577946931578,0.8604534898722745,0.0312701586892014,0.0006074485012686536,0.0354524147421838
walshr07__tu,float64,0.0008110648583322143,-6.0,100.0,106.0,4.931730562216795,-0.9007107147464843,-2.0,-2.0,2835,0.015239969036253386,0.8775265557132413,0.0312701586892014,0.00021502601814819594,0.04112372597084247
walshr06__tu,float64,0.0008110648583322143,-6.0,5.0,11.0,1.0929367750511711,-1.5277759858942932,-2.0,-2.0,9,4.838085408334408e-05,0.8604534898722745,0.0312701586892014,1.0751300907409796e-05,0.1316980604653163
cv13__tu,float64,0.0008110648583322143,-6.0,100.0,106.0,27.971708747012148,49.76691717197781,50.0,100.0,101,0.0005429406958241947,0.0312701586892014,0.0312701586892014,0.08073689416419387,0.0466391433363437
cv14__tu,float64,0.0008110648583322143,0.0,96.0,96.0,4.683898535349223,4.522357330236959,3.0,1.0,72,0.00038704683266675265,0.0,0.12212940265772158,5.375650453704898e-06,0.12212940265772158
cv15__tu,float64,0.0008110648583322143,-6.0,24.0,30.0,2.9709394035806853,0.5837741366705371,1.0,0.0,24,0.00012901561088891756,0.12198426009547156,0.12198426009547156,5.375650453704898e-06,0.29404807981765796
cv16__tu,float64,0.0008110648583322143,-6.0,15.0,21.0,2.2251784558429506,-0.41213499333419346,0.0,0.0,15,8.063475680557348e-05,0.12198426009547156,0.12198426009547156,5.375650453704898e-06,0.6740474347396035
aggs113__tu,float64,0.0008110648583322143,-6.0,28335.0,28341.0,394.02199632746715,59.73960349202253,-1.0,-2.0,2251,0.012100589171289726,0.7809368683610717,0.0312701586892014,5.375650453704898e-06,0.03927987786522169
aggs112__tu,float64,0.0008110648583322143,-6.0,59318.0,59324.0,447.08341584604005,60.639707779641334,-1.0,-2.0,2288,0.012299488238076807,0.7809261170601642,0.0312701586892014,5.375650453704898e-06,0.039075603147980906
aggs111__tu,float64,0.0008110648583322143,-6.0,31291.0,31297.0,365.5027965048422,57.50989657248527,-1.0,-2.0,2242,0.012052208317206383,0.7810712596224143,0.0312701586892014,5.375650453704898e-06,0.03816174257085107
aggs110__tu,float64,0.0008110648583322143,-6.0,67320.0,67326.0,447.21891298123,58.569663054229565,-1.0,-2.0,2203,0.011842557949511891,0.7811572700296736,0.0312701586892014,5.375650453704898e-06,0.04007547413237002
aggs109__tu,float64,0.0008110648583322143,-6.0,64034.0,64040.0,418.91611071804493,57.82119511460887,-1.0,-2.0,2200,0.011826430998150776,0.7817808454823033,0.0312701586892014,5.375650453704898e-06,0.03930675611749022
aggs108__tu,float64,0.0008110648583322143,-6.0,161746.0,161752.0,672.8694727779142,57.8233507504408,-1.0,-2.0,2139,0.011498516320474777,0.7814314282028125,0.0312701586892014,1.0751300907409796e-05,0.03883907452801789
aggs107__tu,float64,0.0008110648583322143,-6.0,59429.0,59435.0,468.28942729605984,55.368844880230505,-1.0,-2.0,2099,0.011283490302326582,0.781313163892831,0.0312701586892014,5.375650453704898e-06,0.03976906205650884
aggs106__tu,float64,0.0008110648583322143,-6.0,32076.0,32082.0,382.2848825314685,53.45205994925386,-1.0,-2.0,2048,0.011009332129187631,0.7810336300692384,0.0312701586892014,1.0751300907409796e-05,0.040381886208231195
aggs105__tu,float64,0.0008110648583322143,-6.0,59926.0,59932.0,393.5952923927336,53.985872790607665,-1.0,-2.0,2027,0.010896443469659829,0.7797918548144326,0.0312701586892014,5.375650453704898e-06,0.03799509740678622
aggs104__tu,float64,0.0008110648583322143,-6.0,28817.0,28823.0,337.27175581742387,51.62329591880618,-1.0,-2.0,2008,0.010794306111039436,0.778872618586849,0.0312701586892014,1.0751300907409796e-05,0.03821549907538812
aggs103__tu,float64,0.0008110648583322143,-6.0,54076.0,54082.0,376.97534816367494,51.35205672386359,-1.0,-2.0,1965,0.010563153141530125,0.7770448974325893,0.0312701586892014,5.375650453704898e-06,0.038177869522212186
aggs102__tu,float64,0.0008110648583322143,-6.0,549731.0,549737.0,1310.2504032309116,51.71703651141788,-1.0,-2.0,1886,0.010138476755687438,0.7755773448587279,0.0312701586892014,5.375650453704898e-06,0.036640433492452586
aggs101__tu,float64,0.0008110648583322143,-6.0,64788.0,64794.0,333.0286628347629,47.190738829398356,-1.0,-2.0,1829,0.00983206467982626,0.7755665935578205,0.0312701586892014,5.375650453704898e-06,0.03571044596396164
cv30__tu,float64,0.0008110648583322143,-7.0,999.0,1006.0,254.71383253496,929.5245075904185,999.0,999.0,34,0.00018277211542596655,0.06004063991743001,0.028770481228228617,0.9307508708553734,0.0020319958715004516
cv29__tu,float64,0.0008110648583322143,-6.0,13.0,19.0,1.0688389382878822,-0.17520319958715005,0.0,0.0,14,7.525910635186857e-05,0.0312701586892014,0.0312701586892014,1.0751300907409796e-05,0.9630101492280566
cv28__tu,float64,0.0008110648583322143,-7.0,100.0,107.0,10.752644997404996,0.5482518384724552,0.0,0.0,66,0.0003547929299445233,0.47842751472928224,0.1382724809701974,0.005606803423214209,0.46226830946544534
cv27__tu,float64,0.0008110648583322143,-7.0,100.0,107.0,11.20437627486755,0.5283726830946545,0.0,0.0,61,0.0003279146776759988,0.47842751472928224,0.1382724809701974,0.007074355997075646,0.46887498387304866
cv26__tu,float64,0.0008110648583322143,-7.0,100.0,107.0,10.735190289313753,4.312131767943921,0.0,0.0,91,0.0004891841912871458,0.08352148109921301,0.05225132241001161,0.0019836150174171075,0.581462606975444
cv25__tu,float64,0.0008110648583322143,-7.0,100.0,107.0,5.764496182717701,0.6394658753709199,0.0,0.0,73,0.00039242248312045756,0.08352148109921301,0.05225132241001161,0.0008170988689631445,0.810261041586032
cv24__tu,float64,0.0008110648583322143,-7.0,16623.0,16630.0,208.81495053375508,23.017798778652217,-1.0,-1.0,1221,0.006563669203973681,0.7232185094396422,0.185368554595106,5.375650453704898e-06,0.160758826818045
cv23__tu,float64,0.0008110648583322143,-7.0,37082.0,37089.0,241.01011439397422,30.141605384251495,-1.0,-1.0,1163,0.006251881477658797,0.7436836107168967,0.185368554595106,5.375650453704898e-06,0.005993850255880962
cv22__tu,float64,0.0008110648583322143,-7.0,577233.0,577240.0,4638.219990045499,1286.3689308906378,-1.0,-1.0,12077,0.06492173052939405,0.5261901690104502,0.185368554595106,5.375650453704898e-06,0.11434546080075689
cv21__tu,float64,0.0008110648583322143,-7.0,634419.0,634426.0,7353.3802257873995,716.8396067174128,0.0,0.0,5657,0.03041005461660861,0.198538898206683,0.07546875671956307,5.375650453704898e-06,0.3239205693888961
cv20__tu,float64,0.0008110648583322143,-7.0,531993.0,532000.0,2604.141159617066,598.6169472756203,345.0,-2.0,4546,0.02443770696254247,0.21931578721025244,0.07546875671956307,1.0751300907409796e-05,0.04928396335956651
cv19__tu,float64,0.0008110648583322143,-7.0,2201507.0,2201514.0,59916.31474722454,33372.75073108846,11981.0,0.0,59616,0.32047477744807124,0.10751838472455168,0.07546875671956307,5.375650453704898e-06,0.0812045757536662
cv18__tu,float64,0.0008110648583322143,-7.0,50.0,57.0,2.91686582156454,-0.35401346062873607,0.0,0.0,37,0.00019889906678708123,0.1848094869479207,0.08820904829484368,5.375650453704898e-06,0.6038306885133101
cv17__tu,float64,0.0008110648583322143,-7.0,51.0,58.0,2.954541440431836,-0.05325656904485443,0.0,0.0,38,0.00020427471724078613,0.15464671225218252,0.07688255278888746,5.375650453704898e-06,0.5277168537393024
au09s__tu,float64,0.0008110648583322143,-5.0,12.0,17.0,1.1682522110971765,0.1441856964692728,0.0,0.0,16,8.601040725927837e-05,0.1835085795381241,0.00015051821270373715,5.375650453704898e-06,0.4997742226809444
au20s__tu,float64,0.0008110648583322143,-5.0,366.0,371.0,52.421185704265866,72.14116995656474,75.0,-1.0,284,0.0015266847288521912,0.1835085795381241,0.00015051821270373715,5.375650453704898e-06,0.00021502601814819594
walshr04__tu,float64,0.0008110648583322143,-6.0,1.0,7.0,1.0489957368797787,-1.5865587236055563,-2.0,-2.0,5,2.6878252268524493e-05,0.8856545391992431,0.0312701586892014,0.0009461144798520621,0.11339934632090483
br21s__tu,float64,0.0008110648583322143,-5.0,999.0,1004.0,39.06407224943399,26.630708940781833,11.0,-1.0,362,0.0019459854642411732,0.3501429923020685,2.6878252268524493e-05,0.00014514256225003225,0.00609061196404765
br57s__tu,float64,0.0008110648583322143,-5.0,20188.0,20193.0,126.05127113076293,15.487431729239239,-1.0,-3.0,1169,0.006284135380381026,0.7703038317636434,5.913215499075388e-05,5.375650453704898e-06,0.1655162774695738
br36s__tu,float64,0.0008110648583322143,-4.0,999.0,1003.0,295.49409047892397,103.17634821313379,0.0,-1.0,101,0.0005429406958241947,0.35011611404980003,0.031237904786479163,0.09791209736378102,0.27564185266417235
br35s__tu,float64,0.0008110648583322143,-5.0,247231.0,247236.0,1671.7169794830709,258.2728035092246,-1.0,-3.0,4586,0.024652732980690664,0.77025545090956,1.0751300907409796e-05,5.375650453704898e-06,0.01142325721412291
br34s__tu,float64,0.0008110648583322143,-5.0,790.0,795.0,41.95354513623813,18.395766137702662,-1.0,-3.0,287,0.0015428116802133059,0.7702769535113749,3.225390272222939e-05,5.375650453704898e-06,0.011842557949511891
br33s__tu,float64,0.0008110648583322143,-5.0,247231.0,247236.0,3020.6813284297236,528.7027319055605,-1.0,-3.0,7206,0.038736937169397495,0.77025545090956,1.0751300907409796e-05,5.375650453704898e-06,0.01142325721412291
br32s__tu,float64,0.0008110648583322143,-5.0,247231.0,247236.0,2261.788878588656,358.5100900959016,-1.0,-3.0,5783,0.031087386573775428,0.77025545090956,1.0751300907409796e-05,5.375650453704898e-06,0.01142325721412291
br31s__tu,float64,0.0008110648583322143,-5.0,100.0,105.0,37.64211350718248,15.514793790048596,-1.0,-3.0,61,0.0003279146776759988,0.7702769535113749,3.225390272222939e-05,0.1550498860362104,0.044354491893519116
br30s__tu,float64,0.0008110648583322143,-5.0,100.0,105.0,39.41684347039588,17.3309680471337,-1.0,-3.0,57,0.0003064120758611792,0.7702769535113749,3.225390272222939e-05,0.17637509138605773,0.029453188835849138
br29s__tu,float64,0.0008110648583322143,-5.0,19.0,24.0,1.9883214828263134,-1.2987732765664646,-1.0,-3.0,25,0.00013439126134262246,0.77025545090956,1.0751300907409796e-05,1.0751300907409796e-05,0.01142325721412291
br28s__tu,float64,0.0008110648583322143,-5.0,234789.0,234794.0,3835.651876618054,689.5507891454866,-1.0,-3.0,1812,0.009740678622113275,0.7702662022104675,2.1502601814819592e-05,5.375650453704898e-06,0.00014514256225003225
br27s__tu,float64,0.0008110648583322143,-6.0,16.0,22.0,1.996233237528567,-2.2936341547327226,-3.0,-3.0,22,0.00011826430998150777,0.8929331699135595,0.12176923407732336,2.1502601814819592e-05,0.025115038919709284
br25s__tu,float64,0.0008110648583322143,-6.0,20.0,26.0,2.0054530094824643,-1.9742936395303832,-3.0,-3.0,25,0.00013439126134262246,0.8496806863630499,0.07952199716165656,5.375650453704898e-06,0.034060121274674234
br24s__tu,float64,0.0008110648583322143,-6.0,21.0,27.0,1.975264292570828,-1.7113544488883154,-1.0,-3.0,27,0.00014514256225003225,0.8142927794263106,0.04476841697845439,5.375650453704898e-06,0.04147314325033329
