feature,bin,min,max,count,prop,target,bin_label
ENG-int_n_months_binned,0.2814444220467504,49.0,59.0,1259,0.0503237668878407,0.4162033359809372,5
ENG-int_n_months_binned,0.3558675053269742,60.0,82.0,1705,0.0681509313294428,0.3982404692082111,6
ENG-int_n_months_total_binned,-0.1441843085111817,0.0,7.0,9496,0.3795667119673835,0.521798652064027,1
ENG-int_n_months_total_binned,-0.139803870667339,8.0,17.0,2608,0.1042449436405787,0.5207055214723927,2
ENG-int_n_months_total_binned,-0.0648646485210217,18.0,22.0,1261,0.0504037093292829,0.5019825535289453,3
ENG-int_n_months_total_binned,-0.0115556692765126,23.0,35.0,3262,0.1303861219921656,0.4886572654812998,4
ENG-int_n_months_total_binned,0.0890795455891521,36.0,41.0,1331,0.0532016947797585,0.4635612321562735,5
ENG-int_n_months_total_binned,0.1830256203532012,42.0,59.0,3241,0.1295467263570229,0.4402962048750385,6
ENG-int_n_months_total_binned,0.2257273948785965,60.0,71.0,1510,0.060356543288832,0.4298013245033112,7
ENG-int_n_months_total_binned,0.3550312798662134,72.0,164.0,2309,0.0922935486449756,0.3984408834993503,8
ENG-wtd_avg_binned,-0.1500132236570004,0.0,0.3193125282677521,12063,0.4821728355583979,0.523252922158667,1
ENG-wtd_avg_binned,-0.0652418134149006,0.3197178959741404,0.5792682926829268,1926,0.0769845711088016,0.5020768431983386,2
ENG-wtd_avg_binned,0.0106237581662468,0.5793103448275863,0.753968253968254,1540,0.0615556799104644,0.4831168831168831,3
ENG-wtd_avg_binned,0.1403287439471092,0.7545098039215686,0.9068825910931174,1719,0.0687105284195379,0.4508435136707388,4
ENG-wtd_avg_binned,0.2176216707872341,0.9069148936170212,1.0,7770,0.310576385002798,0.4317889317889318,5
ENG-has_auto_binned,-0.1214890678971131,0.0,0.0,7996,0.3196098808857622,0.5161330665332666,1
ENG-has_auto_binned,0.0571593694072999,1.0,1.0,17022,0.6803901191142377,0.4715074609329103,2
ENG-open_auto_binned,-0.0465566313987236,0.0,0.0,15225,0.6085618354784555,0.4974055829228243,1
ENG-open_auto_binned,0.072522114814831,1.0,1.0,9793,0.3914381645215445,0.4676809966302461,2
ENG-closed_auto_binned,-0.1095086862260006,0.0,0.0,11377,0.4547525781437365,0.5131405467170608,1
ENG-closed_auto_binned,0.0915675157091238,1.0,1.0,13641,0.5452474218562635,0.4629425995161645,2
ENG-open_and_closed_auto_binned,-0.0528496833066857,0.0,0.0,18606,0.7437045327364298,0.4989788240352574,1
ENG-open_and_closed_auto_binned,0.1540758960390629,1.0,1.0,6412,0.2562954672635702,0.4474422956955708,2
ENG-3mo_bad_binned,0.0933234837431844,0.0,0.0,14469,0.5783435926133184,0.4625060474117078,1
ENG-3mo_bad_binned,-0.1276814899772402,1.0,1.0,10549,0.4216564073866816,0.5176794008910798,2
ENG-6mo_bad_binned,0.150716016226338,0.0,0.0,12624,0.5045966903829243,0.4482731305449937,1
ENG-6mo_bad_binned,-0.1528607156140247,1.0,1.0,12394,0.4954033096170757,0.5239632080038729,2
ENG-3mo_bad_end_binned,0.2696071449533131,0.0,0.0,5209,0.20821008873611,0.4190823574582453,1
ENG-3mo_bad_end_binned,-0.0701608969351629,1.0,1.0,19809,0.79178991126389,0.5033065778181635,2
ENG-6mo_bad_end_binned,0.241909642272107,0.0,0.0,5178,0.2069709808937564,0.4258400926998841,1
ENG-6mo_bad_end_binned,-0.0625795691270329,1.0,1.0,19840,0.7930290191062435,0.5014112903225807,2
ENG-franchise_binned,-0.1179359280247279,0.0,0.0,8691,0.3473898792869134,0.515245656426188,1
ENG-franchise_binned,0.0628878217725071,1.0,1.0,16327,0.6526101207130866,0.4700802351932382,2
ENG-payment_to_income_binned,0.1965957680374023,0.0036057735646316,0.0674478834133867,1261,0.0504037093292829,0.43695479777954,1
ENG-payment_to_income_binned,0.0979990658871548,0.0674708980945568,0.1071427099688049,2768,0.1106403389559517,0.4613439306358382,2
ENG-payment_to_income_binned,-0.024628948815733,0.107150725882765,402.0,20989,0.8389559517147653,0.4919243413216447,3
ENG-loan_to_value_binned,1.888975756210269,0.1854616840113528,0.6315595317725753,32,0.0012790790630745,0.125,1
ENG-loan_to_value_binned,1.0206244866252332,0.659283344051447,0.7759759036144578,63,0.002518186905428,0.2539682539682539,2
ENG-loan_to_value_binned,0.7217349611530631,0.77687531267473,0.8940861650385376,178,0.0071148772883523,0.3146067415730337,3
ENG-loan_to_value_binned,0.294844265058844,0.8946856721979117,1.0126953143068598,942,0.0376528899192581,0.4129511677282378,4
ENG-loan_to_value_binned,0.1268116656142953,1.0128205128205128,1.1309217704824708,3089,0.1234711008074186,0.4541922952411784,5
ENG-loan_to_value_binned,-0.0021090788995413,1.1309614730878188,1.2491331034482758,6422,0.256695179470781,0.4862971037060106,6
ENG-loan_to_value_binned,-0.0603009270948831,1.2491410256410256,1.603363687307369,14258,0.5699096650411704,0.5008416327675691,7
ENG-loan_to_value_binned,-0.5365074731069304,1.6038259244426645,2.549193,34,0.0013590215045167,0.6176470588235294,8
ENG-bk_binned,-0.0733045224918997,0.0,0.0,20770,0.8302022543768487,0.5040924410207029,1
ENG-bk_binned,0.3644461705690194,1.0,1.0,4248,0.1697977456231513,0.3961864406779661,2
ENG-perfect_payment_hx_binned,-0.0702257967073875,0.0,0.0,18358,0.7337916699976017,0.5033228020481534,1
ENG-perfect_payment_hx_binned,0.1948376489892085,1.0,1.0,6660,0.2662083300023983,0.4373873873873873,2
ENG-perfect_payment_hx_open_binned,-0.0451197432579416,0.0,0.0,20314,0.8119753777280359,0.4970463719602245,1
ENG-perfect_payment_hx_open_binned,0.1961078976367986,1.0,1.0,4704,0.1880246222719641,0.4370748299319728,2
ENG-perfect_payment_hx_closed_binned,-0.0490904463617727,0.0,0.0,20398,0.8153329602686066,0.4980390234336699,1
ENG-perfect_payment_hx_closed_binned,0.2183847114959136,1.0,1.0,4620,0.1846670397313934,0.4316017316017316,2
linkt001__tu_binned,0.4191482824770735,0.0,0.0,2461,0.0983691741945799,0.3831775700934579,1
linkt001__tu_binned,0.1101196918181221,1.0,1.0,4584,0.1832280757854344,0.4583333333333333,2
linkt001__tu_binned,0.0168712544280607,2.0,2.0,4907,0.1961387800783436,0.4815569594456898,3
linkt001__tu_binned,-0.0796681409500826,3.0,3.0,4135,0.1652809976816692,0.505683192261185,4
linkt001__tu_binned,-0.1120354573673148,4.0,5.0,5337,0.2133264049884083,0.5137717818999438,5
linkt001__tu_binned,-0.1862182288766812,6.0,19.0,3594,0.1436565672715644,0.5322760155815247,6
linkt002__tu_binned,-0.0960420724191582,0.0,14.0,9718,0.3884403229674634,0.5097756740069973,1
linkt002__tu_binned,-0.0808086783845179,15.0,28.0,5613,0.2243584619074266,0.5059682879030821,2
linkt002__tu_binned,-0.0299057204571249,29.0,36.0,2072,0.0828203693340794,0.4932432432432432,3
linkt002__tu_binned,0.0244112466089083,37.0,45.0,1722,0.0688304420817011,0.4796747967479675,4
linkt002__tu_binned,0.1244306837229534,46.0,63.0,2300,0.0919338076584859,0.4547826086956522,5
linkt002__tu_binned,0.2188749011764523,64.0,101.0,2160,0.0863378367575345,0.4314814814814814,6
